multiplex	node	score
1	Brain_abscess	0.24390386317321447
1	Pulmonary_arterial_hypertension_related_to_hereditary_hemorrhagic_telangiectasia	0.0029413968093796325
1	Meningitis	0.0015564344374144644
1	Inflammatory_bowel_disease_25	0.0012675357849127203
1	Encephalitis	0.0012593800765594491
1	Telangiectasia,_hereditary_hemorrhagic,_type_2	0.0012249914056002642
1	Inflammatory_bowel_disease_28	0.0012119566796643558
1	gastroenteritis	0.0005736360619400028
1	Peritonitis	0.0004701172363656778
1	Lower_respiratory_tract_infection	0.00045161474271030025
1	Duodenal_ulcer	0.00038186794781995965
1	Telangiectasia_hereditary_hemorrhagic_type_1	0.000304912595746859
1	Rosacea	0.0002830767707923686
1	Telangiectasia_hereditary_hemorrhagic_type_2	0.0002589968992952155
1	Liver_abscess	0.00015615360612124797
1	Cholecystitis	0.00014659317396669994
1	Subarachnoid_hemorrhage	0.00013622845706302074
1	Anemia	0.00013094628204227233
1	Ischemic_stroke	0.00011692812689921991
1	Cirrhosis_of_liver	0.00011066112262680391
1	Cerebral_Ischemias_Transient	0.00010930697440573916
1	Pulmonary_arterial_hypertension	7.630358184887963e-05
1	Pulmonary_hypertension	6.816910939625001e-05
1	Urinary_tract_infectious_disease	5.646643788189668e-05
1	Hypertensive_disorder	5.310454642388083e-05
1	Diarrhea	4.607451250712645e-05
1	Cholangitis	4.409676196162658e-05
1	Chronic_diarrhea	3.972685349181982e-05
1	Epilepsy	3.644062269358877e-05
1	Laryngeal_edema	3.4732330172350295e-05
1	Infection_of_bone	3.4003304348800515e-05
1	Otitis_media	3.382223885802432e-05
1	Breast_neoplasm	3.201172169324583e-05
1	Uveitis	3.131077360259584e-05
1	Nausea_and_vomiting	3.018393008672932e-05
1	Sepsis	2.6816067413928744e-05
1	Cellulitis	2.6108042316218913e-05
1	Paronychia	2.5503165330831677e-05
1	Pneumonia	2.5429189925599604e-05
1	Seizure	2.498813222394461e-05
1	Enterocolitis	2.4202178155193194e-05
1	Prostatitis	2.3682841457295414e-05
1	Recurrent_E._coli_infections	2.36748054426923e-05
1	Urinary_bladder_inflammation	2.322983566582341e-05
1	Staphylococcal_infection	2.303750999456676e-05
1	Infectious_disease_of_lung	2.2633280137349676e-05
1	Gastrointestinal_hemorrhage	2.1952878022147192e-05
1	Episcleritis	2.1323185257982256e-05
1	Epididymitis	2.0988204450300263e-05
1	Fever	2.0687490366328506e-05
1	Tuberculosis	2.0184316433716217e-05
1	Vomiting	1.971451357460193e-05
1	Streptococcal_pneumonia	1.969033459946114e-05
1	Depression	1.9678220405574637e-05
1	Acne	1.96621203376154e-05
1	Psoriasis	1.939709354527611e-05
1	Meningococcal_meningitis	1.86698646962018e-05
1	IgE_mediated_allergic_disorder	1.8347697823802166e-05
1	Bronchiectasis	1.8156066804891175e-05
1	Stomatitis	1.745493037297222e-05
1	Nausea	1.691861092821209e-05
1	Dacryocystitis	1.6856269888982327e-05
1	Dysthymic_disorder	1.664128204822486e-05
1	Osteomyelitis	1.6616278152380308e-05
1	Chronic_bronchitis	1.6586492980764287e-05
1	Peptic_esophagitis	1.619485486256972e-05
1	Dermatitis	1.576403266828269e-05
1	Multiple_endocrine_neoplasia	1.526705857416217e-05
1	Stevens_Johnson_syndrome	1.5205203394474356e-05
1	Urticaria	1.5028679023900671e-05
1	Heartburn	1.4496976652708954e-05
1	Emphysema	1.4186061366925479e-05
1	Cough	1.4127040864385057e-05
1	Sinusitis	1.4083384722382831e-05
1	Gastroesophageal_reflux_disease	1.3228410778531568e-05
1	Neoplasm_of_lung	1.2965513269976307e-05
1	Aplastic_anemia	1.2432270185958736e-05
1	Pyelonephritis	1.2431500083736284e-05
1	Blepharitis	1.2172862114785447e-05
1	Enteritis	1.1982218725943258e-05
1	Anxiety	1.1757556037044993e-05
1	Asthma	1.1606229777490951e-05
1	Nephrotic_syndrome	1.138870810148258e-05
1	Pulmonary_fibrosis	1.117978047857993e-05
1	Esophagitis	1.0977940810260313e-05
1	Migraine	1.0764652557598988e-05
1	Ascites	1.0649406408612881e-05
1	Conjunctivitis	1.0241784756991712e-05
1	Peptic_ulcer	1.0041142944997425e-05
1	Gingivostomatitis	9.157193243923561e-06
1	Cerebral_edema	8.84648916302532e-06
1	Alcohol_withdrawal_delirium	8.278626843901985e-06
1	Bacterial_endocarditis	8.19122705034729e-06
1	Chronic_discoid_lupus_erythematosus	8.053687821128305e-06
1	Gastritis	8.023247261443543e-06
1	Leukemia	7.994630381834308e-06
1	Stroke_disorder	7.939476262215185e-06
1	Eczematoid_dermatitis	7.882958667636737e-06
1	Sjogren_syndrome	7.794380624023392e-06
1	Systemic_lupus_erythematosus	7.673913277464815e-06
1	Irritable_bowel_syndrome	7.656464040418867e-06
1	Primary_adrenocortical_insufficiency	7.649335669943881e-06
1	Seborrheic_dermatitis	7.271845391497339e-06
1	Insomnia	7.141757544767639e-06
1	Systemic_mast_cell_disease	7.125763867986693e-06
1	Aphthous_stomatitis	7.106156054120472e-06
1	Primary_cutaneous_T_cell_lymphoma	7.102365246287129e-06
1	Erythroderma	7.074450772870536e-06
1	Beta_thalassemia_major	7.003119657182168e-06
1	Keratosis	6.8576253258818575e-06
1	Malignant_lymphoma_large_B_cell_diffuse	6.8531705858338025e-06
1	Hypoplastic_anemia	6.817686781369204e-06
1	Hypersensitivity_pneumonitis	6.787262690901495e-06
1	Gingival_disorder	6.775587541550626e-06
1	Ankylosing_spondylitis	6.731327152810919e-06
1	Periodontitis	6.727265881619646e-06
1	Edema	6.706344206502403e-06
1	Pruritus	6.608563601195167e-06
1	Congenital_adrenal_hyperplasia	6.520167195857477e-06
1	Hemolytic_anemia_due_to_glucophosphate_isomerase_deficiency	6.504932127903619e-06
1	Burkitt_lymphoma	6.47236271412911e-06
1	Thyroiditis	6.426043204880942e-06
1	Allergy	6.384963813522602e-06
1	Ulcer_disease	6.303371174847218e-06
1	Septic_shock	6.300850948795314e-06
1	Mydriasis	6.193804815483145e-06
1	Schizophrenia	6.1844202999558314e-06
1	Dyspnea	6.075836689506421e-06
1	Tremor	5.98464940847789e-06
1	Zollinger_Ellison_syndrome	5.908877127322234e-06
1	Iridocyclitis	5.7835170407590344e-06
1	Exanthem	5.642818590562303e-06
1	Pleural_effusion	5.57336970820394e-06
1	Erysipelas	5.5012003956029644e-06
1	Telangiectasia_hereditary_hemorrhagic_type_5	5.444353936293753e-06
1	Angioedema	5.4197013259436205e-06
1	Ulcerative_colitis	5.362782623987834e-06
1	Essential_hypertension	5.271226431405063e-06
1	Rheumatoid_arthritis	5.169046474697512e-06
1	Vertigo	5.156928153700703e-06
1	Celiac_disease	5.105890775300244e-06
1	Autoimmune_disease	5.09443713124002e-06
1	Glaucoma	4.861403940274479e-06
1	Contact_dermatitis	4.814607632513357e-06
1	Adrenal_cortical_hypofunction	4.757091903104305e-06
1	Psoriatic_arthritis	4.70949047432576e-06
1	Bradycardia	4.576837074004261e-06
1	Hepatic_encephalopathy	4.559299605270984e-06
1	Myelofibrosis	4.4487523324975725e-06
1	Urinary_urgency	4.43517689495204e-06
1	Neoplasm_of_esophagus	4.3939706395830125e-06
1	Oral_ulcer	4.374836608338609e-06
1	Varicose_disease	4.3639129823461855e-06
1	Urinary_incontinence	4.347699278875138e-06
1	Psychotic_disorder	4.31719870898263e-06
1	Pancreatitis	4.293864277558671e-06
1	Constipation	4.26236379332722e-06
1	Sarcoidosis	4.182835916536382e-06
1	Cholelithiasis	4.140010545785439e-06
1	Myasthenia_gravis	4.1236761892814326e-06
1	Hypotension	4.060663123680868e-06
1	Hyperlipidemia	4.059158344400798e-06
1	Headache	4.025757569842897e-06
1	Mixed_anxiety_and_depressive_disorder	4.004520765472601e-06
1	Crohn_disease	4.001380657296807e-06
1	Obesity	3.9475255418679954e-06
1	Giant_cell_arteritis	3.938804525796488e-06
1	Arthritis	3.8649242434107415e-06
1	Overactive_bladder	3.754106612256999e-06
1	Colitis	3.7500866293671473e-06
1	Pulmonary_edema	3.7135865951435557e-06
1	Gastric_ulcer	3.686430271669937e-06
1	Intracranial_swelling	3.6556338597592675e-06
1	Bipolar_affective_disorder	3.650793918136684e-06
1	Carcinoma_of_pancreas	3.6207945457786322e-06
1	Pulmonary_hypertension_primary_2	3.6042629998412863e-06
1	Hirschsprung_disease_susceptibility_to_2	3.5642290706870567e-06
1	Waardenburg_syndrome_type_4A	3.5642290706870567e-06
1	Lymphoid_leukemia	3.497833731833881e-06
1	Anorexia	3.4683866271929185e-06
1	Respiratory_insufficiency	3.467376881723593e-06
1	Inflammatory_bowel_disease	3.44322537440853e-06
1	Perennial_allergic_rhinitis	3.433267315790037e-06
1	Diamond_Blackfan_anemia	3.4280331050855984e-06
1	Dermatographic_urticaria	3.4100017710251884e-06
1	ABCD_syndrome	3.3970883543327073e-06
1	Serum_sickness	3.3859628647140422e-06
1	Keratitis	3.3469992594217405e-06
1	Synovitis	3.3411387373391493e-06
1	Spasticity	3.31186036239648e-06
1	Facial_dermatosis	3.3038338645675418e-06
1	Disorder_of_orbital_region	3.210353383622737e-06
1	Metachromatic_leukodystrophy_adult_type	3.202165110204393e-06
1	Metachromatic_leukodystrophy	3.191182884573169e-06
1	Bronchiolitis	3.11638295472153e-06
1	Mastocytosis	3.105831619293229e-06
1	Deafness_encephaloneuropathy_obesity_valvulopathy_syndrome	3.0846108014013003e-06
1	Cancer_of_the_pancreas	3.084022904941683e-06
1	Renal_hypodysplasia/aplasia_1	3.058061480042326e-06
1	Metachromatic_leukodystrophy_juvenile_type	3.042670079083266e-06
1	Pseudoarylsulfatase_A_deficiency	3.042670079083266e-06
1	Metachromatic_leukodystrophy_late_infantile_form	3.042670079083266e-06
1	Rhinitis	3.0372269994610164e-06
1	Alzheimer_disease	3.0019527304401065e-06
1	Insulin_resistance	2.967157298036706e-06
1	Osteoarthritis	2.964040686011501e-06
1	Persistent_fetal_circulation_syndrome	2.9450417881292256e-06
1	Urinary_retention	2.9193486022296625e-06
1	Acute_intermittent_porphyria	2.87262757475955e-06
1	Malnutrition	2.8635487790883394e-06
1	Nocturia	2.8259775886906873e-06
1	Severe_major_depression_with_psychotic_features	2.8132122363186406e-06
1	Cholesterol_gallstones	2.7964322346561937e-06
1	Postoperative_complication	2.7826794197192818e-06
1	Corneal_ulceration	2.731744830674679e-06
1	Cerebrovascular_disorder	2.7248496186374426e-06
1	Osteosarcoma	2.724000989817521e-06
1	Surfactant_metabolism_dysfunction_pulmonary_2	2.6988591783244615e-06
1	Cholestasis_intrahepatic_of_pregnancy_3	2.694570659558708e-06
1	Kidney_failure	2.6881680482385428e-06
1	Gouty_arthropathy	2.684545508470308e-06
1	Juvenile_polyposis_syndrome	2.6673796988521134e-06
1	Pericarditis	2.6357915960445965e-06
1	Pemphigus	2.623759478191265e-06
1	Generalized_juvenile_polyposis/juvenile_polyposis_coli	2.622832254860677e-06
1	Chronic_obstructive_pulmonary_disease	2.6134009921255363e-06
1	Liver_failure	2.6133263864964556e-06
1	Pulmonary_hypertension_primary_1	2.598731858236101e-06
1	Pulmonary_hypertension_primary_fenfluramine_associated	2.598731858236101e-06
1	Pulmonary_hypertension_primary_1_with_hereditary_hemorrhagic_telangiectasia	2.598731858236101e-06
1	Neurogenic_bladder	2.580174629835285e-06
1	Triosephosphate_isomerase_deficiency	2.566543187831707e-06
1	Retinoblastoma	2.5518133862430416e-06
1	Drug_allergy	2.5393368910922797e-06
1	Premature_labor	2.5154068338725034e-06
1	Mycosis_fungoides	2.492882186446033e-06
1	Vitiligo	2.4700044096588695e-06
1	Supraventricular_arrhythmia	2.450458579835782e-06
1	Pulmonary_venoocclusive_disease_1	2.448136095892877e-06
1	Seasonal_allergy	2.44327934878761e-06
1	Parkinson_disease	2.434458941011649e-06
1	Lymphoma	2.390346453347226e-06
1	Thromboembolism	2.38942400214136e-06
1	Dysuria	2.3871722204807537e-06
1	Cardiac_arrhythmia	2.375928100856871e-06
1	Obstructive_jaundice	2.3666589136162072e-06
1	Rectal_neoplasm	2.3626848932149096e-06
1	Surfactant_metabolism_dysfunction_pulmonary_1	2.344799855802989e-06
1	Marshall_Smith_syndrome	2.3396997121980584e-06
1	Malan_overgrowth_syndrome	2.3396997121980584e-06
1	Basal_cell_carcinoma	2.3344538152632105e-06
1	Colonic_neoplasm	2.3336408810991206e-06
1	Spondyloepiphyseal_dysplasia_with_congenital_joint_dislocations	2.317591208626504e-06
1	Gastroparesis	2.2937275665341208e-06
1	Autoimmune_hemolytic_anemia	2.289531379408695e-06
1	Dermatomyositis	2.279828751643267e-06
1	Graft_versus_host_disease	2.227800345939074e-06
1	Progressive_familial_intrahepatic_cholestasis_type_3	2.2253880152954368e-06
1	Mucopolysaccharidosis_MPS_I_S	2.221211155772556e-06
1	Excessive_salivation	2.211917686556986e-06
1	Atopic_eczema	2.2058088382654455e-06
1	Congenital_alveolar_dysplasia	2.1920001507365827e-06
1	Hemorrhage	2.189941635917364e-06
1	Pollakisuria	2.1840771817075496e-06
1	Gaucher_disease_type_I	2.1839186297052647e-06
1	Back_pain	2.1837858234048056e-06
1	Brain_small_vessel_disease_1_with_or_without_ocular_anomalies	2.1720487827861514e-06
1	Huntington_disease	2.165894007266174e-06
1	Dermatofibrosarcoma_Protuberans	2.1654444414344917e-06
1	Neoplasm_of_the_pancreas	2.1637177151184183e-06
1	Multiple_sclerosis	2.16203647517822e-06
1	Gynecomastia	2.158496102212464e-06
1	Diabetic_kidney_disease	2.1515999192746806e-06
1	Nasal_congestion	2.150925435118964e-06
1	Ischemic_disease	2.1297879166336e-06
1	B_cell_chronic_lymphocytic_leukemia	2.117848149164518e-06
1	Erectile_dysfunction	2.116429481567634e-06
1	Familial_multiple_polyposis_syndrome	2.1095084394660215e-06
1	Hypercalcemia	2.0973215114957015e-06
1	Neoplasm_of_uterus	2.0957204654574225e-06
1	Aortic_aneurysm_familial_thoracic_6	2.094722408059189e-06
1	Acute_myeloid_leukemia	2.0917773439402656e-06
