multiplex	node	score
1	Cellulitis	0.2393552544151211
1	Infantile_cortical_hyperostosis	0.0008518406060350373
1	Bacterial_infection_of_skin	0.0008386036852687746
1	Staphylococcal_infection	0.0007354624205115777
1	Osteomyelitis	0.0006691125196996994
1	Sepsis	0.0004921362178000417
1	Bacterial_endocarditis	0.0004403374341253268
1	Infection_of_bone	0.00038288466205393734
1	Lower_respiratory_tract_infection	0.0003618883022510701
1	Sinusitis	0.00034962203123650753
1	Cholangitis	0.00028863650301924637
1	Autosomal_recessive_omodysplasia	0.00024597219559882236
1	Classic_homocystinuria	0.00024432259624757887
1	Mucopolysaccharidosis,_MPS-I-H/S	0.00024423148862693733
1	Hernia	0.00024423148862693733
1	Mucopolysaccharidosis,_MPS-III-C	0.00024423148862693733
1	HYPERHOMOCYSTEINEMIA,_THROMBOTIC,_CBS-RELATED	0.00024423148862693733
1	Autosomal_dominant_limb-girdle_muscular_dystrophy_type_1F	0.00024423148862693733
1	Scarring	0.00024423148862693733
1	Lymphatic_malformation_3	0.00023879194929684068
1	Aspartylglucosaminuria	0.00023667991460719613
1	Mucopolysaccharidosis_type_6	0.00023450650423702588
1	Fucosidosis	0.0002326140748676887
1	Epididymitis	0.0002222347279195378
1	Pneumonia	0.00020391782104062743
1	SLC35A1_congenital_disorder_of_glycosylation	0.00019857977795824247
1	Connective_tissue_nevi	0.00019750523169624395
1	Otitis_media	0.00018170017805536624
1	Congenital_mesoblastic_nephroma	0.00017512234717698873
1	Hurler_syndrome	0.00017166827218833089
1	Diarrhea	0.00013205445917210048
1	Allergic_rhinitis	0.00013201033088751897
1	Encephalitis	0.00012627554473276272
1	Urticaria	8.72092689421441e-05
1	X_linked_agammaglobulinemia	8.673562557975328e-05
1	Knuckle_pads_deafness_AND_leukonychia_syndrome	8.404698852064627e-05
1	Osteogenesis_imperfecta_type_III	8.309472290871614e-05
1	Congestive_heart_failure	8.285509195796336e-05
1	Bronchiolitis	8.274410118874904e-05
1	Autosomal_dominant_nonsyndromic_hearing_loss_3A	8.204660563074581e-05
1	Ehlers_Danlos_syndrome_classic_type_1	7.689791746281627e-05
1	Prostatitis	7.483109046206304e-05
1	Osteogenesis_imperfecta_type_I	7.459786334056598e-05
1	Osteogenesis_imperfecta_perinatal_lethal	7.253453840204095e-05
1	Osteogenesis_imperfecta_with_normal_sclerae_dominant_form	6.962679980007888e-05
1	Deafness_digenic_GJB2/GJB6	6.38823540955479e-05
1	Acne_inversa	5.8840468332017047e-05
1	Fracture_hip_susceptibility_to	5.8731449943056504e-05
1	Dermatofibrosarcoma_Protuberans	5.612644645696305e-05
1	Exanthem	4.6186465928533895e-05
1	Corneal_ulceration	4.5159361469274156e-05
1	Recurrent_E._coli_infections	4.328903737389388e-05
1	Vitiligo	4.138230314356208e-05
1	Fever	3.8448731653262365e-05
1	Meningitis	3.6904134635737296e-05
1	Gastroesophageal_reflux_disease	3.6762231687135045e-05
1	Pulmonary_embolism	3.639586293600813e-05
1	Ichthyosis	3.6211552110801965e-05
1	Urinary_bladder_inflammation	3.6149111412483625e-05
1	Gingivostomatitis	3.4107468285342365e-05
1	Hemangioma	3.370499771446936e-05
1	Pulmonary_arterial_hypertension	3.2362893628278444e-05
1	Heartburn	3.181998354284334e-05
1	Meningococcal_meningitis	3.087464518311546e-05
1	Paronychia	3.0306700639758885e-05
1	Infectious_disease_of_lung	3.006839354952186e-05
1	Peritonitis	2.827425931684396e-05
1	Myelodysplastic_syndrome	2.8067876689514476e-05
1	Pyelonephritis	2.6143984770961574e-05
1	Immunodeficiency	2.469258607583162e-05
1	Erysipelas	2.3526620690784748e-05
1	Tuberculosis	2.3352012605189678e-05
1	Urinary_tract_infectious_disease	2.3182011175315518e-05
1	Periodontitis	2.2472006137055454e-05
1	Hypogonadotropic_hypogonadism	2.241309958888999e-05
1	Kidney_failure	2.191903475007781e-05
1	IgE_mediated_allergic_disorder	2.1792012307475372e-05
1	Streptococcal_pneumonia	2.144232149424754e-05
1	Parkinsonian_disorder	2.0015076914025435e-05
1	Alopecia	1.9935732980035494e-05
1	Brain_abscess	1.8736318287099034e-05
1	Headache	1.8646756286894876e-05
1	Dacryocystitis	1.851875973501955e-05
1	Hypotension	1.8516090785037667e-05
1	Tremor	1.803414602873798e-05
1	Renal_cell_carcinoma	1.7214277598329823e-05
1	Pleural_effusion	1.673726687393833e-05
1	Rhinitis	1.6722343931105926e-05
1	Blindness	1.6674879729910308e-05
1	Duodenal_ulcer	1.5934483097355136e-05
1	Pruritus	1.5000391812506333e-05
1	Prostate_neoplasm	1.471162808704334e-05
1	Rosacea	1.3774700015739624e-05
1	Myositis_disease	1.3523968855231408e-05
1	Autoimmune_disease	1.3506024114645741e-05
1	Chronic_bronchitis	1.3382911876235122e-05
1	gastroenteritis	1.3376445209362722e-05
1	Nevus_sebaceous	1.3305895920227569e-05
1	Epidermal_nevus	1.2590073093563115e-05
1	Heart_block	1.2502543219977486e-05
1	Chlamydial_infection	1.2492601289369617e-05
1	Meningococcal_infection	1.2403590537235243e-05
1	Hyperemia	1.1666511243508868e-05
1	Allergy	1.1248596868608474e-05
1	Asthma	1.1041343483608985e-05
1	Conjunctivitis	1.093439497947766e-05
1	Enterocolitis	1.0779987803512174e-05
1	Acne	1.0651303116294111e-05
1	Keratitis	1.0432658598913493e-05
1	Ventricular_arrhythmia	9.882530620150684e-06
1	Bradycardia	9.862548946662528e-06
1	Parkinson_disease	9.478563467221e-06
1	Myopathy	9.385882759105395e-06
1	Clear_cell_carcinoma_of_kidney	9.341976526855407e-06
1	Pancreatitis	9.305669437836555e-06
1	Priapism	9.204994253649602e-06
1	Psoriasis	9.159868095223006e-06
1	Nephroblastoma	8.768876374040718e-06
1	Skin_ulcer	8.642814276937728e-06
1	NONPAPILLARY_RENAL_CARCINOMA_1_LOCUS	8.61050864903379e-06
1	Arthritis	8.543522942712068e-06
1	Dermatographic_urticaria	8.471212296320313e-06
1	Enteritis	8.360477103866945e-06
1	Thyroiditis	8.228410945523058e-06
1	Gingival_disorder	8.114968232752303e-06
1	Keloid	8.052006285102127e-06
1	Osteogenesis_imperfecta	7.962936295907665e-06
1	Chronic_diarrhea	7.930906236768542e-06
1	Diaphyseal_dysplasia	7.721518187750495e-06
1	Rickettsiosis	7.656969937177915e-06
1	Nasal_congestion	7.542022474442326e-06
1	Varicose_disease	7.3780856301268604e-06
1	Nephrotic_syndrome	7.181178538136174e-06
1	Premature_birth_of_newborn	6.65726139503948e-06
1	Hypertensive_disorder	6.4008557601078786e-06
1	Dermatitis	6.208085094526606e-06
1	Fibrosarcoma	6.138119776733497e-06
1	Eczematoid_dermatitis	6.12707930044427e-06
1	Uveitis	6.12145893194284e-06
1	Nevus_flammeus	6.092377751509502e-06
1	Atypical_nevus	6.092377751509502e-06
1	Large_congenital_melanocytic_nevus	6.092377751509502e-06
1	Nevus_of_Ota	6.092377751509502e-06
1	Perennial_allergic_rhinitis	6.051524714498458e-06
1	Erythroderma	6.036818642775795e-06
1	Osteoarthritis	5.731226284410689e-06
1	Cirrhosis_of_liver	5.709365254980828e-06
1	Blepharitis	5.66790300579887e-06
1	Seasonal_allergy	5.546314440261767e-06
1	Stomatitis	5.431577618568333e-06
1	Urinary_urgency	5.2956945484917e-06
1	Hepatoblastoma	5.288772794709706e-06
1	Retinoblastoma	5.264808755195046e-06
1	Bronchiectasis	5.145370064188988e-06
1	Ulcerative_colitis	4.979225219053167e-06
1	Cough	4.975562185049541e-06
1	Emphysema	4.946880871500255e-06
1	Pulmonary_hypertension	4.70149604924632e-06
1	Autosomal_recessive_nonsyndromic_hearing_loss_1A	4.6682012934636235e-06
1	Pollakisuria	4.621041590667629e-06
1	Anxiety	4.328580850949607e-06
1	Rheumatoid_arthritis	4.259822761099393e-06
1	Urinary_incontinence	4.251193022478948e-06
1	Rhabdomyosarcoma_1	4.1741681632291356e-06
1	Respiratory_insufficiency	4.168771827778196e-06
1	Neoplasm_of_the_skin	4.16225465673062e-06
1	Hypogammaglobulinemia_X_linked	4.1483923108842366e-06
1	Pain	4.0632073052765605e-06
1	Nephritis	4.059914129663796e-06
1	Inflammatory_bowel_disease	4.045522644162588e-06
1	Alzheimer_disease	4.016046816764735e-06
1	Deafness_digenic_GJB2/GJB3	3.999240972209378e-06
1	Nausea_and_vomiting	3.959037394839425e-06
1	Neurogenic_bladder	3.880481276556825e-06
1	Cholecystitis	3.875185255131871e-06
1	Renal_cell_carcinoma,_Xp11-associated	3.7530763754154096e-06
1	Oncocytoma_of_kidney	3.7530763754154096e-06
1	Pulmonary_fibrosis	3.7487738860460324e-06
1	Hyperkeratosis	3.7077984718177895e-06
1	Neoplasm_of_the_pancreas	3.6795077200538346e-06
1	Hepatic_encephalopathy	3.667236149928962e-06
1	Iridocyclitis	3.638544416775434e-06
1	Arthralgia	3.625522109324615e-06
1	Lymphoma	3.357222011973544e-06
1	Aphthous_stomatitis	3.353436962862812e-06
1	Obesity	3.3424082313202584e-06
1	Nasal_polyposis	3.296287485375963e-06
1	Interstitial_cystitis	3.2951474300035977e-06
1	Angioedema	3.232381520986349e-06
1	Myocardial_infarction	3.2253420571532984e-06
1	Abnormal_joint_morphology	3.212603849074832e-06
1	Rhabdomyolysis	3.212603849074832e-06
1	Osteochondrodysplasia	3.212603849074832e-06
1	Muscular_dystrophy	3.212603849074832e-06
1	Hyperostosis	3.212603849074832e-06
1	Calcinosis	3.212603849074832e-06
1	Hemorrhage	3.202705418422331e-06
1	Cardiac_arrhythmia	3.1810662046867283e-06
1	Dry_eye_syndrome	3.1353233439384244e-06
1	Vomiting	3.0807915059252283e-06
1	Premature_ovarian_insufficiency	3.045227243749257e-06
1	Atopic_eczema	3.044260169259222e-06
1	Keratoconjunctivitis_sicca	3.0237872545464263e-06
1	Glaucoma	3.0113853953463553e-06
1	Excessive_salivation	2.9864044875078384e-06
1	Dyskinesia	2.939894215234887e-06
1	Schizophrenia	2.9373688588673706e-06
1	Anemia	2.8890661332849362e-06
1	Systemic_sclerosis	2.879320222428629e-06
1	Systemic_lupus_erythematosus	2.879028901556453e-06
1	Peptic_ulcer	2.8715489540474274e-06
1	Acne_inversa_familial_1	2.8690283911808082e-06
1	Vertigo	2.8666127889206647e-06
1	Crohn_disease	2.8593463887983913e-06
1	Psoriatic_arthritis	2.8176869912455333e-06
1	Disorder_of_lung	2.7758194907802503e-06
1	Breast_neoplasm	2.7723095786537527e-06
1	Dystonic_disorder	2.7592669474530695e-06
1	Amyloidosis	2.741829243014993e-06
1	Palmoplantar_keratosis	2.7296809716621722e-06
1	Celiac_disease	2.728598856322773e-06
1	Primary_dilated_cardiomyopathy	2.7258294368715896e-06
1	Laryngeal_edema	2.7131167431075497e-06
1	Hyperpigmentation_of_the_skin	2.7052231579486206e-06
1	Contact_dermatitis	2.6852242335975947e-06
1	Denervation_atrophy_of_muscle	2.683481632479807e-06
1	Muscular_atrophy	2.683481632479807e-06
1	Teratoma	2.6758755714719507e-06
1	Diabetes_mellitus	2.6633367938305115e-06
1	Skin_disorder	2.659986916218592e-06
1	Primary_cutaneous_T_cell_lymphoma	2.608796915907666e-06
1	Gastrointestinal_hemorrhage	2.604738708127969e-06
1	Extrapyramidal_disease	2.5822339281617827e-06
1	Esophagitis	2.577543249245103e-06
1	Depression	2.56039497094143e-06
1	Dysuria	2.5556560402504576e-06
1	Multiple_endocrine_neoplasia	2.5284268054604623e-06
1	Gastritis	2.5169816676378555e-06
1	Mastocytosis	2.5109625771336057e-06
1	Disorder_of_orbital_region	2.48600846043578e-06
1	Fatigue	2.4654684205113836e-06
1	MHC_class_I_deficiency	2.462861636587928e-06
1	Bipolar_affective_disorder	2.455992758563991e-06
1	Systemic_mast_cell_disease	2.4498422090617846e-06
1	Myalgia	2.44361212778285e-06
1	Edema	2.43401980830996e-06
1	Malignant_lymphoma_large_B_cell_diffuse	2.429775661846321e-06
1	Cystic_fibrosis	2.4156227404482364e-06
1	Heart_failure	2.414992516712313e-06
1	Oral_ulcer	2.411222601107689e-06
1	Myasthenia_gravis	2.352449224834581e-06
1	Primary_adrenocortical_insufficiency	2.3465980635771144e-06
1	Osteoporosis	2.3276570459847174e-06
1	Homocystinuria	2.3143116993204057e-06
1	Osteosarcoma	2.3102254470443045e-06
1	Diamond_Blackfan_anemia	2.303510671258659e-06
1	Hidrotic_ectodermal_dysplasia_syndrome	2.301198041218433e-06
1	Insomnia	2.285941804793511e-06
1	Stroke_disorder	2.283245834274801e-06
1	Stevens_Johnson_syndrome	2.280884797267326e-06
1	Leukemia	2.275554723445056e-06
1	Germ_cell_tumor_of_testis	2.2747512272702522e-06
1	Hypogonadism	2.2552169341255267e-06
1	Nocturia	2.2501994272298363e-06
1	Yolk_sac_tumor	2.187766081660563e-06
1	Allergic_reaction	2.182262866069193e-06
1	Aplastic_anemia	2.1812387188936706e-06
1	Migraine	2.1669913061258955e-06
1	Burkitt_lymphoma	2.1480547143291516e-06
1	Synovitis	2.1455223438368362e-06
1	Hyperlipidemia	2.1411210870655126e-06
1	Premature_ovarian_failure	2.140792496364192e-06
1	Dizziness	2.1263460362030046e-06
1	Nausea	2.124651760306635e-06
1	Spermatocytic_seminoma	2.1117086211580727e-06
1	Drug_allergy	2.096651437728064e-06
1	Sarcoma	2.0958802897848168e-06
1	Atrioventricular_block	2.090244231866758e-06
1	Hypercalcemia	2.0893670901845644e-06
1	Episcleritis	2.0885530517932475e-06
1	Chronic_discoid_lupus_erythematosus	2.084247234478835e-06
1	Embryonal_rhabdomyosarcoma	2.05188556430184e-06
1	Malnutrition	2.0512213632330446e-06
1	Dyspnea	2.04274754469676e-06
1	Facial_paralysis	2.040510499143506e-06
1	Autosomal_recessive_nonsyndromic_hearing_loss_1B	2.035747125348406e-06
1	Osteopenia	2.0288861995784945e-06
1	Sinus_bradycardia	2.002213433878476e-06
1	Proteus_syndrome	2.001183329313162e-06
1	Rhabdomyosarcoma	1.979510341273754e-06
1	Chronic_lung_disease	1.9713113967485153e-06
1	Hypertrophic_cardiomyopathy	1.9667624868575464e-06
1	Mycosis_fungoides	1.9587941252205686e-06
1	Spasticity	1.9548805350417883e-06
1	Hepatocellular_carcinoma	1.9527579239075167e-06
1	Multiple_myeloma	1.9381772591353945e-06
1	B_cell_chronic_lymphocytic_leukemia	1.9381548453448897e-06
1	Peptic_esophagitis	1.9351172749981175e-06
1	Spontaneous_Abortion	1.919397324105294e-06
1	Macular_corneal_dystrophy_type_II	1.9184881647343083e-06
1	Macular_corneal_dystrophy	1.9184881647343083e-06
1	Seizure	1.9177100798720976e-06
1	Irritable_bowel_syndrome	1.9000993162824083e-06
1	Pulmonary_edema	1.8958932518291903e-06
1	Serum_sickness	1.8904610876402785e-06
1	Liver_failure	1.8852301703102124e-06
1	Chronic_renal_failure_syndrome	1.884504583142849e-06
1	Waldenstrom_macroglobulinemia	1.879604946313649e-06
1	Chronic_obstructive_pulmonary_disease	1.8789658703178754e-06
1	Purpura	1.8772886860271614e-06
1	Constipation	1.8755997423347686e-06
1	Adenoma	1.874329013349134e-06
1	Allergic_contact_dermatitis	1.8559721552097611e-06
1	Orthostatic_hypotension	1.8333869002856303e-06
1	Congenital_adrenal_hyperplasia	1.822717491222078e-06
1	Cephalocele	1.8208025598572e-06
1	Autosomal_dominant_nonsyndromic_hearing_loss_3B	1.8037070708884736e-06
1	Insulin_resistance	1.7907410582687133e-06
1	Hypocalcemia	1.7758055399491276e-06
1	Premature_birth	1.7724624157993525e-06
1	Nongerminomatous_germ_cell_tumor	1.7723494782578517e-06
1	Wooly_hair_nevus	1.7620981352332823e-06
1	Graft_versus_host_disease	1.7546426548881808e-06
1	Cholelithiasis	1.7450546294871347e-06
1	Adrenal_insufficiency	1.740740989144055e-06
1	Melanocytic_nevus	1.740538004073375e-06
1	Nail_dystrophy	1.7318440712552972e-06
1	Ankylosing_spondylitis	1.7293904275488882e-06
1	Apnea	1.7178449626210631e-06
1	Amblyopia	1.7114077899923948e-06
1	Cardiomyopathy	1.6969710821678416e-06
1	Neoplasm_of_lung	1.690761978615375e-06
1	Narcolepsy	1.6852158874691325e-06
1	Follicular_lymphoma	1.6850720749750811e-06
1	Epilepsy	1.6753069598251e-06
1	Pituitary_adenoma	1.6722427631569061e-06
1	Coronary_artery_disorder	1.6693843162498876e-06
1	Seborrheic_dermatitis	1.6688487247891966e-06
1	Squamous_cell_carcinoma	1.6667939344785066e-06
1	Autosomal_dominant_nonsyndromic_hearing_loss_2B	1.6573906593188402e-06
1	Prolactin_producing_pituitary_gland_adenoma	1.651276050699384e-06
1	Dysmenorrhea	1.6492757520699316e-06
1	Transgrediens_et_progrediens_palmoplantar_keratoderma	1.6457405763078118e-06
1	Psychotic_disorder	1.6438971364978324e-06
1	Acromegaly	1.6424641555589924e-06
1	Gastric_ulcer	1.6418810974610297e-06
1	Open_angle_glaucoma	1.6400215256658382e-06
1	Hashimoto_thyroiditis	1.6222502131411865e-06
1	Cerebral_edema	1.6131167051357078e-06
1	Juvenile_idiopathic_arthritis	1.6062841308932469e-06
1	Exudative_vitreoretinopathy_4	1.5976894402079442e-06
1	Autosomal_dominant_osteopetrosis_1	1.5976894402079442e-06
1	Cardiac_arrest	1.5975001233908831e-06
1	Dysthymic_disorder	1.5959509410755596e-06
1	Alstrom_syndrome	1.5928335053998096e-06
1	Giant_cell_arteritis	1.5859365879694118e-06
1	Thrombocytopenia	1.5752477898294911e-06
1	Keratosis_palmoplantaris_transgrediens_et_progrediens	1.5706063148042157e-06
1	Erythrokeratodermia_variabilis_et_progressiva_1	1.5690125440785686e-06
1	Ventricular_fibrillation	1.568625807864832e-06
1	Testicular_teratoma	1.5607109614630708e-06
1	Erythema_nodosum	1.5586221871841417e-06
1	Pemphigus	1.554301741341161e-06
1	Decreased_circulating_vitamin_D_concentration	1.5466178979764024e-06
1	Zollinger_Ellison_syndrome	1.545009110554276e-06
1	Non_Hodgkin_lymphoma	1.537888922105923e-06
1	Seminoma	1.5217933897122647e-06
1	Adrenal_cortical_hypofunction	1.519212574670479e-06
1	Hereditary_spastic_paraplegia_44	1.5153499628090197e-06
1	Paroxysmal_supraventricular_tachycardia	1.4994489824158782e-06
1	Sarcoidosis	1.481847103514747e-06
1	Lymphoid_leukemia	1.4815482228223876e-06
1	Ascites	1.4661224891439094e-06
1	Arthropathy	1.4603109724435687e-06
1	Hypokalemia	1.4463148291041117e-06
1	Hypoglycemia	1.4452670279347158e-06
1	Mydriasis	1.4444546301046239e-06
1	Pontocerebellar_hypoplasia_type_2D	1.441658781123046e-06
1	Neoplasm_of_the_large_intestine	1.4411369916888026e-06
1	Gout	1.438579845174071e-06
1	Intermediate_coronary_syndrome	1.428416275310716e-06
1	Senior_Loken_syndrome_7	1.427870477962069e-06
1	Torsades_de_pointes	1.4263944209694422e-06
1	Beta_thalassemia_major	1.4252453848083807e-06
1	Supraventricular_tachycardia	1.416565592281578e-06
1	Alopecia_areata	1.4102573759959703e-06
1	Thrombotic_disease	1.3960698474614784e-06
1	Facial_dermatosis	1.3817180391923791e-06
1	Wilson_disease	1.3794197925996098e-06
1	Cardiogenic_shock	1.3725623121831407e-06
1	Autoimmune_hemolytic_anemia	1.3598168229970996e-06
1	Ischemic_encephalopathy	1.3597056482435713e-06
1	Type_2_diabetes_mellitus	1.3586313334314484e-06
1	Neoplasm_of_esophagus	1.3490111848631192e-06
1	Carcinoid_tumor	1.3445749978507278e-06
1	Ewing_sarcoma	1.3424997352382677e-06
1	Abdominal_pain	1.3412560311493675e-06
1	Dilated_cardiomyopathy_1U	1.3406732032372669e-06
1	Hypoplastic_anemia	1.327783839160495e-06
1	Pheochromocytoma	1.3244014709084304e-06
1	Status_epilepticus	1.3221844883234472e-06
1	Adult_acute_respiratory_distress_syndrome	1.3191416513475291e-06
1	X_linked_lymphoproliferative_disease_due_to_XIAP_deficiency	1.310406960545335e-06
1	Multiple_sclerosis	1.3092305026558496e-06
1	Cancer_of_the_pancreas	1.3088387016003625e-06
1	Hyperaldosteronism	1.3020151788407488e-06
1	Gouty_arthropathy	1.2983216418087866e-06
1	Aicardi_Goutieres_syndrome_7	1.2879615557899819e-06
1	Renovascular_hypertension	1.282257384287631e-06
1	Sinoatrial_block	1.2641674757847794e-06
1	Vitamin_K_deficiency	1.2632071955362563e-06
1	Ichthyosis_vulgaris	1.2605894431636105e-06
1	Major_depressive_disorder	1.2545070458407016e-06
1	EMBRYONAL_CELL_CARCINOMA	1.2514195640746025e-06
1	Dermatomyositis	1.243735230576284e-06
1	Biliary_cirrhosis	1.2366999337127675e-06
1	Pericarditis	1.2301048247821778e-06
1	Meier_Gorlin_syndrome_2	1.2289310741554016e-06
1	Neuroblastoma	1.2225424489806337e-06
1	Hereditary_insensitivity_to_pain_with_anhidrosis	1.2209903257053425e-06
1	Erectile_dysfunction	1.2157349031613066e-06
1	Classic_Hodgkin_lymphoma	1.2080000039506378e-06
1	Acute_lymphoid_leukemia	1.2004348688444432e-06
1	Paroxysmal_atrial_fibrillation	1.198602240622273e-06
1	Bare_Lymphocyte_Syndrome_Type_II_Complementation_Group_D	1.1984119997397935e-06
1	Hyperglycemia	1.1909451280810173e-06
1	Common_variable_immunodeficiency	1.1834188547777653e-06
1	Hypothyroidism	1.1821915021043712e-06
1	Bare_lymphocyte_syndrome_type_2_complementation_group_E	1.1761226478242485e-06
1	Bare_lymphocyte_syndrome_type_2_complementation_group_A	1.1761226478242485e-06
1	Bare_lymphocyte_syndrome_type_II_complementation_group_B	1.1761226478242485e-06
1	Bare_lymphocyte_syndrome_type_II_complementation_group_c	1.1761226478242485e-06
1	MHC_class_II_deficiency	1.1761226478242485e-06
1	Ventricular_tachycardia	1.1726414888719393e-06
1	Malignant_tumor_of_breast	1.1721206154860708e-06
1	Neoplasm_of_the_pituitary_gland	1.1691683025969308e-06
1	Premature_ventricular_contraction	1.1678305076066375e-06
1	Carious_teeth	1.167168740458762e-06
1	Hemorrhoid	1.164034285514157e-06
1	Hereditary_spastic_paraplegia_49	1.1587438009435632e-06
1	Postoperative_complication	1.1542455321554156e-06
1	Acute_myeloid_leukemia	1.1501953166466493e-06
1	Premature_labor	1.1499884342898445e-06
1	Melanoma	1.1439839632095144e-06
1	Low_phospholipid_associated_cholelithiasis	1.1392264845167021e-06
1	Atrial_fibrillation	1.1380194029289576e-06
1	Menorrhagia	1.1345152413664377e-06
1	Thanatophoric_dysplasia_type_1	1.118064081064167e-06
1	Alzheimer_disease_familial_3_with_spastic_paraparesis_and_apraxia	1.1147021622053425e-06
1	Glioma	1.1145415201431724e-06
1	Scleroderma	1.1111488865383393e-06
1	Hereditary_lymphedema_type_I	1.0949655141927923e-06
1	Branchiooculofacial_syndrome	1.0787929032491595e-06
1	Back_pain	1.078000696401581e-06
1	Congenital_alveolar_dysplasia	1.0770042507752469e-06
1	Diabetic_neuropathy	1.06892822071168e-06
1	Neuralgia	1.0566224163428908e-06
1	Pachyonychia_congenita_2	1.0564084215807306e-06
1	Drowsiness	1.0527720047844533e-06
1	Atrial_flutter	1.0463597498994446e-06
1	Urinary_retention	1.0419726022424497e-06
1	Postherpetic_neuralgia	1.0411189679208196e-06
1	X_linked_chondrodysplasia_punctata_1	1.035372713147731e-06
1	Chronic_neutrophilic_leukemia	1.0190736803488377e-06
1	Hyperprolactinemia	1.0084461234862108e-06
1	Leukocyte_adhesion_deficiency_type_II	1.0074511822373173e-06
1	Vitamin_D_dependent_rickets_type_II_with_alopecia	1.0061508998505573e-06
1	Colitis	9.979921159965865e-07
