multiplex	node	score
1	Cervical_cancer	0.24374012183064878
1	Spondylolisthesis	0.0013834071931355313
1	Charcot-Marie-Tooth_disease,_axonal,_with_vocal_cord_paresis,_autosomal_recessive	0.0013834071931355313
1	Hereditary_spastic_paraplegia_53	0.0013834071931355313
1	Spondylolysis	0.0012652380696652093
1	Small_Cell_Neuroendocrine_Carcinoma	0.0005413459204453193
1	Non_small_cell_lung_carcinoma	0.000509997217437857
1	Small_cell_lung_carcinoma	0.0003957960911724987
1	Ovarian_cancer	0.00038788939153529245
1	Neoplasm_of_ovary	0.00030042741379838
1	Malignant_tumor_of_urinary_bladder	0.00028637006514364345
1	Neoplasm_of_stomach	0.00020187353013481553
1	Multiple_myeloma	0.0001949261911443925
1	Back_pain	0.00019295241565792025
1	Thanatophoric_dysplasia_type_1	0.0001256049162074262
1	Thanatophoric_dysplasia_type_2	0.00011488634853275677
1	Achondroplasia	0.00011032950957658346
1	Levy_Hollister_syndrome	9.940520654411956e-05
1	Germ_cell_tumor_of_testis	9.848425512867993e-05
1	Dacryocystitis	9.128979302516454e-05
1	EMBRYONAL_CELL_CARCINOMA	8.936878097424078e-05
1	Wooly_hair_nevus	8.463996896222784e-05
1	Corneal_ulceration	8.334897085882159e-05
1	Yolk_sac_tumor	8.284297001624592e-05
1	Seminoma	8.253780499604565e-05
1	Generalized_onset_seizure	8.079926788914206e-05
1	Nongerminomatous_germ_cell_tumor	8.015619766703477e-05
1	Spermatocytic_seminoma	7.616284359658496e-05
1	Epidermal_nevus	7.544536831839903e-05
1	Nevus_sebaceous	6.96685441909878e-05
1	Bladder_neoplasm	6.413840199059197e-05
1	Xerostomia	6.185664077878353e-05
1	Increased_intracranial_pressure	5.818000995903809e-05
1	Transitional_cell_carcinoma	5.401735007642801e-05
1	Breast_carcinoma	5.2524682497209925e-05
1	Otitis_media	4.96893299065695e-05
1	Neoplasm_of_the_pancreas	4.184961602011865e-05
1	Neoplasm_of_lung	4.1635777093617926e-05
1	Sarcoma	3.861554355132054e-05
1	Carcinoma_Pancreatic_Ductal	3.7742343140531816e-05
1	Nephroblastoma	3.652242707191337e-05
1	Prostate_neoplasm	3.593984314671761e-05
1	Adenocarcinoma	3.348739911217264e-05
1	Malignant_tumor_of_breast	3.30103113483695e-05
1	Squamous_cell_carcinoma_of_the_head_and_neck	3.25299569623854e-05
1	Breast_neoplasm	3.2336648254922286e-05
1	Astrocytoma	3.1003201150429275e-05
1	Metastasis	3.088692704622782e-05
1	Neoplasm_of_esophagus	2.9295867650535e-05
1	Renal_cell_carcinoma	2.9158299980281607e-05
1	Mesothelioma	2.7021413802868277e-05
1	Idiopathic_Pulmonary_Fibrosis	2.65869751441831e-05
1	Osteosarcoma	2.6116785390595125e-05
1	Testicular_neoplasm	2.5248219492936965e-05
1	Rectal_neoplasm	2.3808682767893306e-05
1	Lymphoma	2.3438885603056195e-05
1	Non_Hodgkin_lymphoma	2.3138283104164034e-05
1	Melanoma	2.2781998028656118e-05
1	Pancreatic_adenocarcinoma	2.27556679159076e-05
1	Endometriosis	2.237529157984977e-05
1	Essential_thrombocythemia	2.2226676846203085e-05
1	Head_and_neck_neoplasm	2.181974358077438e-05
1	Malignant_lymphoma_large_B_cell_diffuse	1.9891201989435713e-05
