multiplex	node	score
1	Cholelithiasis	0.24105232313187633
1	Cholesterol_gallstones	0.0015021442516336978
1	Cholestanol_storage_disease	0.0012618726833418118
1	Biliary_cirrhosis	0.0009629878723549271
1	Cholecystitis	0.0009191349032379009
1	Bladder_exstrophy	0.0008738323686283232
1	Bladder_stones	0.0008738323686283232
1	Diverticulum_of_bladder	0.0008738323686283232
1	Primary_biliary_cholangitis	0.0008330876333595412
1	Neoplasm_of_the_gallbladder	0.0008146120055474984
1	Bladder_fistula	0.000757922944459671
1	Disorder_of_biliary_tract	0.0006698731480107996
1	Zellweger_spectrum_disorders	0.0006617261319314293
1	Peroxisomal_disorder	0.000658026693163408
1	Urinary_bladder_inflammation	0.0004954702962332069
1	Constipation	0.0003751150400929463
1	Pancreatitis	0.0003296111088698141
1	Gastritis	0.00030922564698928755
1	Irritable_bowel_syndrome	0.00020333410531494958
1	Peptic_ulcer	0.00019564148144804073
1	Steinert_myotonic_dystrophy_syndrome	0.00015036025916891166
1	Congenital_dyserythropoietic_anemia_type_II	0.00013385529061650522
1	Hereditary_spherocytosis_type_1	0.00013381065701524963
1	Infection_of_bone	0.0001282298984328926
1	Protoporphyria_erythropoietic_1	0.00011838030102086964
1	Cholangitis	0.00011034823903481566
1	Glycogen_storage_disease_type_VII	0.00010889326196563221
1	Benign_recurrent_intrahepatic_cholestasis_type_2	0.00010155233259526153
1	Progressive_familial_intrahepatic_cholestasis_type_2	9.554021652211526e-05
1	Pneumonia	9.517542972020032e-05
1	Cutaneous_porphyria	9.073034409031457e-05
1	Low_phospholipid_associated_cholelithiasis	8.847573958899044e-05
1	Baldness_male_pattern	8.151384394137519e-05
1	Cholangiocarcinoma	7.602483544875956e-05
1	Nephritis	7.016119302450732e-05
1	Stomatitis	6.928914029362971e-05
1	Cholestasis_intrahepatic_of_pregnancy_3	6.73605743704782e-05
1	Dominant_beta_thalassemia	6.53669889597238e-05
1	Progressive_familial_intrahepatic_cholestasis_type_3	6.475816002688356e-05
1	Diarrhea	6.27527488612297e-05
1	Schizophrenia	5.9025731624487805e-05
1	Obstructive_jaundice	5.901870157293721e-05
1	Priapism	5.892018875781489e-05
1	Beta_thalassemia_major	5.547564195710943e-05
1	Anaphylaxis	5.315349203685425e-05
1	Velocardiofacial_syndrome	5.289672818212125e-05
1	Epilepsy	5.0062934294314504e-05
1	TAKAO_VCF_SYNDROME	4.8793144777378534e-05
1	DiGeorge_syndrome	4.377744035681709e-05
1	Methemoglobinemia	4.212298864009402e-05
1	Keratoconjunctivitis	4.195230110880296e-05
1	Aortic_arch_interruption	4.0852444353871476e-05
1	Persistent_truncus_arteriosus	4.083734267043683e-05
1	Double_outlet_right_ventricle	4.02744854698685e-05
1	Conotruncal_heart_malformations	3.959451458301707e-05
1	Gouty_arthropathy	3.6883011246787714e-05
1	beta_Thalassemia	3.485866119393398e-05
1	Amblyopia	3.470793095305007e-05
1	Osteomyelitis	3.345220026835482e-05
1	Gout	3.199394912853732e-05
1	Hb_SS_disease	3.12594118588484e-05
1	Sinusitis	3.0495683346722644e-05
1	Hyperuricemia	3.006484504862637e-05
1	Duodenal_ulcer	2.9902604388453225e-05
1	Leukocytosis	2.7850587973570527e-05
1	Vitiligo	2.7195450567566556e-05
