multiplex	node	score
1	Coronary_artery_disorder	0.23753247976699238
1	Peripheral_arterial_disease	0.0013930210545385748
1	Atherosclerosis	0.0013455855406747607
1	Hypertriglyceridemia_1	0.0010576143365879996
1	Peripheral_vascular_disease	0.000963809144921926
1	Pulmonary_venous_occlusion	0.00040686008154978444
1	Pulmonary_artery_stenosis	0.00040686008154978444
1	Scimitar_syndrome	0.00040686008154978444
1	Coronary_artery_stenosis	0.00040686008154978444
1	Pulmonary_venoocclusive_disease	0.00040686008154978444
1	Idiopathic_spontaneous_coronary_artery_dissection	0.00040686008154978444
1	Pulmonary_valve_atresia	0.00040686008154978444
1	Essential_hypertension	0.0004065676907886515
1	Diabetic_kidney_disease	0.00039879176372051105
1	Hyperlipoproteinemia	0.0003613394512761486
1	Dyskeratosis_congenita,_autosomal_dominant_2	0.0003601851167077506
1	Carotid_artery_stenosis	0.0003601851167077506
1	Ureteropelvic_junction_obstruction	0.0003601851167077506
1	Autosomal_recessive_dyskeratosis_congenita_4	0.0003433011326843466
1	Urethral_stenosis	0.00033817861939238776
1	Infertility_disorder	0.0003355501592186905
1	Ventricular_tachycardia	0.0003227437553090202
1	Hyperlipidemia	0.0003082094153766982
1	Hypertensive_disorder	0.00024352211387491707
1	Coronary_heart_disease	0.00023344538841834107
1	Stroke_disorder	0.00021791251566999283
1	Pulmonary_hypertension	0.000198962412536988
1	Acute_coronary_syndrome	0.00018157960221737535
1	Atrial_fibrillation	0.00017125139499945145
1	Angina_pectoris	0.0001711731337323443
1	Glaucoma	0.00016096965123667958
1	Gastroesophageal_reflux_disease	0.00015246010530711978
1	Malnutrition	0.00014208395001805087
1	Skin_ulcer	0.00013686549747955602
1	Congestive_heart_failure	0.00013393677967113514
1	Homozygous_familial_hypercholesterolemia	0.00012068314123238784
1	Gallbladder_disease_4	0.0001173759035754745
1	Edema	0.00011719570858409479
1	Thrombotic_disease	0.00011490108110262457
1	Erectile_dysfunction	0.00011429865741766548
1	Familial_type_3_hyperlipoproteinemia	0.00011118827504111156
1	Hyperlipoproteinemia_type_IV	0.00011038641828859325
1	Premature_labor	0.00010647642332226455
1	Arteriosclerosis_disorder	0.00010220629071884646
1	Familial_type_5_hyperlipoproteinemia	9.731969660424625e-05
1	Sitosterolemia	9.2991647361778e-05
1	Hypercholesterolemia_autosomal_dominant_type_B	8.507294523585287e-05
1	Asthma	8.076824502886869e-05
1	Intermediate_coronary_syndrome	7.99050865324285e-05
1	Thromboembolism	7.522442887410193e-05
1	Renal_artery_stenosis	7.184778967882062e-05
1	Atrial_flutter	7.112382927307218e-05
1	Aortic_aneurysm_familial_thoracic_8	7.04486147695838e-05
1	Cerebral_infarction	6.424620701164887e-05
1	Cardiomyopathy_right_ventricular_dilated	6.279796592768373e-05
1	Paroxysmal_atrial_fibrillation	5.96223577040176e-05
1	Uhl_anomaly	5.92454350346081e-05
1	Arrhythmogenic_right_ventricular_dysplasia_1	5.921487070521002e-05
1	Aortic_aneurysm_familial_thoracic_4	5.854537819819292e-05
1	Scleroderma	5.327456320623723e-05
1	Loeys_Dietz_syndrome_4	5.032843954778491e-05
1	Loeys_Dietz_syndrome_1	5.000069068803992e-05
1	Emphysema	4.94275190975121e-05
1	Duodenal_ulcer	4.896779982130429e-05
1	Breast_neoplasm	4.872609730328076e-05
1	Aneurysm_osteoarthritis_syndrome	4.823662288470769e-05
1	Cirrhosis_of_liver	4.8095920461672986e-05
1	Leiomyoma	4.751426417598125e-05
1	Venous_thrombosis	4.73685156647333e-05
1	Aortic_aneurysm_familial_thoracic_7	4.6772849430293125e-05
1	Familial_hypercholesterolemia	4.621334107012506e-05
1	Hypercholesterolemia	4.5416095916296844e-05
1	Gastrointestinal_hemorrhage	4.374433476318869e-05
1	Myocardial_infarction	4.224967577423523e-05
1	Lithiasis	4.172277973767051e-05
1	Tetany	4.065019520826282e-05
1	Familial_hyperaldosteronism_type_III	3.9680347200013585e-05
1	Oral_ulcer	3.9573609713352074e-05
1	Male_hypogonadism	3.92144896776911e-05
1	Hyperglycemia	3.911446999536389e-05
1	Systemic_lupus_erythematosus	3.889241907699793e-05
1	Crohn_disease	3.882031160020502e-05
1	Peptic_ulcer	3.752133956347051e-05
1	Weill_Marchesani_syndrome_2_dominant	3.734325556385955e-05
1	Gastric_ulcer	3.711208247275018e-05
1	Contact_dermatitis	3.688908454535504e-05
1	Marfan_syndrome	3.455669783398947e-05
1	Preeclampsia	3.413004310223823e-05
1	Vomiting	3.349319801783188e-05
1	Moyamoya_disease_5	3.308429689923392e-05
1	Hb_SS_disease	3.2481560712542555e-05
1	Thrombocytosis	3.2211269463859924e-05
1	Aortic_aneurysm_familial_thoracic_6	3.2004408722316084e-05
1	Nephrotic_syndrome	3.1909761417462516e-05
1	Bladder_neck_obstruction	3.078917062108548e-05
1	Ochoa_syndrome	3.047181624930243e-05
1	Diabetes_mellitus	3.0052929870037655e-05
1	Kidney_failure	2.931085277360691e-05
1	Osteoarthritis_knee	2.9142706285141496e-05
1	Preeclampsia/eclampsia_1	2.8633022252907516e-05
1	Coarctation_of_aorta	2.8402163052612563e-05
1	Ascites	2.805752416662078e-05
1	Pulmonary_arterial_hypertension	2.8038776266395983e-05
1	Sinusitis	2.739857520000681e-05
1	Gaucher_disease	2.738560200830138e-05
1	Thrombocythemia_1	2.7333930350387913e-05
1	Neuroblastoma	2.609258880759966e-05
1	Chronic_schizophrenia	2.5494759539748167e-05
1	HELLP_syndrome	2.538726638870161e-05
1	Gingivostomatitis	2.5315156417276935e-05
1	Abnormal_heart_morphology	2.5130604933589632e-05
1	Hyperlipidemia_familial_combined_LPL_related	2.486222808846602e-05
1	Hypoalphalipoproteinemia	2.4670423144429783e-05
1	Bronchiectasis	2.4309307884904614e-05
1	Paroxysmal_dyspnea	2.424065382614313e-05
1	Lymphoid_leukemia	2.4235703342607064e-05
1	Abnormal_left_ventricular_function	2.4086548249594133e-05
1	Endometriosis	2.4085505890304952e-05
1	Cardiac_arrhythmia	2.3858256907985565e-05
1	Dyslipidemia	2.357749709579947e-05
1	Carcinoma_of_esophagus	2.3366597012666466e-05
1	Hypertension_pregnancy_induced	2.3176154231210898e-05
1	Meningitis	2.2986302136917078e-05
1	Facial_paralysis	2.2264491726537017e-05
1	Congenital_muscular_dystrophy_due_to_LMNA_mutation	2.2087727273306825e-05
1	Acute_myelomonocytic_leukemia_M4	2.192572456017389e-05
1	Heart_failure	2.189688449156637e-05
1	Type_2_diabetes_mellitus	2.175496918761412e-05
1	Charcot_Marie_Tooth_disease_type_2B1	2.1146491157709783e-05
1	Ventricular_arrhythmia	2.094793376815443e-05
1	Pulmonary_edema	2.0706574557485818e-05
1	Hyperemia	2.070556747384842e-05
1	Glucose_intolerance	2.0687616529513406e-05
1	Uveitis	2.0601846452637835e-05
1	Hyperparathyroidism	2.0230702521905444e-05
1	Left_heart_failure	2.022065554034004e-05
