multiplex	node	score
1	Diabetes_mellitus_type_1	0.2398617424420702
1	Hyperglycemia	0.0025559616559676303
1	Type_2_diabetes_mellitus	0.002551899197873389
1	Hypoinsulinemia	0.0011334346521224825
1	Type_1_diabetes_mellitus_1	0.000789791085590683
1	Hypoglycemia	0.0005775716948704493
1	Type_1_diabetes_mellitus_20	0.0004971215075563616
1	Diabetes_mellitus	0.0004922223295346326
1	Insulin_resistance	0.0004701494387662936
1	Maturity-onset_diabetes_of_the_young_type_10	0.00017009914463521147
1	Insulin_resistance,_susceptibility_to	0.00017009914463521147
1	Maturity-onset_diabetes_of_the_young_type_1	0.00017009914463521147
1	Maturity-onset_diabetes_of_the_young_type_3	0.00017009914463521147
1	Maturity-onset_diabetes_of_the_young_type_4	0.00017009914463521147
1	Maturity_onset_diabetes_mellitus_in_young	0.00017009914463521147
1	Maturity-onset_diabetes_of_the_young_type_9	0.00017009914463521147
1	Maturity-onset_diabetes_of_the_young_type_6	0.00017009914463521147
1	Maturity-onset_diabetes_of_the_young_type_7	0.00017009914463521147
1	TYPE_2_DIABETES_MELLITUS,_PROTECTION_AGAINST	0.00017009914463521147
1	Maturity-onset_diabetes_of_the_young_type_11	0.00017009914463521147
1	Maturity-onset_diabetes_of_the_young_type_2	0.00017009914463521147
1	Allan-Herndon-Dudley_syndrome	0.00017009914463521147
1	Celiac_disease,_susceptibility_to,_1	0.00017009914463521147
1	Type_1_diabetes_mellitus_2	0.00016402189611416422
1	Gestational_diabetes	0.0001605595527980687
1	Hypohidrotic_X-linked_ectodermal_dysplasia	0.00016048476037980498
1	Diabetic_ketoacidosis	0.00012196490427838108
1	Charcot_Marie_Tooth_disease_X_linked_recessive_4	8.859168853365592e-05
1	Severe_X_linked_mitochondrial_encephalomyopathy	8.859168853365592e-05
1	Giant_cell_arteritis	8.505926013643327e-05
1	Enterocolitis	7.462489235079136e-05
1	Hypertensive_disorder	7.392033303917214e-05
1	Ulcer_disease	6.97620107231837e-05
1	Glucose_intolerance	6.849387877282478e-05
1	Sarcoidosis	6.543812446112326e-05
1	Maturity_onset_diabetes_of_the_young_type_9	6.318887255190263e-05
1	Diabetes_mellitus_ketosis_prone	6.318887255190263e-05
1	Hyperlipidemia	6.266267464842352e-05
1	Bradycardia	6.034568341491031e-05
1	Atherosclerosis	6.0200060969538154e-05
1	Myxoid_liposarcoma	5.912967243420965e-05
1	Ectopic_pregnancy	5.88458253931248e-05
1	Psoriasis	5.711055907017951e-05
1	Exanthem	5.519676064853964e-05
1	Thrombotic_disease	5.478489867457514e-05
1	Gaucher_disease	5.296163224537617e-05
1	Spermatogenic_failure_12	5.275406467209431e-05
1	Obesity	5.257966893083422e-05
1	Histiocytosis	4.993229660581728e-05
1	X_linked_lymphoproliferative_disease_due_to_SH2D1A_deficiency	4.670226794726277e-05
1	Preeclampsia	4.116973196444469e-05
1	Type_1_diabetes_mellitus_10	3.994723009619217e-05
1	Celiac_disease_susceptibility_to_1	3.862617248851199e-05
1	Neoplasm_of_brain	3.837852141487412e-05
1	Angle_closure_glaucoma	3.6500988900751664e-05
1	Diabetic_kidney_disease	3.607875517420971e-05
1	Episcleritis	3.556338642345597e-05
1	Herpes_simplex_encephalitis	3.453405992624617e-05
