multiplex	node	score
1	Dyskinesia	0.23634316970825495
1	Dystonic_disorder	0.0011285161873983637
1	Drug_induced_dyskinesia	0.0005740278204521316
1	Parkinsonian_disorder	0.0004308955843747381
1	Psychotic_disorder	0.00039388656824940405
1	Parkinson_disease	0.00037323958025554943
1	Seizure	0.00031042117124591525
1	Epilepsy	0.00027206334295566475
1	Extrapyramidal_disease	0.00026151206110690663
1	Muscle_spasm	0.0002587936784474015
1	Familial_amyloid_polyneuropathy	0.00025783665219609466
1	Schizophrenia	0.00023380735686057098
1	Secondary_Parkinson_disease	0.00022381162554898967
1	Cerebral_palsy	0.00020917529129426898
1	Akinesia	0.0002087219836680868
1	Pituitary_adenoma	0.00020722135986160002
1	Tourette_syndrome	0.0001923830321713442
1	Chronic_schizophrenia	0.00018140444424053135
1	Hyperprolactinemia	0.00018062696649565863
1	Dysfunction_of_sphincter_of_Oddi	0.0001742894194421265
1	Sphincter_of_Oddi_dyskinesia	0.0001742894194421265
1	Tardive_dyskinesia	0.0001742894194421265
1	Gallbladder_dyskinesia	0.0001742894194421265
1	Orofacial_dyskinesia	0.0001742894194421265
1	Pontocerebellar_hypoplasia_type_2B	0.00016931705160521556
1	Major_depressive_disorder	0.00016383755389907018
1	Prolactin_producing_pituitary_gland_adenoma	0.0001534734102200629
1	Tremor	0.0001526052360324025
1	Spasticity	0.0001374626868419267
1	Myositis_disease	0.00013721144524960472
1	Trismus	0.00012608884589853533
1	Postherpetic_neuralgia	0.00012478971029784833
1	Seizures_benign_familial_neonatal_2	0.0001229016244033918
1	Acromegaly	0.00011912337469387145
1	Headache	0.00011762536469515415
1	Huntington_disease	0.00011702637000538698
1	Acquired_choreiform_dyspraxia	0.00011672022833080592
1	Phonological_dysgraphia	0.00011672022833080592
1	Surface_dysgraphia	0.00011672022833080592
1	Hyposmolality	0.00011672022833080592
1	Deep_dysgraphia	0.00011672022833080592
1	Clumsy_child	0.00011672022833080592
1	Velar_dyspraxia	0.00011672022833080592
1	Benign_Neonatal_Epilepsy	0.00011011049728556727
1	Alzheimer_disease	0.00010649459728812638
1	Restless_legs	0.00010311194532540703
1	Essential_hypertension	0.00010086621569380225
1	Epilepsy_Benign_Neonatal_1_And_Or_Myokymia	0.0001008194325612154
1	Bipolar_affective_disorder	9.863780463197061e-05
1	Developmental_and_epileptic_encephalopathy_7	9.534871388962567e-05
1	Seizures_benign_familial_neonatal_1	9.534871388962567e-05
1	Seizures_benign_familial_neonatal_1_and/or_myokymia	9.534871388962567e-05
1	Developmental_and_epileptic_encephalopathy_11	9.448748142918903e-05
1	Neoplasm_of_the_pituitary_gland	9.266163815536224e-05
1	Allergic_reaction	9.206340967059012e-05
1	Pruritus	9.150312353589231e-05
1	Aspartylglucosaminuria	9.147940016573593e-05
1	Seizures_benign_familial_infantile_3	8.934165038900473e-05
1	Amenorrhea	8.766859100096224e-05
1	Porphobilinogen_synthase_deficiency	8.709146483252887e-05
1	Developmental_and_epileptic_encephalopathy_13	8.659173405027759e-05
1	Migraine	8.553568377214643e-05
1	Parkinson_disease_17	8.46848868660118e-05
1	Episodic_ataxia_type_2	8.403724112116429e-05
1	Myalgia	8.375911142396659e-05
