multiplex	node	score
1	Endometrial_carcinoma	0.23970032474408587
1	Uterine_leiomyoma	0.0016753485299816234
1	Endometriosis	0.001614581046835141
1	Hyperplasia_of_the_endometrium	0.0013100658686286076
1	Breast_carcinoma	0.0007619074575850358
1	Cardiomyopathy,_familial_restrictive,_3	0.0006859024378276418
1	CARDIOMYOPATHY,_FAMILIAL_HYPERTROPHIC,_23,_WITH_OR_WITHOUT_VENTRICULAR_NONCOMPACTION	0.0006859024378276418
1	Hypertrophic_cardiomyopathy_8	0.0006638252384727946
1	Dilated_cardiomyopathy_1AA	0.0006587093396095377
1	Anorexia	0.0005410937475376912
1	Secondary_amenorrhea	0.0005134056419300523
1	Metrorrhagia	0.00047645058296831306
1	Cardiomyopathy	0.00046430413218682043
1	Endocardial_fibroelastosis	0.00045764649620124906
1	Pericardial_effusion	0.00045764649620124906
1	Endomyocardial_fibrosis	0.00045764649620124906
1	Myocarditis	0.00045764649620124906
1	Pericarditis	0.0004073857612614278
1	Female_infertility	0.0003655096526450484
1	Amenorrhea	0.00033413535129370544
1	Infertility_disorder	0.0002899095656589483
1	Endocarditis	0.00018922170636269397
1	Endometrium_neoplasm	0.0001765597089038346
1	Malignant_tumor_of_breast	0.00016615061409403772
1	Prostate_neoplasm	0.00012737536810653223
1	Thyroiditis	0.00011350600348022671
1	Ovarian_cancer	0.00010737436310147698
1	Rectal_neoplasm	0.0001023861633231631
1	Hypogonadism	9.982779009251637e-05
1	Cachexia	9.504623535973205e-05
1	Proteus_like_syndrome	7.676378559534864e-05
1	Vater_association_with_macrocephaly_and_ventriculomegaly	6.812189616038622e-05
1	Menorrhagia	6.234266131463683e-05
1	Vater_Association_With_Hydrocephalus	6.207186614354727e-05
1	Familial_meningioma	6.0043897830511435e-05
1	Ovarian_epithelial_cancer	5.951664025153977e-05
1	Thyroid_cancer_nonmedullary_2	5.935632000906688e-05
1	Female_hypogonadism	5.5672812359816566e-05
1	Follicular_thyroid_carcinoma	5.150256063390916e-05
1	Gastrointestinal_stromal_tumor	4.90089577697364e-05
1	Malignant_tumor_of_prostate	4.658254597370621e-05
1	Obesity	4.434724655356637e-05
1	Neoplasm_of_ovary	4.2940513257532055e-05
1	Papillary_thyroid_carcinoma	4.2134161296832926e-05
1	Bladder_neoplasm	4.071185562627437e-05
1	Male_infertility	4.060425916962091e-05
1	Ulcerative_colitis	3.954622518045177e-05
1	Polycystic_ovaries	3.938088974081788e-05
1	Ovarian_cyst	3.919591121409064e-05
1	Central_precocious_puberty	3.827424762758231e-05
1	Increased_intracranial_pressure	3.8244486693481606e-05
1	Disorder_of_orbital_region	3.81131625728123e-05
1	Medulloblastoma	3.7927427703564315e-05
1	Leiomyoma	3.638481256633787e-05
1	Oligomenorrhea	3.5388480613522336e-05
1	HIV_wasting_syndrome	3.5364426546628085e-05
1	Thyroid_tumor	3.491504064028079e-05
1	Attention_deficit_hyperactivity_disorder	3.2080201672384194e-05
1	Adenocarcinoma	3.0596191239969095e-05
1	Hyperpigmentation_of_the_skin	2.9942620237799707e-05
1	Breast_neoplasm	2.9518985967817046e-05
1	Abnormal_heart_morphology	2.8816512272527044e-05
1	Abnormality_of_the_coagulation_cascade	2.810601929437739e-05
1	Squamous_cell_carcinoma	2.7962127349491068e-05
1	Acromegaly	2.7650702175874687e-05
1	Erectile_dysfunction	2.6291473067855576e-05
1	Prolactin_producing_pituitary_gland_adenoma	2.6186337317344663e-05
1	Gastroparesis	2.546138250233857e-05
1	Anovulation	2.476106505135213e-05
1	Hepatocellular_carcinoma	2.472753659758024e-05
1	Irregular_menstruation	2.299849437089358e-05
1	Precocious_puberty	2.2618459512061298e-05
1	Vomiting	2.2564391973035138e-05
1	Peritonitis	2.2296579923710197e-05
1	Epilepsy	2.2041836910837484e-05
1	Heartburn	2.1788151423844277e-05
1	Nausea	2.1527459154957594e-05
1	Neoplasm_of_the_pituitary_gland	1.941061152100699e-05
1	Fatigue	1.9334812573542756e-05
1	Delayed_puberty	1.9159813694483687e-05
1	Migraine	1.9157016049643517e-05
1	Hyperplasia_of_prostate	1.8781973040066465e-05
1	Small_cell_lung_carcinoma	1.8289504997937057e-05
1	Neoplasm_of_the_pancreas	1.7924008207135123e-05
1	Hyperprolactinemia	1.7180145731190124e-05
1	Myalgia	1.6302649510472316e-05
