multiplex	node	score
1	Ewing_sarcoma	0.23718351398952836
1	Osteosarcoma	0.0013165282464094456
1	Peripheral_neuroepithelioma	0.0011746593478558689
1	Askin_tumor	0.0011746593478558689
1	Rhabdomyosarcoma	0.0009586763970860452
1	Neoplasm_of_lung	0.000855115843042766
1	Sarcoma	0.0006709390409040891
1	Acute_myeloid_leukemia	0.0005332456897481689
1	Prostate_neoplasm	0.0004843651784395503
1	Retinoblastoma	0.0004645185924157896
1	Fibrosarcoma	0.0002962842054391486
1	Nephroblastoma	0.0002544010649518696
1	Charcot_Marie_Tooth_disease_type_1D	0.00023810987494429518
1	Melanoma	0.00023536050411917002
1	Small_cell_lung_carcinoma	0.00019362538407095403
1	Gestational_trophoblastic_disease	0.00019068861441870577
1	Bladder_neoplasm	0.0001870283348444302
1	Malignant_tumor_of_urinary_bladder	0.00018333946923946434
1	Extraskeletal_myxoid_chondrosarcoma	0.00018088018372287303
1	Synovial_sarcoma	0.0001723267070997836
1	Leiomyosarcoma	0.00017122951983972873
1	Neurofibromatosis,_type_1	0.00017122951983972873
1	Angiosarcoma	0.00017122951983972873
1	Neurofibrosarcoma	0.00017122951983972873
1	Malignant_peripheral_nerve_sheath_tumor	0.00017122951983972873
1	Alveolar_rhabdomyosarcoma	0.00016704638578808617
1	Alveolar_soft_part_sarcoma	0.0001669855974648027
1	Fibroma	0.00016664131094736896
1	Glioblastoma_multiforme	0.00015592840496633033
1	Leukemia	0.00015047864740696813
1	Myeloid_leukemia	0.0001499223860418374
1	Myxoid_liposarcoma	0.00014982460466223446
1	Endometrium_neoplasm	0.00014937557770469475
1	NEUROPATHY_CONGENITAL_HYPOMYELINATING_1_AUTOSOMAL_DOMINANT	0.00014866920836101974
1	Dejerine_Sottas_disease	0.00014401350773462663
1	Charcot_Marie_Tooth_disease_type_4E	0.00014397564664958242
1	Lupus_nephritis	0.000139429154123458
1	Neoplasm_of_uterus	0.00013776899576787007
1	Chondrosarcoma	0.00013579074055310967
1	Embryonal_rhabdomyosarcoma	0.00013171133189147002
1	Myeloproliferative_disorder	0.00013168596886724577
1	Non_small_cell_lung_carcinoma	0.00012279695859446826
1	Histiocytosis	0.00011492154395014397
1	Multiple_myeloma	0.0001113361875160947
1	Desmoid_tumor	0.00011046776273058485
1	Nephrotic_syndrome	0.00010467969906583593
1	Burkitt_lymphoma	9.879632185807179e-05
1	Autoimmune_hemolytic_anemia	8.997220916568764e-05
1	Waldenstrom_macroglobulinemia	8.826939703487925e-05
1	Lymphoma	8.495198567679899e-05
1	Myasthenia_gravis	8.142619336403326e-05
1	Classic_Hodgkin_lymphoma	7.79587084685475e-05
1	Acute_lymphoid_leukemia	7.599805134997877e-05
1	Mycosis_fungoides	7.367943580563947e-05
1	Neoplasm_of_stomach	7.09455186007793e-05
1	Renal_cell_carcinoma	7.030535066740703e-05
1	Multiple_sclerosis	6.57516547001166e-05
1	Neoplasm_of_esophagus	5.851448140876241e-05
1	Neoplasm_of_the_large_intestine	5.4555558483674436e-05
1	Adrenal_cortex_carcinoma	4.826905440196209e-05
1	Glioma	4.775183006958102e-05
1	Neuroblastoma	4.287838114565891e-05
1	Breast_neoplasm	3.7890085184140345e-05
1	Premature_birth_of_newborn	3.746542173947636e-05
1	Dystonic_disorder	3.018192819667521e-05
1	Peripheral_neuropathy	2.890763483084038e-05
1	Cryptorchidism	2.8346347828621926e-05
1	Breast_carcinoma	2.7097290803488337e-05
1	Autism	2.6435776415657e-05
1	Bipolar_affective_disorder	2.5509091140396834e-05
1	Hepatocellular_carcinoma	2.5048152234126416e-05
1	Acute_leukemia	2.5030783371655785e-05
1	Neoplasm_of_ovary	2.4858598316479086e-05
1	Spontaneous_Abortion	2.455933380852962e-05
1	Renal_neoplasm	2.3827302448947642e-05
1	Neoplasm_of_brain	2.3237364075602726e-05
1	Squamous_cell_carcinoma_of_the_head_and_neck	2.2269400258288908e-05
1	Kaposi_sarcoma	2.0815041322107323e-05
1	Glioblastoma	1.9213588050308267e-05
1	Germ_cell_tumor_of_testis	1.8840471389848487e-05
1	Medulloblastoma	1.8488624721295094e-05
1	Follicular_lymphoma	1.709198770507381e-05
1	Testicular_neoplasm	1.6814278467829225e-05
1	Adenocarcinoma	1.6709927213036756e-05
1	Astrocytoma	1.6633783772296273e-05
1	Squamous_cell_carcinoma	1.6094187954210723e-05
1	Neoplasm_of_the_skin	1.5909761918829128e-05
