multiplex	node	score
1	Fatigue	0.24013914493221356
1	Pain	0.001607693648909791
1	Gangrene	0.0012249407239317124
1	Sudden_death	0.0010870126382120406
1	Hiccoughs	0.0010870126382120406
1	Recurrent_singultus	0.0010870126382120406
1	Halitosis	0.00046663899960460673
1	Spasticity	0.00039069555570465014
1	Constipation	0.00034888404399166864
1	Drowsiness	0.00032269456981774464
1	Arthralgia	0.00029425696633540195
1	Migraine	0.00029144993823751816
1	Apnea	0.00028535320734157627
1	Glaucoma	0.00020615164318009752
1	Insomnia	0.00020238102237466688
1	Headache	0.00019723143524457353
1	Back_pain	0.00019465272847141713
1	Dysmenorrhea	0.00018047663136140827
1	Nasal_congestion	0.00012763640507991583
1	Nephrotic_syndrome	9.517161945079685e-05
1	Kidney_failure	9.303449524634882e-05
1	Allergic_rhinitis	9.301337105459281e-05
1	Nephritis	7.05812998468079e-05
1	Fever	5.778709023573412e-05
1	Pericarditis	4.7667773708374884e-05
1	Myalgia	4.663052496332165e-05
1	Perennial_allergic_rhinitis	4.5984313265611726e-05
1	Anxiety	4.07670308067653e-05
1	Irritable_bowel_syndrome	4.011691785510795e-05
1	Epilepsy	3.9902496260197824e-05
1	Attention_deficit_hyperactivity_disorder	3.984249889045403e-05
1	Ichthyosis	3.898531097854822e-05
1	Ulcerative_colitis	3.6971582033451995e-05
1	Dermatographic_urticaria	3.673868538084083e-05
1	Intermittent_claudication	3.530769226760235e-05
1	Ankylosing_spondylitis	3.455316491553753e-05
1	Hemorrhoid	3.453370747658987e-05
1	Synovitis	3.368578828693252e-05
1	X_linked_sideroblastic_anemia_1	3.320839954915937e-05
1	X_linked_erythropoietic_protoporphyria	3.320839954915937e-05
1	Osteoarthritis	3.2978197928450866e-05
1	Cardiac_arrhythmia	3.0361131089715654e-05
1	Premature_birth_of_newborn	2.9608733368449923e-05
1	Sepsis	2.9494944841723997e-05
1	Purpura	2.9167922177920378e-05
1	Peptic_ulcer	2.883253703296014e-05
1	Myasthenia_gravis	2.8437115737465915e-05
1	Arthritis	2.8383241915353796e-05
1	Renal_insufficiency	2.838153833319375e-05
1	Iridocyclitis	2.7646338447940236e-05
1	Arteriosclerosis_disorder	2.6773113293006615e-05
1	Non_acquired_combined_pituitary_hormone_deficiency_with_spine_abnormalities	2.643987023179124e-05
1	Kidney_damage	2.642087453022635e-05
1	Hypertensive_disorder	2.6116551936825744e-05
1	Bipolar_affective_disorder	2.5640363242163164e-05
1	Abdominal_pain	2.5553756129458905e-05
1	Enterocolitis	2.464368878776159e-05
1	Depression	2.4319532235583543e-05
1	Asthma	2.3507701019308805e-05
1	Diamond_Blackfan_anemia_7	2.350366476708139e-05
1	Diamond_Blackfan_anemia_3	2.350366476708139e-05
1	Diamond_Blackfan_anemia_13	2.350366476708139e-05
1	Autosomal_dominant_hypophosphatemic_rickets	2.349714944724066e-05
1	Thyroid_dyshormonogenesis_6	2.341833932328418e-05
1	Scleroderma	2.3201419280456986e-05
1	Schizophrenia	2.297218288675656e-05
1	Urticaria	2.2849616864635545e-05
1	Mastocytosis	2.2803713569092054e-05
1	Pruritus	2.232089690126119e-05
1	Edema	2.208392553880803e-05
1	Isolated_thyroid_stimulating_hormone_deficiency	2.2042506603675588e-05
1	Thyrotropin_Biologically_Inactive	2.2042506603675588e-05
1	Diamond_Blackfan_anemia_5	2.1953380733444783e-05
1	Diamond_Blackfan_anemia_4	2.1953380733444783e-05
1	Diarrhea	2.18978009809556e-05
1	Tremor	2.181824405159976e-05
1	Xerostomia	2.1805986986775023e-05
1	Strabismus	2.1736527339021523e-05
1	Hyperkeratosis	2.1324369984481672e-05
1	Diamond_Blackfan_anemia_9	2.120367949427928e-05
1	Diamond_Blackfan_anemia_11	2.120367949427928e-05
1	Sinusitis	2.1197002923447438e-05
1	Diamond_Blackfan_anemia_10	2.1195022747154972e-05
1	Diamond_Blackfan_anemia_12	2.1195022747154972e-05
1	Diamond_Blackfan_anemia_8	2.1190074345773402e-05
1	Dyspnea	2.11188885109346e-05
1	Early_onset_Parkinson_disease_20	2.1058097850012466e-05
1	Ocular_hypertension	2.095528725408046e-05
1	Acromegaly	2.066524685042442e-05
1	Familial_thyroid_dyshormonogenesis_1	2.0381780906860986e-05
1	Pneumonia	2.0318942672577338e-05
1	Pigmented_nodular_adrenocortical_disease_primary_3	2.012246789754246e-05
1	Autosomal_dominant_striatal_neurodegeneration_type_1	2.0122467897542388e-05
1	Parkinson_disease_19B_early_onset	2.000121294734175e-05
