multiplex	node	score
1	Hereditary_antithrombin_deficiency	0.2423057516740568
1	Deep_venous_thrombosis	0.003125633662657021
1	Thrombophlebitis	0.0013352684363464973
1	Hepatic_veno_occlusive_disease	0.001151939770986886
1	Disseminated_intravascular_coagulation	0.0010694936633758693
1	Renal_insufficiency	0.0009631038888122969
1	Reduced_factor_VII_activity	0.000849196974731446
1	High_molecular_weight_kininogen_deficiency	0.000849196974731446
1	Hereditary_factor_IX_deficiency_disease	0.0008183171867463708
1	Factor_VII_deficiency	0.0008054014812740756
1	Refractory_anemia	0.0006709577322685735
1	Growth_failure	0.0005485552529733874
1	Hereditary_factor_XI_deficiency_disease	0.0005337650924005005
1	Factor_XII_deficiency_disease	0.0005297981859598762
1	Thrombotic_disease	0.0002701866202072604
1	Breast_carcinoma	0.0002540503260441407
1	ALG6_congenital_disorder_of_glycosylation_1C	0.0002511448652057402
1	MGAT2_congenital_disorder_of_glycosylation	0.0002505449514254873
1	Abnormality_of_the_coagulation_cascade	0.00023879762184632594
1	MPI_congenital_disorder_of_glycosylation	0.00022729082990344135
1	Congenital_disorder_of_glycosylation_type_1E	0.0001806453071671759
1	Thrombophilia	0.00016260756426958968
1	Venous_thromboembolism	0.00015264600427995856
1	PMM2_congenital_disorder_of_glycosylation	0.00013815459826999036
1	Pulmonary_embolism	0.00013418881479424082
1	Venous_thrombosis	0.00011197733241652078
1	Adult_acute_respiratory_distress_syndrome	0.00011170136702691271
1	Thrombocytosis	0.00010833370890642254
1	Nephrotic_syndrome	7.47384240559423e-05
1	Congenital_factor_V_deficiency	7.395639226063472e-05
1	Hemangioma	5.6235152973076764e-05
1	Esotropia	5.414380166679969e-05
1	Liver_failure	4.127303464687949e-05
1	Growth_retardation	4.118003414148273e-05
1	Chronic_myelomonocytic_leukemia	4.078755698224244e-05
1	Diarrhea	4.071998252253368e-05
1	Myelodysplastic_syndrome	4.067782871295763e-05
1	Myelodysplastic_syndrome_with_excess_blasts	4.002622903482524e-05
1	Hypergonadotropic_hypogonadism	3.920472073113639e-05
1	RFT1-congenital_disorder_of_glycosylation	3.91184050760982e-05
1	Heterotopia,_Periventricular_Nodular,_with_Frontometaphyseal_Dysplasia	3.91184050760982e-05
1	Heterotopia,_periventricular,_X-linked_dominant	3.91184050760982e-05
1	von_Willebrand_disease_type_1	3.840666135514988e-05
1	Laron_type_isolated_somatotropin_defect	3.52787854074035e-05
1	Growth_delay_due_to_insulin_like_growth_factor_type_1_deficiency	3.4473021041901e-05
1	Turner_syndrome	3.2798596948104554e-05
