multiplex	node	score
1	Huntington_disease	0.23717609537145581
1	Movement_disorder	0.003120266900707623
1	Seizure	0.0010784338770911722
1	Epilepsy	0.0008982804918538308
1	Schizophrenia	0.0007063562631245146
1	Chorea	0.000622132979301997
1	Tourette_syndrome	0.0003719393418307036
1	Spondylolysis	0.00035322360467121436
1	Spinal_cord_tumor	0.0003401171022680768
1	Severe_X_linked_mitochondrial_encephalomyopathy	0.0003169527380631063
1	Charcot_Marie_Tooth_disease_X_linked_recessive_4	0.0003169527380631063
1	Trigeminal_neuralgia	0.0002630599139747077
1	Hereditary_spastic_paraplegia_35	0.0002466415191418987
1	Muscle_spasm	0.0002416978622147219
1	Cerebral_palsy	0.00023855734099571729
1	Mixed_anxiety_and_depressive_disorder	0.00023050167179476533
1	Neurogenic_bladder	0.0002019737122454923
1	Nausea_and_vomiting	0.00020075876501855208
1	Psychotic_disorder	0.00020026191259440778
1	Dyskinesia	0.00017559979048225314
1	Vomiting	0.00017528513563772204
1	Dysthymic_disorder	0.00017258944164655698
1	Headache	0.00015889147668612106
1	Nausea	0.00014271775679617374
1	Bipolar_depression	0.00013792069432607524
1	Congestive_heart_failure	0.00011408373909066398
1	Pancreatitis	0.00010424008790555528
1	Peripheral_neuropathy	9.736603247557094e-05
1	Multiple_sclerosis	9.583120994090877e-05
1	Severe_major_depression_with_psychotic_features	9.008799669697591e-05
1	Rhabdomyosarcoma	8.851801798567082e-05
1	Status_epilepticus	8.579811126029835e-05
1	Alzheimer_disease	8.148369805761524e-05
1	Hereditary_continuous_muscle_fiber_activity	6.934345899112998e-05
1	Myokymia_1	6.81907711134457e-05
1	Abetalipoproteinaemia	6.792191974092547e-05
1	Isaac_syndrome	6.788977820273823e-05
1	Rheumatoid_arthritis	6.605683531460272e-05
1	Congenital_sensory_neuropathy_with_selective_loss_of_small_myelinated_fibers	6.223403247065717e-05
1	Episodic_ataxia_type_1	6.205997311746437e-05
1	Skin_disorder	6.10469818748734e-05
1	Neurocirculatory_asthenia	5.56290882620836e-05
1	Hepatic_encephalopathy	5.4647683746675964e-05
1	Intellectual_disability-hypotonia-spasticity-sleep_disorder_syndrome	5.1357286961383376e-05
1	Encephalopathy	5.1348733622060904e-05
1	Charcot-Marie-Tooth_disease_type_2A2	5.0935497007055804e-05
1	Pseudo-TORCH_syndrome_1	5.0935497007055804e-05
1	Morphological_central_nervous_system_abnormality	5.09300343754316e-05
1	Epsilon-trimethyllysine_hydroxylase_deficiency	5.092969607597977e-05
1	Neuronopathy,_distal_hereditary_motor,_type_2C	5.080583578833173e-05
1	Neuropathy,_hereditary_sensory_and_autonomic,_type_2A	5.068066557919941e-05
1	Tay-Sachs_disease	5.0280426388659386e-05
1	Charcot-Marie-Tooth_disease_type_4E	5.0280426388659386e-05
1	Hypoesthesia	5.0280426388659386e-05
1	Spinocerebellar_ataxia_type_8	5.0280426388659386e-05
1	NEUROPATHY,_CONGENITAL_HYPOMYELINATING,_1,_AUTOSOMAL_DOMINANT	5.0280426388659386e-05
1	Tay-Sachs_disease,_B1_variant	5.0280426388659386e-05
1	Neuronopathy,_distal_hereditary_motor,_type_2B	5.0280426388659386e-05
1	Neuropathy,_hereditary_sensory,_type_2C	5.0280426388659386e-05
1	Tay-sachs_disease,_juvenile	5.0280426388659386e-05
1	Gm2-gangliosidosis,_adult_chronic_type	5.0280426388659386e-05
1	Gm2-gangliosidosis,_variant_b1	5.0280426388659386e-05
1	Tay-Sachs_disease,_pseudo-AB_variant	5.0280426388659386e-05
1	Anterior_horn_disorder	5.0280426388659386e-05
1	Abnormal_peripheral_nervous_system_morphology	5.0280426388659386e-05
1	Deafness-encephaloneuropathy-obesity-valvulopathy_syndrome	5.0280426388659386e-05
1	Tay-Sachs_disease,_B_variant,_adult_form	5.0280426388659386e-05
1	Horner_syndrome	4.897859471223694e-05
1	Neoplasm_of_the_peripheral_nervous_system	4.528365233302663e-05
1	Juvenile_idiopathic_arthritis	4.41402051265065e-05
1	Neoplasm_of_the_pancreas	4.204929803139043e-05
1	Attention_deficit_hyperactivity_disorder	4.1761064469746865e-05
1	Neoplasm_of_the_nervous_system	3.716792620048688e-05
1	Myositis_disease	3.590942476134965e-05
1	Bulbar_palsy	3.465884063214748e-05
1	Bulbar_weakness	3.465884063214748e-05
1	Orthostatic_hypotension	3.461109057388954e-05
1	Chronic_schizophrenia	3.448408078707369e-05
1	Adenocarcinoma	3.2907322810588714e-05
1	Colonic_neoplasm	3.2770682050251184e-05
1	Malignant_hyperthermia_of_anesthesia	3.1009709124411346e-05
1	Spasticity	3.0929110024753016e-05
1	Tremor	3.0754753918702516e-05
1	West_syndrome	3.058573904504215e-05
1	Heartburn	3.0424354542458423e-05
1	Myopathy	3.000058665589436e-05
1	Gastroesophageal_reflux_disease	2.8447267720433632e-05
1	Breast_neoplasm	2.805212503393564e-05
1	Attention_Deficit_and_Disruptive_Behavior_Disorders	2.7607291386755302e-05
1	Major_depressive_disorder	2.760574600282666e-05
1	Respiratory_insufficiency	2.7148855935376224e-05
1	Bipolar_affective_disorder	2.6968445126917378e-05
1	Autism	2.5355343893104494e-05
1	Cerebral_infarction	2.481585103081774e-05
1	Myalgia	2.4172187147983578e-05
1	Disorder_of_the_central_nervous_system	2.4117693819647405e-05
1	Blindness	2.4073139487876444e-05
1	Anorexia	2.1586019466713163e-05
1	Depression	2.130459993286131e-05
1	Vertigo	2.0110282928334348e-05
1	Sleep_wake_disorder	2.0050939757149773e-05
1	Neuropathy	1.999953801109285e-05
1	Myocardial_ischemia	1.955572016393737e-05
1	Dysphagia	1.9544144927364595e-05
1	Urticaria	1.935989324429263e-05
1	Allergy	1.9318250970934305e-05
1	Pruritus	1.9196588378701064e-05
1	Peptic_ulcer	1.9115488630936212e-05
