multiplex	node	score
1	Ichthyosis	0.24116155637252673
1	Ichthyosis_vulgaris	0.004588559243717159
1	Porokeratosis_of_Mibelli	0.0017783039980146546
1	Acanthosis_nigricans	0.0017783039980146546
1	Hyperkeratosis	0.0004967024867967962
1	Nail_dystrophy	0.00037954138540207484
1	Contact_dermatitis	0.0003602588550708773
1	Parakeratosis	0.00030099229289169954
1	Exanthem	0.0002853061081955642
1	Eczematoid_dermatitis	0.00027005414544716347
1	Increased_intracranial_pressure	0.00024871663394375655
1	Pimple	0.00019823620701200182
1	Pityriasis_rubra_pilaris	0.0001617717113528659
1	Pain	0.00014648907652323032
1	Fever	0.0001437077858807877
1	Rheumatoid_arthritis	0.00014015436735179127
1	Ocular_hypertension	0.00013859708539546445
1	Arthralgia	0.0001353204534592061
1	X_linked_chondrodysplasia_punctata_1	0.0001307154629557884
1	Synovitis	0.000129572343804611
1	Keratosis	0.0001262619383397447
1	Erythroderma	0.00012290974785886613
1	Back_pain	0.00011480874589533454
1	Dermatitis	0.00011190972101678019
1	Arthrogryposis_renal_dysfunction_and_cholestasis_1	0.00010869050621804539
1	Myocardial_infarction	0.00010815532751297718
1	Acne	0.00010776003089630019
1	Allergic_reaction	0.00010695027581058106
1	Keratitis	8.877792128907393e-05
1	Megaconial_type_congenital_muscular_dystrophy	8.233407042436263e-05
1	Sjögren_Larsson_syndrome	8.191884044707611e-05
1	PSAT_deficiency	8.183792875904428e-05
1	Conjunctivitis	8.156366796824565e-05
1	Chapped_lip	7.951001566921471e-05
1	Ichthyosis_X_Linked_Complicated	7.723594858252887e-05
1	X_linked_ichthyosis_with_steryl_sulfatase_deficiency	7.723594858252887e-05
1	Allergic_rhinitis	7.604930669888248e-05
1	Palmoplantar_keratoderma_nonepidermolytic_focal_1	7.014804495595033e-05
1	Pachyonychia_congenita_2	6.950932218758874e-05
1	Pachyonychia_congenita_1	6.885441622987003e-05
1	Decreased_circulating_copper_concentration	6.78727244071592e-05
1	Phytanic_acid_storage_disease	6.748477607766053e-05
1	Hyperpigmentation_of_the_skin	6.699965231843787e-05
1	Rosacea	6.638140566827507e-05
1	Headache	6.599533727975985e-05
1	Diffuse_nonepidermolytic_palmoplantar_keratoderma	6.35804095619942e-05
1	X_linked_Alport_syndrome	6.255711077275703e-05
1	Palmoplantar_keratosis	6.132952593064217e-05
1	Nephrotic_syndrome	6.0685215203502384e-05
1	Acute_promyelocytic_leukemia	5.994718942805806e-05
1	Fatigue	5.9283389691733324e-05
1	Autosomal_recessive_congenital_ichthyosis_2	5.900664465983797e-05
1	Pruritus	5.8914314346343435e-05
1	Malignant_tumor_of_breast	5.8196611565127034e-05
1	Epidermolytic_hyperkeratosis_1	5.757286944771694e-05
1	Autosomal_recessive_congenital_ichthyosis_1	5.594799806226383e-05
1	Premature_birth_of_newborn	5.198670493261448e-05
1	Psoriasis	5.166928743916354e-05
1	Non_Hodgkin_lymphoma	5.059679742192691e-05
1	Reduced_circulating_vitamin_A_concentration	5.0473014204542784e-05
1	Rhizomelic_chondrodysplasia_punctata_type_1	4.883745037042375e-05
1	Hidrotic_ectodermal_dysplasia_syndrome	4.77312404975768e-05
1	Blepharitis	4.690653647906501e-05
1	Cancer_of_the_pancreas	4.66602113342586e-05
1	Cardiac_arrhythmia	4.593766060560194e-05
1	Autosomal_dominant_nonsyndromic_hearing_loss_3B	4.539813603138221e-05
1	Autosomal_recessive_nonsyndromic_hearing_loss_1B	4.5382941806610076e-05
1	Autoimmune_disease	4.5156882947942475e-05
1	Corneal_ulceration	4.47868026395344e-05
1	Lymphoma	4.423015497102172e-05
1	Anemia	4.266987072681108e-05
1	Diarrhea	4.2544894854880135e-05
1	Narcolepsy	4.253089757870733e-05
1	Patent_ductus_arteriosus	4.03152680930897e-05
1	Knuckle_pads_deafness_AND_leukonychia_syndrome	3.9592935732761265e-05
1	Glanzmann_thrombasthenia	3.627575542793383e-05
1	Autoimmune_lymphoproliferative_syndrome_type_4	3.479111537409131e-05
1	Myopathy_congenital_with_excess_of_muscle_spindles	3.376839051161183e-05
1	Autosomal_recessive_nonsyndromic_hearing_loss_1A	3.348063362329487e-05
1	Deafness_digenic_GJB2/GJB6	3.216145461577442e-05
1	Noonan_syndrome_6	3.199852815718842e-05
1	Autoimmune_thrombocytopenic_purpura	3.18012595192786e-05
1	Purpura	3.165064281428689e-05
1	Renal_tubular_acidosis	3.029374384276311e-05
1	Cardio_facio_cutaneous_syndrome	2.977053217663807e-05
1	Costello_syndrome	2.9749208989589705e-05
1	Cardiofaciocutaneous_syndrome_2	2.893194350398777e-05
1	Asthma	2.8377690732861648e-05
1	Rectal_neoplasm	2.7972363582706205e-05
1	Cardiomyopathy	2.6917272213146572e-05
1	Noonan_syndrome_3	2.581881644621505e-05
1	Gingivitis	2.4919578075950786e-05
1	Cellulitis	2.4625483678032473e-05
1	Seborrheic_dermatitis	2.435471085585193e-05
1	Central_diabetes_insipidus	2.399278515376808e-05
1	Neoplasm_of_the_pancreas	2.3728160537540683e-05
1	Basal_cell_carcinoma	2.3459724225821234e-05
1	Acute_myeloid_leukemia	2.3141573903400942e-05
1	Epidermal_nevus	2.25951595921872e-05
1	Noonan_syndrome	2.12216571367294e-05
1	Solar_lentigo	2.1105924840295806e-05
1	Non_small_cell_lung_carcinoma	2.1076042421345234e-05
1	Follicular_thyroid_carcinoma	2.0854679286407198e-05
1	Osteoarthritis	1.999186322417797e-05
1	Migraine	1.9884219255946174e-05
1	Epilepsy	1.8791062999710656e-05
1	Neoplasm_of_stomach	1.8393666670367597e-05
1	Breast_cancer_familial_male	1.8091055968507183e-05
1	Erythema_multiforme	1.790546162995469e-05
1	Uveitis	1.7656134693131646e-05
1	Myalgia	1.749552850517394e-05
1	Gastroesophageal_reflux_disease	1.7332036437343525e-05
1	Spasticity	1.6710361506970634e-05
1	Hypertensive_disorder	1.6304549269593433e-05
1	Gingival_disorder	1.5735528283557105e-05
1	Major_depressive_disorder	1.5435313909202557e-05
1	Arthritis	1.448228753294444e-05
1	Systemic_lupus_erythematosus	1.432953859639089e-05
1	Skin_disorder	1.421097462906645e-05
1	Apnea	1.3864822634090496e-05
1	Urticaria	1.3735032247786316e-05
1	Metastasis	1.3720808921617477e-05
1	Psoriatic_arthritis	1.3440269014071024e-05
1	Alopecia	1.328444973169632e-05
1	Gout	1.3268168516772162e-05
1	Crohn_disease	1.3070018623076072e-05
1	Dysmenorrhea	1.2976494985027246e-05
1	Adrenal_cortex_carcinoma	1.2928424984305728e-05
1	Hypogonadotropic_hypogonadism	1.2888311897139656e-05
1	Bipolar_affective_disorder	1.245300574898349e-05
1	Growth_failure	1.1947172767535164e-05
1	Ulcerative_colitis	1.194701554771001e-05
1	Congestive_heart_failure	1.1834675280263313e-05
1	Xerostomia	1.1831856524469978e-05
1	Keratosis_follicularis	1.165027100642421e-05
1	Allergy	1.161483530293363e-05
1	Autoimmune_hemolytic_anemia	1.122901882958136e-05
1	Cough	1.1108703198484455e-05
1	Drowsiness	1.0973151330319425e-05
1	Aphthous_stomatitis	1.08987585043026e-05
1	Premature_birth	1.0894700608551306e-05
1	Intermediate_coronary_syndrome	1.0765902567422057e-05
1	Edema	1.0710917968593745e-05
1	Periodontitis	1.0707825171476773e-05
1	Breast_neoplasm	1.053170039257921e-05
1	Allergic_contact_dermatitis	1.044953741925646e-05
1	Growth_retardation	1.0427784061156734e-05
1	Atopic_eczema	1.0326868051392367e-05
1	Leukemia	1.0215272512283328e-05
1	Skin_ulcer	1.0043409653875316e-05
1	Acute_lymphoid_leukemia	9.982862901156401e-06
1	Malignant_lymphoma_large_B_cell_diffuse	9.902827059567387e-06
1	Vitiligo	9.790999465618824e-06
1	Thyroiditis	9.753136394223818e-06
1	Cryptorchidism	9.657003520077454e-06
1	Celiac_disease	9.635432758204147e-06
1	Erythema_nodosum	9.502361086683082e-06
1	Colon_cancer	9.468506088543272e-06
1	Nasal_congestion	9.429684097880456e-06
1	Sjogren_syndrome	9.367428141310586e-06
1	Gingivostomatitis	9.357804293911032e-06
1	Stevens_Johnson_syndrome	9.306847957868805e-06
1	Colonic_neoplasm	8.992433648216924e-06
1	Neuralgia	8.96857726415584e-06
1	Disorder_of_orbital_region	8.943236902399647e-06
1	Constipation	8.883294411326311e-06
1	Head_and_neck_neoplasm	8.797890986732702e-06
1	Multiple_sclerosis	8.761640576995332e-06
1	Dermatographic_urticaria	8.685412177551575e-06
1	Renal_cell_carcinoma	8.502642120933173e-06
1	Iridocyclitis	8.488260928157211e-06
1	Acne_inversa	8.457239101660167e-06
1	Angioedema	8.415675765918807e-06
1	Neoplasm_of_ovary	8.34855422235458e-06
1	Primary_adrenocortical_insufficiency	8.306416582543453e-06
1	Mycosis_fungoides	8.245292351766419e-06
1	Anxiety	8.244228374956678e-06
1	Keloid	8.23834635708268e-06
1	Follicular_lymphoma	8.199173636946557e-06
1	Thrombotic_disease	8.143904071291075e-06
1	Infarct	7.99211153117516e-06
1	Ankylosing_spondylitis	7.90012652170924e-06
1	Infection_of_bone	7.895151999453634e-06
1	Gastric_carcinoma	7.870635617299072e-06
1	Hypogonadism	7.822058984023492e-06
1	Ovarian_cancer	7.780923020419349e-06
1	Insulin_resistance	7.753524841508331e-06
1	Heart_failure	7.75300659015941e-06
1	Meningitis	7.702039373705905e-06
1	Multiple_myeloma	7.620246414739106e-06
1	Breast_carcinoma	7.5374306303430445e-06
1	Menorrhagia	7.478907829331861e-06
1	Hypotension	7.439018041034895e-06
1	Carcinoma_of_pancreas	7.385974066714506e-06
1	Dry_eye_syndrome	7.355619212844006e-06
1	Keratoconjunctivitis_sicca	7.268807452037227e-06
1	Rhinitis	7.205988296699206e-06
1	Pericarditis	7.195072962069246e-06
1	Schizophrenia	7.162651084394994e-06
1	Mastocytosis	7.152912765334288e-06
1	Neuroblastoma	7.128845632787991e-06
1	Primary_cutaneous_T_cell_lymphoma	7.118199153651575e-06
1	Neoplasm_of_the_skin	7.0689518823908525e-06
1	Diamond_Blackfan_anemia	7.065350552733269e-06
1	Serum_sickness	7.063696819232229e-06
1	Pneumonia	7.042570141795685e-06
1	Sarcoidosis	6.99648813171492e-06
1	Alopecia_areata	6.986754709453659e-06
1	B_cell_lymphoma	6.95464362704589e-06
1	Premature_ventricular_contraction	6.934651901537777e-06
1	Cerebral_edema	6.916559441378341e-06
1	Classic_Hodgkin_lymphoma	6.8819736388699255e-06
1	Hypertrophic_cardiomyopathy	6.871469745694824e-06
1	Colitis	6.842449074899529e-06
1	Hypersensitivity_pneumonitis	6.833947117462173e-06
1	Peripheral_neuropathy	6.823708087275567e-06
