multiplex	node	score
1	Intracranial_swelling	0.23564496678462898
1	Cerebral_edema	0.0021078674149024685
1	Angioedema	0.00019044870307220594
1	Hypercalcemia	0.0001229739454795874
1	Psoriatic_arthritis	0.00010786957181669586
1	Edema	0.00010672378352295737
1	Nephrotic_syndrome	0.00010442489194041316
1	Uveitis	0.00010304916382590833
1	Atopic_eczema	0.00010191400953822816
1	Breast_neoplasm	0.00010139968486520823
1	Argininosuccinate_lyase_deficiency	0.00010110036433065662
1	Multiple_myeloma	9.908525266903595e-05
1	Systemic_lupus_erythematosus	9.854095185192153e-05
1	Corneal_ulceration	9.659348858280959e-05
1	Keloid	9.628547459626321e-05
1	Crohn_disease	9.512143730741654e-05
1	Citrullinemia	9.244366068036722e-05
1	Citrullinemia_type_I	9.244366068036722e-05
1	Primary_adrenocortical_insufficiency	9.045923405285037e-05
1	Erythroderma	8.958687486120135e-05
1	Ornithine_carbamoyltransferase_deficiency	8.94539010149251e-05
1	Contact_dermatitis	8.784897116301656e-05
1	Carbamoyl_phosphate_synthetase_1_deficiency	8.519612297676309e-05
1	Congenital_hyperammonemia_type_I	8.519612297676309e-05
1	Chronic_discoid_lupus_erythematosus	8.236078287944641e-05
1	Follicular_lymphoma	8.22970598420904e-05
1	Adrenal_cortical_hypofunction	8.128747308486914e-05
1	Rheumatoid_arthritis	7.870321471887257e-05
1	Laryngeal_edema	7.783653434260118e-05
1	Medium_chain_acyl_coenzyme_A_dehydrogenase_deficiency	7.600791073126458e-05
1	Seborrheic_dermatitis	7.571959404875985e-05
1	Emphysema	7.488860968359513e-05
1	Merosin_deficient_congenital_muscular_dystrophy	7.439076123650402e-05
1	Autoimmune_hemolytic_anemia	7.384273365621324e-05
1	Neonatal_intrahepatic_cholestasis_due_to_citrin_deficiency	7.373952593064094e-05
1	Multiple_sclerosis	7.363124856680466e-05
1	Anemia	7.262726245860127e-05
1	Iridocyclitis	7.164464710730445e-05
1	Aortic_aneurysm_familial_thoracic_7	7.090763856567949e-05
1	Congenital_muscular_dystrophy_due_to_partial_LAMA2_deficiency	7.033978238302884e-05
1	Citrullinemia_type_II	6.923099274768389e-05
1	Attention_Deficit_and_Disruptive_Behavior_Disorders	6.918318178919073e-05
1	Acute_lymphoid_leukemia	6.891433545060228e-05
1	Erythema_multiforme	6.599113943638242e-05
1	Classical_maple_syrup_urine_disease	6.537709651707791e-05
1	Intermediate_maple_syrup_urine_disease	6.535499584287447e-05
1	Maple_Syrup_Urine_Disease_Type_IA	6.524147396602476e-05
1	Osteoarthritis	6.47256904909261e-05
1	Intermittent_maple_syrup_urine_disease	6.413060916049171e-05
1	Maple_syrup_urine_disease	6.413060916049171e-05
1	Maple_syrup_urine_disease_type_2	6.270205317110379e-05
1	Urinary_tract_infectious_disease	6.143766681527708e-05
1	Vomiting	5.929031585414954e-05
1	Pulmonary_edema	5.898937663760458e-05
1	Leukoencephalopathy	5.8976834565588335e-05
1	Porencephaly	5.8976834565588335e-05
1	Megalencephaly	5.8976834565588335e-05
1	Nikolsky_sign	5.8976834565588335e-05
1	Schilder_disease	5.8976834565588335e-05
1	Cerebral_venous_angioma	5.8976834565588335e-05
1	Cortical_dysplasia	5.8976834565588335e-05
1	Encephalomalacia	5.8976834565588335e-05
1	Olivopontocerebellar_atrophy	5.8976834565588335e-05
1	Colpocephaly	5.8976834565588335e-05
1	Vein_of_Galen_aneurysmal_malformation	5.8976834565588335e-05
1	Acantholysis	5.8976834565588335e-05
1	Schizencephaly	5.8976834565588335e-05
1	Abnormal_cerebral_white_matter_morphology	5.8976834565588335e-05
1	Decreased_circulating_carnitine_concentration	5.7352045038338784e-05
1	Hydrocephalus	5.7325180039684933e-05
1	Disorder_of_basal_ganglia	5.72162703219742e-05
1	Brain_aneurysm	5.566484273288895e-05
1	Cerebral_arterial_aneurysm	5.566484273288895e-05
1	Juvenile_osteochondrosis_of_spine	5.265484493175089e-05
1	Pleural_effusion	4.7671712938268166e-05
1	Allergic_contact_dermatitis	4.600598768808641e-05
1	Bronchiectasis	4.5742451529466306e-05
1	Chronic_renal_failure_syndrome	4.5601508818752295e-05
1	Cirrhosis_of_liver	4.554491137414577e-05
1	Liver_failure	4.519539484871098e-05
1	Pain	4.501285774147422e-05
1	Fever	4.3635092656305085e-05
1	Hepatic_encephalopathy	4.329076176131683e-05
1	Neuralgia	4.252057084122241e-05
1	Myositis_disease	3.948338864127691e-05
1	Alzheimer_disease_type_1	3.900695917705338e-05
1	Neoplasm_of_lung	3.8883785695473214e-05
1	Retinitis_pigmentosa_57	3.795901993196651e-05
1	Chlamydial_infection	3.588337526447206e-05
1	Venous_thromboembolism	3.585082430683279e-05
1	Neoplasm_of_the_large_intestine	3.5848757500014286e-05
1	Duodenal_ulcer	3.572369097939696e-05
1	Refractory_anemia	3.487544786195784e-05
1	Hemorrhage	3.4309477935917635e-05
1	Anasarca	3.4132978195208914e-05
1	Myxedematous_form_of_cretinism	3.3873982366655516e-05
1	Colonic_neoplasm	3.3737465718664316e-05
1	Adult_myxedema	3.371767273182686e-05
1	Lymphedema_of_lower_extremity	3.3717571021098755e-05
1	Cystoid_macular_edema	3.3717571021098755e-05
1	Retinal_edema	3.3717571021098755e-05
1	Mouth_disorder	3.3717571021098755e-05
1	Urticaria	3.367311891184606e-05
1	Heart_failure	3.347900027702317e-05
1	Myxedema_heart_disease	3.346754484516454e-05
1	Myxedema	3.346754484516454e-05
1	Disorder_of_uvula_of_palate	3.346754484516454e-05
1	Silo_filler_disease	3.346754484516454e-05
1	Neonatal_disorder	3.346754484516454e-05
1	Drug-induced_acute_pulmonary_edema	3.346754484516454e-05
1	Disorder_characterized_by_edema	3.346754484516454e-05
1	Disorder_of_body_cavity	3.346754484516454e-05
1	Acute_cardiac_pulmonary_edema	3.346754484516454e-05
1	Acute_edema_-_cutaneous_distension_syndrome	3.346754484516454e-05
1	Penile_venereal_edema	3.346754484516454e-05
1	Juvenile_myxedema	3.346754484516454e-05
1	Eczema_craquelé_due_to_acute_edema	3.346754484516454e-05
1	Edema_of_nasopharynx	3.346754484516454e-05
1	Remitting_seronegative_symmetrical_synovitis_with_pitting_edema	3.346754484516454e-05
1	Acute_pulmonary_edema	3.346754484516454e-05
1	Lymphedema	3.346754484516454e-05
1	Lymphedema_of_lip	3.346754484516454e-05
1	Acute_edema_blisters	3.346754484516454e-05
1	Toxic_pulmonary_edema	3.346754484516454e-05
1	Lymphedema_of_penis	3.346754484516454e-05
1	Oxygen-induced_pulmonary_edema	3.346754484516454e-05
1	Congenital_disorder_of_glycosylation,_type_Ibb	3.346754484516454e-05
1	Chemical-induced_pulmonary_edema	3.346754484516454e-05
1	Pretibial_myxedema	3.346754484516454e-05
