multiplex	node	score
1	Keratoconjunctivitis	0.261159034599022
1	Allergic_conjunctivitis	0.004926132201539022
1	Colon_cancer	0.0016709782286772588
1	Seasonal_allergy	0.00042386744830613774
1	Allergic_rhinitis	0.00021193945636125664
1	Holocarboxylase_synthetase_deficiency	0.0001841547953308284
1	Biotinidase_deficiency	0.000165510614504057
1	Gingivostomatitis	9.622489408081164e-05
1	Seborrheic_dermatitis	9.05735433940879e-05
1	Duodenal_ulcer	7.563080858836475e-05
1	Neoplasm_of_stomach	6.882337703596763e-05
1	Vitiligo	6.645047989528051e-05
1	Female_hypogonadism	6.540547209494013e-05
1	Carcinoid_tumor	5.959320039179807e-05
1	Cholelithiasis	5.923430142881476e-05
1	Neoplasm_of_the_pancreas	5.919977207291342e-05
1	Gingival_disorder	5.6514343770546e-05
1	Breast_neoplasm	5.3094276812229656e-05
1	Periodontitis	5.263247332840389e-05
1	Neoplasm_of_the_skin	5.185683496091899e-05
1	Conjunctivitis	5.117466565838838e-05
1	Carcinoma_of_pancreas	5.0406048810476506e-05
1	Gastric_carcinoma	4.878105559959335e-05
1	Squamous_cell_carcinoma_of_the_head_and_neck	4.683195880342685e-05
1	Rectal_neoplasm	4.673400294666494e-05
1	Growth_failure	4.643603076786629e-05
1	Anorexia	4.347855009748003e-05
1	Colonic_neoplasm	4.3261048108821395e-05
1	Diabetes_mellitus_type_1	4.2974630660334765e-05
1	Renal_cell_carcinoma	4.0496772921836465e-05
1	Skin_disorder	3.872932748943541e-05
1	Anemia	3.498628798907723e-05
1	Hypertensive_disorder	3.470800152342374e-05
1	Pancreatic_adenocarcinoma	3.438491837555981e-05
1	Head_and_neck_neoplasm	3.430144738515425e-05
1	Alopecia	3.355949617327747e-05
1	Breast_carcinoma	3.261719801869985e-05
1	Vomiting	3.228194820425561e-05
1	Keratosis	2.9235786829393033e-05
1	Thrombocytopenia	2.9172491093997802e-05
1	Blindness	2.772908393801899e-05
1	Autism	2.560823969561217e-05
1	Head_and_neck_cancer	2.30036469188784e-05
1	Schizophrenia	1.931639121649708e-05
1	Epilepsy	1.668659679647007e-05
