multiplex	node	score
1	Lymphangiomyomatosis	0.24941513874011847
1	Colon_cancer	0.0009396047028070461
1	Renal_cell_carcinoma	0.0008070819687175448
1	Colorectal_cancer,_hereditary_nonpolyposis,_type_2	0.0007691313230364652
1	Colorectal_cancer,_susceptibility_to,_3	0.0007691313230364652
1	Pulmonary_lymphangiomyomatosis	0.0007691313230364652
1	Lynch_syndrome_1	0.0007400918393474004
1	Familial_adenomatous_polyposis_2	0.0007302650646193484
1	Non-small_cell_lung_carcinoma	0.0005119749697873333
1	Small_cell_lung_carcinoma	0.0003628406160907143
1	Rheumatoid_arthritis	0.00014138136274527378
1	Thyroid_tumor	0.00010778626882140734
1	Neoplasm_of_the_pancreas	0.00010215980480105193
1	Melanoma	9.639979398505984e-05
1	Neoplasm_of_stomach	9.222776456153487e-05
1	Obesity	7.752050474675537e-05
1	Carcinoid_tumor	6.80122297066483e-05
1	Tsc2_angiomyolipomas_renal_modifier_of	5.515005033210651e-05
1	Kidney_angiomyolipoma	5.4573657196971154e-05
1	Subependymal_giant_cell_astrocytoma	5.098838757339062e-05
1	Tuberous_sclerosis_2	4.935561227962799e-05
1	Neoplasm_of_ovary	4.832373284668304e-05
1	Tuberous_sclerosis_syndrome	4.754466994440526e-05
1	Neuroblastoma	4.637639256733582e-05
1	Wilson_disease	4.625570245248105e-05
1	Medullary_thyroid_carcinoma	4.5755015374145206e-05
1	Osteosarcoma	4.286304672418844e-05
1	Female_hypogonadism	4.006495849331758e-05
1	Idiopathic_Pulmonary_Fibrosis	3.740838694893241e-05
1	Wolff_Parkinson_White_pattern	3.735125041363222e-05
1	Complex_Partial_Seizure	3.669835660828907e-05
1	Benign_essential_blepharospasm	3.6546203475914766e-05
1	Metastasis	3.574971142112987e-05
1	Hepatocellular_carcinoma	3.3341973491603855e-05
1	Facial_paralysis	3.290658970797474e-05
1	Hypercalcemia	3.2895432822716886e-05
1	Endometriosis	3.264711978775438e-05
1	Hyperparathyroidism	3.247509041773976e-05
1	Prolactin_producing_pituitary_gland_adenoma	3.17835387410111e-05
1	Lung_cancer	3.1097669559463805e-05
1	Hypophosphatemia	3.074233186386439e-05
1	Pituitary_adenoma	3.056583244603635e-05
1	Rectal_neoplasm	3.051709198918571e-05
1	Chronic_bronchitis	3.0208955333684413e-05
1	Dyspareunia	2.983841483701293e-05
1	Basal_cell_carcinoma	2.9779813366778346e-05
1	Carcinoma_of_pancreas	2.9709916097904078e-05
1	Minimally_invasive_lung_adenocarcinoma	2.8664634815013777e-05
1	Headache	2.8130790290108518e-05
1	Erectile_dysfunction	2.786154589304633e-05
1	Pulmonary_fibrosis	2.7798182334882897e-05
1	Non_small_cell_lung_carcinoma	2.672571296457144e-05
1	Coronary_artery_disorder	2.66591032259438e-05
1	Lung_adenocarcinoma	2.6607788863679625e-05
1	Bronchiectasis	2.6256183372666024e-05
1	Gastrointestinal_stromal_tumor	2.55064871074997e-05
1	Otitis_media	2.507347743338611e-05
1	Allergic_contact_dermatitis	2.5058890456798e-05
1	Skin_ulcer	2.4915021296875197e-05
1	Coarctation_of_aorta	2.464428443261328e-05
1	Atrial_fibrillation	2.4566082070900445e-05
1	Preeclampsia	2.4350913705281018e-05
1	Behcet_disease	2.3644587606137406e-05
1	Adrenal_cortex_carcinoma	2.3643725338357584e-05
1	Prostate_neoplasm	2.352268055241761e-05
1	Hypokalemia	2.3257565348746876e-05
1	Malignant_tumor_of_prostate	2.3009358627368212e-05
1	Head_and_neck_neoplasm	2.2982221308182454e-05
1	Neoplasm_of_brain	2.2890011243384434e-05
1	Acute_myeloid_leukemia	2.229449162606932e-05
1	Colonic_neoplasm	2.1816352101004636e-05
1	Cancer_of_the_pancreas	2.180016071462544e-05
1	Chronic_hepatitis_B_virus_infection	2.1517317971006944e-05
1	Abnormality_of_the_coagulation_cascade	2.1430896609735363e-05
1	Pancreatic_adenocarcinoma	2.1355623493355566e-05
1	Neoplasm_of_the_skin	2.116054170897421e-05
1	Crohn_disease	2.1089564938217227e-05
1	Sezary_syndrome	2.082825881776515e-05
1	Squamous_cell_carcinoma_of_the_head_and_neck	2.07313000714636e-05
1	Breast_carcinoma	2.0690249176358834e-05
1	Neoplasm_of_uterus	2.0352263402724444e-05
1	Blindness	1.985865049135954e-05
1	Ischemic_encephalopathy	1.9691709783745462e-05
1	Myeloid_leukemia	1.9509785601832108e-05
1	Leukocytosis	1.9058196671627493e-05
1	Alcohol_dependence	1.892390960890003e-05
1	Erythema_nodosum	1.8349194962066517e-05
1	Hairy_cell_leukemia	1.7761972123744006e-05
1	Chronic_granulomatous_disease	1.7498470213106625e-05
1	Cardiac_arrhythmia	1.725189280135965e-05
1	Keratosis	1.7157421559542457e-05
1	Hypoglycemia	1.7065541687130484e-05
1	Heartburn	1.704974423505601e-05
1	Macular_degeneration	1.6971982679462715e-05
1	Breast_neoplasm	1.6825132513232503e-05
1	DICER1-related_tumor_predisposition	1.679283194218038e-05
1	Lung_cancer,_protection_against	1.679283194218038e-05
1	Pleuropulmonary_blastoma	1.679283194218038e-05
1	Disorder_of_orbital_region	1.6538144529491368e-05
1	Sarcoma	1.6286323863678235e-05
1	Non_Hodgkin_lymphoma	1.6270858974842845e-05
1	Neoplasm_of_lung	1.5684319879045948e-05
1	Essential_thrombocythemia	1.5310637472731588e-05
1	Psychotic_disorder	1.5068858308580156e-05
1	Lymphoma	1.4651867925506636e-05
1	Acquired_polycythemia_vera	1.4341873646612335e-05
1	Primary_dilated_cardiomyopathy	1.373005769340642e-05
1	AIDS_Related_Kaposi_Sarcoma	1.3662231998025536e-05
1	Spasticity	1.3516733267307414e-05
1	Psoriasis	1.2762815277832967e-05
1	Relapsing_remitting_multiple_sclerosis	1.2681469210438623e-05
1	Hepatitis_C_Chronic	1.1486589290269405e-05
1	Chronic_discoid_lupus_erythematosus	1.1068129317272065e-05
1	Nephroblastoma	1.105089876354218e-05
1	Neoplasm_of_the_large_intestine	1.061730331950007e-05
1	Depression	1.0601061283194537e-05
1	Epilepsy	9.70932670393831e-06
1	Nystagmus	9.027465178269568e-06
1	Head_and_neck_cancer	8.431886489339837e-06
1	Gastric_carcinoma	8.427975212466363e-06
1	Retinoblastoma	8.406300107411312e-06
1	Ependymoma	7.5254542531236915e-06
1	Uveitis	7.349288535756369e-06
1	Multiple_myeloma	6.997613148930218e-06
1	Malignant_tumor_of_breast	6.9969230915821334e-06
1	Hemangioma	6.8415830668230425e-06
1	Waldenstrom_macroglobulinemia	6.323205366852972e-06
1	Lymphoid_leukemia	5.866484977998799e-06
1	Hb_SS_disease	5.8651452863291995e-06
1	Astrocytoma	5.8228761583830985e-06
1	Bladder_neoplasm	5.757248490727316e-06
1	Gynecomastia	5.560403841334399e-06
1	Rhabdomyosarcoma	5.460259833968535e-06
1	Carcinoid_syndrome	5.443668642292595e-06
1	Erythema_multiforme	5.438825132550246e-06
1	Squamous_cell_carcinoma	5.374695916894965e-06
1	Osteoarthritis	5.278161252013003e-06
1	Emphysema	5.2538149821186e-06
1	Renal_neoplasm	5.215850371636978e-06
1	Neoplasm_of_esophagus	5.1078218285705195e-06
1	Tuberous_sclerosis_1	5.03982242877646e-06
1	Leiomyoma	5.037279190782813e-06
