multiplex	node	score
1	Oligomenorrhea	0.2542622021746708
1	Metrorrhagia	0.0030548439089762127
1	Polymenorrhea	0.002767838172950797
1	Menorrhagia	0.0018977604607084437
1	Amenorrhea	0.0016523394070781356
1	Hyperprolactinemia	0.0002508871407956332
1	Infertility_disorder	0.0002318364268862549
1	PLIN1_related_familial_partial_lipodystrophy	0.00013654734965426365
1	Central_precocious_puberty	0.00013030906326153604
1	Ovarian_cyst	0.00011662238012729192
1	Delayed_puberty	0.00011210601963422534
1	Factor_XIII,_b_subunit,_deficiency_of	0.0001088978661498723
1	Endometriosis	0.00010445679322425622
1	Prader_Willi_like_syndrome_associated_with_chromosome_6	9.795052792901678e-05
1	Ocular_hypertension	9.60221312292474e-05
1	Prader_Willi_syndrome	9.201620321254395e-05
1	PWCR	8.82047023438889e-05
1	Developmental_delay_with_autism_spectrum_disorder_and_gait_instability	8.494986598509567e-05
1	Hypopituitarism	7.840590539685808e-05
1	PPARG_related_familial_partial_lipodystrophy	7.733359714858999e-05
1	Female_infertility	7.713112442542434e-05
1	Secondary_amenorrhea	7.622282984085177e-05
1	Prolactin_producing_pituitary_gland_adenoma	7.48843499412301e-05
1	1720_lyase_deficiency_isolated	7.312463333488572e-05
1	Deficiency_of_steroid_17_alpha_monooxygenase	7.279115303055466e-05
1	Hypogonadism	6.911158541503089e-05
1	Acromegaly	6.55849205806894e-05
1	Precocious_puberty	6.528372260978815e-05
1	Dysmenorrhea	6.492891181104805e-05
1	Metabolic_alkalosis	6.461057360020723e-05
1	Adenoma	5.8625131474407975e-05
1	Gingival_bleeding	5.654860409700598e-05
1	Malignant_hypertension	5.6382385937880913e-05
1	Acne	5.6371438868881096e-05
1	Somatotroph_adenoma	5.499270293139104e-05
1	Neoplasm_of_the_pituitary_gland	5.191365464173283e-05
1	Rosacea	5.090511947899202e-05
1	Leanness_inherited	5.0898578614548404e-05
1	Adrenogenital_syndrome	4.8969762941717695e-05
1	Decreased_pulmonary_function	4.766159424303815e-05
1	Endometrial_carcinoma	4.753184920466289e-05
1	Hyperplasia_of_the_endometrium	4.4563682967634155e-05
1	Cerebral_palsy	4.1448242520773964e-05
1	Migraine	4.09082629735948e-05
1	Hyperuricemia	4.074215594314536e-05
1	Neuralgia	4.054743927501123e-05
1	Hypoalphalipoproteinemia	3.668940620513556e-05
1	Osteoporosis	3.508733194226486e-05
1	Hyperkalemia	3.401085773319119e-05
1	Insulin_resistance_susceptibility_to	3.33325977886634e-05
1	TYPE_2_DIABETES_MELLITUS_PROTECTION_AGAINST	3.173142564955371e-05
1	Hypokalemia	3.151718627474485e-05
1	Parkinson_disease	3.057235055126389e-05
1	Dyskinesia	2.8159103697296954e-05
1	Edema	2.686055861586166e-05
1	Hypertensive_disorder	2.5766025315330294e-05
1	Osteopenia	2.572953926598936e-05
1	Liver_failure	2.568271936776098e-05
1	Malignant_tumor_of_breast	2.560984615612424e-05
1	Epilepsy	2.2201785689250656e-05
1	Fatigue	2.172861139567687e-05
1	Glioma	2.0845057340325228e-05
1	Vomiting	2.064655023661197e-05
1	Neoplasm_of_the_pancreas	2.010083858705929e-05
1	Diabetes_mellitus	1.986979405239369e-05
1	Constipation	1.9016568304972525e-05
1	Alcohol_dependence	1.7566949525391823e-05
1	Pituitary_adenoma	1.7493468554779594e-05
1	Epistaxis	1.5630582839346784e-05
1	Hypogonadotropic_hypogonadism	1.4344645675708426e-05
1	Heart_failure	1.3579117766149612e-05
1	Polycystic_ovaries	1.324050539376447e-05
1	Female_hypogonadism	1.3170780965667934e-05
1	Obesity	1.3062030520731666e-05
1	Cryptorchidism	1.237509071767625e-05
1	Hypergonadotropic_hypogonadism	1.2138942450431211e-05
1	Prostate_neoplasm	1.2025491970428523e-05
1	Gynecomastia	1.0984897314621588e-05
1	Breast_neoplasm	1.0971139952923325e-05
1	Erectile_dysfunction	1.0447249103655114e-05
1	Male_hypogonadism	9.88759943808184e-06
1	Hyperplasia_of_prostate	9.672782479176881e-06
1	Androgen_insufficiency	9.585324385587462e-06
1	Parkinsonian_disorder	9.051465007793713e-06
1	Nasal_congestion	8.994665047218283e-06
1	Male_infertility	8.960400762666143e-06
1	Attention_deficit_hyperactivity_disorder	8.460456714521798e-06
1	Rhinitis	8.4126324422697e-06
1	Diarrhea	8.008958076064381e-06
1	Premature_ovarian_insufficiency	7.967601027586365e-06
1	Factor_XIII,_A_subunit,_deficiency_of	7.818274792739604e-06
1	Irregular_menstruation	7.746907484379094e-06
1	Dyspareunia	7.4439917184912105e-06
1	Anorexia	7.2084658944291525e-06
1	Endometrium_neoplasm	7.0993413252554734e-06
1	Seizure	6.444163816559891e-06
1	Gingival_disorder	6.233742879017867e-06
1	Periodontitis	6.231595735323876e-06
1	HIV_wasting_syndrome	5.941120050988265e-06
1	Carcinoid_tumor	5.9114986500494956e-06
1	Cancer_of_the_pancreas	5.900816777655885e-06
1	Premature_birth_of_newborn	5.793472351934037e-06
1	Gingivitis	5.732925846899548e-06
1	Neoplasm_of_ovary	5.7214954968072e-06
1	Growth_retardation	5.69521462754218e-06
1	Abdominal_obesity	5.693194393868548e-06
1	Hypervolemia	5.657843918937469e-06
1	Growth_failure	5.464822068144987e-06
1	Cushing_syndrome	5.358092053906106e-06
1	Hemorrhage	5.2808883624300755e-06
1	Drug_induced_dyskinesia	5.274314513888182e-06
1	Abnormality_of_the_coagulation_cascade	5.227896947752274e-06
1	Myalgia	5.067567465558113e-06
1	Schizophrenia	5.039385723105214e-06
1	Dystonic_disorder	4.9548657614221515e-06
1	Premature_ovarian_failure	4.92989880003601e-06
1	Uterine_leiomyoma	4.9086891780491885e-06
1	Noonan_syndrome	4.651721752610097e-06
1	Alzheimer_disease	4.649096435469566e-06
