multiplex	node	score
1	Otitis_media	0.23661750632017098
1	Infection_of_bone	0.002314032363607057
1	Epididymitis	0.0023059536148893655
1	Pneumonia	0.0014257279275540252
1	Prostatitis	0.0010037186205769733
1	Osteomyelitis	0.000909883998326093
1	Sinusitis	0.0008489835851601681
1	Periodontitis	0.0007450713818690168
1	Encephalitis	0.0006996190292265379
1	Cholesteatoma	0.0005160236391976475
1	Cholangitis	0.0003645535077319661
1	Nephritis	0.0003426263286556668
1	IgE_mediated_allergic_disorder	0.0003249068864735415
1	Gingivostomatitis	0.0003176290542845442
1	Urinary_bladder_inflammation	0.0003125241194123968
1	Gingival_disorder	0.00030772526732692916
1	Oral_ulcer	0.0002494854273679087
1	Obesity	0.00021697099119961168
1	Recurrent_E._coli_infections	0.00020016578312526847
1	Lower_respiratory_tract_infection	0.00018978916237326877
1	Meningococcal_meningitis	0.0001839306886885192
1	Dermatitis	0.00018143841156830458
1	Thyroiditis	0.00017756562475268283
1	Aphthous_stomatitis	0.00017092584969495545
1	Streptococcal_pneumonia	0.0001605937702365351
1	Peritonitis	0.00016003912255904717
1	Meningitis	0.0001579978692008161
1	Cough	0.00015255059500948224
1	Stomatitis	0.00015250672992689525
1	Urinary_tract_infectious_disease	0.00014010939246437276
1	Pancreatitis	0.00012915973980033284
1	Acne	0.00011581779513272525
1	Sepsis	0.00011450950016911873
1	Premature_ovarian_failure	0.0001102611264324281
1	Panniculitis	0.00010760028226235825
1	Lymphadenitis	0.00010760028226235825
1	Pruritus	0.000106462787395314
1	Disorder_of_nasal_sinus	0.00010536211227263341
1	Arthritis	0.00010257644144090223
1	Inflammatory_abnormality_of_the_skin	9.688106451181588e-05
1	Enteritis	9.629001406723521e-05
1	Endocarditis	9.295376681838872e-05
1	Dacryocystitis	9.287314600505157e-05
1	Cellulitis	9.021389052029537e-05
1	Periodontal_disorder	8.426807656918541e-05
1	Pollakisuria	8.043887659273131e-05
1	Chronic_bronchitis	7.979726985470687e-05
1	Myositis_disease	7.790720656319664e-05
1	Leukocyte_adhesion_deficiency_type_II	7.559477961706659e-05
1	Chronic_discoid_lupus_erythematosus	7.190196250005458e-05
1	Granulomatous_disease_chronic_autosomal_recessive_cytochrome_b_positive_type_3	6.972315051829623e-05
1	Autosomal_recessive_osteopetrosis_8	6.494412278950554e-05
1	Vaginitis	6.366042535418012e-05
1	Rheumatoid_arthritis	6.276642279218039e-05
1	Autosomal_recessive_osteopetrosis_4	6.131809949584773e-05
1	Granulomatous_disease_chronic_autosomal_recessive_cytochrome_b_positive_type_2	6.0976141488091913e-05
1	Purine_nucleoside_phosphorylase_deficiency	5.943315353383381e-05
1	Autosomal_dominant_osteopetrosis_2	5.8007292834682124e-05
1	Fever	5.6580038160624255e-05
1	Bronchiectasis	5.384200341720438e-05
1	Granulomatous_disease_chronic_autosomal_recessive_cytochrome_b_negative	5.382825995799507e-05
1	Granulomatous_disease_chronic_X_linked	5.110262820364696e-05
1	Exanthem	4.99381698899121e-05
1	X_linked_cone_rod_dystrophy_1	4.987768495524486e-05
1	X_linked_severe_combined_immunodeficiency	4.987301573635059e-05
1	Thanatophoric_dysplasia_type_1	4.884515173424649e-05
1	Facial_paralysis	4.837555473581696e-05
1	Autosomal_recessive_osteopetrosis_1	4.8368464396104025e-05
1	Retinitis_pigmentosa_3	4.769909155384349e-05
1	Cone_dystrophy_1_X_linked	4.769909155384349e-05
1	Infectious_disease_of_lung	4.74486808980141e-05
1	Diarrhea	4.481810407197301e-05
1	Hypercalcemia	4.4163155464673616e-05
1	X_linked_agammaglobulinemia	4.2383991490283766e-05
1	Bronchiolitis	4.125499357475637e-05
1	Fasciitis	4.014746637065027e-05
1	Hepatitis	4.014157622559672e-05
1	Pulmonary_hypertension	3.947659632140088e-05
1	Nephrotic_syndrome	3.832419042920179e-05
1	Breast_neoplasm	3.4683626066360565e-05
1	Premature_ovarian_insufficiency	3.387147396891354e-05
1	Chronic_granulomatous_disease	3.354746254149214e-05
1	Thanatophoric_dysplasia_type_2	3.315347246169022e-05
1	Alstrom_syndrome	3.293107559078384e-05
1	Adrenal_insufficiency	3.276926433232636e-05
1	Cervical_cancer	3.253416442783911e-05
1	Achondroplasia	3.2274617279062544e-05
1	Duodenal_ulcer	3.187257857003479e-05
1	Uveitis	3.087499999632773e-05
1	Neuroblastoma	3.0259186386537575e-05
1	T_cell_acute_lymphoblastic_leukemia	3.0103967088263525e-05
1	Headache	2.9303188049770533e-05
1	Pyelonephritis	2.90855350393941e-05
1	Levy_Hollister_syndrome	2.896273810202128e-05
1	Zollinger_Ellison_syndrome	2.7992833351298564e-05
1	Skin_disorder	2.7924269134185236e-05
1	B_cell_chronic_lymphocytic_leukemia	2.7465776394644988e-05
1	Pulmonary_fibrosis	2.7426190249920033e-05
1	Tremor	2.6796629292303053e-05
1	EMBRYONAL_CELL_CARCINOMA	2.5658033592234684e-05
1	Bacterial_infection_of_skin	2.5445885395153344e-05
1	Heartburn	2.5256573556680845e-05
1	Emphysema	2.4797818219084392e-05
1	Insulin_resistance	2.461182840248715e-05
1	Yolk_sac_tumor	2.4066812137191254e-05
1	Rhabdomyosarcoma	2.3980969782741766e-05
1	Febrile_seizure_within_the_age_range_of_3_months_to_6_years	2.343540803926439e-05
1	Osteopenia	2.3348284482516395e-05
1	Wolff_Parkinson_White_pattern	2.3315973792941e-05
1	Atonic_seizure	2.2813462392253406e-05
1	Prostate_neoplasm	2.2382473322595907e-05
1	Diabetes_insipidus	2.234153506258386e-05
1	Seminoma	2.215146167732327e-05
1	Paronychia	2.2075988784901916e-05
1	Erysipelas	2.205217938677406e-05
1	Hyperuricemia	2.1898929160849226e-05
1	Spermatocytic_seminoma	2.154302863286489e-05
1	Kidney_failure	2.067277506360569e-05
1	Idiopathic_Pulmonary_Fibrosis	2.0516247127136014e-05
1	Macular_degeneration	2.025512682381678e-05
1	Prolactin_producing_pituitary_gland_adenoma	2.0235939094078873e-05
1	Bacterial_endocarditis	2.008209001672069e-05
1	Brain_abscess	2.0069476243119238e-05
1	Lymphangiomyomatosis	1.968137875346727e-05
1	Spondylolysis	1.9380997827293368e-05
1	Irregular_menstruation	1.9168579867979256e-05
1	Conjunctivitis	1.8863748504160615e-05
1	Respiratory_insufficiency	1.8463359114898567e-05
1	Rhinitis	1.8319281677072456e-05
1	Hyperaldosteronism	1.8267249682993112e-05
1	Pituitary_adenoma	1.823914139734822e-05
1	Osteoporosis	1.8109222917368957e-05
1	Endometriosis	1.7498435247708478e-05
1	Hyperkalemia	1.698058185455845e-05
1	Urinary_urgency	1.6483496084758723e-05
1	Gingivitis	1.6354054576218236e-05
1	Astrocytoma	1.635324865193646e-05
1	Abnormality_of_the_coagulation_cascade	1.6289302291641323e-05
1	Asthma	1.627853665828547e-05
1	Transitional_cell_carcinoma	1.5637220691013014e-05
1	Mastocytosis	1.545807216711696e-05
1	Ischemic_encephalopathy	1.5414630976290302e-05
1	Rosacea	1.5279507792465635e-05
1	Staphylococcal_infection	1.526766536044373e-05
1	Nasal_polyposis	1.5252940239481539e-05
1	Glioma	1.5103433821468562e-05
1	gastroenteritis	1.5102110710135367e-05
1	Erythroderma	1.5077774248755884e-05
1	Alcohol_dependence	1.4977584547588005e-05
1	Neoplasm_of_the_pancreas	1.453731404736199e-05
1	Erectile_dysfunction	1.432592203139569e-05
1	Constipation	1.4270305981486836e-05
1	Pleural_effusion	1.4263292576670879e-05
1	Cholecystitis	1.4243215664986877e-05
1	Hepatic_encephalopathy	1.4091839461741512e-05
1	Anemia	1.3990403417988373e-05
1	Tuberculosis	1.3923432792804887e-05
1	Pericarditis	1.3618851553585156e-05
1	Nasal_congestion	1.3607864840897763e-05
1	Cachexia	1.351753964036558e-05
1	Neoplasm_of_lung	1.3363094203065454e-05
1	Hypogonadism	1.3300566238280432e-05
1	Crohn_disease	1.2928430980989195e-05
1	Ulcerative_colitis	1.2909480349623033e-05
1	Osteoarthritis	1.2768755703533283e-05
1	Neoplasm_of_brain	1.273204734788323e-05
1	Cholelithiasis	1.235662569285432e-05
1	Menorrhagia	1.2250041884256342e-05
1	Kidney_damage	1.2203584660071484e-05
1	Gastroesophageal_reflux_disease	1.1899924995807581e-05
1	Systemic_lupus_erythematosus	1.1639343707603472e-05
1	Allergic_rhinitis	1.1600712410257916e-05
1	Urticaria	1.151056509605097e-05
1	Carious_teeth	1.1449019085140755e-05
1	Cirrhosis_of_liver	1.1399619898441042e-05
1	Priapism	1.1394886798223927e-05
1	Hypertensive_disorder	1.136809447058596e-05
1	Growth_failure	1.1166019947606522e-05
1	Urinary_incontinence	1.0939821821271415e-05
1	Depression	1.0907852867652131e-05
1	Psoriatic_arthritis	1.0896262900579623e-05
1	Disorder_of_orbital_region	1.0850297465028788e-05
1	Vomiting	1.0827883219530112e-05
1	Pulmonary_arterial_hypertension	1.0708614860684797e-05
1	Thyroid_tumor	1.0569837955967772e-05
1	Cardiomyopathy	1.0376852690354708e-05
1	Paranasal_sinus_neoplasm	1.023606802917104e-05
1	Alopecia	1.0057227889613864e-05
1	Esophagitis	1.0040016540963075e-05
1	Hemorrhage	9.910625021557108e-06
1	Enterocolitis	9.778200756567378e-06
1	Lymphoma	9.730110756962981e-06
1	Rickettsiosis	9.728863205244157e-06
1	Autoimmune_hemolytic_anemia	9.651813940647964e-06
1	Iridocyclitis	9.638756026785746e-06
1	Duchenne_muscular_dystrophy	9.580294523564464e-06
1	Cystic_fibrosis	9.230662506772537e-06
1	Renal_insufficiency	9.223407927733213e-06
1	Type_2_diabetes_mellitus	9.090807092823796e-06
1	Laryngeal_edema	9.053020281231867e-06
1	Malignant_lymphoma_large_B_cell_diffuse	8.961779246019754e-06
1	Chronic_diarrhea	8.804897157248251e-06
1	Major_depressive_disorder	8.656634935055778e-06
1	Attention_deficit_hyperactivity_disorder	8.651462398159471e-06
1	Allergy	8.650868139788236e-06
1	Renovascular_hypertension	8.554300020175348e-06
1	Dysuria	8.502548310981994e-06
1	Hyperglycemia	8.493367359683663e-06
1	Gastric_ulcer	8.442061039490013e-06
1	Keloid	8.370419102657216e-06
1	Edema	8.355957433786741e-06
1	Biliary_cirrhosis	8.3161645462123e-06
1	Acute_lymphoid_leukemia	8.213793788790613e-06
1	Nocturia	8.175781221107978e-06
1	Hypotension	8.127560586732315e-06
1	Autoimmune_disease	8.081926025472541e-06
1	Chlamydial_infection	8.044967645099478e-06
1	Angioedema	7.97208596741087e-06
1	Hyperpigmentation_of_the_skin	7.954223704598567e-06
1	Congenital_generalized_lipodystrophy	7.8328037483461e-06
1	Eczematoid_dermatitis	7.830107112159472e-06
1	Migraine	7.774276991387293e-06
1	Female_hypogonadism	7.745987237104816e-06
1	Primary_biliary_cholangitis	7.72699599032598e-06
1	West_syndrome	7.718757684460472e-06
1	Varicose_disease	7.438007037503017e-06
1	Corneal_ulceration	7.434280311839334e-06
1	Peptic_ulcer	7.426643991029135e-06
1	Arthralgia	7.391378249606159e-06
1	Synovitis	7.3528767708927775e-06
1	Psoriasis	7.316373808479745e-06
1	Inflammatory_bowel_disease	7.236698033098808e-06
1	Beta_thalassemia_major	7.1999740396333105e-06
1	COG4_congenital_disorder_of_glycosylation	7.1639481804129675e-06
1	Erythema_nodosum	7.134541554959869e-06
1	Spermatocele	6.972752407973108e-06
1	Aseptic_necrosis_of_bone	6.96398956115418e-06
1	Bone_Infarction	6.96398956115418e-06
1	Bone_necrosis	6.96398956115418e-06
1	Aseptic_necrosis	6.96398956115418e-06
1	Goiter	6.93678078035481e-06
1	Purpura	6.918337742766057e-06
1	Basal_cell_carcinoma	6.9179563300200995e-06
1	Lymphadenopathy	6.878803871627046e-06
1	Lipodystrophy	6.878803871627046e-06
1	Glaucoma	6.852133663696439e-06
1	Lymphoid_leukemia	6.83709682117323e-06
1	Hypertrophic_cardiomyopathy	6.8141242104674335e-06
1	Stroke_disorder	6.810547641347578e-06
1	Pain	6.732735592325683e-06
1	Respiratory_tract_congestion	6.6573899582225285e-06
1	Blepharitis	6.654397879814898e-06
1	Congenital_adrenal_hyperplasia	6.5030711063059835e-06
1	Palmoplantar_keratosis	6.480786620264666e-06
1	Gynecomastia	6.455813271997053e-06
1	Dyslipidemia	6.323109702418551e-06
1	Neoplasm_of_stomach	6.264651662187604e-06
1	Contact_dermatitis	6.250294170869841e-06
1	Epidermolytic_hyperkeratosis_1	6.186058668689e-06
1	Thrombotic_disease	6.177797762707639e-06
1	Gouty_arthropathy	6.163537912418263e-06
1	Hyperlipidemia	6.142190126215996e-06
1	Amyloidosis	6.133292882907245e-06
1	Interstitial_cystitis	6.113781653528463e-06
1	Diamond_Blackfan_anemia	6.11286499703201e-06
1	Burkitt_lymphoma	6.021562893799388e-06
1	Gastrointestinal_hemorrhage	5.957464541119333e-06
1	Lennox_Gastaut_syndrome	5.952912515827552e-06
1	Primary_adrenocortical_insufficiency	5.952709009679658e-06
1	Acquired_partial_lipodystrophy	5.951119768523802e-06
1	Ovarian_cyst	5.9339460921882285e-06
1	Solar_lentigo	5.9251630564257e-06
1	Intermittent_claudication	5.83493386096727e-06
1	Colitis	5.8206393780161175e-06
1	Primary_dilated_cardiomyopathy	5.816526195355349e-06
1	Periapical_bone_loss	5.789133611987609e-06
1	Radicular_cyst	5.789133611987609e-06
1	Myopathy	5.6966667664112234e-06
1	Behcet_disease	5.679394324559877e-06
1	Gastritis	5.651816051063631e-06
1	Cancer_of_the_pancreas	5.616230203445974e-06
1	Cerebral_edema	5.535970605090872e-06
1	Cardiac_arrhythmia	5.512623865352199e-06
1	Nausea	5.494807116372051e-06
1	Keratitis	5.493724576962358e-06
1	Anhidrosis	5.461606159537659e-06
1	Retinitis_pigmentosa_42	5.461606159537659e-06
1	Cutis_laxa,_autosomal_dominant_2	5.461606159537659e-06
1	Chronic_obstructive_pulmonary_disease	5.445911271465514e-06
1	Narcolepsy	5.426698600814879e-06
1	Seasonal_affective_disorder	5.411897533428373e-06
1	Retinitis_pigmentosa_35	5.335251249833613e-06
1	Gingival_overgrowth	5.329568397161405e-06
1	Hypertrophy_of_gingiva	5.329568397161405e-06
1	Hyperplasia_of_gingiva	5.329568397161405e-06
1	Gingival_recession	5.329568397161405e-06
1	Disorder_of_lung	5.31926220900895e-06
1	Joint_hemorrhage	5.303353443650515e-06
1	Vertigo	5.295558993567377e-06
1	Systemic_sclerosis	5.190649406580085e-06
1	Atopic_eczema	5.151614994548798e-06
1	Dermatographic_urticaria	5.080973381443774e-06
1	Neoplasm_of_the_large_intestine	5.019520962451523e-06
1	Primary_cutaneous_T_cell_lymphoma	5.0128581501408005e-06
1	Ichthyosis	5.007656413353547e-06
