multiplex	node	score
1	Periodontitis	0.2374644034650884
1	Sinusitis	0.00265974754311229
1	Gingivostomatitis	0.0025855211846644056
1	Pneumonia	0.0013161661874757182
1	Otitis_media	0.0008214115616442186
1	Chlamydial_infection	0.0006581739406674235
1	Pleural_effusion	0.0006264346642644939
1	Rickettsiosis	0.0005225454092282111
1	Gingival_disorder	0.0004606544672101997
1	Stomatitis	0.0003481903747477399
1	Infection_of_bone	0.0003084880639438097
1	Fever	0.0003060133984042417
1	Nephritis	0.0002895218035837017
1	Prostatitis	0.00026564310008113406
1	Urinary_tract_infectious_disease	0.0002443117746421846
1	Conjunctivitis	0.00023151631650205923
1	Epididymitis	0.00022793989242479083
1	Cholangitis	0.00020378751082867407
1	Dermatitis	0.00019792814027563856
1	Gingivitis	0.00019495250014111299
1	Acne	0.00017951753125762453
1	Urinary_bladder_inflammation	0.00016484805043554752
1	Osteomyelitis	0.00016334450181683906
1	Periapical_bone_loss	0.00014541016398200973
1	Radicular_cyst	0.00014541016398200973
1	Gingival_recession	0.0001360971926064672
1	Hypertrophy_of_gingiva	0.0001360971926064672
1	Gingival_overgrowth	0.0001360971926064672
1	Hyperplasia_of_gingiva	0.0001360971926064672
1	Gingival_bleeding	0.00011671422236789013
1	Odontogenic_neoplasm	0.00011522750414650467
1	Thyroiditis	0.00011416034428364256
1	Periapical_granuloma	0.0001100865666691035
1	Pancreatitis	0.0001071745447541993
1	Arthritis	9.900862422006097e-05
1	Gingival_fibromatosis	9.280909610876586e-05
1	Hereditary_gingival_fibromatosis	9.280909610876586e-05
1	Leukocyte_adhesion_deficiency_type_II	8.535141558634355e-05
1	Pimple	7.762608415000755e-05
1	Periodontal_disorder	7.572913607311916e-05
1	Panniculitis	7.474121576921616e-05
1	Lymphadenitis	7.474121576921616e-05
1	Hermansky_Pudlak_syndrome_2	7.390866145712072e-05
1	Disorder_of_nasal_sinus	7.318764435710451e-05
1	Abnormal_dental_morphology	7.299684871230393e-05
1	Abnormality_of_the_dentition	7.299684871230393e-05
1	Myositis_disease	6.928605588954298e-05
1	Inflammatory_abnormality_of_the_skin	6.729512147584547e-05
1	Neutropenia_severe_congenital_1_autosomal_dominant	6.5937964057037e-05
1	Endocarditis	6.456802477025922e-05
1	Ulcerative_colitis	6.355901048029852e-05
1	Dyskeratosis_congenita_autosomal_recessive_3	6.333046345134003e-05
1	Cyclical_neutropenia	6.20555546380353e-05
1	Acetabular_dysplasia	6.055999772020884e-05
1	Leukocyte_adhesion_deficiency_1	5.937314823554784e-05
1	Blepharitis	5.6178013761888164e-05
1	Hypercalcemia	5.6044474112431485e-05
1	Pruritus	5.569380273974007e-05
1	Dyskeratosis_congenita_autosomal_recessive_5	5.497471790584613e-05
1	Dyskeratosis_congenita_autosomal_recessive_1	5.395732031648153e-05
1	Chronic_discoid_lupus_erythematosus	5.298870848855193e-05
1	Dyskeratosis_congenita_autosomal_dominant_4	5.265497379436461e-05
1	Chédiak_Higashi_syndrome	5.155162602536723e-05
1	Cough	5.141827432813006e-05
1	Hajdu_Cheney_syndrome	5.0732932476837304e-05
1	Anemia	5.045754447083503e-05
1	Pulmonary_fibrosis	4.860546149131917e-05
1	Ehlers_Danlos_syndrome_type_4	4.757715330072103e-05
1	Dyskeratosis_congenita_autosomal_dominant_1	4.743287040777387e-05
1	Alagille_syndrome_due_to_a_NOTCH2_point_mutation	4.6999488422466576e-05
1	Dyskeratosis_congenita_X_linked	4.6191191466754715e-05
1	Dyskeratosis_congenita_autosomal_dominant_3	4.422996946796888e-05
1	Vaginitis	4.4219414021182875e-05
1	Hoyeraal_Hreidarsson_syndrome	4.19943531478339e-05
1	Ehlers_Danlos_syndrome_type_3	4.013844926132615e-05
1	Acute_monocytic_leukemia	3.940562852277503e-05
1	Psoriasis	3.874870857630566e-05
1	Varicose_disease	3.8086519123952884e-05
1	Menorrhagia	3.651942210449044e-05
1	Meningitis	3.579185841505248e-05
1	Hypertensive_disorder	3.43330397436141e-05
1	Renal_tubular_acidosis	3.412083743761353e-05
1	Breast_neoplasm	3.385745472026154e-05
1	Keratoconjunctivitis	3.332492257780186e-05
1	Meningococcal_meningitis	3.297945648889523e-05
1	Neoplasm_of_lung	3.250917087098404e-05
1	Nephrotic_syndrome	3.0898217604188244e-05
1	Oral_ulcer	2.941674589911669e-05
1	Urinary_urgency	2.9134742261347627e-05
1	Uveitis	2.87502672282115e-05
1	Premature_ovarian_insufficiency	2.808525247763063e-05
1	Skin_disorder	2.7924322133641223e-05
1	Fasciitis	2.7892654043506244e-05
1	Hepatitis	2.788970340960119e-05
1	Tuberous_sclerosis_syndrome	2.7604261755938405e-05
1	Pericarditis	2.7370930574848703e-05
1	Diarrhea	2.6678437653364193e-05
1	Bacterial_endocarditis	2.649136049667965e-05
1	Emphysema	2.596383721665955e-05
1	Infectious_disease_of_lung	2.520729135515762e-05
