multiplex	node	score
1	Primary_dilated_cardiomyopathy	0.24293482220350723
1	Cardiogenic_shock	0.0017431747079088183
1	Congestive_heart_failure	0.0009464196597668151
1	Hypertrophic_cardiomyopathy	0.00038700234814632016
1	Hypertrophic_cardiomyopathy_25	0.00033237801387569414
1	Hypertrophic_cardiomyopathy_13	0.0003072321039251442
1	Dilated_cardiomyopathy_1Z	0.0003072321039251442
1	Dilated_cardiomyopathy_1BB	0.0002926890811895938
1	Arrhythmogenic_right_ventricular_dysplasia_10	0.0002926890811895938
1	Hypertrophic_cardiomyopathy_4	0.0002910543241392356
1	Dilated_cardiomyopathy_1G	0.00028770543531045253
1	Hypertrophic_cardiomyopathy_9	0.00028770543531045253
1	Dilated_cardiomyopathy_1W	0.00027163441807009204
1	Hypertrophic_cardiomyopathy_14	0.00027073379390798156
1	Dilated_cardiomyopathy_1EE	0.00027073379390798156
1	Dilated_cardiomyopathy_1HH	0.0002662621956126843
1	Dilated_cardiomyopathy_1FF	0.00026393238541863844
1	Dilated_cardiomyopathy_1V	0.0002606661870013089
1	Hypertrophic_cardiomyopathy_3	0.00025692054644404214
1	Dilated_cardiomyopathy_1JJ	0.00025225555714843633
1	Arrhythmogenic_right_ventricular_dysplasia_8	0.00025120091847036035
1	Hypertrophic_cardiomyopathy_2	0.00024849453532734494
1	Dilated_cardiomyopathy_3B	0.0002458721279049306
1	Arrhythmogenic_right_ventricular_dysplasia_12	0.00024536704218961305
1	Dilated_cardiomyopathy_1U	0.00024020614674431892
1	Dilated_cardiomyopathy_1GG	0.000239206013298162
1	Heart_failure	0.00015662363944623443
1	Bradycardia	0.0001109276680405874
1	Hypoglycemia	7.913791494515788e-05
1	DPM3_congenital_disorder_of_glycosylation	7.842024721001817e-05
1	Cardiac_arrhythmia	7.401524954244702e-05
1	Atrial_fibrillation	7.232562645758331e-05
1	Restrictive_cardiomyopathy	6.918581688029817e-05
1	Cardiomyopathy,_familial_hypertrophic,_4,_susceptibility_to	6.918581688029817e-05
1	Cardiomyopathy,_right_ventricular_dilated	6.918581688029817e-05
1	Histiocytoid_cardiomyopathy	6.918581688029817e-05
1	Takotsubo_cardiomyopathy	6.918581688029817e-05
1	Congenital_multicore_myopathy_with_external_ophthalmoplegia	6.918581688029817e-05
1	Lethal_infantile_mitochondrial_myopathy	6.918581688029817e-05
1	Myofibrillar_myopathy	6.918581688029817e-05
1	Arrhythmogenic_right_ventricular_dysplasia,_familial,_11,_and_mild_palmoplantar_keratoderma_with_or_without_woolly_hair	6.918581688029817e-05
1	Arrhythmogenic_right_ventricular_dysplasia_1	6.819537626859464e-05
1	Arrhythmogenic_right_ventricular_dysplasia_9	6.811621596797252e-05
1	Arrhythmogenic_right_ventricular_dysplasia_5	6.768311548903774e-05
1	Dilated_cardiomyopathy_1CC	6.768311548903774e-05
1	Arrhythmogenic_right_ventricular_dysplasia_11	6.759693340973981e-05
1	Autosomal_recessive_limb_girdle_muscular_dystrophy_type_2G	6.613592249434937e-05
1	CARDIOMYOPATHY_FAMILIAL_HYPERTROPHIC_23_WITH_OR_WITHOUT_VENTRICULAR_NONCOMPACTION	6.597421616648814e-05
1	Uhl_anomaly	6.532614821757837e-05
1	Dilated_cardiomyopathy_1AA	6.268271611666173e-05
1	Myositis_disease	6.259636104140258e-05
1	Atrial_flutter	6.119149944220481e-05
1	Myopathy_centronuclear_5	5.938044632249615e-05
1	Diabetic_kidney_disease	5.444111512128099e-05
