multiplex	node	score
1	Propionic_acidemia	0.2389367084649122
1	Methylmalonic_acidemia	0.0011410589686956182
1	Medium_chain_acyl_coenzyme_A_dehydrogenase_deficiency	0.0006893515605825487
1	Multiple_acyl_CoA_dehydrogenase_deficiency	0.0006801352721675192
1	Renal_carnitine_transport_defect	0.000668268917222658
1	Decreased_circulating_carnitine_concentration	0.0006558303226847762
1	Chronic_renal_failure_syndrome	0.0003442999040354453
1	Hyperlipoproteinemia	0.00033681002353947755
1	Hyperlipidemia	0.0002525960030555191
1	Osteoporosis	0.00014685740276638298
1	Apnea	8.59816853268673e-05
1	Eczematoid_dermatitis	8.529693443985826e-05
1	Epilepsy	7.65825260197428e-05
1	Hypoglycemia	7.041402633427583e-05
1	Seizure	6.909538212647428e-05
1	Cardiac_arrhythmia	6.341337607172508e-05
1	Anemia	6.026298430707459e-05
1	Vomiting	6.014652579847182e-05
1	Classical_phenylketonuria	5.998326086957035e-05
1	Thrombocytopenia	5.4868236618112694e-05
1	Constipation	5.192378310348361e-05
1	Peripheral_neuropathy	4.936743002665202e-05
1	Combined_molybdoflavoprotein_enzyme_deficiency	4.296121331322555e-05
1	Platelet-activating_factor_acetylhydrolase_deficiency	4.296121331322555e-05
1	Reduced_xanthine_dehydrogenase_level	4.296121331322555e-05
1	Reduced_phenylalanine_hydroxylase_level	4.296121331322555e-05
1	Glutathione_synthetase_deficiency_with_5-oxoprolinuria	4.296121331322555e-05
1	Mitochondrial_trifunctional_protein_deficiency	4.296121331322555e-05
1	5-Oxoprolinase_deficiency	4.296121331322555e-05
1	Sulfite_oxidase_deficiency	4.296121331322555e-05
1	Reduced_dihydropyrimidine_dehydrogenase_level	4.296121331322555e-05
1	Hereditary_xanthinuria_type_1	4.0643444675682104e-05
1	Decreased_circulating_vitamin_D_concentration	3.884555490453185e-05
1	Mitochondrial_hypertrophic_cardiomyopathy_with_lactic_acidosis_due_to_MTO1_deficiency	3.273588918798606e-05
1	Dihydropyrimidine_dehydrogenase_deficiency	3.207279045331017e-05
1	Creatine_transporter_deficiency	3.1131277074378744e-05
1	Mevalonic_aciduria	3.103184417216495e-05
1	Pyruvate_dehydrogenase_E3_deficiency	2.9372269650906075e-05
1	Orthostatic_hypotension	2.926170120213272e-05
1	Argininosuccinate_lyase_deficiency	2.8316124057325523e-05
1	Pure_autonomic_failure	2.6346443339784973e-05
1	Glycogen_storage_disease_IIId	2.625362972590649e-05
1	Glycogen_storage_disease_IIIa	2.6164316130546124e-05
1	Glycogen_storage_disease_type_III	2.610048811111378e-05
1	Glycogen_storage_disease_IIIc	2.6087366541169168e-05
1	Glycogen_storage_disease_IIIb	2.5973267008831908e-05
1	Perrault_syndrome_1	2.588724961783806e-05
1	Cholestanol_storage_disease	2.399191154181268e-05
1	Pseudohypoparathyroidism_type_I_A	2.380810786744283e-05
1	Pseudopseudohypoparathyroidism	2.3654201658944427e-05
1	Joubert_syndrome_with_renal_defect	2.2290776602128693e-05
1	Acute_coronary_syndrome	2.2201070452695513e-05
1	Orotic_aciduria_without_megaloblastic_anemia	2.1986027229881303e-05
1	alpha_Thalassemia	2.1961663594847e-05
1	Congenital_muscular_dystrophy_due_to_LMNA_mutation	2.1814644239805456e-05
1	Piebaldism	2.174794391081556e-05
1	Farber_lipogranulomatosis	2.1291830868180535e-05
1	Methylmalonic_aciduria_and_homocystinuria_type_cblD	2.1114011701111767e-05
1	Hypercholesterolemia_familial_1	2.1112253420598905e-05
