multiplex	node	score
1	Thrombophilia	0.24124511286708716
1	Congenital_factor_V_deficiency	0.0014983685706529094
1	Deep_venous_thrombosis	0.001428923402530958
1	Heterotopia,_periventricular,_X-linked_dominant	0.000733409144297448
1	RFT1-congenital_disorder_of_glycosylation	0.000733409144297448
1	Heterotopia,_Periventricular_Nodular,_with_Frontometaphyseal_Dysplasia	0.000733409144297448
1	von_Willebrand_disease_type_1	0.0007008981341741657
1	Pulmonary_embolism	0.000584901221926192
1	Abnormality_of_the_coagulation_cascade	0.0005836087436683406
1	Cardiomyopathy	0.0005611298849080195
1	Factor_XII_deficiency_disease	0.0005471187007072995
1	Hereditary_factor_XI_deficiency_disease	0.0005427507722083839
1	Thrombotic_disease	0.0004524054695381212
1	Atrial_flutter	0.00041882871942973773
1	Atrial_fibrillation	0.0003606794566809193
1	Hereditary_factor_IX_deficiency_disease	0.00033493232125880707
1	Thromboembolism	0.00028535482200937374
1	Venous_thromboembolism	0.0002644713419063253
1	Venous_thrombosis	0.00022993469853880926
1	Arterial_thrombosis	0.00022175293614498263
1	Paroxysmal_nocturnal_hemoglobinuria_1	0.00015304719043755842
1	Ischemic_stroke	0.00015296303862660316
1	Cerebral_infarction	0.000142637272453372
1	Hereditary_antithrombin_deficiency	0.00013674260607262988
1	Hypertensive_disorder	0.0001334157292571591
1	Thrombophlebitis	0.00012942264308158158
1	Head_and_neck_cancer	0.00011588707981658959
1	Atypical_hemolytic_uremic_syndrome_with_thrombomodulin_anomaly	0.00011490634584549733
1	Hereditary_factor_VIII_deficiency_disease	0.00010904051897096805
1	Breast_neoplasm	0.00010745010971938743
1	Back_pain	9.287291680493651e-05
1	Macroglobulinemia_Waldenstrom_1	8.2830106941057e-05
1	Waldenstrom_macroglobulinemia	8.008621801360151e-05
1	Cerebral_Ischemias_Transient	7.961481901917725e-05
1	Congenital_afibrinogenemia	7.645547437886017e-05
1	Paroxysmal_nocturnal_hemoglobinuria	7.569047761073307e-05
1	Purpura	7.367189329733585e-05
1	Myocardial_infarction	7.223233545192597e-05
1	Congenital_prothrombin_deficiency	7.18896080264102e-05
1	Disseminated_intravascular_coagulation	7.09422737234741e-05
1	Heart_failure	6.862281692120185e-05
1	Factor_VII_deficiency	6.067349666578245e-05
1	Stroke_disorder	5.7855231894899646e-05
1	MTHFR_THERMOLABILE_POLYMORPHISM	5.7069640358558766e-05
1	Homocystinuria	4.8031978568998736e-05
1	Preeclampsia	4.724685545604556e-05
1	High_molecular_weight_kininogen_deficiency	4.575552804653918e-05
1	Reduced_factor_VII_activity	4.575552804653918e-05
1	Thrombophilia_due_to_thrombin_defect	4.401931697891302e-05
1	Rheumatoid_arthritis	4.2526614857637866e-05
1	Myocardial_ischemia	3.991603584113705e-05
1	Non_Hodgkin_lymphoma	3.899075331958256e-05
1	Familial_multiple_polyposis_syndrome	3.8719794899588806e-05
1	Follicular_thyroid_carcinoma	3.835659441684385e-05
1	Congestive_heart_failure	3.69891162594093e-05
1	Hemorrhagic_disease	3.5686823434917335e-05
1	Glanzmann_thrombasthenia	3.31584750491188e-05
1	Ischemic_encephalopathy	3.238948277108903e-05
1	Disorder_of_orbital_region	3.107345147863127e-05
1	Female_infertility	3.0616032093298017e-05
1	Cardiogenic_shock	3.0206152698324337e-05
1	Cirrhosis_of_liver	2.998739360695795e-05
1	Coronary_thrombosis	2.9642799121432074e-05
1	Ventricular_Dysfunction	2.888780392958057e-05
1	Angina_pectoris	2.7898057098063642e-05
1	Edema	2.736943101707913e-05
1	Hematologic_neoplasm	2.6819792982550923e-05
1	Cardiac_arrhythmia	2.5672258257176923e-05
1	Spontaneous_Abortion	2.5386621662443583e-05
1	Abnormal_heart_morphology	2.404293801624105e-05
1	Ventricular_preexcitation	2.3803819590455865e-05
1	Coronary_artery_disorder	2.373052188197194e-05
1	Alopecia	2.3647214412302182e-05
1	Hepatocellular_carcinoma	2.2299219706179022e-05
1	Cerebral_ischemia	2.1526073251790237e-05
1	Pneumonia	2.14600200556795e-05
1	Metastasis	2.044599504773367e-05
1	Bladder_neoplasm	2.007575678601135e-05
1	Hypertrophic_cardiomyopathy	1.9618428507808993e-05
1	Peripheral_vascular_disease	1.9532984528345275e-05
1	Neoplasm_of_lung	1.9269528271562885e-05
1	Major_depressive_disorder	1.9039397934500728e-05
1	Bone_marrow_disorder	1.866860565515777e-05
1	Abnormality_of_thrombocytes	1.866860565515777e-05
1	Abnormality_of_coagulation	1.866860565515777e-05
1	Abnormal_bone_marrow_cell_morphology	1.866860565515777e-05
1	Colitis	1.773838509722279e-05
1	Peripheral_arterial_disease	1.687959867343823e-05
1	Immunodeficiency	1.664862936324146e-05
1	Diabetic_Vascular_Disorder	1.643903517586968e-05
1	Seizure	1.5502582128860447e-05
1	Osteoarthritis	1.5452990812503346e-05
1	Thrombocytopenia	1.5438343749937576e-05
1	Ventricular_fibrillation	1.4931620094174779e-05
1	Atherosclerosis	1.4771785623689677e-05
1	Raynaud_disease	1.4664995214985796e-05
1	Hepatic_veno_occlusive_disease	1.4635473471597711e-05
1	Thrombocytosis	1.462634320292417e-05
1	Premature_ventricular_contraction	1.4484005603427546e-05
1	Ventricular_tachycardia	1.4412031049255003e-05
