multiplex	node	score
1	Thrombophlebitis	0.24570645637368482
1	Deep_venous_thrombosis	0.008704622265488517
1	Hereditary_antithrombin_deficiency	0.001877417741693771
1	Thromboembolism	0.000913122273749069
1	Vascular_disorder	0.0004894892945726412
1	Persistent_fetal_circulation_syndrome	0.00041909682377355505
1	Cerebral_Ischemias_Transient	0.0004151501379646498
1	Cerebrovascular_disorder	0.0003864860292453759
1	Pulmonary_embolism	0.0003581371884633354
1	Cardiomyopathy	0.00034308092295052243
1	Systemic_sclerosis	0.0002764881164240713
1	Atrial_fibrillation	0.00020832394115700682
1	Arterial_thrombosis	0.00020215895965667717
1	Raynaud_disease	0.000200751277889367
1	Thrombotic_disease	0.00019380944123096125
1	Thrombophilia	0.0001462069391034322
1	Purpura	0.00012740539716912732
1	Hypertensive_disorder	0.000119510791118134
1	Hereditary_factor_IX_deficiency_disease	0.00011461815511078045
1	Factor_VII_deficiency	0.00010448748380280427
1	Reduced_factor_VII_activity	9.367877872285973e-05
1	High_molecular_weight_kininogen_deficiency	9.367877872285973e-05
1	Proteus_like_syndrome	7.789071102975232e-05
1	Breast_neoplasm	7.6355502145389e-05
1	Melanoma_cutaneous_malignant_susceptibility_to_1	7.55386691760308e-05
1	Factor_XII_deficiency_disease	7.52590350506844e-05
1	Cowden_syndrome	7.38440741063469e-05
1	VACTERL_with_hydrocephalus	7.25934881415638e-05
1	Cerebellar_Granule_Cell_Hypertrophy_and_Megalencephaly	7.211046421631513e-05
1	Proteus_syndrome	7.004575058198553e-05
1	Vater_association_with_macrocephaly_and_ventriculomegaly	6.786698408473592e-05
1	Lhermitte_Duclos_disease	6.508483203342342e-05
1	Vater_Association_With_Hydrocephalus	6.358990042366425e-05
1	Hereditary_factor_XI_deficiency_disease	6.192046854100395e-05
1	Venous_thrombosis	6.122791550782598e-05
1	Familial_meningioma	5.9342907211134105e-05
1	Thyroid_cancer_nonmedullary_2	5.891473617071088e-05
1	Thyroiditis	5.4533194949436735e-05
1	Ovarian_cancer	5.4051565918537057e-05
1	Myocardial_infarction	5.028795573796002e-05
1	Malignant_tumor_of_prostate	4.579941947599769e-05
1	Hyperthyroidism	4.279527995334063e-05
1	Small_cell_lung_carcinoma	4.261141230970644e-05
1	Stroke_disorder	4.210216715390628e-05
1	Venous_thromboembolism	4.0532013504055226e-05
1	Goiter	3.937505748004606e-05
1	Disseminated_intravascular_coagulation	3.806759650217904e-05
1	Ovarian_cyst	3.7634753409040923e-05
1	Increased_intracranial_pressure	3.644270828300852e-05
1	Acute_promyelocytic_leukemia	3.542259405033002e-05
1	Ischemic_stroke	3.275397678386623e-05
1	Hypothyroidism	3.257997709205742e-05
1	Atrial_flutter	3.109807508888825e-05
1	Ischemic_encephalopathy	3.102061707322273e-05
1	Arteriosclerosis_disorder	2.9918658237432375e-05
1	Neoplasm_of_the_large_intestine	2.912501025277572e-05
1	Cerebral_ischemia	2.905133162618278e-05
1	Pulmonary_hypertension	2.7054164036617645e-05
1	Metastasis	2.6870004693090235e-05
1	Glioma	2.6793915135862193e-05
1	Adenocarcinoma	2.561775279866965e-05
1	Colitis	2.5105506802538122e-05
1	Hemangioma	2.5049786390947678e-05
1	Heart_failure	2.476197863021131e-05
1	Congestive_heart_failure	2.3650564048551646e-05
1	Congenital_alveolar_dysplasia	2.345721509151113e-05
1	Myopathy	2.2775850915288485e-05
1	Angina_pectoris	2.228913621110923e-05
1	Premature_labor	2.113814132640767e-05
1	Peripheral_vascular_disease	2.03510211023109e-05
1	Asthma	2.0285841398253876e-05
1	Neoplasm_of_stomach	2.0171967118741004e-05
1	Myocardial_ischemia	2.0029682128344333e-05
1	Pulmonary_arterial_hypertension	2.0017080497226304e-05
1	Coronary_thrombosis	1.948044993016185e-05
1	Blindness	1.8660732145542636e-05
1	Ventricular_Dysfunction	1.784258515745287e-05
1	Edema	1.7476232784928662e-05
1	Strabismus	1.680213029856121e-05
1	Peripheral_arterial_disease	1.613309364229072e-05
1	Cough	1.608853958143866e-05
1	Hypertrophic_cardiomyopathy	1.574859295541442e-05
1	Congenital_factor_V_deficiency	1.541899807367325e-05
1	Cardiac_arrhythmia	1.5142955181473662e-05
1	Coronary_artery_disorder	1.5073773012419703e-05
1	Adult_acute_respiratory_distress_syndrome	1.4829447385134134e-05
1	Cerebral_infarction	1.407489188962276e-05
1	Migraine	1.3741718266095717e-05
1	Atherosclerosis	1.3504789616693611e-05
1	Abnormality_of_the_coagulation_cascade	1.3449917909638895e-05
1	Diabetes_mellitus	1.2681187591563043e-05
1	Cardiogenic_shock	1.2531573844917684e-05
1	Breast_carcinoma	1.2198959225466072e-05
1	Hepatic_veno_occlusive_disease	1.216235299870332e-05
1	Glaucoma	1.1664277794856444e-05
1	Intermediate_coronary_syndrome	1.1584522756166162e-05
1	Scleroderma	1.1329896901685125e-05
1	Pheochromocytoma	1.1002309458047907e-05
1	Erectile_dysfunction	1.060313319227929e-05
1	Thrombocytosis	9.962620794255559e-06
1	Peripheral_arterial_occlusive_disease	9.949519026528657e-06
1	Malignant_hypertension	9.904360564468794e-06
1	Essential_tremor	9.791855343787357e-06
1	Abnormal_heart_morphology	9.754635606278263e-06
1	Pain	9.673075441442622e-06
1	Headache	9.65127451958453e-06
1	Vasculitis	9.193186648776609e-06
1	Diabetic_Vascular_Disorder	8.940473773753603e-06
1	Renovascular_hypertension	8.909324799855042e-06
1	Diabetic_kidney_disease	8.75086451445078e-06
1	Multiple_sclerosis	8.662678731625195e-06
1	Macular_degeneration	8.549345726221633e-06
1	Abnormal_left_ventricular_function	8.54796639643353e-06
1	Intermittent_claudication	8.449136873985351e-06
1	Ventricular_tachycardia	8.311671879934632e-06
1	Ventricular_fibrillation	8.214706779843745e-06
1	Essential_hypertension	8.041605331006811e-06
1	Endometrial_carcinoma	7.894814136902751e-06
1	Diabetic_neuropathy	7.77707727682914e-06
1	Microalbuminuria	7.770525406976591e-06
1	Systemic_lupus_erythematosus	7.64151549175769e-06
1	Paroxysmal_atrial_fibrillation	7.414594064449034e-06
1	Thyroid_tumor	7.308630572159603e-06
1	Ventricular_preexcitation	7.161221502565158e-06
1	Rhinitis	7.083558173751454e-06
1	Leukemia	6.9872077915615885e-06
1	Disorder_of_orbital_region	6.961871225443309e-06
1	Sezary_syndrome	6.827942973599663e-06
1	Neoplasm_of_ovary	6.678399717921147e-06
1	von_Willebrand_disease_type_1	6.626959420965764e-06
1	Rheumatoid_arthritis	6.5276109428448875e-06
1	Hashimoto_thyroiditis	6.527281415126952e-06
1	Supraventricular_tachycardia	6.456556406541956e-06
1	Preeclampsia	6.366197689163957e-06
1	Epilepsy	6.348630200892196e-06
1	Endometriosis	6.313766773117572e-06
1	Amblyopia	6.22483002275921e-06
1	Acute_coronary_syndrome	6.102080984437638e-06
1	Coronary_heart_disease	6.065598996665691e-06
1	Insulin_resistance	6.064627485832984e-06
1	Renal_insufficiency	6.045935066633889e-06
1	Bartter_syndrome	6.008741660062533e-06
1	Cerebelloparenchymal_Disorder_VI	5.937759823067611e-06
1	Nasal_congestion	5.695456865065453e-06
1	Skin_disorder	5.593680304309247e-06
1	Osteoarthritis	5.522001180715238e-06
1	Infarct	5.452763056715785e-06
1	Lymphoma	5.368807988967364e-06
1	Renal_cell_carcinoma	5.353132247111914e-06
1	Essential_thrombocythemia	5.202950708560482e-06
1	Gout	5.179070917389048e-06
1	Growth_failure	5.105773975237676e-06
1	Chronic_discoid_lupus_erythematosus	5.105036221498281e-06
1	Myalgia	5.0000604508552755e-06
1	Allergic_rhinitis	4.989893783116328e-06
1	Hyperplasia_of_prostate	4.925410562503804e-06
1	Gangrene	4.886094181040774e-06
1	Endometrium_neoplasm	4.710617951079419e-06
1	Squamous_cell_carcinoma_of_the_head_and_neck	4.706436045902483e-06
1	Back_pain	4.589239068717699e-06
1	Obesity	4.588555646154273e-06
1	Prostate_neoplasm	4.545145069162353e-06
1	Refractory_anemia	4.429388516165996e-06
1	Alzheimer_disease	4.353279807665693e-06
1	Heterotopia,_periventricular,_X-linked_dominant	4.34760530198986e-06
1	Heterotopia,_Periventricular_Nodular,_with_Frontometaphyseal_Dysplasia	4.34760530198986e-06
1	RFT1-congenital_disorder_of_glycosylation	4.34760530198986e-06
1	Hereditary_factor_VIII_deficiency_disease	4.3178695294614946e-06
1	Glanzmann_thrombasthenia	4.274283268971688e-06
1	Hepatocellular_carcinoma	4.183272781240682e-06
1	Gigantism_partial_of_hands_and_feet_nevi_hemihypertrophy_and_macrocephaly	4.179153469524459e-06
1	Hyperkeratosis	4.1348766198975364e-06
1	Primary_dilated_cardiomyopathy	4.1172443541511e-06
1	Nephrotic_syndrome	4.112326917981286e-06
1	Coarctation_of_aorta	4.111969021876328e-06
1	Fever	4.03475784783364e-06
1	Keratosis	3.962267682761039e-06
1	Hypertensive_crisis	3.952819999834599e-06
1	Hyperplasia	3.941577443820351e-06
1	Cystic_fibrosis	3.92842935687763e-06
1	Hypercholesterolemia	3.922492606065236e-06
1	Hypotension	3.911185366696174e-06
1	Neoplasm_of_the_skin	3.89361015525586e-06
1	Parkinson_disease	3.8929334775717665e-06
1	Familial_type_3_hyperlipoproteinemia	3.814587144881176e-06
1	Cirrhosis_of_liver	3.695868009187803e-06
1	Seizure	3.66487191557142e-06
1	Type_2_diabetes_mellitus	3.6611063363131016e-06
1	Left_heart_failure	3.635577872636865e-06
1	Melanoma	3.622832726661354e-06
1	Ulcerative_colitis	3.6074538420881967e-06
1	Ankylosing_spondylitis	3.604441391571556e-06
1	Skin_ulcer	3.5638074443189168e-06
1	Follicular_thyroid_carcinoma	3.5319414403680066e-06
1	Acquired_polycythemia_vera	3.5292989829995126e-06
