multiplex	node	score
1	Thyroiditis	0.23561799202928152
1	Dermatitis	0.0005078722402735344
1	Disorder_of_orbital_region	0.00031799271758569124
1	Enterocolitis	0.00031431275440404663
1	Leukemia	0.00027983873934037557
1	Goiter	0.00027133878074705596
1	Gingival_disorder	0.00025211185599999144
1	Thyroid_tumor	0.00021870489056933357
1	Pneumonia	0.00021716467060775612
1	Sinusitis	0.00016756724380578877
1	Thyroid_dysgenesis	0.00016285852060162593
1	Thyroglossal_cyst	0.00016285852060162593
1	Mastoiditis	0.00016285852060162593
1	Infection_of_bone	0.00015200496255543636
1	Skin_disorder	0.00014900911903764172
1	Otitis_media	0.0001432609637709334
1	Tumor_of_parathyroid_gland	0.00013179242320606333
1	Neoplasm_of_the_skin	0.0001290693381645096
1	Choroid_plexus_carcinoma	0.0001263050947962268
1	Autoimmune_hemolytic_anemia	0.00011922690988764853
1	Adrenal_insufficiency	0.00011558443395439916
1	Epididymitis	0.00010947697116268867
1	Choroid_plexus_papilloma	0.00010701509751280884
1	Pancreatitis	0.00010565445604187976
1	Malignant_lymphoma_large_B_cell_diffuse	0.00010523385349522881
1	Periodontitis	0.00010498307701201669
1	Prostatitis	0.0001047687538048201
1	Choroideremia	0.00010014951949140751
1	Urinary_bladder_inflammation	9.958505513325778e-05
1	Osteomyelitis	9.682103818582949e-05
1	Drug_allergy	9.372758022584492e-05
1	Erythroderma	8.781506739010616e-05
1	Uveitis	8.745492532386433e-05
1	Cholangitis	8.531820546285376e-05
1	Panniculitis	8.363742472143028e-05
1	Lymphadenitis	8.363742472143028e-05
1	Keloid	8.292283509923617e-05
1	Eczematoid_dermatitis	8.212988055725955e-05
1	Disorder_of_nasal_sinus	8.189760795484175e-05
1	Ulcerative_colitis	8.171073315102398e-05
1	Pulmonary_fibrosis	8.14781876678187e-05
1	Nephritis	8.05295568616743e-05
1	Gingivostomatitis	8.025081600071033e-05
1	Autoimmune_disease	7.9751128766743e-05
1	Inflammatory_abnormality_of_the_skin	7.530534565204053e-05
1	Stomatitis	7.482418067015939e-05
1	Aphthous_stomatitis	7.402947447799822e-05
1	Corneal_ulceration	7.313926688287083e-05
1	Endocarditis	7.225801315934559e-05
1	Inflammatory_bowel_disease	7.217283131555326e-05
1	Burkitt_lymphoma	7.061934828832927e-05
1	Endometrial_carcinoma	7.041183634402222e-05
