multiplex	node	score
1	Vasculitis	0.24290178284025105
1	Arteriovenous_malformation	0.0018654844565504209
1	Vascular_dilatation	0.0018654844565504209
1	Vascular_calcification	0.0018654844565504209
1	Single_umbilical_artery	0.001297772630700943
1	Diabetic_Vascular_Disorder	0.001170159431787788
1	Gangrene	0.0011157900876760424
1	Peripheral_arterial_occlusive_disease	0.0005685296361525566
1	Intermittent_claudication	0.0005458166585527224
1	Ischemic_encephalopathy	0.00045626827991754126
1	Peripheral_vascular_disease	0.00031969619899959524
1	Diabetic_neuropathy	0.00029091091387916453
1	Stroke_disorder	0.00026958406999836134
1	Thrombotic_disease	0.00022449573982398358
1	Hyperlipidemia_familial_combined_LPL_related	0.00010002754709023436
1	Atypical_hemolytic_uremic_syndrome_with_I_factor_anomaly	9.969169552766792e-05
1	Myocardial_infarction	9.532549386238932e-05
1	Factor_I_deficiency	9.485167761182066e-05
1	Patent_ductus_venosus	9.438705639836347e-05
1	Age_related_macular_degeneration_13	9.353040327411527e-05
1	Echogenic_fetal_bowel	9.18907287380113e-05
1	Multiple_sclerosis	7.664276278345245e-05
1	Hypertensive_disorder	6.282304633776619e-05
1	Pyelonephritis	5.876154915682066e-05
1	Complement_component_4a_deficiency	5.7565704871036114e-05
1	Deficiency_of_mevalonate_kinase	5.6325446499639725e-05
1	Persistent_fetal_circulation_syndrome	5.537364488718877e-05
1	Pulmonary_hypertension	5.515971036823523e-05
1	Cardiomyopathy	5.5086015376489315e-05
1	Depression	5.428068502357929e-05
1	Mevalonic_aciduria	5.315834657342549e-05
1	Familial_Mediterranean_fever_autosomal_dominant	5.193929485548573e-05
1	Autoimmune_lymphoproliferative_syndrome_type_1b	5.110793909973435e-05
1	Lymphoma_non_Hodgkin_familial	5.061198054493203e-05
1	Autoimmune_lymphoproliferative_syndrome_type_1_autosomal_recessive	4.561192433350236e-05
1	Mycosis_fungoides	4.53212246652464e-05
1	Respiratory_insufficiency	4.4489786551969634e-05
1	Erysipelas	4.3731502459399166e-05
1	Dermatographic_urticaria	4.359983226485875e-05
1	Spondyloarthropathy_susceptibility_to_1	4.28097703359688e-05
1	Myasthenia_gravis	4.1462281285462666e-05
1	Chronic_hepatitis_B_virus_infection	4.046551006843014e-05
1	Dermatitis	3.7959252901723096e-05
1	IgE_mediated_allergic_disorder	3.7523572040565144e-05
1	Pulmonary_embolism	3.579668306461068e-05
1	Angioedema	3.48936161559485e-05
1	Prostatitis	3.462876934825128e-05
1	Excessive_salivation	3.4393253158726256e-05
1	Asthma_diminished_response_to_antileukotriene_treatment_in	3.415189186447078e-05
1	Behcet_disease	3.303775577181334e-05
1	Arthritis	3.257465916219745e-05
1	Cerebral_ischemia	3.14603456670845e-05
1	Peritonitis	3.1385172857035704e-05
1	Atopic_eczema	3.125017565010799e-05
1	Colitis	3.114941740828851e-05
1	Pruritus	3.064864302882953e-05
1	Pulmonary_fibrosis	2.9612420684152702e-05
1	Orchitis	2.9138616015633158e-05
1	Myalgia	2.9110282393328466e-05
1	Asthma	2.883121088014487e-05
1	Hypertrophic_cardiomyopathy	2.8109044097423075e-05
1	Stevens_Johnson_syndrome	2.7885398199829858e-05
1	Renal_insufficiency	2.7506454515784893e-05
1	Thromboembolism	2.5852892993563727e-05
1	Skin_ulcer	2.5621614819556707e-05
1	Chronic_obstructive_pulmonary_disease	2.559930380308718e-05
1	Atherosclerosis	2.5504958605770336e-05
1	Acute_coronary_syndrome	2.509921243070422e-05
1	Hypertensive_crisis	2.49089011658823e-05
1	Minimally_invasive_lung_adenocarcinoma	2.4868536296488416e-05
1	Lung_cancer	2.4237612582490212e-05
1	Venous_thrombosis	2.4176038318766068e-05
1	Exanthem	2.4126860158879998e-05
1	Colorectal_carcinoma	2.3908050822252906e-05
1	Autoimmune_disease	2.361707325521572e-05
1	B_cell_chronic_lymphocytic_leukemia	2.346748095979836e-05
1	Allergic_contact_dermatitis	2.268541859111481e-05
1	Raynaud_disease	2.2203945502681276e-05
1	Coronary_artery_disorder	2.1643605102546604e-05
1	Iron_deficiency_anemia	2.119678004187526e-05
1	Neoplasm_of_ovary	2.0829368198823004e-05
1	Major_depressive_disorder	2.0086108739342014e-05
1	Cardiac_arrhythmia	1.9896950286381463e-05
1	Liver_failure	1.9809880349662997e-05
1	Pain	1.9486633475668473e-05
1	Nail_dystrophy	1.9300882377338386e-05
1	Venous_thromboembolism	1.9218195182897454e-05
1	Angina_pectoris	1.856418018473442e-05
1	Anorexia	1.8201476597360157e-05
1	Back_pain	1.7789005789030546e-05
1	Bipolar_affective_disorder	1.7433146156021893e-05
1	Peripheral_arterial_disease	1.710261502161205e-05
1	Status_epilepticus	1.6778072843196154e-05
1	Migraine	1.663885855939822e-05
1	Abnormal_left_ventricular_function	1.6508044772053756e-05
1	Fatigue	1.577563487182303e-05
1	Type_2_diabetes_mellitus	1.5752110974814696e-05
1	Hb_SS_disease	1.574254247240415e-05
1	Erectile_dysfunction	1.557356055429236e-05
1	Adenocarcinoma	1.5214733671777401e-05
1	Rheumatoid_arthritis	1.5108425892587935e-05
1	Dyslipidemia	1.4924750009259557e-05
1	Cerebral_infarction	1.4760937750670573e-05
1	Pulmonary_arterial_hypertension	1.4753329717064157e-05
1	Left_heart_failure	1.4670016089828909e-05
1	Diabetes_mellitus	1.4578878819093467e-05
1	Diabetic_kidney_disease	1.4303804331584077e-05
1	Neuralgia	1.4276928172592728e-05
1	Cough	1.400369843929247e-05
1	Kidney_failure	1.3129196589175981e-05
1	Purpura	1.3117836098202869e-05
1	Atrial_fibrillation	1.2764366412418539e-05
1	Thrombocytopenia	1.2721262391778245e-05
1	Hyperthyroidism	1.2657332198401368e-05
1	Coronary_heart_disease	1.2580529323553178e-05
1	Glaucoma	1.244916488252689e-05
1	Deep_venous_thrombosis	1.219538972384095e-05
1	Systemic_sclerosis	1.211082416085279e-05
1	Ventricular_Dysfunction	1.2109133927584433e-05
1	Infarct	1.200425022153697e-05
1	Alzheimer_disease	1.1879611218005475e-05
1	Neoplasm_of_stomach	1.1819630190937896e-05
1	Breast_neoplasm	1.1709969153324236e-05
1	Autism	1.1275449549405788e-05
1	Ischemic_stroke	1.1251395122833572e-05
1	Malignant_hypertension	1.0948768452376211e-05
1	Familial_type_3_hyperlipoproteinemia	1.0876588057800377e-05
1	Microalbuminuria	1.0570108017156216e-05
1	Hypoalphalipoproteinemia	1.0569301872634598e-05
1	Arteriosclerosis_disorder	1.0523363991645062e-05
1	Cerebral_Ischemias_Transient	1.0486302930174497e-05
1	Hypercholesterolemia	1.0474798072961895e-05
1	Ventricular_tachycardia	1.0245948233727533e-05
1	Hyperlipidemia	1.024543762149795e-05
1	Pheochromocytoma	9.907686471024824e-06
1	Nephrotic_syndrome	9.872013957492657e-06
1	Intermediate_coronary_syndrome	9.77437633270831e-06
1	Homozygous_familial_hypercholesterolemia	9.772589145146114e-06
1	Arterial_thrombosis	9.74609222282635e-06
1	Parkinson_disease	9.574403063088726e-06
1	Rhinitis	9.36208419263259e-06
1	Thrombocytosis	9.350764189135976e-06
1	Fetal_pyelectasis	9.34496873399077e-06
1	Coronary_thrombosis	9.323607318300917e-06
1	Hereditary_intrinsic_factor_deficiency	9.227208547479572e-06
1	Cerebrovascular_disorder	9.047823020828807e-06
1	Fever	8.936279947322955e-06
1	Congestive_heart_failure	8.805239977837311e-06
1	Hepatic_veno_occlusive_disease	8.695212501752993e-06
1	Thrombophilia	8.664311847347518e-06
1	Thrombophlebitis	8.429338488690703e-06
1	Hyperlipoproteinemia	8.405980796825738e-06
1	Renovascular_hypertension	8.361845893738774e-06
1	Bronchiectasis	8.247145248576325e-06
1	Headache	8.131901156348916e-06
1	Uveitis	8.114045995283151e-06
1	Cancer_of_the_pancreas	7.983034274431378e-06
1	Arthralgia	7.906748119233773e-06
1	Premature_ventricular_contraction	7.887316765439895e-06
1	Cobalamin_deficiency	7.811361245004054e-06
1	Systemic_lupus_erythematosus	7.792524109687642e-06
1	Pneumonia	7.787760479983907e-06
1	Hereditary_antithrombin_deficiency	7.752193735751914e-06
1	Urticaria	7.701717624987725e-06
1	Disseminated_intravascular_coagulation	7.608123388168096e-06
1	Cirrhosis_of_liver	7.579572763188067e-06
1	Gout	7.567915808273875e-06
1	Aphthous_stomatitis	7.469537854876476e-06
1	Allergic_rhinitis	7.461224048405465e-06
1	Ankylosing_spondylitis	7.4467477785664114e-06
1	Malabsorption_syndrome	7.421949577312693e-06
1	Nephritis	7.315336206943961e-06
1	Emphysema	6.939945268033061e-06
1	Ventricular_arrhythmia	6.856762978197495e-06
1	Essential_thrombocythemia	6.752362434768767e-06
1	Scleroderma	6.562942161568657e-06
1	Neoplasm_of_lung	6.366526962099553e-06
1	Oral_ulcer	6.344880408402153e-06
1	Adult_acute_respiratory_distress_syndrome	6.165016959511273e-06
1	Essential_hypertension	5.835652713482737e-06
1	Eczematoid_dermatitis	5.606322551294465e-06
1	Acne	5.5644980342193825e-06
1	Psoriasis	5.547375569916185e-06
1	Skin_disorder	5.528331829819284e-06
1	Celiac_disease	5.4021379690637616e-06
1	Osteoarthritis	5.336936778097165e-06
1	Anemia	5.314648899313753e-06
1	Epilepsy	5.218351512439746e-06
1	Macular_degeneration	5.098247935817337e-06
1	Pericarditis	5.0860548754357995e-06
1	Meningitis	5.064463109751985e-06
1	Atrial_flutter	5.009142497372469e-06
1	Ulcerative_colitis	4.920070755241596e-06
1	Nasal_congestion	4.87075223458086e-06
1	Acquired_polycythemia_vera	4.85016472990583e-06
1	Laryngeal_edema	4.823191064580686e-06
1	Edema	4.803455049671259e-06
1	Abdominal_pain	4.737425843803172e-06
1	Ascites	4.736543815274409e-06
1	Heart_failure	4.714611123689274e-06
1	Duodenal_ulcer	4.667748387659834e-06
1	Autoimmune_hemolytic_anemia	4.307279942757001e-06
1	Leukocytosis	4.2965303791691165e-06
1	Vertigo	4.2307891178007295e-06
1	Sarcoidosis	4.219211818250887e-06
1	Allergy	4.214970580714642e-06
1	Psoriatic_arthritis	4.128689330164668e-06
1	Crohn_disease	4.12237009541451e-06
1	Seizure	4.095506908729461e-06
1	Irritable_bowel_syndrome	4.049586119344193e-06
1	Vascular_disorder	4.031761164883479e-06
1	Malnutrition	3.901274732908138e-06
1	Premature_labor	3.8704441525900045e-06
1	Diarrhea	3.8236862257942575e-06
1	Familial_type_5_hyperlipoproteinemia	3.8138480544938633e-06
1	Conjunctivitis	3.6686258790753667e-06
1	Postherpetic_neuralgia	3.668555209068891e-06
1	Abnormal_heart_morphology	3.6635476466298605e-06
1	Preeclampsia	3.6492819782076137e-06
1	Enterocolitis	3.6436736463799784e-06
1	Erythroderma	3.5529829572762886e-06
1	Gastrointestinal_hemorrhage	3.5508384996417905e-06
1	Prostate_neoplasm	3.5099108890592695e-06
1	Complete_trisomy_21_syndrome	3.4962749811693893e-06
1	Myocardial_ischemia	3.4594474292216286e-06
1	Transient_myeloproliferative_disorder_of_Down_syndrome	3.458871309691222e-06
1	Sjogren_syndrome	3.4570504961595335e-06
1	Down_Syndrome_Critical_Region	3.434934107539407e-06
1	Enteritis	3.4251193544970243e-06
1	Nausea_and_vomiting	3.4180204301432696e-06
1	Age_related_macular_degeneration	3.387931899967253e-06
1	Schizophrenia	3.3661684338171795e-06
1	DCR	3.3454414122683333e-06
1	Contact_dermatitis	3.301897579271089e-06
1	Primary_cutaneous_T_cell_lymphoma	3.29396829869534e-06
1	Sinusitis	3.283479073365481e-06
1	Pancreatitis	3.2268254759713972e-06
1	Non_small_cell_lung_carcinoma	3.207355479587638e-06
1	Anxiety	3.1800744051887203e-06
1	Hypotension	3.172808584378153e-06
1	Hyperkeratosis	3.141636885588441e-06
1	Vomiting	3.0933777153098824e-06
1	Familial_Mediterranean_fever	3.0828093206741348e-06
1	Parkinsonian_disorder	3.067717509743635e-06
1	Autoimmune_lymphoproliferative_syndrome_type_1	3.0600806682660796e-06
1	Coarctation_of_aorta	3.0591777965035655e-06
1	Leukemia	3.005981445752159e-06
1	Pulmonary_edema	2.9927576537640936e-06
1	Disorder_of_lung	2.9827614672777516e-06
1	Hepatocellular_carcinoma	2.9773590529784973e-06
