multiplex	node	score
1	IFNA2	0.0006553258810775936
1	PRTN3	0.0006392822952720955
1	PRSS2	0.0006382680264076291
1	PRSS1	0.0006348037295522793
1	IL10	0.0006268040245457074
1	TRPA1	0.0006212332327425479
1	NLRC4	0.000611079518564084
1	SCN5A	0.0006056343447457513
1	MEFV	0.0006015637509351651
1	SAA1	0.0005924663300240063
1	CFTR	0.0005853213899935944
1	CDH23	0.0005807028300690447
1	NLRP3	0.0005747438315323728
1	IL6	0.0005671039862814638
1	SCN1B	0.000538176746319767
1	HFE	0.0005289654363038365
1	SERPING1	0.0005214152035318545
1	ATXN2	0.0005181552225925447
1	RFC2	0.0005120274931460214
1	PTEN	0.0005112902133984419
1	POLG	0.0005111408348701718
1	PPOX	0.0005097217894901064
1	SDHC	0.0005092194595512921
1	TNFRSF1A	0.000508010854501452
1	PRKAR1A	0.0005062735965755093
1	PRKCSH	0.0005058862920434964
1	MSH2	0.0005045758710837949
1	SDHD	0.0005014208628396646
1	RPS20	0.0004969522747750423
1	SDHB	0.0004959200049172113
1	MPO	8.773253818840482e-07
1	SAA2	7.265820167679715e-07
1	FCER1G	6.543164527170894e-07
1	RPL3	5.918224178364211e-07
1	LBP	5.827299429052911e-07
1	CTRB1	5.507244264849445e-07
1	CTRB2	5.462491766181537e-07
1	ACVRL1	5.300394829223923e-07
1	FHL2	5.048394471352569e-07
1	ATRAID	4.683081059594627e-07
1	RBP4	4.6387920728586497e-07
1	SELPLG	4.563920620190773e-07
1	RPS19	4.549800669737791e-07
1	ZBTB17	4.516967308916748e-07
1	ELANE	4.409268954019273e-07
1	PRR13	4.154175943792747e-07
1	SEC63	4.1504087216826365e-07
1	CPOX	4.0159749322641133e-07
1	H6PD	3.998457051138227e-07
1	SPI1	3.8583565991288547e-07
1	MALSU1	3.7501452432977536e-07
1	LEP	3.716116829763406e-07
1	GPD1	3.6974500718157393e-07
1	RANBP1	3.678082880467348e-07
1	CREG1	3.6300679121778654e-07
1	CSF2RA	3.6017927671001013e-07
1	FPR2	3.5782955030675746e-07
1	PRSS3	3.4728913222929993e-07
1	TMEM70	3.4651828672120534e-07
1	C5AR2	3.4598380885689736e-07
1	CALCOCO2	3.378399874440128e-07
1	ADIPOQ	3.375245217734333e-07
1	SAA4	3.265284304750423e-07
1	GMIP	3.259687991106918e-07
1	HCK	3.2510405082852236e-07
1	TRARG1	3.1952653293502963e-07
1	FAM161B	3.145409770803774e-07
1	C5AR1	3.0832288231676917e-07
1	PRMT1	3.0777025933057996e-07
1	LTF	3.0351116938906526e-07
1	ALOX5AP	2.949878136026457e-07
1	ITGAM	2.9464501926076983e-07
1	FOSL1	2.9459579676841643e-07
1	OGFOD1	2.923884372152768e-07
1	GANAB	2.888800013359615e-07
1	LAPTM5	2.848429839631639e-07
1	NFKB2	2.7797788700359445e-07
1	COX6B1	2.753717150877882e-07
1	GRWD1	2.7317144060186126e-07
1	SDHA	2.6731726546382706e-07
1	VASN	2.6685740513635876e-07
1	GPR4	2.664021265093426e-07
1	CXCL16	2.5999416169094293e-07
1	PHF5A	2.575894086593339e-07
1	FH	2.559345782003544e-07
1	MSH3	2.515736093634731e-07
1	RPS25	2.5141729433299495e-07
1	CASP1	2.493046218922632e-07
1	NDUFS2	2.487315447371534e-07
1	RFC5	2.473681089090732e-07
1	ALOX5	2.470978443078669e-07
1	OSCAR	2.4581332256743747e-07
1	AZU1	2.4570427813081084e-07
1	CHCHD2	2.4536072154268426e-07
1	AHR	2.444672618291764e-07
1	SUCLA2	2.3774721456746575e-07
1	USP36	2.3693667940197243e-07
1	MYD88	2.3459498051588007e-07
1	RPL4	2.343513515689423e-07
1	KLHL25	2.301073090427964e-07
1	CD163	2.220953869113254e-07
1	RPS13	2.1984958727292485e-07
1	SUCLG1	2.1823455796221098e-07
1	STAU2	2.148168849125087e-07
1	TFG	2.1128820129498697e-07
1	TMEM14C	2.1056482757501738e-07
1	GNAI2	2.0911026426263747e-07
1	CXCL8	2.056645086050251e-07
1	IL6ST	2.047194254731577e-07
1	RBFA	2.0438235508024195e-07
1	KCNU1	2.019567482565739e-07
1	BDKRB1	2.0023053462444057e-07
1	UGCG	1.9941555747909814e-07
1	SEC11A	1.9446181653909577e-07
1	ADAMTS1	1.927277966038775e-07
1	PSAP	1.883815295376736e-07
1	UQCRC2	1.8727421550185244e-07
1	SMARCD2	1.8548305772096177e-07
1	EIF3L	1.8520955161559884e-07
1	DTNBP1	1.8463524057150624e-07
1	YBX3	1.817243383000255e-07
1	JAK1	1.812784994893667e-07
1	PSMA4	1.805227488081945e-07
1	PTMA	1.8023251157736023e-07
1	MRC1	1.7883787292594816e-07
1	ATP6AP2	1.787434197180687e-07
1	SF3B5	1.7592962675668651e-07
1	MRPL17	1.7474058703032992e-07
1	MYO1F	1.7463677758032203e-07
1	LDHB	1.7351867970031176e-07
1	ATP6V1G1	1.7310772609108982e-07
1	ACO2	1.7233465012418264e-07
1	MRPS5	1.7194288228713076e-07
1	DLD	1.7162913005204202e-07
1	ALDH5A1	1.7157709866044502e-07
1	P3H1	1.7076035312284986e-07
1	IER3	1.7022825073746324e-07
1	RPS12	1.7020408243026353e-07
1	DUSP5	1.694955646571666e-07
1	ABHD14B	1.6780284557419692e-07
1	RACK1	1.670062170111464e-07
1	COPS2	1.6616207095041765e-07
1	RPL35A	1.6403163648898296e-07
1	COL26A1	1.6345675794492224e-07
1	RPL27	1.631406629844257e-07
1	LSM6	1.6307192371686665e-07
1	OS9	1.6302656031233502e-07
1	HMBS	1.6274504575901182e-07
1	SUCLG2	1.6240342909736696e-07
1	AP2B1	1.6226025483746165e-07
1	RELA	1.621007056440893e-07
1	PLIN1	1.6010983267632767e-07
1	NAMPT	1.5970290447809963e-07
1	MSH6	1.59586045207299e-07
1	HAT1	1.5903050173784157e-07
1	STAT3	1.5837060099042876e-07
1	RPL27A	1.5822206590766642e-07
1	OGDH	1.566914417715424e-07
1	INPPL1	1.5663307338837996e-07
1	NCK1	1.5653714389728716e-07
1	HIGD2A	1.5594971343832788e-07
1	DGAT2	1.5560853870398546e-07
1	NDUFC1	1.5545469137014234e-07
1	LRP1	1.5522339400573678e-07
1	DLST	1.5521331735441318e-07
1	BTF3	1.5462523268215843e-07
1	RPL19	1.5457874145700655e-07
1	SLC11A1	1.534122075396012e-07
1	NDUFB8	1.5286053901522137e-07
1	NDUFB9	1.5256601561589708e-07
1	NDUFS3	1.5175231296625756e-07
1	VDAC1	1.5077516467655853e-07
1	TMEM147	1.501699130000521e-07
1	HEXB	1.495679983367846e-07
1	PSMA1	1.493911042337739e-07
1	STARD3	1.490874576380314e-07
1	UROD	1.484314326937236e-07
1	RPL12	1.4820843726281354e-07
1	RHOA	1.4758055132655782e-07
1	TFE3	1.4697239823236577e-07
1	IL10RB	1.4616145708232175e-07
1	RPL24	1.4429073539318144e-07
1	RPA3	1.4377233423866452e-07
1	RPL15	1.429804620084007e-07
1	SDF2	1.428064156126444e-07
1	NR2C2AP	1.421034671817864e-07
1	ETS2	1.419929787488329e-07
1	TMEM63A	1.4194106760947413e-07
1	CSRNP1	1.418452157197278e-07
1	HSBP1	1.4131800007264114e-07
1	HNRNPA2B1	1.4082843070700715e-07
1	RPL13A	1.4080334966265946e-07
1	RPL22	1.4063192542835965e-07
1	DLAT	1.3938158355226195e-07
1	SRI	1.3913802275733736e-07
1	NCKAP1L	1.3882646322777255e-07
1	RPL10	1.3863606735950278e-07
1	PDGFRA	1.3853276797861972e-07
1	RPLP2	1.3776452948292303e-07
1	ATP5PD	1.3689255861450987e-07
1	NNT	1.3666820424688757e-07
1	RPL23	1.365567227395191e-07
1	MCL1	1.3645751006740112e-07
1	TNIP2	1.36338998136967e-07
1	UBE2E3	1.362044959797875e-07
1	UBE2N	1.3618037716188238e-07
1	ATP5PO	1.3601969500999054e-07
1	STK11	1.354709562797583e-07
1	RPS23	1.3492621951056372e-07
1	RPL35	1.345852855741e-07
1	MRPL11	1.3440642552378365e-07
1	UQCRB	1.3315659166245068e-07
1	MLH1	1.3301102370040887e-07
1	RPS15A	1.3278680362979987e-07
1	RPL22L1	1.3263376888683407e-07
1	NDUFS7	1.3233014772112417e-07
1	DPY30	1.3197049658169168e-07
1	FCGRT	1.3181471789200754e-07
1	NDUFA2	1.3168980116210382e-07
1	EXOC7	1.3078395264022022e-07
1	RPL37A	1.307554863703611e-07
1	COX7C	1.3058444415121706e-07
1	RPL11	1.303910237776994e-07
1	CLK3	1.2980002867462273e-07
