multiplex	node	score
1	IGFBP1	0.0006581659178470209
1	IL12B	0.0006571202281985245
1	CXCR5	0.0006485904205619432
1	IL12A	0.0006464952758531118
1	MMEL1	0.0006452169965847339
1	CXCL10	0.000644604731667362
1	CXCL9	0.0006410130855893914
1	ICAM3	0.0006256646098116601
1	NOS2	0.0006222344132869221
1	SPIB	0.0006164981471495195
1	ABCC2	0.0006149596196733914
1	SLC51A	0.0006114346763629601
1	ALB	0.0006098321153828291
1	ABCB4	0.0006089134920069629
1	SLC51B	0.0006060924522052478
1	CD3D	0.0005836096947734569
1	IL7R	0.0005810542288508467
1	ENTPD2	0.0005774891442991493
1	CCL5	0.0005733880919269994
1	NOS3	0.0005434968905043475
1	STAT4	0.0005365129619937484
1	TGFB1	0.0005183997616130981
1	DENND1B	0.0005156220431243803
1	CLEC16A	0.0005139673820002806
1	TNFRSF1A	0.0005079088840570156
1	NFKB1	0.0005026274041573944
1	SLC4A2	0.0005018655551253511
1	TYK2	0.0005013231016817225
1	HIF1A	0.000501252817892255
1	RELA	0.0004996532677181738
1	CXCL11	2.2825367350228433e-06
1	FGB	1.1075161273586157e-06
1	APOC3	9.38029893938506e-07
1	ICAM2	7.390310012758796e-07
1	KLRD1	5.725244496398363e-07
1	LZTS2	5.420823541824633e-07
1	CAMK4	4.7176584452012615e-07
1	FHL2	4.578530635617699e-07
1	HP	4.5603686216155205e-07
1	NFKB2	4.2609311778891654e-07
1	CSK	4.1796611764835843e-07
1	CCL2	4.109602350631392e-07
1	GBP5	4.065555482499098e-07
1	APOH	3.7182200723573486e-07
1	IL23R	3.717916584357588e-07
1	ORM1	3.7058699753608884e-07
1	BCAR1	3.6143037492254017e-07
1	ITGA4	3.590525785107985e-07
1	PAQR6	3.512097562374555e-07
1	MYO1G	3.486629462491749e-07
1	TMEM70	3.3655825673027635e-07
1	IL19	3.232793245310912e-07
1	IL10RA	3.1689298433288887e-07
1	CYTIP	3.1557096600372337e-07
