multiplex	node	score
1	ZNF667-AS1	0.0007525600648713986
1	HOTAIR	0.0007467985503184005
1	POU4F1	0.0007378919204169552
1	WNT2	0.0007203051044129143
1	HLA-DPB1	0.000719988278267201
1	TERT	0.0007112069835672157
1	APOBEC3B	0.0007089162864469573
1	WNT5A	0.0006645607334087336
1	TP63	0.0006448886585953102
1	CCND1	0.0006313911266492923
1	VEGFA	0.0006284139144128671
1	RARB	0.0006183202342692905
1	MTHFR	0.0006140982802702711
1	MYC	0.0006081232563394984
1	FGFR3	0.000598123143157337
1	CASP8	0.0005942783983406579
1	NOTCH1	0.000584132469238072
1	YY1	0.000581234776246088
1	JAK2	0.0005809358437195956
1	CTNNB1	0.0005736953968803981
1	CLPTM1L	0.0005709504154651175
1	PIAS3	0.0005691657900175404
1	EGFR	0.0005667165763751146
1	ERCC1	0.0005666390103779319
1	MTOR	0.0005578278371066527
1	STK11	0.0005557701662249466
1	STAT3	0.0005538749343335988
1	SH3BP2	6.415400778251337e-07
1	CCDC71L	6.073607714904574e-07
1	CDK4	5.755200967549223e-07
1	ANKRD37	5.171155048220212e-07
1	ALX4	4.88947893483869e-07
1	CLIC3	4.797618030349442e-07
1	CLEC3B	4.541938498561922e-07
1	MGLL	4.51918967888877e-07
1	SLC16A3	4.171500841370945e-07
1	MACROD1	4.083477491671268e-07
1	SERTAD1	4.076345679272258e-07
1	SHC1	3.835612543431826e-07
1	WWP2	3.65466237931216e-07
1	GBA2	3.4764374166118923e-07
1	PPIA	3.2960448008599114e-07
1	STK24	3.2007954933607567e-07
1	PTPN1	3.035931677663074e-07
1	ANKRD44	3.0212713914888517e-07
1	CIC	3.000570827378287e-07
1	MAX	2.967582518709005e-07
1	PPFIA4	2.9134040112533016e-07
1	EIF6	2.888859160170461e-07
1	KIAA0319L	2.8766584235615436e-07
1	FXR2	2.8652114740334664e-07
1	BRD9	2.810592396961341e-07
1	ADRB2	2.728545919284648e-07
1	NFKBIZ	2.7236383075282426e-07
1	UBE2Z	2.7186587001977463e-07
1	PIK3R1	2.6948865906459274e-07
1	ACVR1B	2.6550018318362797e-07
1	SLC39A1	2.644374736944251e-07
1	ANGPT1	2.62637291194975e-07
1	PTPN2	2.621884489115237e-07
1	ENO2	2.554688727807323e-07
1	CLEC16A	2.5431906245758726e-07
1	SNAI2	2.516824681842235e-07
1	AKT1	2.502083642485517e-07
1	BTBD10	2.481733739494824e-07
1	FOSL2	2.4123973456849865e-07
1	HAUS5	2.403996011014601e-07
1	YKT6	2.3675945452348033e-07
1	CPSF4	2.3588656224516056e-07
1	NDST2	2.3430515189972461e-07
1	TGFBR3	2.3220300081691034e-07
1	NSF	2.3035602140173997e-07
1	EGLN3	2.273424746439684e-07
1	HOXD11	2.240770921172978e-07
1	DCAF1	2.2098384301691075e-07
1	ADAMTS9	2.1629029661968515e-07
1	LYN	2.1529012930728233e-07
1	PLD1	2.1486396714579726e-07
1	SCARB2	2.1081072438519331e-07
1	ADAMTS1	2.0901412799768637e-07
1	DPP6	2.085899832636622e-07
1	RALGDS	2.0675337564079107e-07
1	HILPDA	2.066785467159443e-07
1	SLC2A3	2.0210330694188345e-07
1	PIAS1	2.0118533584412197e-07
1	GNB1	1.988203856280559e-07
1	SNRPC	1.9881950890424483e-07
1	GRIP1	1.9645498999941662e-07
1	PPRC1	1.9545500924029656e-07
1	RND3	1.9490815987072325e-07
1	SSR3	1.9377945852823807e-07
1	ELL	1.931824170682984e-07
1	PFKFB3	1.9257790262593184e-07
1	SH2D3C	1.900729623050408e-07
1	YBX3	1.8956128124408766e-07
1	CREBBP	1.88605594311459e-07
1	UBE2I	1.885519976806586e-07
1	KMT2D	1.8849386716103657e-07
1	UNC13B	1.8831988524220332e-07
1	SARDH	1.8713976611328011e-07
1	ABL1	1.8679123156469168e-07
1	TLN1	1.8539973728438576e-07
1	BCL3	1.8474302918255953e-07
1	PDPK1	1.8205628897445996e-07
1	BRD4	1.8086877946995667e-07
1	EP300	1.7776913381680762e-07
1	GAB1	1.765048672571387e-07
1	CALCOCO1	1.7621404415473497e-07
1	DBH	1.75969647130118e-07
1	GATA6	1.7557014550142701e-07
1	PPP1R11	1.749605631926325e-07
1	CDC42EP4	1.7428312675711397e-07
1	BTG2	1.7303760805355143e-07
1	APP	1.7284762238249257e-07
1	MAPK1	1.7279196991767255e-07
1	MT1M	1.726755227072318e-07
1	MYBBP1A	1.724887093729203e-07
