multiplex	node	score
1	UGT1A5	0.0006768920721373795
1	DELEC1	0.0006690466891872791
1	UGT1A4	0.000660825466121332
1	UGT1A3	0.0006587436841521571
1	GDF2	0.0006554414046775043
1	GP1BB	0.0006548753972104167
1	UGT1A9	0.0006548155579759815
1	UGT1A8	0.0006519928818377232
1	UGT1A1	0.00064827898686115
1	UGT1A6	0.0006480082092516704
1	UGT1A10	0.000647062240500418
1	ABCG8	0.0006417062072665463
1	UGT1A7	0.0006403635144364138
1	ABCG5	0.0006390730758181407
1	GCGR	0.0006382705471597866
1	ABCB11	0.0006358289318805641
1	HBB	0.0006344149114520311
1	CA10	0.000621693002631362
1	ABCB4	0.0006088446015801112
1	GPR35	0.0005995031971503732
1	ASPG	0.0005919209865136907
1	TNC	0.000577706763255535
1	FRMD4A	0.0005471994054699127
1	GYPC	0.000533612819806301
1	BAZ2B	0.0005157857859033562
1	GTF2I	0.0005132849533249659
1	SMAD4	0.0005096931444036415
1	LIMK1	0.0005087169450041814
1	STX12	0.0005075903246167015
1	HK1	0.000500775217758928
1	HBA1	1.1232105166123298e-06
1	SLC4A1	9.723210434672515e-07
1	RBL2	4.890931120118752e-07
1	JARID2	3.8077921730119334e-07
1	FN1	3.5861865784281093e-07
1	LIMK2	3.2210706138097853e-07
1	ST5	2.881081220247582e-07
1	TM7SF2	2.7766781754874695e-07
1	ADGRL3	2.5992451471731856e-07
1	HBA2	2.574591694767128e-07
1	TNPO1	2.483078807026492e-07
1	PRRT3	2.392403385769126e-07
1	RASA2	2.3854413266510205e-07
1	SLC4A7	2.1328062348888349e-07
1	ABCA2	2.0787412673011655e-07
1	GP5	1.880225336573272e-07
1	HBD	1.8293364974835005e-07
1	GP9	1.8175141526794285e-07
1	PTN	1.7829323046191452e-07
1	GPBP1	1.65867462417088e-07
1	BGN	1.6381923293415906e-07
1	ASNSD1	1.5547998365435045e-07
1	TIMP1	1.5283203843292707e-07
1	ZZEF1	1.5174297013674482e-07
1	RNF130	1.4841652542943988e-07
1	VHL	1.4315374841204352e-07
1	ROCK1	1.4183343552203566e-07
1	LONP2	1.4084077298911113e-07
1	FAM177A1	1.3944686803372058e-07
1	AP1S1	1.3777233325715414e-07
1	HNRNPF	1.3721701116276738e-07
1	MGAT3	1.3239872495874e-07
1	NT5C2	1.3155476827263616e-07
1	ZEB2	1.3051344894371518e-07
1	PLXNA1	1.293415846124612e-07
1	S100A11	1.286508399250728e-07
1	CEPT1	1.2510511825041702e-07
1	UGT2B7	1.2499299656709676e-07
1	IST1	1.2415593103447065e-07
1	PREPL	1.2054248550124237e-07
1	GALE	1.205324489027495e-07
1	ALAS2	1.2036318081323834e-07
1	ARPC1B	1.1778693337071064e-07
1	SLC43A3	1.17084450123131e-07
1	MSN	1.161332325496858e-07
1	AHSP	1.1545134326471101e-07
1	AIFM2	1.1313738298545254e-07
1	CCDC50	1.112569814713629e-07
1	ACTN1	1.1062415357806985e-07
1	ZNF827	1.1035601499986898e-07
1	FERMT1	1.0958635393750444e-07
1	PGD	1.0635836499571448e-07
1	NAA35	1.0389659822110949e-07
1	ABHD10	1.0238349346380761e-07
1	PTAR1	1.0226214790725867e-07
1	MCM3AP	1.0063851590028345e-07
1	RBMS1	9.98936978307341e-08
1	NBPF9	9.882704839255655e-08
1	LUC7L3	9.830689432123945e-08
1	COL15A1	9.810687430820621e-08
1	RBM12	9.751582212772378e-08
1	RARS2	9.69849875657429e-08
1	RIMKLB	9.655912845152855e-08
1	SPTB	9.616865905724949e-08
1	NBEAL1	9.607018649631062e-08
1	CTNNB1	9.565487062031004e-08
1	BAAT	9.505057336375608e-08
1	MPP5	9.402782461764054e-08
1	RELN	9.366922711931254e-08
1	UGT2B4	9.299206451480271e-08
1	NMD3	9.239403651441669e-08
1	TAGLN2	9.192978208963822e-08
1	UGT2A3	9.158267274957409e-08
1	PIEZO1	9.156084638671165e-08
1	UGT2B17	9.138171879397479e-08
1	UGT2B15	9.043346372326572e-08
1	MRPL32	9.008627526680205e-08
1	EPB41	8.979352233754411e-08
1	G6PD	8.959690797075457e-08
1	MALL	8.959296012482744e-08
1	UHRF2	8.901693257832225e-08
1	DICER1	8.88912644292361e-08
1	G6PC2	8.654510176691816e-08
1	ALDH3A2	8.625185636916266e-08
1	ACVR1B	8.61132531832221e-08
1	RAP1A	8.506749268709121e-08
1	DNMT1	8.505982069074935e-08
1	ARFGEF2	8.419266005822829e-08
1	SMIM12	8.405816442868626e-08
1	FBXO7	8.39838134571463e-08
1	ITGAV	8.347373291346406e-08
1	PRKAA1	8.291225330036033e-08
1	DENND11	8.265929557818414e-08
1	WDFY1	8.263370997748597e-08
1	PBRM1	8.263080487342742e-08
1	GP1BA	8.219597292976542e-08
1	HK3	8.104945213475844e-08
1	C2CD2	8.065052020569116e-08
1	PFN1	8.054142788667838e-08
1	ZNF182	8.049611471183832e-08
1	UGT3A1	7.953854953486735e-08
1	STOM	7.94491736718259e-08
1	USP24	7.908060676775009e-08
1	MEF2A	7.887667324642624e-08
1	CD63	7.882758809237102e-08
1	JAG1	7.877663366160351e-08
1	SOX6	7.860400215779297e-08
1	MAP1S	7.837297262725991e-08
1	TLN1	7.792378884694631e-08
1	ARHGEF12	7.789511018273443e-08
1	GIPC3	7.780114778721024e-08
1	WNK1	7.772925608890811e-08
1	GPATCH2L	7.763078735145351e-08
1	DPP4	7.740693601364506e-08
1	ACVRL1	7.70212092142208e-08
1	TLE3	7.682621569512684e-08
1	SCYL2	7.636956011366428e-08
1	UGT2B28	7.626866739961703e-08
1	ANXA5	7.5755412427104e-08
1	USP9X	7.574854114374176e-08
1	YWHAG	7.559034080955347e-08
1	HAUS3	7.551838666061946e-08
1	MAP2K1	7.46943576193045e-08
1	FRMD4B	7.456676604217134e-08
1	SEC24D	7.425418675768222e-08
1	STAT3	7.391363478704261e-08
1	COL6A3	7.35547175362829e-08
1	PIK3CA	7.30773552933597e-08
1	CRYZ	7.279394952704503e-08
1	DGKB	7.259560088818321e-08
1	CHD9	7.253852999773907e-08
1	SLC30A9	7.188695151284844e-08
1	TPI1	7.176102509837363e-08
1	GATAD2A	7.173338473446218e-08
1	TMEM106B	7.150127305596456e-08
1	MACF1	7.148667747364577e-08
1	CLASP1	7.119415064925603e-08
1	EP300	7.113231509831941e-08
1	COLEC10	7.075202451446173e-08
1	ZNF430	6.999954866433896e-08
1	ESRRA	6.982509507369677e-08
1	SH3GL1	6.968746065515972e-08
1	SYNE4	6.937985868274821e-08
1	ZNF24	6.902335480361136e-08
1	SNTB1	6.886625323056365e-08
1	AKIRIN1	6.84462353160344e-08
1	BPTF	6.824231412901423e-08
1	RAN	6.81910236589413e-08
1	TMBIM1	6.806951014104415e-08
1	NSD1	6.795010502719458e-08
1	CFL1	6.792015053018616e-08
1	NIBAN2	6.78044009864875e-08
1	TESK1	6.763180557000606e-08
1	PTPN11	6.737738002787174e-08
1	CYB561D2	6.636992250810035e-08
1	MTOR	6.630916431153328e-08
1	ANXA2	6.605366527186938e-08
1	ZNF891	6.581595959146753e-08
1	B3GNT7	6.575044438476367e-08
1	HKDC1	6.573345606860465e-08
1	ABCG1	6.553831018964587e-08
1	ITGB1	6.479932667509347e-08
1	WWTR1	6.47669051904394e-08
1	RIC1	6.459430271168128e-08
1	IGFBP7	6.45154294422836e-08
1	ITGB5	6.448099968296244e-08
1	DLD	6.383926742676586e-08
1	CTTNBP2NL	6.278181426400279e-08
1	PPME1	6.248010511526521e-08
1	UGT2B10	6.242423495961005e-08
1	TGFB1	6.188050783874122e-08
1	GARS1	6.185936386517359e-08
1	TAOK1	6.162212684168587e-08
1	ROCK2	6.121953117150327e-08
1	SLC31A1	6.079963462504111e-08
1	PRKDC	6.00908504375143e-08
1	SOAT1	5.994007685892879e-08
1	RHOG	5.98801375796709e-08
1	FRMD8	5.985209608593067e-08
1	VDAC1	5.975059063970407e-08
1	AKIRIN2	5.970598287037591e-08
1	CUL3	5.952179540004284e-08
1	UGT2B11	5.939625444639864e-08
1	ATP1A1	5.9325531887349946e-08
1	SNW1	5.929656411222841e-08
1	IMPDH1	5.9262461323330505e-08
1	IGFBP4	5.912202083497347e-08
1	TIAM1	5.897769859203743e-08
1	B3GALT1	5.8960637871691977e-08
1	MTDH	5.8850999687069066e-08
1	SLC2A6	5.880764238497524e-08
1	HERC3	5.87974490767099e-08
1	ANKFY1	5.875366052232932e-08
1	LATS2	5.8745059032518465e-08
1	SEC24C	5.867595496976534e-08
1	SEC23A	5.863135385833339e-08
1	ABCB1	5.8581848526124807e-08
1	HSD17B4	5.84816418987881e-08
1	ALDH1A1	5.8447751013244616e-08
1	CREBBP	5.844093819375245e-08
1	CALU	5.830715585396747e-08
1	RAB18	5.817570096142458e-08
1	UBE3A	5.807859989207397e-08
1	PIGY	5.797431543795323e-08
1	BMPR1A	5.795774855752212e-08
1	UGT2A1	5.7934074943987176e-08
1	C5orf15	5.782715047159983e-08
1	EPB42	5.78087764129231e-08
1	ZNF469	5.7561530213299974e-08
1	SLC9A1	5.7494556928326806e-08
1	AP2S1	5.728443957736869e-08
1	EPB41L2	5.698378210391688e-08
1	SMAD7	5.69252718387654e-08
1	LRRC40	5.688577256275691e-08
1	PRXL2C	5.6833063410385895e-08
1	HELZ	5.668803494426032e-08
1	R3HDM4	5.6566032070134304e-08
1	UGT3A2	5.62673031288719e-08
1	CDC37	5.5888574225947556e-08
1	STX17	5.5858573028558434e-08
1	ENG	5.573212640437164e-08
1	SMAD2	5.541740560376686e-08
1	SESTD1	5.5340788619441796e-08
1	SCML1	5.527334811304521e-08
1	PPP1CC	5.499982229136021e-08
1	IFT57	5.491472106193953e-08
1	CSDE1	5.482799158588807e-08
1	KCTD10	5.479097738867197e-08
1	ATXN1L	5.444399017232964e-08
1	UTP4	5.4437294607504015e-08
1	MGAT4B	5.437622455963144e-08
1	YWHAH	5.403488216516041e-08
1	NCOA2	5.4027494633475245e-08
1	TDRD9	5.390894990536842e-08
1	HBG1	5.390448232986691e-08
1	RECQL	5.3827513836660715e-08
1	EIF1AX	5.380364530205167e-08
1	UBR7	5.380145329128154e-08
1	ESYT1	5.3422816065344604e-08
1	AKT1	5.317353255853181e-08
1	RPS6KA1	5.303755866670367e-08
1	BNIP3L	5.297285844916762e-08
1	RAB3GAP2	5.292067144226484e-08
1	ARPC2	5.2728072476264104e-08
1	LPP	5.269818051710325e-08
1	MAPK1	5.2686579490206675e-08
1	ITGA5	5.2352763862374136e-08
1	SMC4	5.2304750539880646e-08
1	METAP2	5.229594314114289e-08
1	UVRAG	5.221451527571123e-08
1	TMEM184B	5.214182745974138e-08
1	TUT4	5.212600451069582e-08
1	THOC2	5.204699475354205e-08
1	DLG1	5.202547558758361e-08
1	EIF4G1	5.147398193962748e-08
1	ARHGDIB	5.1405006256078824e-08
1	NCOA4	5.130624447986496e-08
1	TGFBR1	5.1238177211598795e-08
1	TUBB6	5.113705209760817e-08
1	AKAP9	5.111806690477576e-08
1	MYO6	5.1111034861392145e-08
1	ACO2	5.110346563196029e-08
1	DYNC1LI2	5.105791708301227e-08
1	CYP8B1	5.105677599258944e-08
1	WBP11	5.098776647790759e-08
1	SBF2	5.072097295958904e-08
1	TGFBR2	5.07076153011906e-08
1	NCOA1	5.0672226781469075e-08
1	FBF1	5.062391994720994e-08
1	SERPINE2	5.059929255752001e-08
1	CES1	5.04286884452443e-08
1	MYH9	5.0405740575801534e-08
1	TANC1	5.023685863980745e-08
1	PPP3CA	5.000888040603111e-08
1	CHST15	4.99871184321631e-08
1	BLVRA	4.998464017288183e-08
1	AMPD2	4.994851589927286e-08
1	SH3BGRL3	4.987708970129493e-08
1	SKP1	4.970159291497483e-08
1	COL4A1	4.962376064298804e-08
1	BAG5	4.9595421367992366e-08
1	HM13	4.9539423984772876e-08
1	RARA	4.9490619122644306e-08
1	KDM5A	4.9364953709243074e-08
1	VASP	4.901373670158045e-08
1	SMAD1	4.899309781275905e-08
1	SMC3	4.8960405007975275e-08
1	TUBG1	4.8939535412167087e-08
1	ARPC5L	4.890515097280917e-08
1	RNPC3	4.8861910487037945e-08
1	SEC61A1	4.8766575025235166e-08
1	PDCD6IP	4.863495969333221e-08
1	CNOT6	4.8603285485360834e-08
1	FERMT2	4.8469801885578726e-08
1	MAP4K5	4.839942499418291e-08
1	KCTD9	4.835186444722654e-08
1	KIAA0930	4.8220976696192696e-08
1	MYH14	4.8057984364903376e-08
1	CYC1	4.795956111192568e-08
1	M6PR	4.795929766411933e-08
1	PPFIBP1	4.7915936370172526e-08
1	EBF1	4.773648891492728e-08
1	YAP1	4.7706055769992434e-08
1	RAB14	4.764124204543777e-08
1	ARHGEF40	4.763406816074856e-08
1	SPTLC1	4.7526028769033284e-08
1	TAF1	4.7245341956592235e-08
1	GPI	4.724310844347917e-08
1	RNF11	4.7104783546272126e-08
1	ACTR3	4.692187930925427e-08
1	WDR44	4.684060743765493e-08
1	PEX19	4.6789562951555056e-08
1	CANT1	4.678562662885996e-08
1	LCOR	4.678096677547379e-08
1	CSNK1A1	4.666303292078058e-08
1	RBPJ	4.6623833412722194e-08
1	PCNX1	4.660517533389805e-08
1	COL4A2	4.6597756085264943e-08
1	ARHGDIA	4.651240172287476e-08
1	ANXA6	4.6495745082686684e-08
1	HNRNPK	4.644477700687792e-08
1	ABL1	4.644078839046759e-08
1	VWF	4.640593327902121e-08
1	ALDH1A3	4.633821796028514e-08
1	FKBP10	4.6286653697523573e-08
