multiplex	node	score
1	SRY	0.0006582210094522447
1	WT1	0.0006146412432839984
1	TBX1	0.0006103454987519622
1	GATA5	0.0006099708481396355
1	TRIP13	0.000578989006569312
1	KDM6A	0.0005647743890256369
1	MCTP2	0.000557791194110919
1	PTH1R	0.0005545751280048778
1	ACE	0.0005458406028851602
1	WDPCP	0.0005343086846253312
1	NR2F2	0.0005261536501862761
1	NOTCH1	0.0005260379173605699
1	TGDS	0.0005231874818431479
1	JAG1	0.0005229780370314385
1	TRRAP	0.0005168369165664003
1	ZNF148	0.0005140957232408673
1	SPECC1L	0.0005136560062064692
1	ARID1A	0.0005124828087957993
1	UBE3B	0.0005113017004668326
1	PUF60	0.0005097013651662163
1	KMT2D	0.0005082041201154196
1	CEP57	0.0005081792931511064
1	TRAF7	0.0005067036740785141
1	LZTR1	0.0005058744423654591
1	BUB3	0.0005043020729936639
1	RAP1B	0.0005028967993516464
1	RAP1A	0.00050278264552134
1	TALDO1	0.0004984553467681224
1	RPS19	0.0004956062468277015
1	PTPN11	0.0004946176686173413
1	TFF3	7.208239781547393e-07
1	GATA6	6.920863538426063e-07
1	FLII	6.091786246985681e-07
1	CCL21	6.017481985285112e-07
1	TKT	5.599031970054201e-07
1	MAD2L1BP	5.14825655935573e-07
1	MAP3K4	4.918510446965247e-07
1	MAP3K2	4.86328548431992e-07
1	TECPR2	4.795199071724965e-07
1	MAGEH1	4.7429039839084976e-07
1	SMARCC1	4.65548385469011e-07
1	RNF123	4.582363775424276e-07
1	NCOA6	4.5208718888986236e-07
1	RBPJ	4.3365957971887447e-07
1	NECAB3	4.3355338251256775e-07
1	RPS20	4.3312445431952943e-07
1	PNPLA4	4.2142691368796514e-07
1	HIGD1B	4.205409397777251e-07
1	SH3BP2	4.10562814368072e-07
1	MACF1	3.8866102134932913e-07
1	UMPS	3.8067683106194615e-07
1	VIPR1	3.781810900405166e-07
1	HDAC1	3.78088688339656e-07
1	NOTCH2	3.7636667754894394e-07
1	PNMT	3.7375733426876636e-07
1	CA5B	3.6616920822957863e-07
1	NOTCH3	3.5158150985161825e-07
1	SCN3B	3.4928923405729056e-07
1	ZNF513	3.447565010089e-07
1	PIGX	3.390656221493926e-07
1	UCHL5	3.3893221085080754e-07
1	GOLGA3	3.325295048713426e-07
1	UBE2M	3.3164326839700145e-07
1	SOS1	3.2964717459150255e-07
1	GOLGA7	3.29336145003184e-07
1	ATF7	3.19574911336641e-07
1	RAB5C	3.166013410579909e-07
1	PKHD1L1	3.1541303853987773e-07
1	ODF2	3.132307174038085e-07
1	ZNF319	3.125457911386518e-07
1	RARS2	3.109601708547624e-07
1	DERL1	3.064527380439034e-07
1	JMY	3.0312990306136326e-07
1	ACBD6	3.0297342055112695e-07
1	SRCAP	3.0067548152446134e-07
1	SMARCB1	3.000050495034771e-07
1	RHOU	2.9064764661608344e-07
1	GRB2	2.8654023948043745e-07
1	CDC42	2.8247562281110814e-07
1	YWHAZ	2.8041877202502163e-07
1	PAXIP1	2.800420764420026e-07
1	ARPC2	2.7750206995539867e-07
1	DMWD	2.771839761952111e-07
1	PRKX	2.760713846420603e-07
1	URM1	2.758329561786156e-07
1	TRAPPC2	2.7039227629894395e-07
1	KDM5A	2.6945971123795923e-07
1	LETM1	2.6851935070327917e-07
1	RAB35	2.649356454514743e-07
1	FNTA	2.63488025273782e-07
1	STS	2.6213445724859835e-07
1	CTNNA1	2.590491134879833e-07
1	LRRK1	2.5895620161380965e-07
1	NAA50	2.569253508879041e-07
1	APBB1	2.568161325198535e-07
1	MSH6	2.5558777273472754e-07
1	PROX1	2.549657232648087e-07
1	ZNF207	2.5472054087258305e-07
1	TBC1D20	2.544329545239835e-07
1	MXD4	2.543457411388391e-07
1	ANP32E	2.542773048731821e-07
1	TTC23	2.5129343158647526e-07
1	MED13L	2.504389985931618e-07
1	RUNX1	2.477429760004636e-07
1	SMARCE1	2.46013742271519e-07
1	RALY	2.4445345806068424e-07
1	ZEB1	2.43808984467959e-07
1	SMARCA4	2.4056055148829964e-07
1	MAML1	2.3962390705769545e-07
1	HCFC1	2.391300150903012e-07
1	EXTL3	2.3707084725893738e-07
1	SH2D3C	2.3630212427384027e-07
1	ANPEP	2.3508483685241685e-07
1	FLI1	2.334520765632549e-07
1	PUDP	2.3272149827470604e-07
1	EP300	2.3265023187024316e-07
1	ZNF461	2.2992781651040412e-07
1	CSNK1G3	2.2914264362313726e-07
1	MTA2	2.2836899164633671e-07
1	HDGFL2	2.2788540897060825e-07
1	CUL3	2.2637122876231177e-07
1	MADD	2.2581179933777614e-07
1	TCF4	2.2541826558796373e-07
1	HRAS	2.2407124752661033e-07
1	TP53I11	2.2265549916643969e-07
1	VTI1A	2.2175181606653963e-07
1	PLXNB2	2.2081117356537734e-07
1	EEA1	2.1892211078021934e-07
1	CEP250	2.1797117949296852e-07
1	ELK4	2.1743987992250115e-07
1	POLH	2.1711960122717388e-07
1	ZFX	2.1667694782731304e-07
1	BRAF	2.1657377188182785e-07
1	TTC37	2.1341334586458333e-07
1	MLLT10	2.1267304160986187e-07
1	SYCP2	2.1209286959424382e-07
1	EMC2	2.1151202683857806e-07
1	CERT1	2.1041948071108024e-07
1	LAMP1	2.098206550247762e-07
1	CBFB	2.0805210450031716e-07
1	TLN1	2.0533952376069589e-07
1	ARID1B	2.046495796809753e-07
1	DNMT1	2.045943910939072e-07
1	WWP1	2.0340902848312042e-07
1	ALKBH5	2.0330155120015927e-07
1	MOB3A	2.0285797180470902e-07
1	TNRC18	2.025411007419531e-07
1	SETD1A	2.0041591012189546e-07
1	ANAPC16	1.9924198299650315e-07
1	YAF2	1.9835994630610402e-07
1	LRCH1	1.9759566079533334e-07
1	NAB1	1.9750507555546676e-07
1	AFF4	1.9750214652303752e-07
1	SLX4	1.9710770206559947e-07
1	RAB11A	1.9527049819199956e-07
1	RPL18	1.951570784515006e-07
1	PPP3CB	1.9487458536515154e-07
1	ARPC1A	1.937588879008338e-07
1	BPTF	1.9295179320352419e-07
1	SMAD5	1.9155035113656214e-07
1	TLK2	1.909862676589688e-07
1	DPF2	1.9098129219206574e-07
1	MVP	1.9084451322014187e-07
1	GTF3C5	1.9072640477998848e-07
1	ZMYM5	1.898614157596449e-07
1	INCENP	1.8979756713946404e-07
1	STRN4	1.886901020825287e-07
1	ANAPC4	1.8821079743386539e-07
1	POLG	1.8798199997265055e-07
1	CBFA2T2	1.876178438571504e-07
1	CRTC3	1.8735994207743094e-07
1	PACS2	1.8726209999362115e-07
1	GTF2F2	1.86752756058545e-07
1	PSMB6	1.8594529122725485e-07
1	TBL1XR1	1.854552749186795e-07
1	HELQ	1.8534084580767354e-07
1	GIPC1	1.846052074194225e-07
1	PGLS	1.8383824422324302e-07
1	DTX3	1.8380733652086944e-07
1	MIER2	1.8274913693102323e-07
1	DYNC1H1	1.8266075492104296e-07
1	TRUB2	1.8240030966987233e-07
1	ARHGAP6	1.820645075510336e-07
1	MARK2	1.819753213748862e-07
1	TAF6	1.8191211011587426e-07
1	CXXC1	1.8179780856934242e-07
1	EPS15	1.815078266560779e-07
1	ATXN7L3	1.8129227442110613e-07
1	MAP7D1	1.803237209674461e-07
1	BAHD1	1.7983919635974497e-07
1	BAZ1B	1.7954616825265165e-07
1	HDAC2	1.7933269046671782e-07
1	LUZP1	1.7892610642867394e-07
1	EWSR1	1.7872613929925251e-07
1	IPO13	1.7856618092756874e-07
1	NDST1	1.7840079370823424e-07
1	ARHGAP31	1.78110260193855e-07
1	USP24	1.7810032340521264e-07
1	KRAS	1.7780501552839302e-07
1	NSD1	1.7760984033408495e-07
1	NDUFAF3	1.7758216453551434e-07
1	KAT6A	1.7749660446032478e-07
1	FANCL	1.770270790815401e-07
1	DPP9	1.7645663973839096e-07
1	ACTR1A	1.7632545372495728e-07
1	TAB2	1.762604570520443e-07
1	SOGA1	1.7590793506612748e-07
1	FRS2	1.7533602581499005e-07
1	PTPN23	1.7530738143134912e-07
1	RAF1	1.752821057825165e-07
1	UBR5	1.7487074688022172e-07
1	RPS28	1.7385257190441344e-07
1	SNAPC2	1.7383970683328734e-07
1	PHC3	1.737971711104867e-07
1	ATL3	1.7271272202662388e-07
1	RBM15B	1.716288416618354e-07
1	RAPGEF3	1.7145228075011247e-07
1	NELFA	1.7086212747309143e-07
1	IL17RD	1.7075234543535937e-07
1	ERGIC2	1.7059337111497966e-07
1	BRD4	1.7036692883280484e-07
1	PCDH1	1.6982679011783666e-07
1	CTNND1	1.6976804556144337e-07
1	CNOT3	1.6973545658711294e-07
1	DIDO1	1.6952968101431847e-07
1	GAB1	1.690184776784765e-07
1	SMC1A	1.6830806942270974e-07
1	AKT2	1.682010037595905e-07
1	RPL36	1.6808758807590924e-07
1	DYNC1LI1	1.672320701136184e-07
1	GUCD1	1.666996930543818e-07
1	RPS9	1.6526930143976752e-07
1	ATM	1.6526335749520652e-07
1	UNC45A	1.6437769501299687e-07
1	ECI1	1.6410878979234583e-07
1	POLD1	1.63834786196863e-07
1	EID2	1.6348523732320156e-07
1	APP	1.6306599558583297e-07
1	MSN	1.627763898504046e-07
1	WNK1	1.627177145264457e-07
1	TBCB	1.6247047896772618e-07
1	CREBBP	1.624585660903216e-07
1	PTK2	1.621286503437028e-07
1	RGL3	1.6183658302330271e-07
1	SCAF11	1.6175274079224634e-07
1	MORF4L2	1.6169575703248698e-07
1	SCAP	1.6163530407632333e-07
1	NCKAP1	1.6152531835900764e-07
1	TAF4	1.614948025094394e-07
1	DCTN1	1.6142980618834222e-07
1	MINK1	1.6077220916759052e-07
1	TSC2	1.6072559853119432e-07
1	RPL28	1.6071690324915468e-07
1	MED12	1.6062488892715534e-07
1	HECTD1	1.6010313597122653e-07
1	KAT5	1.5975036865507093e-07
1	C22orf39	1.5962387618854871e-07
1	REST	1.5955184117044257e-07
1	RPE	1.5945992495577878e-07
1	KDM5C	1.594108471683181e-07
1	TBC1D10B	1.592107186507254e-07
1	ZC3H7B	1.5891254681354434e-07
1	BCL2L2	1.5880325970644036e-07
1	VEZT	1.5864329238195762e-07
1	TAOK2	1.5855385780587243e-07
1	ASNSD1	1.5851504700563896e-07
1	MAD2L2	1.5812822377085442e-07
1	CYB5R4	1.580449891968824e-07
1	KLHL9	1.577527875869531e-07
1	FAM50A	1.577485610056457e-07
1	UHMK1	1.5629024588548562e-07
1	LRCH3	1.5607042670184145e-07
1	INPPL1	1.5582019776583915e-07
1	NUP160	1.557599400316351e-07
1	RPLP1	1.5571779543900298e-07
1	GNA12	1.554120532065219e-07
1	STAT5B	1.5516917284402325e-07
1	RBM10	1.5492180849617761e-07
1	NFRKB	1.546308554247533e-07
1	NRAS	1.5461247277356224e-07
1	BCAP29	1.544070267300733e-07
1	RGL1	1.5435002508989406e-07
1	NBR1	1.5403026426061694e-07
1	SMURF2	1.5394209125775512e-07
1	MAP2K2	1.535246269980658e-07
1	YIF1B	1.534866072722192e-07
1	CDYL	1.5333571226908517e-07
1	KIF3A	1.5280857311060732e-07
1	PKN2	1.5261609343624655e-07
1	MIB1	1.5255703586310783e-07
1	TFE3	1.5218335149302536e-07
1	RPS3	1.5167536671820717e-07
1	ANAPC1	1.5156426026893691e-07
1	ZNF706	1.5122659935839328e-07
1	VIRMA	1.5105530573640154e-07
1	GNAI2	1.5102481895559114e-07
1	SRRD	1.508810055948231e-07
1	MICAL3	1.5080670262574788e-07
1	CCM2	1.5059967877347966e-07
1	ADAM10	1.5037624132094523e-07
1	ZDHHC20	1.4996756912848196e-07
1	RPL35	1.4991008378748638e-07
1	MRPL52	1.497546285612328e-07
1	PPP1CC	1.4965378850314964e-07
1	ACTL6A	1.4925994100943401e-07
