multiplex	node	score
1	LPA	0.0006856210666522208
1	APOA5	0.0006675508021540545
1	PON1	0.0006645176031599982
1	TERT	0.000662138458034752
1	ABCG8	0.0006609598741944316
1	ANGPTL4	0.0006363608190270358
1	ABO	0.0006168385849761687
1	PCSK9	0.000611461859000102
1	TCF21	0.000606888923904403
1	PHACTR1	0.0005961864235496278
1	HHIPL1	0.0005932889561757606
1	PTGS2	0.0005891584351530802
1	HMOX1	0.0005818452783228284
1	LDLR	0.0005805341001594258
1	CDKN2B	0.0005735470906722953
1	PLPP3	0.0005722008690164833
1	PROCR	0.0005676707915184157
1	JCAD	0.0005662675018858603
1	NOS3	0.0005624088125350061
1	LMOD1	0.0005511855791548584
1	PECAM1	0.0005478838926444646
1	MRAS	0.0005411177864393666
1	GUCY1A1	0.0005397105923185581
1	MIA3	0.0005390375501983323
1	SH2B3	0.0005372523548461483
1	ATP2B1	0.0005317606601238091
1	ZC3HC1	0.0005302945581530193
1	LIPA	0.0005300647105458419
1	WDR12	0.0005190860592449865
1	DHCR24	8.140119887414755e-07
1	DUSP5	8.128473782909857e-07
1	GFPT2	7.059342775986183e-07
1	PLIN2	5.811576898244076e-07
1	SQLE	5.747904613478562e-07
1	CYGB	5.429231360436183e-07
1	ZFP36L1	5.407013649174494e-07
1	PON2	5.358549813310638e-07
1	IER3	5.291441173079512e-07
1	KIAA1755	5.167182006611123e-07
1	CXCL2	5.113723398257981e-07
1	IGFBP5	4.87948403521163e-07
1	LOXL4	4.776080392189874e-07
1	DHCR7	4.6031348165715225e-07
1	RASSF8	4.6017491880658323e-07
1	ATF3	4.562525608825076e-07
1	CCR1	4.5563464524789613e-07
1	STK39	4.2318907096814874e-07
1	UAP1	4.155791512329473e-07
1	TIMP1	3.912415862204984e-07
1	GNA15	3.7939871022452985e-07
1	DAB2	3.619694378841887e-07
1	FNDC4	3.5982778065168926e-07
1	DMBT1	3.571724213092667e-07
1	ZNF521	3.4738643865687075e-07
1	ABHD11	3.4308769095159485e-07
1	EGR1	3.4031168573392777e-07
1	CCN1	3.39283165195101e-07
1	ATG9B	3.263861108725429e-07
1	NFKB1	3.247012255218464e-07
1	VCL	3.2331256875195816e-07
1	TIE1	3.2220870138507036e-07
1	CDKN1A	3.0359333341678844e-07
1	SEMA3F	2.9882215907570153e-07
1	FGFR1	2.9850969356840934e-07
1	HMGCS1	2.940310419477898e-07
1	ABCG5	2.7415868393040884e-07
1	NR4A1	2.7060197319027437e-07
1	SMIM3	2.672552832703116e-07
1	CYBRD1	2.536040473973853e-07
1	CAV1	2.527836561053876e-07
1	C1QTNF1	2.519603900801275e-07
1	BCL3	2.486905760595816e-07
1	EPAS1	2.4339912481806825e-07
1	TLCD1	2.430347086292566e-07
1	TMEM268	2.421012163235414e-07
1	LRRC8A	2.3689478385257737e-07
1	GREM1	2.3607099486128581e-07
1	TPR	2.359022431961923e-07
1	ARL5B	2.3282222660886122e-07
1	HILPDA	2.326611979390843e-07
1	SRGN	2.2937455757038673e-07
1	TPBG	2.2730936048089247e-07
1	TMEM243	2.2730455025312692e-07
1	GBGT1	2.2717276056649613e-07
1	HBEGF	2.2355475110230984e-07
1	DZIP1	2.2141254911882467e-07
1	NPR1	2.194615395640026e-07
1	PPP1R15A	2.1906065483678326e-07
1	PLAUR	2.1714217181138274e-07
1	NECTIN2	2.1597069378378642e-07
1	GPX8	2.1474200964289908e-07
1	ABCA2	2.138835696474703e-07
1	ADGRL4	2.1027049254502825e-07
1	ITSN1	2.078052347433022e-07
1	THBD	2.0743589786742138e-07
1	ARPC1B	2.0606451498297707e-07
1	TRIM21	2.0512006154232434e-07
1	SBNO2	2.0358455900814835e-07
1	EBF1	2.0349372375920938e-07
1	FLI1	2.0292313096344475e-07
1	KIT	2.0122859967305435e-07
1	VSTM4	2.0101063819106634e-07
1	LDLRAP1	1.974563746479849e-07
1	RARA	1.9733770747809622e-07
1	ZFP36	1.9469330841910964e-07
1	JUNB	1.944093899873845e-07
1	PAM	1.9163346191712898e-07
