multiplex	node	score
1	FGF23	0.0006605001363237116
1	GH1	0.000655741931087354
1	RETN	0.0006494321432619223
1	REN	0.0006486288647870265
1	PTH	0.0006485493385832448
1	CYP27B1	0.0006454038203643405
1	TNF	0.0006439520869998313
1	CASR	0.0006371584638523458
1	CRP	0.0006321000178604632
1	CYP24A1	0.0006293833702213796
1	GC	0.000622483322893704
1	BGLAP	0.000621361084845224
1	LRP2	0.0006030319481818623
1	IGF1	0.000590414903331512
1	HLA-DRB1	0.0005737052608525157
1	IL6	0.0005665885542916122
1	APOL1	0.0005476892412870149
1	DHCR7	0.0005451885269619336
1	VDR	0.0005422319733549443
1	IGHMBP2	0.0005406095180362075
1	CYP2R1	0.00053437218465758
1	SLC25A42	0.000520679543014035
1	TGFB1	0.0005172066730236368
1	TUBB6	0.0005170758798390882
1	CYP27A1	0.000513909151044596
1	NADSYN1	0.0005112064307913918
1	TMEM94	0.0005110371925709457
1	GATAD2B	0.0005096640261124013
1	RPS6KA3	0.0005085846902322092
1	AFG3L2	0.0004950469980211246
1	ORM1	1.2686664257312826e-06
1	FGB	1.0364613355139052e-06
1	RUNX1	6.614391465147689e-07
1	GPR4	5.492861900362011e-07
1	ELOVL5	5.314697813074889e-07
1	FGG	5.187072489418619e-07
1	PRL	5.179845154566407e-07
1	HDAC7	4.783006192787055e-07
1	SS18L1	4.7057219226688554e-07
1	IGF2	4.5780657714878564e-07
1	PCSK1	4.313859314256591e-07
1	SPON1	4.29073485004939e-07
1	CRYL1	4.266104274384059e-07
1	LDLR	3.877293343979306e-07
1	ARL5A	3.8502726670320705e-07
1	GCM2	3.831868024479025e-07
1	TJAP1	3.743840330411869e-07
1	ACSF3	3.552107981241933e-07
1	HIF1A	3.4737082401083444e-07
1	FOSL1	3.4412711296874116e-07
1	EBP	3.1322913042721274e-07
1	FAM117B	2.93673923309216e-07
1	MBD3	2.893879390237436e-07
1	USP21	2.889056560046692e-07
1	ANXA8	2.8246201766180814e-07
1	LSS	2.728272605515245e-07
1	LZTS2	2.7231315745189647e-07
1	PHEX	2.6700184949508745e-07
1	SC5D	2.4857023125869895e-07
1	MUC16	2.4790036450880834e-07
1	SLC48A1	2.4359164427454006e-07
1	APOH	2.3466980837264456e-07
1	ALDOC	2.2838768303172732e-07
1	AAR2	2.1336515770000104e-07
1	HLA-A	2.1146640405971188e-07
1	DTX3	2.1017418121079909e-07
1	CXCL8	2.0597004852617832e-07
1	FGA	2.0593177958736638e-07
1	SCO2	2.0583467319946088e-07
1	PSMB10	2.0544526096061674e-07
1	CHGA	2.0439516220406276e-07
1	NISCH	2.0288432850359325e-07
1	FNDC4	2.028731886141471e-07
1	MEF2A	2.0204385237694824e-07
1	WARS1	2.0196454120123994e-07
1	TNFRSF1A	2.0180869229260202e-07
1	IL1R1	1.9981498827437658e-07
1	ADAMTS1	1.987245027206542e-07
1	DHCR24	1.9845419632987402e-07
1	TIMP1	1.9739638344567567e-07
1	PGD	1.9702255332102998e-07
1	BAG1	1.9205272615891944e-07
1	DUSP5	1.9126198999744257e-07
1	HLA-C	1.9101319024684268e-07
1	IER3	1.9097914272468313e-07
1	ABTB1	1.900765534536023e-07
1	GLRX	1.863730914161424e-07
1	GTF3C1	1.8523260744542795e-07
1	UGCG	1.842229105433215e-07
1	ANAPC4	1.7956881338993593e-07
1	JAK1	1.7350512420394168e-07
1	ETS2	1.7330956566072426e-07
1	DNAJB2	1.7225066614393967e-07
1	ACSS2	1.6932047025368787e-07
1	PML	1.6774101972293292e-07
1	HEXB	1.6697608005424155e-07
1	NAMPT	1.6171866846502205e-07
1	MEDAG	1.6031691531373746e-07
1	AKT2	1.583332562828575e-07
1	SAA2	1.5824939972852507e-07
1	SMARCD1	1.5754862019329853e-07
1	NIN	1.571508733202409e-07
1	ANXA1	1.5690112358725327e-07
1	KIF2A	1.5625951602153503e-07
1	OSMR	1.5610834129577753e-07
1	FAM20A	1.5537956835183308e-07
1	IFI27	1.5290188868339102e-07
1	RARA	1.527471092196482e-07
1	YWHAH	1.5203115288357738e-07
1	INPPL1	1.5102808075763505e-07
1	CHUK	1.4584435448146544e-07
1	CLCN7	1.4547590835379323e-07
1	NCOA6	1.4455837046208128e-07
1	TYK2	1.4435265935651027e-07
1	HAPLN3	1.4388389361248087e-07
1	CSRNP1	1.435108292912112e-07
1	CXCL16	1.4344240207721245e-07
1	FASN	1.4341102075177703e-07
1	MOB2	1.433020662503651e-07
1	FBXO44	1.4291643938376774e-07
1	HP	1.4270294848807965e-07
1	STX16	1.4140472295392142e-07
1	ADAMTS9	1.4004124089791128e-07
1	IL6R	1.4003829458882568e-07
1	LRP1	1.3973624819616298e-07
1	CHST1	1.3961495537755648e-07
1	EZR	1.3836361098511938e-07
1	PCSK9	1.3798417680664367e-07
1	HPS4	1.3787470544097475e-07
1	RPS6KA1	1.367738436644041e-07
1	ATF2	1.367235254796005e-07
1	YBX3	1.3553447884871228e-07
1	SLC9A3R1	1.3491445166490716e-07
1	EFS	1.3436352798494625e-07
1	CSNK1G3	1.324141282672082e-07
1	SLC37A4	1.3169259137930346e-07
1	PRPF40B	1.3054165029355733e-07
1	ALB	1.293107204101374e-07
