multiplex	node	score
1	SHBG	0.0006495484922900541
1	PRL	0.0006482649171828463
1	GRIN3A	0.0006465450350019353
1	TNF	0.0006440464612572688
1	EDN1	0.0006256297371360557
1	NOS2	0.0006223492176750408
1	VIP	0.00061235079559748
1	IGFBP3	0.0006112146052892977
1	AGT	0.0006063346184488642
1	NOS1	0.0005890284295224612
1	P2RY2	0.0005821296758438653
1	IL6	0.0005666688364668337
1	VEGFA	0.0005661478690520329
1	P2RY1	0.0005542404232460351
1	NOS3	0.0005437120630835374
1	EDNRA	0.000543264818286574
1	CCND2	0.000536037767213242
1	GJA1	0.0005339431313160234
1	BCL2L1	0.0005253219753662829
1	SIRT1	0.0005220336282539895
1	DYNLL1	0.0005182503774984648
1	TGFB1	0.0005176402908925997
1	PDE5A	0.0005150317252734284
1	BCL2	0.0005140372322006586
1	CASP3	0.0005085398961798977
1	AKT1	0.0005034860558132919
1	GRK2	0.0005008356274666339
1	BAX	0.0005006176627078067
1	CFL1	0.0004991823247371165
1	BAD	0.0004979478673272027
1	SULF1	8.006411191404099e-07
1	LAYN	5.260896940591292e-07
1	GH1	5.137158939675623e-07
1	IGSF3	5.00980101017958e-07
1	ANKRD37	4.726093469190052e-07
1	SLC16A3	4.34059524357021e-07
1	FOSL2	4.3149403570821593e-07
1	GPR4	4.3091008849677766e-07
1	ADAMTS9	4.0030936483889993e-07
1	ATMIN	3.844715065946251e-07
1	SLC2A3	3.834741723344731e-07
1	PDZRN3	3.7489844510186437e-07
1	WDR1	3.732767955091759e-07
1	SHARPIN	3.612654210990223e-07
1	UGCG	3.4349941609851885e-07
1	HIF1A	3.4128429721407955e-07
1	DHX29	3.281810832796328e-07
1	TRAF2	3.280547388783704e-07
1	CCDC167	3.2733865428322114e-07
1	GPC3	3.2348687474542847e-07
1	IL19	3.182392441664796e-07
1	CASP10	3.16902454940666e-07
1	LATS2	3.1574135952921194e-07
1	FOSL1	3.095000575230995e-07
1	FLOT1	3.007806098193877e-07
1	PITPNM1	2.8655187052658073e-07
1	BHLHE40	2.852532827464262e-07
1	PPFIA4	2.784751637450338e-07
1	ATG9B	2.7329582843072313e-07
1	ENO2	2.703155762124043e-07
1	SLC35F6	2.66684971289626e-07
1	ADAMTS1	2.6581465327600803e-07
1	ROR1	2.541125337480368e-07
1	CPE	2.473046237746937e-07
1	ETS2	2.463373528632005e-07
1	PFN1	2.462592718035567e-07
1	ESRRA	2.4524172661730634e-07
1	GRN	2.42498498398413e-07
1	CSNK1E	2.4230993859577814e-07
1	DUSP5	2.42129946543474e-07
1	KLHL26	2.412118723010888e-07
1	F12	2.404323646991354e-07
1	TNIP2	2.376635950366663e-07
1	FXYD5	2.340660657237499e-07
1	PRDX2	2.3360570752356494e-07
1	FLT1	2.3270188265106892e-07
1	MBNL3	2.2927061878078664e-07
1	EGLN3	2.2709674929377668e-07
1	CAPN1	2.2335162622244972e-07
1	CXCL8	2.2240105259735523e-07
1	IER3	2.2009918121044474e-07
1	PSMD9	2.199890621657811e-07
1	MAPKAPK2	2.1495968976914435e-07
1	TPD52L2	2.1376591860620446e-07
1	LZTS2	2.1157703515759986e-07
1	SLC3A2	2.1062630074064206e-07
1	HILPDA	2.097543072590834e-07
1	SH3GL1	2.0903770799871896e-07
1	BMX	2.078101327707968e-07
1	PML	2.0658736109188805e-07
1	CTDNEP1	2.0529967887670723e-07
1	LIMK1	2.0314638701722737e-07
1	TNFRSF1A	1.9662291273916158e-07
1	ADAM15	1.963816079023408e-07
1	THBD	1.9603204176579792e-07
1	VEGFB	1.9591501669731024e-07
1	MAFF	1.945477886473229e-07
1	DNPEP	1.9420024927229455e-07
1	TBX20	1.9387973023238753e-07
1	CHRNB1	1.9383913799640452e-07
1	P3H1	1.9307661818994006e-07
1	CSK	1.9257269089940563e-07
1	SLCO2B1	1.9226284176905616e-07
1	ZNF513	1.9179271478259335e-07
1	CCND3	1.8849797810430657e-07
1	CKS1B	1.8848919341260875e-07
1	MLST8	1.880324691762815e-07
1	FOLH1	1.8791848738232624e-07
1	PIM1	1.8522634432840865e-07
1	ZNF628	1.840502175013698e-07
1	TYK2	1.8375529517028007e-07
1	MVP	1.8164265961202237e-07
1	SOD1	1.8137017602010485e-07
1	SLC39A13	1.805041540095073e-07
1	LSM7	1.8007297884387963e-07
1	JAK1	1.794836832333812e-07
1	GNB2	1.7804995974341302e-07
1	HEXB	1.77384327457987e-07
1	GPX1	1.7734878804439973e-07
1	PFKFB3	1.7673186550360011e-07
1	THBS2	1.762089795595235e-07
1	CCDC102B	1.7602890346737845e-07
1	KDR	1.7544039907332582e-07
1	ARHGDIA	1.7533621193405799e-07
1	MYH9	1.7435779502630014e-07
1	CDK2	1.7274945609595024e-07
1	AP2S1	1.7223271338702462e-07
1	CBFB	1.7179651571134462e-07
1	ARPC4	1.6977556599171524e-07
1	FURIN	1.6858165784987182e-07
1	PEX16	1.6789912583480565e-07
1	BACH1	1.657814330274056e-07
1	MED15	1.6568346161564863e-07
1	LNPEP	1.6461546197065653e-07
1	SLC12A4	1.6438941884132547e-07
1	ZBTB7B	1.6410551821329494e-07
1	TRADD	1.637285128169909e-07
1	SLC38A10	1.6106262929034447e-07
1	LIMK2	1.6061338396562976e-07
1	BID	1.5964984810920405e-07
1	PSMB8	1.593565115658961e-07
1	PLEKHO2	1.5886351776913575e-07
1	F11R	1.586334863542967e-07
1	GUCY1A1	1.5863143023871504e-07
1	PPP1R9B	1.5816950163374077e-07
1	TACC1	1.5816050194772034e-07
1	RAD23A	1.5790991829520968e-07
1	ANTXR1	1.5755914754393636e-07
1	MAPKAP1	1.5701456097112563e-07
1	VEGFC	1.5691397252706003e-07
1	YWHAQ	1.5415450143883994e-07
1	MSN	1.540518785750974e-07
1	CMBL	1.5393646387464156e-07
1	FRMD8	1.5380194803524932e-07
1	CASP2	1.5378968677305801e-07
1	PRPF40A	1.5365174394567716e-07
1	CHUK	1.5323310365368424e-07
1	IL6R	1.5182310520953544e-07
1	SNIP1	1.516747554991089e-07
1	VKORC1	1.5141396940184572e-07
1	LPCAT1	1.5127349539103684e-07
1	SLC10A3	1.510498605353881e-07
1	CSRNP1	1.5095402751141587e-07
1	SEMA4C	1.4973294212567765e-07
1	RAC1	1.4950082937286096e-07
1	ETS1	1.4834169405080672e-07
1	GNG2	1.4762532954373377e-07
1	MAPK3	1.4715568904340303e-07
1	NFKBIB	1.4701236992758028e-07
1	YBX3	1.4651217055257594e-07
1	GLIPR2	1.460305186696127e-07
1	GIPC1	1.460001645438967e-07
1	ARHGAP15	1.458442009398125e-07
1	ELF3	1.4521641089836894e-07
1	ATP1B2	1.4499255149918068e-07
1	HDAC11	1.448007344007306e-07
1	PPP4C	1.4479746393817426e-07
1	RELA	1.438002802926298e-07
1	TLE5	1.430272797907844e-07
1	IGFBP4	1.4220612262913416e-07
1	GLTP	1.418702969379591e-07
1	ELK3	1.418382776358863e-07
1	CAV1	1.4180222011601624e-07
1	STX4	1.410766623979722e-07
1	TSPO	1.4095028729735045e-07
