multiplex	node	score
1	CCL11	0.0011558668490994814
1	CCL4	0.0010725559028883175
1	ADAMTS3	0.0010679803204997295
1	MEFV	0.0010604210273079634
1	CCBE1	0.0010386353700709346
1	GJC2	0.0010348817352907728
1	VEGFA	0.0010000732759928165
1	VEGFC	0.000995264417181714
1	KIF11	0.0009701491645635557
1	NOD2	0.0009485515386741264
1	CAT	0.0009344075979557131
1	TNFSF10	0.0009309898794451879
1	FLT4	0.0009238760223727774
1	SOD2	0.0009177093778813281
1	FAT4	0.00091492907136879
1	TNFRSF1A	0.0008961788068884186
1	SOD1	0.000886161706621228
1	DCHS1	1.2976165781414052e-06
1	TMEM70	9.446152842009074e-07
1	FCER1G	8.997619479236678e-07
1	ANKRD37	8.296910570195096e-07
1	SLC16A3	8.129970806415261e-07
1	FHL2	7.850062230455609e-07
1	TLR1	7.349938288384245e-07
1	ADAMTS9	7.179635923264556e-07
1	CD69	6.933266642605253e-07
1	CXCR4	6.92222904846551e-07
1	CBR3	6.6858778844875e-07
1	HEG1	6.358758457518028e-07
1	PTX3	6.299765030205054e-07
1	HCK	6.171034168216732e-07
1	KBTBD11	5.971320144339809e-07
1	MAMSTR	5.839227263615288e-07
1	MMRN2	5.807819705196162e-07
1	SPI1	5.464372127005565e-07
1	VEGFB	5.222011689462884e-07
1	PIM1	4.836463369936034e-07
1	PPFIA4	4.778469714322004e-07
1	CDKN2C	4.763866544374658e-07
1	FLT1	4.7234267520021865e-07
1	TMOD3	4.680838412138049e-07
1	SLC2A3	4.636052638916289e-07
1	ICAM1	4.627475386026032e-07
1	ENO2	4.4503936236870056e-07
1	STXBP2	4.4204590075085757e-07
1	AHR	4.3533691312657383e-07
1	ALOX5	4.341407294137595e-07
1	ABCG2	4.271592450985132e-07
1	ACVRL1	4.2400651346216516e-07
1	VEGFD	4.2303594364144726e-07
1	KLHL25	4.184469045992933e-07
1	GPR176	4.022920580342758e-07
1	ABCA9	3.9849790106417374e-07
1	RIMS4	3.8779907483788064e-07
1	PAPPA2	3.872496108223643e-07
1	RUNX3	3.870525938366789e-07
1	CD36	3.8705029177275e-07
1	OSMR	3.8232685021793307e-07
1	EFNA1	3.7902729406960044e-07
1	HILPDA	3.7016253148934845e-07
1	GRWD1	3.659573442798572e-07
1	OSCAR	3.6561604829356476e-07
1	EGLN3	3.647002592664698e-07
1	LRRK2	3.6242757445546326e-07
1	ARRB2	3.5068081348439067e-07
1	IFI16	3.350990916802326e-07
1	STARD5	3.181441038885511e-07
1	KDR	3.1367900437511296e-07
1	MARCHF3	3.122582346389884e-07
1	FPR2	3.1148233463534277e-07
1	SHC1	3.0227730507212236e-07
1	SOX18	3.0214629187713124e-07
1	NCF2	2.9882798740378006e-07
1	PFKFB3	2.9334670720336905e-07
1	SPNS2	2.91203889009774e-07
1	MYO1F	2.9039438665263997e-07
1	FGFR2	2.8386964376085284e-07
1	PANK1	2.813503723741402e-07
1	NRN1	2.805763511073308e-07
1	NUDT4	2.754486250704963e-07
1	TESMIN	2.714648140478465e-07
1	PLSCR1	2.6794975794999063e-07
1	SLC11A1	2.6380172607641336e-07
1	LRG1	2.634684749764025e-07
1	SMPDL3A	2.5791289355897946e-07
1	FOSL2	2.550737586701834e-07
1	TSPAN2	2.546833273616507e-07
1	C1RL	2.4941771150675215e-07
1	RBL1	2.4888218160039677e-07
1	PRMT1	2.486677236616522e-07
1	PTPRC	2.477324732214119e-07
1	CD3E	2.470271776943612e-07
1	SUSD6	2.4233163807468267e-07
1	SLC40A1	2.375683113641722e-07
1	CDCP1	2.370521666351316e-07
1	CD79B	2.3537040063477453e-07
1	GGCT	2.316850387001177e-07
1	DHFR	2.3147866920480044e-07
1	MPZL2	2.3081034606006308e-07
1	BHLHE40	2.3077303011207487e-07
1	UPP1	2.2958079611944146e-07
1	CDK2	2.280223430606592e-07
1	STAT3	2.274411964135791e-07
1	SLC39A14	2.2627182241075017e-07
1	SIRT3	2.232468072464171e-07
1	PIEZO2	2.213310058185781e-07
1	CCL2	2.1824944091407173e-07
1	RAB27A	2.181489976852795e-07
1	RIPOR2	2.1769830317268602e-07
1	RELT	2.1436235030518504e-07
1	CASP1	2.139299024986901e-07
1	ATL1	2.09882611529708e-07
1	RELB	2.0924652621979935e-07
1	HNMT	2.074398875152301e-07
1	TAGAP	2.0496648429112784e-07
1	SLFN13	1.9654206212813848e-07
1	LMO2	1.9640106538583167e-07
1	RARRES1	1.963936476069748e-07
1	LYN	1.960319590939219e-07
1	TREM1	1.9539242897894427e-07
1	FCAR	1.9347741458340424e-07
1	TNFRSF10B	1.9339425756397597e-07
1	LITAF	1.9297863327805687e-07
1	TNFRSF1B	1.9209531417641722e-07
1	PDK2	1.9037324926862163e-07
1	CEBPD	1.9037174189798732e-07
1	WFDC2	1.8868960957290576e-07
1	PLXDC2	1.885314761105684e-07
1	PLEK	1.8650142921509886e-07
1	IL18R1	1.8578959948007757e-07
1	GRIN1	1.8567052770545457e-07
1	ADAMTS4	1.8506484430626815e-07
1	ACSL4	1.8448090402536577e-07
1	CD300A	1.7550462362070753e-07
1	TNFSF12	1.7517182540394144e-07
1	ZNF521	1.7316059708273116e-07
1	CD34	1.7167510074604618e-07
1	JAK3	1.712937102340161e-07
1	MYD88	1.7077841179525113e-07
1	SBNO2	1.7052147557819104e-07
1	IL22	1.700278069509815e-07
1	CIITA	1.6954820576994012e-07
1	ITGAX	1.6949751678540007e-07
1	IFNAR2	1.691435238903116e-07
1	BIRC3	1.6887606425309615e-07
1	ARHGAP9	1.6802635043008582e-07
1	RADIL	1.6708738942983465e-07
1	MVP	1.6661862751773712e-07
1	ADAMTS14	1.6636402708855484e-07
1	HEBP2	1.660733426895945e-07
1	IL1RAP	1.6505004553765055e-07
1	GLRX	1.6499558012483888e-07
1	HK2	1.6457723343689727e-07
1	GCH1	1.6301391798082537e-07
1	ETFDH	1.6299334431284536e-07
1	MRPL17	1.6272726435995756e-07
1	NAMPT	1.6126894083964722e-07
1	HACD4	1.609198599198745e-07
1	APLN	1.6059736698333786e-07
1	ADGRL2	1.6026161090321677e-07
1	NRP1	1.600254999066151e-07
1	DEF6	1.585672503435624e-07
1	CLEC14A	1.584671757326984e-07
1	AK4	1.5497741807047545e-07
1	LDHA	1.53619980378838e-07
1	ZNF260	1.5340824629233943e-07
1	TCF4	1.5196244305172188e-07
1	INPP5E	1.51738298240439e-07
1	PTPN2	1.506020041636164e-07
1	FES	1.5027897705725833e-07
1	RHPN1	1.5018463808324238e-07
1	ADGRA2	1.4938441150279867e-07
1	LOXL1	1.4823274109425326e-07
1	ALPK1	1.465018407624269e-07
1	IFIT3	1.460160943680209e-07
1	CYBRD1	1.4515690031469232e-07
1	TEAD4	1.4477002780986288e-07
1	ZDHHC9	1.4411704128605264e-07
1	CLIC2	1.435071117180751e-07
1	RAMP2	1.4254858827448664e-07
1	ZFP36L1	1.4254750146064087e-07
1	THBS1	1.422359941327166e-07
1	LCP2	1.4205205630624783e-07
1	VANGL2	1.4083913778732687e-07
1	ADGRE2	1.406682625215104e-07
1	IL2RG	1.3898284043131722e-07
1	LGALS9	1.3892915957669003e-07
1	BCL6	1.3765096280579588e-07
1	PDGFRA	1.3646652188470782e-07
1	ALDH2	1.3563101564381577e-07
1	IFNL3	1.3468741874804728e-07
1	P4HA1	1.3418200237015804e-07
1	DIPK2B	1.3397205652367645e-07
1	FMNL1	1.331274664714608e-07
1	ADAMTS1	1.3267191584351686e-07
1	COL4A4	1.319902705452452e-07
1	CARD6	1.3104652050040526e-07
1	PALMD	1.3054830123767132e-07
1	BCL3	1.296948847914838e-07
1	CFL1	1.2958298246618424e-07
1	CLEC2B	1.289660886261982e-07
1	ANO7	1.28270094738562e-07
1	HIF1A	1.2820814740668925e-07
1	IL10RB	1.2697686814978392e-07
