multiplex	node	score
1	IL1RAPL1	0.0006567291393793089
1	TNFSF11	0.0006527452159205926
1	SOST	0.0006487514506544473
1	POMC	0.0006328118831941524
1	ACTA1	0.0006045196450817892
1	ADA2	0.0005904345861256721
1	CNKSR2	0.0005824757035997926
1	SNX10	0.000557527937584563
1	DLL4	0.000554254552919456
1	CLCF1	0.0005406397655817798
1	MID2	0.0005394848124898549
1	ZC4H2	0.0005361648916917661
1	CHD7	0.0005340609045406031
1	LRP12	0.0005271006327867749
1	SQSTM1	0.0005233369331854513
1	TUBB6	0.0005176439857584872
1	GSN	0.0005168161054261339
1	PEX3	0.0005150062855948145
1	PLXND1	0.0005137431042109966
1	TRIM32	0.0005129575728474162
1	FTSJ1	0.0005123777574995615
1	IQSEC2	0.0005102971828109256
1	SLC39A14	0.0005090378864952919
1	PEX11B	0.0005083423724685033
1	POLG2	0.0005080561833799554
1	SUFU	0.0005073751495619398
1	POMT2	0.0005069193679901668
1	POMT1	0.0005057940987469309
1	ACADS	0.0005010012037857885
1	GMPPB	0.0005009640206875504
1	STC1	6.060865300014285e-07
1	ELOVL5	5.953876134404471e-07
1	NUMA1	5.284680033132489e-07
1	MPDZ	5.18122446242947e-07
1	NAGK	5.158903409906452e-07
1	LLGL1	5.11361349568108e-07
1	LAMB2	5.038306439144021e-07
1	ACTN2	4.869799546472853e-07
1	CD276	4.563990352630093e-07
1	OSMR	4.49143558054572e-07
1	REV3L	4.2875276324643385e-07
1	OMD	3.969717932323363e-07
1	SUSD6	3.725190767081233e-07
1	NOVA2	3.708027701041382e-07
1	NEIL1	3.6387984013402417e-07
1	TNNC1	3.3931529769504256e-07
1	MT1M	3.3390641011185235e-07
1	FASTKD5	3.2415365785455167e-07
1	EHMT2	3.1389852227554443e-07
1	ZNF18	3.113694248025555e-07
1	DOC2B	3.0168406102687794e-07
1	ZNF675	2.974494059488508e-07
1	SLC2A3	2.941969731585253e-07
1	INHBB	2.938588189064344e-07
1	SPSB1	2.9270701128543585e-07
1	PIM1	2.902437696688938e-07
1	KLHL34	2.889877259538438e-07
1	ARAP1	2.8105036259240487e-07
1	SHC1	2.8013144726041955e-07
1	ANO6	2.8004891071828043e-07
1	EFS	2.794299612270869e-07
1	LTBP3	2.725106264392366e-07
1	TCIRG1	2.6416811813655343e-07
1	GTPBP3	2.5863369055059045e-07
1	NFATC3	2.5811362132487613e-07
1	RELA	2.5762188657813616e-07
1	THBS1	2.53617953069714e-07
1	GPR4	2.5357668662444007e-07
1	FCGR3A	2.519474063826559e-07
1	FAM49B	2.5158489107608425e-07
1	F11R	2.4829115019705406e-07
1	ACOX2	2.4470237520646883e-07
1	CLCN7	2.400241545684651e-07
1	SLC39A1	2.3914825906701884e-07
1	BHLHE40	2.3658560244136572e-07
1	FZD4	2.3557847246951085e-07
1	C1R	2.349867680152913e-07
1	MAP2K3	2.299999186963412e-07
1	TSTA3	2.2727230726506186e-07
1	DCAF15	2.265209816022177e-07
1	CD4	2.2629277023635193e-07
1	LAMC1	2.2319601357787603e-07
1	FIS1	2.224170620533884e-07
1	RARA	2.2090309009482387e-07
1	CDH5	2.206889546728021e-07
1	NEB	2.1766049597944953e-07
1	YWHAH	2.165994070762893e-07
1	DGKZ	2.1386596980176791e-07
1	GFPT2	2.1347671816103537e-07
1	MYBPC2	2.0982854040315625e-07
1	TCF3	2.0969630553022346e-07
1	PRNP	2.0817418523563875e-07
1	UCK2	2.077268456325943e-07
1	LMOD2	2.0771649783292554e-07
1	MSL3	2.0663523611872967e-07
1	ATP1B3	2.063069071105852e-07
1	ITGA5	2.0148168746401651e-07
1	TCHP	2.0040382905325292e-07
1	ZFPM2	2.0013715991556245e-07
1	PLCB3	1.9856087574937155e-07
1	MT1X	1.9610139384161753e-07
1	SLC9B2	1.9402185381262847e-07
1	ECHS1	1.910667507617309e-07
1	DNM1L	1.88640496885059e-07
1	TRDN	1.875167781631501e-07
1	BPNT1	1.8695979673819012e-07
1	TSHZ3	1.8441016732833664e-07
1	SBNO2	1.8331842825024796e-07
1	IGF2R	1.8142225076063368e-07
1	VIM	1.8078882157348136e-07
1	SMO	1.8070471058197313e-07
1	GAS7	1.8062682801410578e-07
1	ST3GAL2	1.8016145038604428e-07
1	E2F4	1.788215935889535e-07
1	ELL	1.7822336208292377e-07
1	PDHB	1.7758345080754822e-07
1	SEC24A	1.7703150545333873e-07
1	PFN1	1.7640746323244234e-07
1	UGDH	1.7637328939963894e-07
1	SYNGAP1	1.76288311675105e-07
1	SOD2	1.7565162284582947e-07
1	MEGF8	1.7533327689535863e-07
1	ATP13A3	1.746813539036625e-07
1	SEC24D	1.740954343464025e-07
1	MAN1B1	1.732085473267481e-07
1	IFRD2	1.726735211847622e-07
1	STAT3	1.7251149564526033e-07
1	TSPAN4	1.7211073384102207e-07
1	LARS2	1.705191272681126e-07
1	CCDC115	1.7036196586078114e-07
1	P3H1	1.702950893375065e-07
1	KCNE3	1.7026907693071081e-07
1	ZNF75D	1.7003618726936666e-07
1	DDX21	1.6916651399115876e-07
1	ARAP3	1.6873426723908068e-07
1	ZHX3	1.6865845441088547e-07
1	GNL3	1.6827415073830222e-07
1	TNRC18	1.680782858425119e-07
1	TWF2	1.6799831239257072e-07
1	FAM83G	1.679348625618977e-07
1	NMNAT1	1.6788355133112036e-07
1	TMEM143	1.6558986136037344e-07
1	MPI	1.6549767525782092e-07
1	PARP1	1.65133559827266e-07
1	PNP	1.6466504969999387e-07
1	MYH10	1.645409939674553e-07
1	SOGA1	1.6313178273100742e-07
1	PRXL2B	1.6251786125874008e-07
1	GRK2	1.615158060826782e-07
1	SARS1	1.6139409462927117e-07
1	NFKBIB	1.6052475657140417e-07
1	TANC1	1.5982164937049868e-07
1	IFT140	1.5939397070931108e-07
1	DOT1L	1.591249978279009e-07
1	AGAP3	1.5878787199817135e-07
1	LIFR	1.587617554281563e-07
1	PEX11A	1.5857796414953669e-07
1	INPPL1	1.5811876850512613e-07
1	HMGN3	1.5744858817881716e-07
