multiplex	node	score
1	TNF	0.0006440902297063364
1	PLG	0.0006261426076580971
1	SERPINB2	0.0006196356395670448
1	MMP9	0.000600491130223365
1	F3	0.0005973887829446512
1	EGR1	0.0005962687779865204
1	FOXC2	0.0005837167944926678
1	PLAT	0.0005803547879279599
1	SERPINE1	0.0005729354487175333
1	CCND1	0.0005684515683665664
1	VEGFA	0.0005659552519829317
1	PDGFB	0.000561362774166518
1	NTRK3	0.0005496762655845782
1	COL1A1	0.0005485170209595297
1	MMP2	0.0005340175431773761
1	ETV6	0.0005310948067584596
1	FN1	0.0005300273912658453
1	MMP14	0.0005261118964194849
1	FGF2	0.0005233648016681179
1	CDC123	0.0005228558374505911
1	CD44	0.000522380580417564
1	TGFB1	0.0005201196381729119
1	MTAP	0.0005173234740948164
1	IDH1	0.0005144211291384009
1	TIMP2	0.0005142757393311804
1	GPI	0.0005118595573085825
1	NF1	0.0005104206234160226
1	TP53	0.0005044294689134659
1	HIF1A	0.0005020825975379902
1	HRAS	0.0004981166665946958
1	FOXC1	1.1370963916514232e-06
1	JUN	8.150591027205227e-07
1	ATF3	7.471958022094347e-07
1	S100A8	6.323807900991953e-07
1	CDK4	6.162384694002969e-07
1	FOXL1	5.959501519437608e-07
1	SLC16A3	5.668745150339467e-07
1	SPARC	5.405588986236257e-07
1	ANKRD37	5.118377810003509e-07
1	SEC14L2	5.115500688161102e-07
1	ABI3BP	4.984396630991472e-07
1	MGLL	4.962848432204193e-07
1	DUSP1	4.842300512016799e-07
1	PAK4	4.575693161587827e-07
1	MYL9	4.5627179036815724e-07
1	COL3A1	4.5330792861694166e-07
1	CSRNP1	4.5001226911241595e-07
1	PTGS2	4.425886147024409e-07
1	ATP1A2	4.386354289041151e-07
1	ANTXR1	4.376289926650651e-07
1	UPP1	4.36813392125029e-07
1	SOCS3	4.3536824719496545e-07
1	MMP7	4.3367581923682e-07
1	COX16	4.310889420659698e-07
1	NTF3	4.166842792330453e-07
1	IDH2	4.1104971000186074e-07
1	TNC	4.070988178043703e-07
1	CPXM1	4.052206587453993e-07
1	NR4A2	3.98388964196578e-07
1	OLFML2B	3.9752211497345364e-07
1	ACTN1	3.9732282505031433e-07
1	CCNYL1	3.88950309116189e-07
1	EMP1	3.8803241356023414e-07
1	CLEC3B	3.8481889187763437e-07
1	TFPI	3.8288598759376757e-07
1	SRGN	3.8211059401104955e-07
1	NAMPT	3.667986167493281e-07
1	ENO2	3.651465180056123e-07
