multiplex	node	score
1	KLRC4	0.0006613655885915076
1	CSF2	0.0006534390171658836
1	AVP	0.0006467534179980897
1	NRSN1	0.0006434136828723376
1	LTF	0.0006182084203404693
1	TBX1	0.0006101898545059419
1	GAL	0.0005995049902817905
1	GAP43	0.0005948822468268645
1	SLCO2A1	0.0005859128178696268
1	RELN	0.0005577380287792344
1	VWF	0.0005380517789968186
1	STAT4	0.0005353594917031285
1	WFS1	0.0005277333994122215
1	TLR4	0.000527691815058691
1	TNXB	0.0005255204904867989
1	RREB1	0.0005215178215512656
1	ACVRL1	0.0005211918780393309
1	TGFBR2	0.0005132602004008191
1	UFD1	0.0005104203022730167
1	SDHC	0.0005100627416178797
1	TSC2	0.000508077809075469
1	HIRA	0.0005057828849128188
1	TSC1	0.0005055646774533181
1	SDHA	0.0005050018859398887
1	SLC5A6	0.0005044711763559427
1	APC	0.0005026960450830805
1	SDHD	0.0005021904684372854
1	STK11	0.0005011842605726857
1	BAX	0.0005001215504772405
1	SDHB	0.0004967198584638732
1	TFF3	1.16209722715471e-06
1	TEK	8.456048384325272e-07
1	SCN3B	6.599894389839538e-07
1	CCL21	6.454278362007056e-07
1	STAT6	6.361151695732595e-07
1	SCN1B	5.915718655655892e-07
1	SLC34A2	5.193895106733614e-07
1	ECSIT	4.97069673902089e-07
1	AXIN1	4.722777117590042e-07
1	PROX1	4.448008283492423e-07
1	ELAC2	4.410792438890277e-07
1	TLK2	4.293453212335294e-07
1	EDNRB	3.9397492130673687e-07
1	CAMK4	3.878150106543463e-07
1	CSNK1A1	3.85528859686647e-07
1	KATNAL1	3.5396636421601323e-07
1	RANBP1	3.5287261541416197e-07
1	FLT4	3.5073508416673964e-07
1	POLR2H	3.2757020713447757e-07
1	PKHD1L1	3.2736143928697356e-07
1	MYD88	3.2118825274085334e-07
1	GALNT15	3.1341974704841925e-07
1	PDZD11	3.111214618189693e-07
1	TSPAN11	3.108218107149946e-07
1	PTPRF	3.0909418329922747e-07
1	ZEB2	2.9963408117788965e-07
1	SNAI2	2.932109718331557e-07
1	MMRN1	2.9119363544594215e-07
1	NAPA	2.8368041923989767e-07
1	HPGD	2.8044764697309965e-07
1	SAA1	2.7818613199255784e-07
1	SUCLG1	2.74466468479351e-07
1	AKT1	2.737513796850265e-07
1	P3H1	2.6658840281590134e-07
1	NTRK2	2.646450099675663e-07
1	SAA2	2.601288942986931e-07
1	BAP1	2.50301226774604e-07
1	FLOT1	2.489285229903142e-07
1	PSMD2	2.461938990275271e-07
1	MAP1A	2.439235442054703e-07
1	CDK16	2.4232051087426295e-07
1	USP36	2.4185829640788806e-07
1	KDM4A	2.418435548500683e-07
1	PHF5A	2.4062496771707735e-07
1	KEAP1	2.3311859256533622e-07
1	COQ4	2.330369511063231e-07
1	SUCLA2	2.3213178679053394e-07
1	FH	2.308118365981016e-07
1	GRN	2.2815422297425878e-07
1	OGDH	2.229405134228931e-07
1	NDUFS3	2.214665918135688e-07
1	RANGAP1	2.198886241971089e-07
1	KDR	2.190140822535657e-07
1	KLKB1	2.1707749813913968e-07
1	EPB41L2	2.1590288884704702e-07
1	PAPSS2	2.1479318503264049e-07
1	TGFBR1	2.1168635148857494e-07
1	CLPTM1	2.1150772039402091e-07
1	ACO2	2.0989675688857897e-07
1	AVPR1A	2.0882199201111833e-07
1	GSN	2.0850102272390363e-07
1	NUDT5	2.0740933897552103e-07
1	NELFA	2.0560488924709755e-07
1	GPM6A	2.036504647443569e-07
1	IL27RA	2.0126234302974903e-07
1	DPP9	2.0068886462616113e-07
1	ZNF22	2.004098966206437e-07
1	TIMM44	1.9974916494966278e-07
1	TIRAP	1.9878200656562026e-07
1	YWHAQ	1.970076940178774e-07
1	NDUFS7	1.9214689408272967e-07
1	RBFA	1.9189644352180367e-07
1	TMEM147	1.891840962698372e-07
1	AKNA	1.8743916271761343e-07
1	SUCLG2	1.8539291594304223e-07
1	TBC1D22B	1.8532624308093046e-07
1	TYK2	1.8354304106336008e-07
1	PSMA4	1.8207044797428053e-07
1	IRAK3	1.791368204570255e-07
1	DLD	1.7887964162275116e-07
1	ALPL	1.7885660084086142e-07
1	AATF	1.7497571054746767e-07
1	MMRN2	1.743517701627e-07
1	GDI1	1.743296347976594e-07
1	SLC12A4	1.718668006648377e-07
1	CS	1.7169445002490967e-07
1	ZDHHC5	1.7127819640826808e-07
1	PDHB	1.7114083891337024e-07
1	PREX1	1.710717716181427e-07
1	PDGFRA	1.7013847284585213e-07
1	COG1	1.676981550096721e-07
1	NOSTRIN	1.6758068651884254e-07
1	DLST	1.6756140592197952e-07
1	PIK3R3	1.667613743211061e-07
1	HCFC1	1.667196693530321e-07
