multiplex	node	score
1	DKK4	0.000713020572940142
1	TRPV1	0.0007080168879805115
1	TNMD	0.000707358570396245
1	GAST	0.0007005670470566854
1	ATP12A	0.0006967814295012571
1	DKK1	0.0006876375241676858
1	CYP2C19	0.0006831756833977035
1	NR1I2	0.0006741163303557735
1	MCF2L2	0.0006719565074643835
1	TAT	0.0006699837261530331
1	KCNK9	0.0006667503407108651
1	CA1	0.000665826086720625
1	TPO	0.0006634998861947672
1	ATP4A	0.0006620167586339875
1	CA9	0.0006575839000757127
1	ALB	0.000653780506913892
1	LPAR3	0.0006442521208286682
1	PIK3CG	0.0006407691255540885
1	TFF3	0.000635516400690622
1	F2RL1	0.0006165842068374375
1	PTGS2	0.0006105181352755339
1	NPDC1	0.0005693146839781675
1	TFEB	0.0005573617942900535
1	CYLD	0.0005456282253280516
1	EIF6	0.0005398045219398722
1	PIK3CD	0.0005393557025549204
1	PIK3CB	0.000538524590428123
1	PIK3CA	0.0005352952805904232
1	TG	2.0689387394635462e-06
1	FGB	1.1788715506970846e-06
1	ALAS2	1.054369246189134e-06
1	APOC3	1.0128428427216113e-06
1	CBLIF	9.218166276744302e-07
1	PGA3	8.669907693868064e-07
1	TBX1	7.884156377414605e-07
1	LIPF	7.49852504171817e-07
1	DUSP5	6.987728837729436e-07
1	ADCY7	6.328386927509697e-07
1	DUOX2	5.614250057200956e-07
1	KCNMB2	5.056131905038387e-07
1	CXCL2	5.045276713570486e-07
1	IER3	4.981767649567647e-07
1	RELN	4.926694018093875e-07
1	HP	4.881554270180344e-07
1	BCAT1	4.5860970427760974e-07
1	TFF2	4.5557797664436975e-07
1	B3GNT5	4.4907336587261076e-07
1	ATF3	4.471101593349009e-07
1	APOH	4.2043078903432423e-07
1	CCL21	4.156564239434557e-07
1	ZFP36L1	4.1417500855098394e-07
1	ORM1	4.0316118060057115e-07
1	PGC	3.6024543666743976e-07
1	EGR1	3.527703509013158e-07
1	NDUFA4L2	3.398165163767625e-07
1	CCN1	3.3641863876339006e-07
1	ASB4	3.19827351620717e-07
1	TNFAIP3	3.1169918629441434e-07
1	DUOX1	3.062457983523177e-07
1	SLC4A1	3.049094863347789e-07
1	AP1G2	2.8000283701053057e-07
1	CCR3	2.751121167885334e-07
1	RGS14	2.707676862197805e-07
1	ERBB2	2.6666724927841334e-07
1	SOX13	2.5822242257443127e-07
1	GNB2	2.528557003959394e-07
1	ATP4B	2.4268470818742084e-07
1	YPEL3	2.413460532479863e-07
1	SPTA1	2.4039773772443605e-07
1	NR4A1	2.389279085901081e-07
1	HBEGF	2.3693827662638192e-07
1	ARL5B	2.3659836036111634e-07
1	HBD	2.3568458271172266e-07
1	UROD	2.3455276367623482e-07
