multiplex	node	score
1	GH1	0.0006556898762183761
1	CRH	0.0006550094029954934
1	G6PC	0.0006524449508385829
1	GHSR	0.0006481359799794135
1	INS	0.0006460218990692921
1	TNF	0.0006439718836282463
1	TH	0.0006401156229301562
1	IL1B	0.000622299879659366
1	GRIN2B	0.0006213394868755443
1	HNF1A	0.0006210637784468545
1	HNF4A	0.0006041965319768147
1	ABCC8	0.000596880576914679
1	KCNJ11	0.000594052522686111
1	IGF1	0.0005923051834999568
1	PNMT	0.0005792451088413866
1	CPT1A	0.0005779327791326168
1	IGF2	0.0005595224078231846
1	SERPINA1	0.0005591863082577211
1	PC	0.0005403938567410732
1	SERAC1	0.00052925092756933
1	INSR	0.0005248361974389751
1	TANGO2	0.0005243850232794312
1	SOD2	0.0005199854381086772
1	CACNA1C	0.0005163426261323042
1	HADHA	0.0005115222006992611
1	GSR	0.0005098320140292365
1	HADH	0.0005079451891003678
1	PGM1	0.000507532494944109
1	PPARA	0.0005064482831112886
1	ACADM	0.0005015394954029063
1	IL1A	9.839591482657734e-07
1	HADHB	8.726891094912068e-07
1	FKBP5	8.575581836955676e-07
1	GCK	6.262675681363542e-07
1	PCK1	5.982847852303268e-07
1	F5	5.3053112433636e-07
1	ABHD6	5.23772089267357e-07
1	PCSK1	5.126501246771827e-07
1	SPON1	5.007696578863452e-07
1	PRL	4.971760550599994e-07
1	ABCC9	4.6026996002748436e-07
1	LRRC25	4.546484615549332e-07
1	TXNRD1	4.5459853008806413e-07
1	PTH1R	4.414298974368784e-07
1	KLF11	4.04051109314259e-07
1	ACADS	3.8181317618285105e-07
1	GNMT	3.759682260149337e-07
1	MCCC1	3.651915156709213e-07
1	IP6K3	3.647842895916642e-07
1	PTX3	3.5071162719027655e-07
1	ACAT1	3.423421384640422e-07
1	LYZ	3.3398665401791345e-07
1	KANK1	3.2677955378388e-07
1	ALDH1L1	3.2300091084895824e-07
1	PCCA	3.2237856259605336e-07
1	GPAA1	3.192791307207564e-07
1	FBLN2	3.1094341408510235e-07
1	RETSAT	3.10424829976711e-07
1	FAM107A	3.0665881965706026e-07
1	GATA6	3.0448261525274007e-07
1	ECHS1	3.0087729031132425e-07
1	ARHGEF11	2.9895448053880085e-07
1	BATF2	2.9204174832129246e-07
1	MAPK8IP2	2.91866104751129e-07
1	TXN	2.901321152918124e-07
1	F8	2.88211692045617e-07
1	ZBTB16	2.8771732472981975e-07
1	IL1RN	2.8750577652573926e-07
1	MAOA	2.8317553596942336e-07
1	GLRX	2.815333351769024e-07
1	MCCC2	2.761070880884396e-07
1	ACADL	2.728547572392824e-07
1	IMPA2	2.6363888000428277e-07
1	SERPINA6	2.520569576981071e-07
1	MGST1	2.5152764550764215e-07
1	ETFDH	2.4972542855341616e-07
1	IGFALS	2.4556067227881194e-07
1	PCCB	2.426979050591452e-07
1	ICAM1	2.41096888667886e-07
1	LRG1	2.3968441323115974e-07
1	DLD	2.374369048947408e-07
1	IRS2	2.3350571872083002e-07
1	PIM1	2.3089093809122117e-07
1	NNT	2.2445812066913022e-07
1	KIAA1191	2.2342155615504862e-07
1	SLC25A20	2.2031109214778876e-07
1	GNPTG	2.1965276558817993e-07
1	CPT2	2.169538772706297e-07
1	DERL1	2.1649512546975228e-07
1	SYT7	2.1577944649546162e-07
1	TMEM70	2.0942119633692565e-07
1	ETFA	2.0833110278831137e-07
1	TIMP4	2.0604148411308736e-07
1	PLEKHF1	2.0399183744492058e-07
1	ACO2	2.006634458650793e-07
1	SYNGAP1	1.970191550694807e-07
1	SLC39A14	1.9669465221872104e-07
1	ACAA2	1.9093132525626235e-07
1	NDUFS1	1.8852364335628297e-07
1	ACOX1	1.8724466114180996e-07
1	PDHB	1.8660360882334086e-07
1	ABAT	1.8646945269034667e-07
1	AIFM1	1.845060906922855e-07
1	HIP1R	1.8162938775024362e-07
1	MARCHF3	1.7967293148930178e-07
1	DAG1	1.7142985941885982e-07
1	PPP1R14A	1.713744027178312e-07
1	MAP3K5	1.6941178547494347e-07
1	CHUK	1.6821584554758853e-07
1	SERPINA4	1.6713199719106356e-07
1	NUDT4	1.670772261273329e-07
1	TIMP1	1.6705288303906024e-07
1	PRXL2A	1.6655894898430247e-07
1	DBT	1.6608050233409127e-07
1	LDHB	1.6572955886163757e-07
1	DDC	1.6535137935492187e-07
1	TSC22D3	1.6484430256439007e-07
1	MECR	1.646374742009306e-07
1	ACTR10	1.6314254740631955e-07
1	RARRES1	1.6227303656075507e-07
1	PINK1	1.6169397828165446e-07
1	GCDH	1.6015070959871112e-07
1	SIRT3	1.5866755277088603e-07
1	IL18	1.5830459675353822e-07
1	SLC6A3	1.580266175267512e-07
1	REEP6	1.5759549071782978e-07
1	PEX11A	1.5510134831100358e-07
1	DHTKD1	1.5506950076442297e-07
1	GYG1	1.5406095064397773e-07
1	NECTIN1	1.5361516315945999e-07
1	ALDH9A1	1.5326749732736915e-07
1	STK39	1.5188910637516734e-07
1	EIF4EBP2	1.517417241807958e-07
1	AQP12B	1.5144734420591225e-07
1	CCT4	1.5135022545746652e-07
1	UCK2	1.4932502327237784e-07
1	PSMD9	1.476525540751137e-07
1	FAH	1.4736226529878492e-07
1	CRAT	1.458946546491556e-07
1	KEAP1	1.4563093596047032e-07
1	ACSL4	1.442334763615031e-07
1	DLAT	1.437151511742431e-07
1	MTHFD1	1.42527329447107e-07
1	SLC25A3	1.4214020961189633e-07
1	ACADSB	1.403083570981122e-07
1	ACACB	1.4015698735205528e-07
1	TMEM106B	1.3989146870029415e-07
1	RXRA	1.3959113265882977e-07
1	KLF15	1.395325289863415e-07
1	SORT1	1.39451817105299e-07
1	SUCLA2	1.3882122818024994e-07
1	ADGRA3	1.3836716038617686e-07
1	ERBB3	1.3793437411347417e-07
1	UQCRC1	1.3757555386438342e-07
1	SLC2A2	1.370892729074892e-07
1	C1RL	1.366284992350557e-07
1	PDHA1	1.3597707942608332e-07
1	TMEM164	1.3559876644326634e-07
1	ZNF675	1.3409068097405743e-07
1	TEX2	1.332082954316816e-07
1	PDHX	1.3312191376673324e-07
1	ATOH8	1.328511814408633e-07
1	ECH1	1.322585348113621e-07
1	CORO6	1.3086318775167571e-07
1	MRGPRF	1.296715916665546e-07
1	HIBADH	1.2933665658350468e-07
1	MYORG	1.2922936103925782e-07
1	CYP2U1	1.2838969960265594e-07
1	CAT	1.2835643282796935e-07
1	MEDAG	1.2785329721693823e-07
1	LILRA5	1.274720273466201e-07
1	METTL7A	1.2665321438730446e-07
1	SEPHS1	1.2624559145652472e-07
1	CAB39	1.2614583952786926e-07
1	UGT2B15	1.2533972534773184e-07
1	GLUD1	1.2507315575709568e-07
1	RDX	1.2503013007202294e-07
1	ALDH6A1	1.2437536556787521e-07
1	TUFT1	1.2400491896450652e-07
1	OSBPL11	1.2399584342090603e-07
1	ATP5F1B	1.2221872352594692e-07
1	KRCC1	1.219166143007633e-07
1	ANXA6	1.2174428802004768e-07
1	MLYCD	1.2127445545762264e-07
1	PRDX2	1.2124491398649393e-07
1	PHYH	1.1938541957582122e-07
1	UBE2N	1.1937834223797758e-07
1	FBXL5	1.1898803811338656e-07
1	ISCA1	1.1830504295102224e-07
1	AOX1	1.1820993110987406e-07
1	REXO2	1.1743313902414555e-07
1	CLDN4	1.1695825953661948e-07
1	ATIC	1.1662232287874482e-07
1	SUSD6	1.1636224964549022e-07
1	GET3	1.1620936814753489e-07
1	HSPA9	1.1531871759684332e-07
1	CLK3	1.1513515931542206e-07
1	PTDSS1	1.1477887470023963e-07
1	UQCRFS1	1.1471249641422685e-07
1	HSD17B4	1.143317967734936e-07
1	ACO1	1.1431359820441794e-07
1	SERPINF1	1.1384117641304563e-07
1	SUCLG1	1.135637708133713e-07
1	ETFB	1.1338532925643905e-07
1	CREBBP	1.129803399430396e-07
1	PGM2	1.1293010892054834e-07
1	ATXN10	1.1274998507899441e-07
1	RAC1	1.1274451058948616e-07
1	TFDP1	1.1259082419896344e-07
1	CYP4B1	1.1257941085877977e-07
1	RAB27A	1.1187603910218599e-07
1	VPS18	1.1177384372792481e-07
1	LDLRAD3	1.117609349403578e-07
1	PREB	1.1166768713894471e-07
1	RB1CC1	1.1133050974690664e-07
1	OTUD7B	1.112979809165677e-07
1	PLCH2	1.112832393278903e-07
