multiplex	node	score
1	F13B	0.0015074522602482171
1	F9	0.0014870867880305064
1	F2	0.0014806582575291139
1	F7	0.0014694109943589923
1	F11	0.001461394364636276
1	SERPINF2	0.0013462002349687496
1	PLAU	0.0012987899415379924
1	F13A1	0.0012943179928937298
1	F8	0.0012746907878674087
1	F10	0.0012672761529156484
1	VWF	0.001245270339561936
1	WAS	0.0011973453414890034
1	GGCX	0.0011879715400121538
1	SERPINF1	2.4865967834476954e-06
1	KLKB1	1.1520392977097838e-06
1	DIO3	9.88095479654016e-07
1	CD163	9.363459630006413e-07
1	MRC1	9.001779558736794e-07
1	PROC	8.852233385435621e-07
1	TFEC	8.730970180155754e-07
1	PROS1	7.661287182969314e-07
1	LILRB5	7.290536959074937e-07
1	LCP1	7.233818807174066e-07
1	PROZ	7.173472382301447e-07
1	GALNT15	6.992242577934618e-07
1	SERPINA1	6.923363201827964e-07
1	DOK2	6.858246225229858e-07
1	DOCK2	6.053070521110282e-07
1	GP9	5.967839723222339e-07
1	GGT5	5.608853139212341e-07
1	GDF10	5.388731630511834e-07
1	CD38	5.351377901652595e-07
1	F5	5.32291058107197e-07
1	FPR3	5.309209094459591e-07
1	SRPX	5.291066229574265e-07
1	FBLN7	4.892942890487971e-07
1	C16orf89	4.800247748515402e-07
1	GP5	4.776080039018366e-07
1	F12	4.5852842999747636e-07
1	C3	4.480984462229428e-07
1	PDE4B	4.477006488951755e-07
1	FCGR2A	4.274750780814157e-07
1	ABI3BP	4.2078530799637843e-07
1	KNG1	4.1894108574110177e-07
1	CD86	4.026268263289992e-07
1	EMB	3.859807034688759e-07
1	BGLAP	3.842656513697128e-07
1	VKORC1	3.784129656433247e-07
1	AOX1	3.759458084021184e-07
1	CCN5	3.7084712455583335e-07
1	SERPING1	3.627150247950893e-07
1	MT1X	3.6024168376004263e-07
1	ADAM8	3.575402898016471e-07
1	PCSK1	3.562915153822115e-07
1	VTN	3.4284649496454174e-07
1	CFI	3.3537253238495884e-07
1	CLEC10A	3.328359884261676e-07
1	IL27RA	3.310070120017825e-07
1	ALOX5	3.280124640847406e-07
1	RBM47	3.237698684221584e-07
1	F2RL3	3.20832784693876e-07
1	FMO2	3.2047297953970284e-07
1	SLA	3.0891113001146666e-07
1	WIPF1	3.0461167762680964e-07
1	SAMHD1	2.958044818038425e-07
1	EPAS1	2.8359919958309794e-07
1	TBXAS1	2.808011787911822e-07
1	PTAFR	2.7614464117716174e-07
1	MARCO	2.7530839252869974e-07
1	SERPINC1	2.7437711647353024e-07
1	A2M	2.7372144490334607e-07
1	PHYKPL	2.7045162493063135e-07
1	IGSF10	2.704496488831507e-07
1	PF4	2.699158940886797e-07
1	MT1G	2.654285630520387e-07
1	SLCO2B1	2.5556756367826746e-07
1	CORO1A	2.5412043121256406e-07
1	C1QTNF2	2.5364313404868065e-07
1	RNF144B	2.504659722604821e-07
1	CTSS	2.496465191111155e-07
1	FKBP5	2.416204771095924e-07
1	STAB1	2.409581681991995e-07
1	CCL2	2.3820034017584845e-07
1	LDAH	2.2919675687424084e-07
1	IL10RA	2.2701119939979976e-07
1	SPI1	2.2695232644755662e-07
1	SASH3	2.2568437938362919e-07
1	VAMP8	2.207624705708238e-07
1	ARHGEF4	2.1786953923426917e-07
1	MYO1F	2.167991420206567e-07
1	ANO2	2.1608126449990698e-07
1	CALHM6	2.155492740215656e-07
1	HCLS1	2.1406289136108033e-07
1	F2RL2	2.1373781836435263e-07
1	SERPINA3	2.1223808465332986e-07
1	PIK3R5	2.074676792785489e-07
1	TLR8	2.0705994791730605e-07
1	MSC	2.052603235510737e-07
1	NNMT	2.0398903602694058e-07
1	FRZB	2.0320772546831283e-07
1	ANG	2.0162139298305198e-07
1	TGFB3	2.0129238201571964e-07
1	FAM107A	2.008053349015411e-07
1	LYN	2.0006953745059755e-07
1	RASGRP2	1.9988526411735557e-07
1	GMFG	1.9737397317241563e-07
1	VAV1	1.9661761639170012e-07
1	CD300LG	1.9417337234293198e-07
1	FGR	1.925847401207132e-07
1	FGG	1.9245041858071476e-07
1	RNASE1	1.8797069311678955e-07
1	VSIG4	1.8553891958335712e-07
1	ALOX15B	1.846125889920085e-07
1	CTSF	1.8367316154991796e-07
1	COL15A1	1.816475741101255e-07
1	COLEC11	1.8160036993872665e-07
1	CD53	1.8130258294728958e-07
1	GPR146	1.8073769028504543e-07
1	CYTH4	1.7991375150327395e-07
1	ITGAM	1.7906070303040308e-07
1	EFEMP1	1.786013965063962e-07
1	LAPTM5	1.7828202445094606e-07
1	GP1BB	1.7798441503998097e-07
1	NCF2	1.7794849743881823e-07
1	TRIM14	1.7758413819502283e-07
1	FERMT3	1.7720051406865354e-07
1	BMX	1.7071883858049802e-07
1	ITGB2	1.6818655023801462e-07
1	LILRB4	1.670702829161828e-07
1	BTK	1.6640544826885628e-07
1	IFITM1	1.64625291167086e-07
1	ALOX5AP	1.638377954195105e-07
1	LAIR1	1.6285178586698692e-07
1	SERPIND1	1.6237268978795224e-07
1	C3AR1	1.620612161510858e-07
1	ACVRL1	1.619293441665036e-07
1	SELPLG	1.619172416559692e-07
1	CYBB	1.608981017483637e-07
1	CNTFR	1.6087868895370904e-07
1	MS4A4A	1.608786463560573e-07
1	PECAM1	1.605413604727083e-07
1	C2	1.5863335232302474e-07
1	TM4SF1	1.56954440447027e-07
1	HCK	1.5540111063976963e-07
1	RUNX1	1.5531431307718236e-07
1	PARVG	1.5501505594514877e-07
1	TTL	1.5292900492260567e-07
1	MARCKS	1.5242092312019032e-07
1	TBC1D10C	1.516636362891661e-07
1	NRP1	1.515186552859306e-07
1	TMC4	1.513430377886583e-07
1	CPED1	1.5036289568107479e-07
1	CDH5	1.488412016426509e-07
1	GAS6	1.468159304855129e-07
1	FBN1	1.4618226624334467e-07
1	PRSS36	1.4499077505083718e-07
1	EMILIN2	1.4369252223438715e-07
1	COQ5	1.4180282384355597e-07
1	CD247	1.4060361707981157e-07
1	C1QC	1.402722917161569e-07
1	GP1BA	1.3889274636638045e-07
1	FCER1G	1.3827872105742665e-07
1	FCGBP	1.3798241047276583e-07
1	PLEK	1.3696208613823856e-07
1	CAVIN2	1.3685513300533922e-07
1	IER3	1.362188762563204e-07
1	CD4	1.361412624329064e-07
1	MMRN1	1.3595118224876696e-07
1	ITGB3	1.3573065766250588e-07
1	WARS1	1.353738943254688e-07
1	FN1	1.347914864546398e-07
1	LYVE1	1.3441648599661737e-07
1	GATA2	1.331960949327345e-07
1	NCF4	1.3221387391966368e-07
1	AIF1	1.314219685314187e-07
