multiplex	node	score
1	FST	0.0011224223774192763
1	CDH23	0.001024721650892128
1	BCOR	0.0010052336689685799
1	IRF2BP2	0.0010015619451667886
1	ZBTB16	0.0009891667286704125
1	NABP1	0.0009651391277651612
1	RARA	0.0009240451961080565
1	FIP1L1	0.0009226354594796041
1	NPM1	0.0009060707420577082
1	STAT5B	0.0009031033234342906
1	USP8	0.0009000392626616254
1	PRKAR1A	0.00089317063782181
1	TBL1XR1	0.000888205402469514
1	FLI1	0.0008875698333273265
1	NUMA1	0.0008843130003887347
1	PML	0.0008816861925665148
1	STAT3	0.000878973392540413
1	SUFU	6.900283464542912e-07
1	M6PR	6.594341312079794e-07
1	TNRC6C	6.182740581728091e-07
1	PTPN2	5.969128989934697e-07
1	FHL3	5.886349214883006e-07
1	NCOR2	5.607297307059807e-07
1	KCTD10	4.980226970820006e-07
1	NFKB2	4.82815290077766e-07
1	HDAC3	4.756699404849722e-07
1	SP110	4.744360787745881e-07
1	TADA3	4.732589471495745e-07
1	SLC25A18	4.6975795732430466e-07
1	TRAF4	4.432743996232707e-07
1	EFEMP2	4.4234523743352456e-07
1	PICALM	4.375501379663592e-07
1	CDC42SE1	4.3283703114775514e-07
1	RPRD1B	4.172614159214738e-07
1	NFKBIZ	4.102641107737414e-07
1	CHMP4B	4.034938810762059e-07
1	JAZF1	3.9715168840251235e-07
1	FHL2	3.957824097265373e-07
1	PPRC1	3.8580579935621594e-07
1	PRKX	3.856509700029942e-07
1	SPI1	3.847946000301953e-07
1	OGFOD1	3.811967715012851e-07
1	ARSK	3.7585250182934683e-07
1	STAT5A	3.7311409008612154e-07
1	FKBP5	3.7241087122532285e-07
1	LIMS1	3.6846485434073386e-07
1	PNMT	3.681598703110022e-07
1	SH2B3	3.604057946012741e-07
1	TXNIP	3.579836989639613e-07
1	RELB	3.530154830600564e-07
1	TFG	3.516480966917649e-07
1	SMARCD1	3.4774627334034266e-07
1	JAK1	3.4631199834560403e-07
1	SBNO2	3.417045248370234e-07
1	PNRC1	3.413906498840211e-07
1	LAS1L	3.368508624487576e-07
1	CNBP	3.3635458544444435e-07
1	SEC22B	3.2744965527117554e-07
1	BRD1	3.240076973802049e-07
1	TIMP4	3.1891049514804477e-07
1	RAB21	3.1824280048736377e-07
1	INTS3	3.176268730514917e-07
1	B4GALT5	3.174975735137095e-07
