multiplex	node	score
1	MPL	0.0006440802935599334
1	FANCB	0.0006427418882384609
1	XRCC2	0.0006267360311084807
1	BRCA2	0.0005914576311860647
1	RAD51	0.0005888671977957303
1	UBE2T	0.0005707345719789066
1	CSF3R	0.0005588804598719224
1	GATA2	0.00055495108580574
1	CDKN2B	0.0005544420602552415
1	CEBPA	0.0005514953608227338
1	ZRSR2	0.0005476256577199282
1	FANCD2	0.0005398211179566015
1	MECOM	0.0005273321583280553
1	SETBP1	0.0005235761532788375
1	SH2B3	0.0005191943483935239
1	ATRX	0.000514483390438868
1	CALR	0.0005142544418987985
1	U2AF1	0.0005123831686468426
1	ASXL1	0.0005112474234441774
1	RUNX1	0.0005110790104743812
1	ERCC4	0.0005098912433025094
1	RAD51C	0.0005095912557416471
1	TET2	0.0005090856194797419
1	SRSF2	0.000506905196337686
1	CBL	0.0005068704840173855
1	TP53	0.0005065794209804369
1	SF3B1	0.0005042274713836545
1	SBDS	0.0005013497861822493
1	MAD2L2	0.000495316161700998
1	PTPN11	0.0004951298237547933
1	UBE2N	7.972506191194458e-07
1	EIF2S3	6.746950083066203e-07
1	VDR	5.460029544885937e-07
1	EIF1AX	5.243717914927724e-07
1	SOS1	5.201447052783889e-07
1	MSN	4.584408170946508e-07
1	N4BP2	4.567678493003466e-07
1	NCOA3	4.156844920765969e-07
1	S100A8	4.1022190892737954e-07
1	EZH2	4.0766834789241007e-07
1	GCNT2	4.044821200394587e-07
1	PDZD8	4.022729963268687e-07
1	ZNF318	4.001282789921742e-07
1	KNTC1	3.854991829773181e-07
1	RAD51D	3.7897228000886364e-07
1	CBFB	3.7466369651425536e-07
1	VCL	3.738562059599711e-07
1	HOXA11	3.718692511703324e-07
1	LYN	3.599141412284378e-07
1	DDX5	3.4704528783796824e-07
1	ARL4C	3.467574655973198e-07
1	XRCC3	3.434402465566722e-07
1	ERCC5	3.335320602845277e-07
1	PRPF40A	3.3130190603846296e-07
1	PALB2	3.2190558645800615e-07
1	TGFBI	3.2101526888493464e-07
1	SERPINH1	3.2093007949095705e-07
1	CLEC4D	3.1551186287622284e-07
1	SON	3.1526054269291624e-07
1	TXLNG	3.072252196768272e-07
1	FAM91A1	3.0295956793066096e-07
1	ZEB1	2.980093379142621e-07
1	REV3L	2.9636757393765106e-07
1	ALG5	2.9481591863030057e-07
1	TUBA1B	2.945073777760466e-07
1	RAD51B	2.931207344615299e-07
1	VNN3	2.92661912737838e-07
1	TP53BP1	2.905559677619459e-07
1	RUVBL1	2.8828214263034426e-07
1	RLIM	2.8260119237627055e-07
1	CRTC3	2.6675309767907265e-07
1	SMN1	2.661650992457386e-07
1	KLHL31	2.6600317972141496e-07
1	MCTP2	2.6461935650299775e-07
1	RARA	2.638219893853388e-07
1	PSTPIP2	2.620871207781042e-07
1	BRAF	2.61364521115928e-07
1	CCNL1	2.58857371978154e-07
1	SRGN	2.568558768753895e-07
1	FRS2	2.5655661479028345e-07
1	YWHAH	2.5629852631924686e-07
1	PRKD3	2.557179517096007e-07
1	FANCI	2.5476876433503416e-07
1	PAK2	2.5423036492626967e-07
1	MRPL32	2.5221417537345133e-07
1	SEC61B	2.5105233846073873e-07
1	ERCC1	2.5074386915228264e-07
1	MACF1	2.417540787837142e-07
1	ACTB	2.4147971930197667e-07
1	CCDC9	2.41294781305856e-07
1	NSD2	2.403703697548376e-07
1	NSF	2.397425128288711e-07
1	DICER1	2.396318868595087e-07
1	LAIR1	2.3810645584338563e-07
1	BRIP1	2.3633811237073464e-07
1	RELT	2.355405552388189e-07
1	CDK19	2.3550908089374853e-07
1	ELK4	2.3378418702451519e-07
