multiplex	node	score
1	CHKB-CPT1B	0.0006774274828980243
1	TRA	0.0006745951523983861
1	PPAN-P2RY11	0.0006676847602441419
1	HCRTR2	0.0006654323952769873
1	HLA-DQA2	0.0006614895397681902
1	HCRT	0.0006549922248924808
1	MOG	0.0006469827733955896
1	HLA-DQB1	0.0006450696981898321
1	TNFSF4	0.0006439184899338857
1	ANO3	0.0006350306038536504
1	TRH	0.0006347223971275343
1	HLA-DQA1	0.0006342901573758208
1	TAC1	0.0006286441285778978
1	PENK	0.0006244135641440161
1	ZNF365	0.0006158254872465866
1	TMEM108	0.0005940814834969387
1	HLA-DRB1	0.0005780341655298794
1	CPT1B	0.0005733411270519475
1	SOCS2	0.0005710624669539746
1	P2RY11	0.0005568655152540832
1	CTSH	0.0005567126683078341
1	PPAN	0.0005491542808144299
1	NRXN1	0.0005482177331804408
1	NOTCH4	0.0005428592991238235
1	MAP3K7	0.0005072436302311545
1	COLGALT1	0.0005066044096510607
1	CHKB	0.000505119614688692
1	TBL1XR1	0.000503185482964125
1	EIF3G	0.0004998239941673995
1	DNMT1	0.0004994475496801032
1	DNMT3B	5.097945468930397e-07
1	RPRM	4.792503794234212e-07
1	PTPRZ1	4.770141349477057e-07
1	AGAP6	4.499824453306533e-07
1	CEACAM19	4.0564533806744903e-07
1	EMC7	3.6378302646757697e-07
1	CABP1	3.5851441402861565e-07
1	SELENOO	2.732894093236989e-07
1	NCOR2	2.6024976921988507e-07
1	YME1L1	2.4840224980577374e-07
1	HCRTR1	2.432111906095535e-07
1	HDAC7	2.412923587633958e-07
1	PER3	2.406717944910346e-07
1	CPVL	2.3830611575715977e-07
1	HDAC3	2.358395135042482e-07
1	MAN2B1	2.332480027811057e-07
1	RELA	2.316510480598657e-07
1	TAB1	2.2704942447088649e-07
1	ETNK1	2.262030605404705e-07
1	FBXL20	2.177589576628406e-07
1	USP14	2.1747652777652244e-07
1	SEPTIN9	2.037449139326248e-07
1	TSEN54	2.0056953512880982e-07
1	CPSF4	2.0026691984909984e-07
1	TRMT61A	1.9441100958650362e-07
1	CD200	1.917380138457896e-07
1	BAIAP2L1	1.9035440632243286e-07
1	HLA-DRB5	1.8859877308631811e-07
1	HLA-C	1.8767083812103244e-07
1	TIGIT	1.8367997062382802e-07
1	ADHFE1	1.835017070969381e-07
1	CELSR3	1.8092957702146339e-07
1	HLA-A	1.7985515555872768e-07
1	CBLB	1.783081466585416e-07
1	PRELID1	1.739598476886617e-07
1	PLCB1	1.7200031549072812e-07
1	IFI27	1.7160680730347771e-07
1	TRAF2	1.6861916921629202e-07
1	HLA-DRA	1.6847822388477236e-07
1	NOTCH3	1.6781656149683921e-07
1	ZDHHC8	1.6588414359861798e-07
1	NLGN2	1.6462288952858773e-07
1	DGKZ	1.6430655603812534e-07
1	PRKAR1B	1.6304371983815017e-07
1	DDX56	1.628158962469458e-07
1	NAGK	1.6169286495943552e-07
1	NRROS	1.6062637971621193e-07
1	COBL	1.5842647658965137e-07
1	RAMP2	1.5388485908081342e-07
1	TCOF1	1.524765189735149e-07
1	CD4	1.507212672399698e-07
1	NRXN3	1.4759728551358352e-07
1	HDAC10	1.4610839323708396e-07
1	MYD88	1.4515494036813786e-07
1	SLC26A6	1.3960961460763263e-07
1	NPC2	1.3895013260305076e-07
1	CD276	1.334619216068119e-07
1	CSK	1.3290236097365722e-07
1	L1CAM	1.309253303046e-07
1	RNF31	1.305833411255244e-07
1	RHOU	1.2887490917729134e-07
1	MAL	1.275497710486346e-07
1	SIRT7	1.2713443183415435e-07
1	SFRP4	1.264436891242678e-07
1	CDK10	1.2542862416513933e-07
1	CASK	1.225775474061626e-07
1	P3H1	1.215911724642355e-07
1	IRF3	1.19052155477434e-07
1	NRXN2	1.1875411048731187e-07
1	LSM7	1.1727148276518321e-07
1	MZF1	1.1675506141217745e-07
1	NOL12	1.161167394688965e-07
1	PRMT1	1.147863549165244e-07
1	PELP1	1.1434133386503754e-07
1	ETS2	1.1338564476918506e-07
1	EIF3F	1.1315258294431476e-07
1	TRMT1	1.1255093981084409e-07
1	CSNK1G2	1.1140281712476728e-07
1	KCNAB1	1.1105699054262372e-07
1	KCNQ4	1.1000727790769218e-07
1	BOP1	1.0918449473753864e-07
1	SHFL	1.0913668654863052e-07
1	NPVF	1.0885555467774639e-07
1	LIMS1	1.0857928347421524e-07
1	GMPPA	1.0829922781914961e-07
1	POU2F2	1.0803470641769988e-07
1	AXIN1	1.0795057512470144e-07
1	TBC1D8	1.0776992919812541e-07
1	POLD1	1.0752182189965266e-07
1	DNASE1	1.0737456193287626e-07
1	ZNF598	1.0731972181570973e-07
1	SEC14L1	1.0641575312787178e-07
1	DHX34	1.0627881076399441e-07
1	BRD4	1.0584405087861564e-07
1	LRAT	1.0550435652784443e-07
1	SRRT	1.0524401045668546e-07
1	LMAN2	1.0476517169177518e-07
1	HAUS5	1.043797756056123e-07
1	TGFA	1.0435039043999665e-07
1	ZGPAT	1.0413083173533002e-07
1	ABCF2	1.0383335533377741e-07
1	U2AF2	1.0315688329992583e-07
1	ANKRD13D	1.0259613781023755e-07
1	PFN1	1.0238326859959864e-07
1	HDGFL3	1.0221615934093738e-07
1	NDOR1	1.0200175043963473e-07
1	ARFRP1	1.0157571351762663e-07
1	CAPN15	1.0044604278420817e-07
1	DHX37	1.0031656725715457e-07
1	AARS2	1.0002001436386411e-07
1	FAM193B	9.892939769158084e-08
1	MYDGF	9.848040962661195e-08
1	ZBTB17	9.692065356438735e-08
1	POLR1C	9.683253366608449e-08
1	PLP1	9.65719514380092e-08
1	TAOK2	9.582876509968798e-08
1	RPS6KB1	9.552215663823143e-08
1	MAP3K10	9.532041821977418e-08
1	CCNL1	9.530165466061936e-08
1	HIRA	9.497975300547141e-08
1	LIMK1	9.452042311370662e-08
1	PPP1R9B	9.439188561730987e-08
1	MAD2L2	9.436789028297393e-08
1	NEIL1	9.39551664204272e-08
1	TYK2	9.373196030637818e-08
1	ASIC3	9.359411202482707e-08
1	MYBBP1A	9.334563023693284e-08
1	STARD8	9.31945313932377e-08
1	NCOA7	9.265927682633722e-08
1	MIPOL1	9.263636932552662e-08
1	SEC61B	9.257254010397168e-08
1	CTBP1	9.206182754452055e-08
1	PPRC1	9.185077562869727e-08
1	MICAL1	9.16926169036136e-08
1	CBLN1	9.136541188718168e-08
1	HLA-DOA	9.12353570970478e-08
1	RCE1	9.1198002513543e-08
1	SAFB	9.093498507128788e-08
1	SHROOM1	9.044493384056194e-08
1	ETV1	9.041000526224845e-08
1	NOP2	9.021009709252409e-08
1	SST	8.980147228444153e-08
1	SMYD5	8.972921324399659e-08
1	STK10	8.920903697270089e-08
1	AUP1	8.89632782994393e-08
1	CD74	8.894813240570086e-08
1	NAA10	8.872727592782316e-08
1	MEN1	8.862868351944397e-08
1	NPDC1	8.847045371593906e-08
1	CLEC1A	8.810404393199426e-08
1	IRAK1	8.704101525992187e-08
1	PUS1	8.666750358664214e-08
1	RASIP1	8.662677236116806e-08
