multiplex	node	score
1	GSTM1	0.0006561814305727038
1	GSTT1	0.0006490330008964253
1	TERT	0.0006404487974625965
1	CDKN2A	0.0006382168898550804
1	IL10	0.0006261239349908649
1	WT1	0.0006143874777957845
1	IL24	0.0006141075151606677
1	CD274	0.00060036420801074
1	FHIT	0.0005921680833139284
1	BRCA2	0.0005901676835801344
1	MET	0.000570413943946653
1	IL6	0.000566573967041135
1	SLC22A18	0.0005662474853722307
1	CDH13	0.0005650902260067523
1	NOTCH3	0.0005205647385230094
1	CTNNB1	0.0005166320731802819
1	PTEN	0.0005133023397721103
1	EGFR	0.0005106156343911121
1	ERCC1	0.0005101793837205915
1	OGG1	0.0005088763933188455
1	RASSF1	0.0005081501477382909
1	TP53	0.0005069444879177645
1	GSTP1	0.0005048320304421207
1	AKT1	0.0005024480452674878
1	KRAS	0.0005017010802680776
1	STK11	0.0005009977233928458
1	PIK3CA	0.0005008387740798707
1	BRAF	0.000500546702865409
1	ERBB2	0.0004997276662538722
1	MAPK1	0.0004985133274597802
1	GATA6	7.882705733891532e-07
1	GSTM3	6.102914263992068e-07
1	E4F1	5.995692008396005e-07
1	CDC42SE2	5.301493497954155e-07
1	MPI	5.005649489831744e-07
1	CAV1	4.978762576570332e-07
1	F2R	4.5447139350132195e-07
1	CSPG4	4.338288122194001e-07
1	NSF	4.069607361738145e-07
1	CALCOCO2	3.711841579351377e-07
1	CPD	3.6948847228436243e-07
1	MAP2K1	3.642226443247817e-07
1	EIF6	3.518417497887374e-07
1	PPIA	3.3426507135081463e-07
1	FOSL1	3.2662979200706573e-07
1	NFKB2	3.1867392146930635e-07
1	GRASP	3.045982286999709e-07
1	JAK1	3.0248771013983567e-07
1	UBE2Z	2.979243136205212e-07
1	STK24	2.977086173449036e-07
1	RHOU	2.931165856854656e-07
1	RUVBL1	2.8343626004519047e-07
1	PPP2R1A	2.777113697031223e-07
1	UQCC3	2.703210773495776e-07
1	PICALM	2.679041542337209e-07
1	STT3B	2.6614402300815005e-07
1	BTBD10	2.6542115891900414e-07
1	GPR4	2.6461601268306493e-07
1	MAP2K2	2.645801974149009e-07
1	TMOD3	2.631405103777779e-07
1	IMMP2L	2.5405231406051146e-07
1	ZHX1	2.528699092249595e-07
1	DNPEP	2.520258294397544e-07
1	RAF1	2.5083229846521464e-07
1	NOTCH2	2.491687381672318e-07
1	MAN1B1	2.4865273395670313e-07
1	SPIRE1	2.479375388974258e-07
1	IL6ST	2.423222471924024e-07
1	UGCG	2.422935903617161e-07
1	SRSF10	2.384819990445139e-07
1	DNAJC10	2.3831193072879287e-07
1	PIK3CB	2.3696249498107188e-07
1	GAB1	2.3635841764467866e-07
1	PDCD1LG2	2.3626769309163137e-07
1	TIFA	2.3498002906621593e-07
1	PALB2	2.3484165779264968e-07
1	CSNK1E	2.3474347580619476e-07
1	TGFBR3	2.3387027744065151e-07
1	TRAF4	2.3282325662387838e-07
1	HECTD3	2.3263982660822334e-07
1	AHR	2.3073167463919225e-07
1	EMD	2.3026633345886477e-07
1	BGN	2.294750410704486e-07
1	PTPN11	2.2905696335046505e-07
1	PBRM1	2.270760634772025e-07
1	IRF1	2.2688895497980148e-07
1	L3MBTL2	2.2680421590105995e-07
1	CXCL8	2.2499563027376983e-07
1	MLST8	2.2258243272800293e-07
1	SGPP1	2.2070132211687434e-07
1	IQGAP1	2.2018317287417873e-07
1	MAPK3	2.1866491252323941e-07
1	SMARCD2	2.1669371640308987e-07
1	TMED8	2.1516120022829464e-07
1	MAPRE3	2.1475769462295011e-07
1	MAPKAP1	2.1350011811679383e-07
1	TMEM242	2.12032145095117e-07
1	SHC1	2.0995646877818906e-07
1	MAP3K2	2.0945642721179665e-07
1	SH3GL1	2.085243328420331e-07
1	TBC1D12	2.0759936245051726e-07
1	RELA	2.0753893946175758e-07
1	CDK4	2.0659481251309845e-07
1	TYK2	2.0548239600633818e-07
1	SMIM10	2.0474266551816854e-07
1	TP53BP1	2.0473544010528468e-07
1	ELOA	2.0429831030083837e-07
1	CAMK2D	2.025896634892584e-07
1	ADAM10	2.0202618311874588e-07
1	C5AR1	1.9887481466899784e-07
1	EXOSC4	1.9746558697511098e-07
1	FBXO11	1.9733230455481606e-07
1	DUSP5	1.9543314162304637e-07
1	COPS2	1.9144165271896367e-07
1	CREB1	1.9141879610211062e-07
1	GRB2	1.9053073279049732e-07
1	ACD	1.9017096821213628e-07
1	TAP1	1.89235494985867e-07
1	CBFB	1.8862982262181637e-07
1	GTPBP1	1.8627389284900036e-07
1	EGLN1	1.8495665090357616e-07
1	CEP131	1.8343278735669846e-07
1	STK4	1.8296863854651385e-07
1	CELF2	1.8171230539873068e-07
1	ZNF318	1.7920733150597667e-07
1	OTUD6B	1.7920375540130106e-07
1	LAPTM5	1.790845008777393e-07
1	CCDC88B	1.7886956928755208e-07
1	FAM49A	1.7825610790157027e-07
1	RICTOR	1.7752365714097947e-07
1	SRC	1.7719933699658127e-07
1	TNPO1	1.7696023487246828e-07
1	MED15	1.7569422334562203e-07
1	MUTYH	1.7504745703908404e-07
1	AKT2	1.7473726149830123e-07
1	SNRPB	1.7470551873154218e-07
1	MMGT1	1.7398430680744033e-07
1	NCK1	1.7335214381894173e-07
1	PML	1.7278060851812928e-07
1	IER3	1.6989196858431135e-07
1	APC	1.6978725407963426e-07
1	NOTCH1	1.6910852579372377e-07
1	FOXO3	1.682755485556951e-07
1	AP2B1	1.6769963354954298e-07
1	MTOR	1.6758895080435716e-07
1	RAP1B	1.6628772128364574e-07
1	ADAMTS1	1.6567692226186703e-07
1	CAPZA2	1.6557405146769514e-07
1	CALCOCO1	1.6541171727588726e-07
1	PTPN1	1.6495140228600987e-07
1	RNF13	1.6450748354201616e-07
1	ZEB2	1.638430965104702e-07
1	GSK3B	1.6371070707895347e-07
1	ACTR3	1.637052869841256e-07
1	SBF2	1.6150222932459102e-07
1	IFNGR1	1.6145444167494565e-07
1	MRPS26	1.6052276551933253e-07
1	GSTK1	1.5921749018893625e-07
1	DNAJB2	1.5896119852862018e-07
1	RNF139	1.5893125048975857e-07
1	RHOA	1.5792627860966891e-07
1	ZNF75D	1.578758927946735e-07
1	MEF2A	1.5678306086732266e-07
1	ATXN10	1.5677985528623952e-07
1	CSRNP1	1.5585429160882657e-07
1	BIRC3	1.5569246807134616e-07
1	ASB10	1.5519515723916324e-07
1	TCF7L2	1.5516252583528187e-07
1	ATF2	1.5515136300318784e-07
1	ESRRA	1.546113087168822e-07
1	SLAIN2	1.5451305634054676e-07
1	GRIP1	1.5441601673111988e-07
1	AXIN1	1.540499491149973e-07
1	TFE3	1.5402706679996884e-07
1	BICD2	1.5387294415919833e-07
1	MGST3	1.537145320443547e-07
1	NFKB1	1.536908232984203e-07
1	CDS2	1.5364253199049382e-07
1	ANP32E	1.5265483976738208e-07
1	STAT6	1.5241351796962739e-07
1	CREBBP	1.523542640390554e-07
1	CNTROB	1.5172612947302045e-07
1	TMF1	1.5145810007809662e-07
1	SEC61A1	1.5064927204054953e-07
1	RPL37	1.501412445537539e-07
1	GCH1	1.4975241758154212e-07
1	ETS2	1.496823730837725e-07
1	NRAS	1.4961467382385843e-07
1	PAK2	1.4958455655565555e-07
1	DPP9	1.4944147325666527e-07
1	USP15	1.48531139658814e-07
1	RAB10	1.4817675151468262e-07
1	UBP1	1.4800836619402302e-07
