multiplex	node	score
1	GRPR	0.0006411455392268683
1	HOXB9	0.000639325275697658
1	MME	0.0006004003325030678
1	CSF3	0.0005954229534935068
1	PROM1	0.0005809328197185209
1	INHBA	0.0005802750803418409
1	AURKA	0.0005624157279386135
1	PDGFB	0.0005613123059653775
1	KCNH2	0.0005452826681456225
1	ESR1	0.0005354723596531075
1	IFITM1	0.000534278809396882
1	NAB2	0.000531033071503283
1	SEMA4A	0.0005298835155358267
1	SMAD3	0.0005261478210997734
1	HMGA1	0.0005201598041618875
1	BMPR1A	0.0005195137071631268
1	PTEN	0.000511351100049017
1	EGFR	0.0005111441017627328
1	SMARCB1	0.0005102296478397867
1	XIAP	0.0005100906836576918
1	STAT6	0.0005099477180778039
1	PRKAR1A	0.0005060666433968426
1	BAP1	0.0005045664352132819
1	FLI1	0.0005034790087065983
1	AKT1	0.000502208923584228
1	CDKN1B	0.0005021428309049412
1	KRAS	0.0005017829243326304
1	STK11	0.000501373851804593
1	ERBB2	0.0004976028195786213
1	RPS20	0.0004970712490873298
1	NAMPT	6.56550194559636e-07
1	ARHGEF2	6.29526624118849e-07
1	NAB1	5.806639389746681e-07
1	RPS19	5.364771832006544e-07
1	TPX2	5.06790301112771e-07
1	TNXB	4.993225633979244e-07
1	INHBB	4.969454284336392e-07
1	GNG5	4.1390697053100003e-07
1	PIK3CA	4.0601393391111135e-07
1	EML2	4.021158874812245e-07
1	ANTXR1	3.919299528509147e-07
1	ENG	3.842618663592384e-07
1	CALCOCO2	3.7399024185349163e-07
1	CDKN1A	3.6292885638055815e-07
1	RYK	3.6100534788836046e-07
1	GATM	3.435815410883184e-07
1	NT5M	3.3805393525683274e-07
1	CFL2	3.3205809982811755e-07
1	PXN	3.2738690923885634e-07
1	TFIP11	3.2678623385318074e-07
1	TICRR	3.2542169393058805e-07
1	YIPF3	3.221239924674136e-07
1	PPP1CB	3.1465512893708647e-07
1	DCAF11	3.075685329424962e-07
1	SMARCC1	3.071307704097501e-07
1	MALSU1	3.036105001376332e-07
1	TGFBR3	2.949783518528568e-07
1	SH3GL1	2.9304077774859485e-07
1	PLXDC2	2.8674417146301587e-07
1	SULF1	2.850530425101113e-07
1	SSH1	2.8198442444764145e-07
1	SMARCA4	2.767129727809333e-07
1	SPI1	2.732026691954206e-07
1	PRKX	2.708989572750873e-07
1	NCK1	2.699737194663751e-07
1	SMYD4	2.693512440827807e-07
1	ATRAID	2.690428379400774e-07
1	PICALM	2.680862244364288e-07
1	CSNK1E	2.664598920745377e-07
1	TMOD3	2.661577069123844e-07
1	GADD45B	2.6496113320443515e-07
1	DPF2	2.637166227842468e-07
1	CSNK1D	2.6142155777437584e-07
1	MAPK3	2.482770939857513e-07
1	CXCL1	2.444570119465119e-07
1	DENND1A	2.4262730650576646e-07
1	NCOA1	2.388637473016206e-07
1	STK24	2.3725293714549233e-07
1	AKT2	2.3572264360495493e-07
1	TMEM242	2.3506709556841459e-07
1	DAB2	2.3485756375086104e-07
1	MAP3K2	2.3474700224788833e-07
1	CACNB4	2.3410235344862472e-07
1	YAP1	2.3383139814795912e-07
1	SMARCE1	2.3373015205655982e-07
1	ZER1	2.3361949319589703e-07
1	SGPP1	2.33494258811456e-07
1	ARID1A	2.315788647599875e-07
1	ITGA3	2.3035225787054407e-07
1	COPS2	2.299247430080583e-07
1	DNAJB2	2.2860544741589128e-07
1	GRK2	2.2718938353184688e-07
1	SNRK	2.2692087377249372e-07
1	MAPKAP1	2.268411877970103e-07
1	UFD1	2.257787230427715e-07
1	SRC	2.2553829114772515e-07
1	SRSF10	2.2550975529791067e-07
1	SHC1	2.2257267320310018e-07
1	PPP5C	2.2057868510725706e-07
