multiplex	node	score
1	OPRM1	0.0006521599141324934
1	REN	0.0006497183458369879
1	SHBG	0.0006496554093757978
1	MMEL1	0.0006470998573486029
1	IL12A	0.0006468981990464855
1	COQ2	0.0006428241376717498
1	OPRD1	0.0006394410851976274
1	CYP11B2	0.0006388471148389234
1	TNFSF15	0.0006286203490599469
1	TTR	0.0006239573340430099
1	DBH	0.0006225181584210827
1	SPIB	0.0006187481684726941
1	AGT	0.0006077052172433686
1	IL12RB1	0.0006071920896885941
1	POU2AF1	0.0005712225045312366
1	ABCB1	0.0005632094077087789
1	SNCA	0.0005560564808594484
1	ACE	0.0005475371713725572
1	IRF5	0.0005374834331710544
1	SELENBP1	0.0005300115413781379
1	JAG1	0.0005224958395909497
1	TNPO3	0.0005181844257272387
1	CYB561	0.0005171739646488605
1	HEXB	0.0005158854958034712
1	CCHCR1	0.0005139529686903169
1	ATP7A	0.0005135957642607383
1	CAV1	0.0005132565362661782
1	ELP1	0.0005124590129888807
1	CHCHD2	0.0005108014795583477
1	AAAS	0.0005039262056614
1	CYP11B1	4.6724894525579843e-07
1	IGSF3	4.2327325077613517e-07
1	SIAH1	4.008675089355305e-07
1	CDH13	3.8105105439137544e-07
1	LILRB5	3.7864767750631777e-07
1	CTSB	3.654388736945722e-07
1	PWWP3A	3.281948033655887e-07
1	PDZD11	3.266268965354311e-07
1	SIN3A	3.1126436953512213e-07
1	SARDH	3.0084730254266114e-07
1	IL27RA	2.9159328710364554e-07
1	FGFR3	2.883366992702237e-07
1	COL6A1	2.8562195199750684e-07
1	CYP11A1	2.8543964479294965e-07
1	IL23R	2.832394352495261e-07
1	PIK3CD	2.7711869141102374e-07
1	DEDD	2.677214491358384e-07
1	PKM	2.635718929073748e-07
1	GPR37	2.411260754059341e-07
1	PHF14	2.3401688997088443e-07
1	NDC1	2.338550213727571e-07
1	HSD3B2	2.3276024653509297e-07
1	OFD1	2.3185486400338407e-07
1	HACE1	2.3111902839664913e-07
1	TMEM158	2.2953647585624785e-07
1	MACF1	2.238119117587935e-07
1	SMO	2.1206252131269907e-07
1	ECM1	2.1127100649992227e-07
1	TGFB1	2.047656860160157e-07
1	RAD50	2.0291636150770064e-07
1	USP36	2.0206840579067224e-07
1	COBLL1	2.0076015006744962e-07
1	IL12RB2	1.991517906865462e-07
1	COQ4	1.9274696926171922e-07
1	TYK2	1.8995867282461944e-07
1	IL12B	1.891709390538767e-07
1	RPS8	1.8690252022639996e-07
1	WDR11	1.8661633512005697e-07
1	PTPN3	1.7735367259224993e-07
1	BCKDK	1.7443349516827282e-07
1	WIPF1	1.7420515191175048e-07
1	TCF4	1.7307925181450804e-07
1	PRKG1	1.683300352587424e-07
1	FDX1	1.6724312968856685e-07
1	KIF21B	1.627417935109219e-07
1	AGTR1	1.5747416102176846e-07
1	STT3A	1.5366284649731228e-07
1	RSBN1L	1.525449034194074e-07
1	SDHAF2	1.5137204654658358e-07
1	TRIL	1.5134073997143653e-07
1	TRIM66	1.4901432705245745e-07
1	DGLUCY	1.469982946225804e-07
1	PARK2	1.4471083480288422e-07
1	TNFRSF25	1.4468666546263426e-07
1	MR1	1.4418209469720903e-07
1	VPS50	1.425276991246767e-07
1	NECAB3	1.411982784661111e-07
1	CLSTN2	1.4077068424344924e-07
1	TNFRSF18	1.396641869676926e-07
1	TM9SF2	1.386499418993052e-07
1	UBA7	1.382790514507188e-07
1	RARG	1.3630668456176485e-07
1	CD34	1.32286054421288e-07
1	BTK	1.3211886338423233e-07
1	AMOTL2	1.3150671072217724e-07
1	ESD	1.3093152456500577e-07
1	OSCP1	1.3019139530143966e-07
1	MICU1	1.2951017946248e-07
1	ARL2	1.2807980780914353e-07
1	PRKCI	1.277757766282024e-07
1	PLXDC1	1.2732294696253436e-07
1	RECK	1.2710830478964982e-07
1	NINL	1.2710473813878836e-07
1	MKLN1	1.2605559728369565e-07
1	NUP35	1.2529595683203936e-07
1	CLEC10A	1.2514724842781636e-07
1	OBSL1	1.2509419299839448e-07
1	ANKZF1	1.2419475646756782e-07
