multiplex	node	score
1	SCGB1A1	0.000654361802316945
1	BPIFA1	0.0006474939771138436
1	TNF	0.0006440067409555426
1	MUC5AC	0.0006396363093907639
1	RSPH4A	0.000637196619657901
1	IL1A	0.0006351932086049879
1	IL1B	0.0006294297640386819
1	IL10	0.0006261374003529387
1	TBX1	0.0006097013987843724
1	EYA4	0.0006051278567544923
1	DNAH5	0.0006005071280617628
1	MUC4	0.000599851791861614
1	TP73	0.0005936561778946789
1	BTC	0.0005813493289113001
1	MUC1	0.0005807276023768749
1	A2ML1	0.0005756042018606767
1	IL6	0.0005669500944451797
1	CTSB	0.0005323092008852507
1	CTSK	0.0005280600932669445
1	MECOM	0.0005271584958223454
1	TGIF1	0.0005253026955144099
1	SH3PXD2B	0.0005250584426107068
1	FGFR1	0.0005230780104109763
1	FBXO11	0.0005145249941638117
1	NAGLU	0.0005140006549202394
1	CBY1	0.0005136590142290656
1	CTSL	0.0005120129646497748
1	E2F4	0.0005053770509218013
1	RPL38	0.0005043695275201875
1	NF2	0.0005021952227197808
1	TFF3	7.328069510332068e-07
1	TFF1	6.962220320991304e-07
1	CTSS	6.81391524891265e-07
1	CCL21	6.090075731447045e-07
1	MUC20	5.083523279817662e-07
1	CABCOCO1	4.937415455944658e-07
1	IL1RN	4.849555102245474e-07
1	SDAD1	4.7268199538911614e-07
1	PIK3R5	4.6657098883864977e-07
1	BPIFB1	4.392369836816596e-07
1	GCNT2	4.0931332491528013e-07
1	HOXA11	3.7331571226375014e-07
1	POR	3.690054226786652e-07
1	C5AR1	3.6010721643722096e-07
1	FOSL1	3.474692024495234e-07
1	C1RL	3.4437741537135143e-07
1	ISY1	3.430535164593381e-07
1	HEXB	3.4267898295948145e-07
1	PAX7	3.314590975792621e-07
1	SCN3B	3.3033328125376134e-07
1	GPR4	3.262725712676718e-07
1	IL18	3.2337845286420016e-07
1	PDPN	3.164573425415861e-07
1	NFKB2	3.151175941503181e-07
1	PKHD1L1	3.0590237250852193e-07
1	ABCB5	2.8557608837063064e-07
1	MAPK8IP2	2.7351984939659735e-07
1	SERPINB1	2.715266052311312e-07
1	JADE1	2.6174599163712605e-07
1	NAMPT	2.5068490815631367e-07
1	CD163	2.479051118289766e-07
1	MTHFD1L	2.4434084816421405e-07
1	GATA6	2.438478749475863e-07
1	OSMR	2.4359318530493645e-07
1	PROX1	2.4290037635929674e-07
1	GTF3A	2.4285779707651063e-07
1	SERPINB3	2.416249572271115e-07
1	SNED1	2.4048437222798143e-07
1	CPVL	2.3673101652845262e-07
1	UGCG	2.3377947989150017e-07
1	SOX17	2.3183394455564469e-07
1	SOX6	2.306191702933378e-07
1	EGFR	2.2882614654394244e-07
1	CXCL8	2.2253322804708622e-07
1	GPR137	2.2241198141689485e-07
1	MUC6	2.1986146671581074e-07
1	IFITM3	2.1542680857965594e-07
1	FAM53B	2.1291529131243077e-07
1	ATP6V1B2	2.1111309706307119e-07
1	MMP14	2.1075558792525577e-07
1	C1R	2.1051311801184097e-07
1	MRC1	2.097455837132702e-07
1	ADAMTS1	2.0973516070060484e-07
1	KCTD5	2.0749036637378105e-07
1	STAB2	2.0496142700700887e-07
1	LAPTM5	2.046980946047898e-07
1	CRISPLD2	2.0439026355785634e-07
1	MAP3K8	2.025194838279002e-07
1	ETS2	2.0180160366398305e-07
1	DUSP5	2.01643449753914e-07
1	MEDAG	1.9852781180711617e-07
1	UBALD2	1.9691841299508814e-07
1	TNFRSF1A	1.9509613430469313e-07
1	GRINA	1.9246072105470405e-07
1	ABCC1	1.9109369616466054e-07
1	S100A14	1.906701978484771e-07
1	SHC1	1.885589033495058e-07
1	RIN3	1.8733132177481174e-07
1	STAT3	1.856684803466445e-07
1	IL6R	1.8547017550029898e-07
1	MUC13	1.8502957729698893e-07
1	SLC39A13	1.8388209412999163e-07
1	GLA	1.8261243309498818e-07
1	COL4A4	1.8241368966721375e-07
1	ATN1	1.8216743043024466e-07
1	ZDHHC24	1.8149161342985172e-07
1	MARCHF2	1.8013785340068562e-07
1	IL1R1	1.7781305654182185e-07
1	NFIA	1.7758071680148882e-07
1	RELA	1.7731231051659656e-07
1	IFNGR2	1.7504390332322966e-07
1	PSMD9	1.7502823098319668e-07
1	IER3	1.7355116649856162e-07
1	CHUK	1.7220282654569957e-07
1	NCOR2	1.7066236232312704e-07
1	RPS16	1.6977908386439856e-07
1	S100A6	1.672928143803762e-07
1	JAK1	1.6563136356792416e-07
1	MCL1	1.6503954200405584e-07
1	NPC2	1.6481360545402613e-07
1	B4GALT1	1.641760624630241e-07
1	CD276	1.6384410313710493e-07
1	MUC16	1.6254189491021977e-07
1	SLC39A1	1.6175552404831082e-07
1	ASCC2	1.598671626204231e-07
1	ARHGAP10	1.5880521480082302e-07
1	ZNF675	1.5796050428109275e-07
1	FABP5	1.5717049810919634e-07
1	TEK	1.569102253182681e-07
1	CHST11	1.5560008555835804e-07
1	USP53	1.5489630868196612e-07
1	YBX3	1.538289771363335e-07
1	CHPF2	1.5347482217442182e-07
1	CTSV	1.512976551369593e-07
1	SLC1A3	1.510764387446871e-07
1	CLPP	1.5055484976866834e-07
1	FAM180A	1.5000918040617477e-07
1	AP2A1	1.4981598241787405e-07
1	TFF2	1.4958747015399063e-07
1	SEC61A1	1.492760133829832e-07
1	PLPP3	1.4721557091160252e-07
