multiplex	node	score
1	IL12A-AS1	0.0006763898695352675
1	KLRC4	0.0006630617349330082
1	C4A	0.0006566961489388652
1	HLA-B	0.0006529109109815375
1	IL23R	0.0006514028262674604
1	HLA-DPA1	0.0006499625244944797
1	IL12A	0.0006459481330050118
1	PRTN3	0.0006405217878353395
1	HBA2	0.0006309782251063034
1	CTLA4	0.0006309162167510089
1	PRG4	0.000628998721148966
1	IL10	0.0006279280993977766
1	HBA1	0.0006211140549058373
1	MEFV	0.0006028777270301533
1	PTPN22	0.0005808542510643048
1	IL6	0.0005685500692432472
1	LACC1	0.0005645439538818536
1	FCGR2B	0.0005629936602975887
1	CCR1	0.0005553218636259305
1	NOD2	0.0005385157732110766
1	STAT4	0.0005376948952275432
1	FCGR2A	0.0005364136135371923
1	ERAP1	0.0005328358438028423
1	TLR4	0.0005292392508629753
1	UBAC2	0.0005285605459175139
1	FAS	0.000528147839121986
1	MIF	0.0005157234136173888
1	DNASE1	0.0005125157401537728
1	PMM2	0.0005107322346402709
1	TNFRSF1A	0.00050941802668669
1	HBD	1.4344357176691612e-06
1	HBB	1.3442762856132053e-06
1	SLC4A1	1.2061542878997028e-06
1	FCER1G	1.0017451277502071e-06
1	MPO	8.572357087209833e-07
1	C3	8.554023039238275e-07
1	HCK	7.640469298497348e-07
1	SPI1	7.626268195338143e-07
1	MYD88	6.656043356934264e-07
1	IL12B	6.303935345331154e-07
1	IL12RB1	5.822574020333798e-07
1	HLA-DRA	5.361560527798473e-07
1	LAPTM5	5.299244022195721e-07
1	HMOX1	5.206996366258324e-07
1	ITGAM	5.19023437482915e-07
1	KIR3DS1	4.963426438860006e-07
1	RAC2	4.794307067344638e-07
1	C5AR1	4.564842584158101e-07
1	HSPA6	4.557359978082809e-07
1	CD4	4.4028216419385925e-07
1	FMNL1	4.31717585984322e-07
1	MILR1	4.2543696175095306e-07
1	GPR18	4.1261529807060924e-07
1	FHL2	4.0247669868649143e-07
1	STXBP2	4.0219051051658875e-07
1	C2	3.9870540630565826e-07
1	RNF149	3.9144990645009055e-07
1	ALOX5	3.900091269906166e-07
1	CAMK4	3.8582056814312786e-07
1	PTPRC	3.831950993457109e-07
1	CCR4	3.8047326794970913e-07
1	FPR2	3.799409682012827e-07
1	AHR	3.6697817051053386e-07
1	CSF2RB	3.6132122848543216e-07
1	FMN1	3.5885249268284196e-07
1	NFKB2	3.54652542852572e-07
1	NCF2	3.3568351133313533e-07
1	MYO1F	3.331608512582957e-07
1	ARRB2	3.311985159121568e-07
1	IL23A	3.2324132302443924e-07
1	WFDC2	3.2041886098158275e-07
1	ITGAX	3.196872454769483e-07
1	TMEM70	3.1457453511210405e-07
1	LYVE1	3.123418099291986e-07
1	FOSL1	3.032232165317903e-07
1	C4B	2.971100088307723e-07
1	SELPLG	2.842072449668224e-07
1	EMB	2.78928962229697e-07
1	GPR4	2.7828487611471106e-07
1	NFAM1	2.7250713569290454e-07
1	ITGA4	2.7223913387944804e-07
1	OSCAR	2.718306077757799e-07
1	CD163	2.70683032595637e-07
1	NPL	2.6344959033271114e-07
1	CD40LG	2.606857059677418e-07
1	WAS	2.5476771594628675e-07
1	SYK	2.523884961592114e-07
1	TNFRSF1B	2.5168460695336964e-07
1	MRC1	2.4975933045338305e-07
1	PLEK	2.4884686038787973e-07
1	MS4A7	2.4607606794975445e-07
1	GRWD1	2.4377303199243425e-07
1	MPI	2.422334017557702e-07
1	LCP2	2.416863487215445e-07
1	AZU1	2.4111919367322715e-07
1	ARHGAP9	2.3921619106949307e-07
1	COMP	2.3814691584538838e-07
1	TYROBP	2.3726631660360985e-07
1	HLA-E	2.339028383804849e-07
1	HAVCR2	2.337518462565819e-07
1	AHSP	2.3333052028145252e-07
1	CD33	2.3042466554631002e-07
1	KLHL25	2.291611515912141e-07
1	ALAS2	2.2849776190968585e-07
1	ELANE	2.2825587745186448e-07
1	ADAMTS1	2.2639500224755673e-07
1	ECSIT	2.247015323736429e-07
1	IKZF1	2.2373296165976058e-07
1	FPR3	2.2172788566772612e-07
