multiplex	node	score
1	BMP8A	0.0006690713195602391
1	LPA	0.0006627835006700535
1	MMP3	0.000634095586296805
1	CRP	0.0006320293461976222
1	PADI4	0.0006299812066300056
1	CNNM1	0.0006222179071364394
1	CNTN3	0.0005998904782164793
1	BMP2	0.0005979361458822888
1	ABO	0.000596151065784534
1	F5	0.0005896961650353603
1	LPL	0.0005718835832104808
1	VIT	0.0005691096070503369
1	VEGFA	0.0005655604782541645
1	TNIK	0.0005565809045484422
1	OSBPL10	0.0005484793781674967
1	WWOX	0.000541227507630113
1	TRAM2	0.000537878535182376
1	MTHFD1L	0.0005336191942791376
1	HDAC9	0.0005224883165283147
1	COL4A1	0.0005220292320900334
1	CELSR2	0.0005219327071463487
1	UGDH	0.0005205068397145968
1	FEZ1	0.0005202846828409884
1	CNOT4	0.0005201119120402808
1	ATXN2	0.0005181880237544738
1	TCF7L2	0.0005158387755783178
1	UTRN	0.0005123236742917431
1	ZYG11B	0.0005100046155961643
1	MACF1	0.0005090382860500016
1	NDUFB9	0.0004878374105256919
1	ORM1	1.3808947298199258e-06
1	SELL	8.332458690382003e-07
1	CNTFR	6.744912301597027e-07
1	SERPINA1	6.088066624662578e-07
1	ST3GAL5	5.428494534347792e-07
1	BMP8B	5.111551022876348e-07
1	ANKRD50	4.7265484183420746e-07
1	THBS2	4.7258836167154213e-07
1	ANKRD37	4.6742505374968604e-07
1	SORT1	4.4984032028414107e-07
1	DKK2	4.3750758564189314e-07
1	MMP12	4.057053907751769e-07
1	SLC16A3	4.0340803290027865e-07
1	ENTPD1	3.9952704755313873e-07
1	FASN	3.9745396340069516e-07
1	DRD3	3.9111557211599963e-07
1	ARHGEF12	3.8892624742237475e-07
1	FARP1	3.8715101334847395e-07
1	JAG1	3.8148302241525716e-07
1	MPDZ	3.6336069313557076e-07
1	MTHFD2	3.5706730260479684e-07
1	PTPN14	3.528351751909764e-07
1	LUZP1	3.495378681286202e-07
1	MAP3K20	3.4244105713893316e-07
1	PEAK1	3.2998614150718256e-07
1	ENO2	3.19334924252713e-07
1	FBXO42	3.1807495343106423e-07
1	DGAT2	3.137837626201928e-07
1	BMP10	3.120555265372028e-07
1	MYH9	3.117676929740349e-07
1	DMBT1	3.114579960254926e-07
1	COL4A2	3.051388004445957e-07
1	SRRD	3.05020315014573e-07
1	P2RY14	3.044873067092221e-07
