multiplex	node	score
1	ARTN	0.0006452007716487822
1	TNF	0.0006439473600225654
1	LTC4S	0.0006363296408336428
1	CHRNG	0.000633920112731975
1	CEP72	0.0006252571660221547
1	TTR	0.0006239085354473865
1	ABCC6	0.0006021017343165511
1	GJB3	0.000588579433286579
1	PMP2	0.000585542869156581
1	NEFL	0.0005798026109115344
1	GJB1	0.0005723736156911305
1	KIF1A	0.0005592595753104732
1	HSPB1	0.0005561445824266664
1	SPTLC3	0.0005498613871369947
1	TYMP	0.0005378308314594531
1	TLR3	0.0005355425253406324
1	DNAJB5	0.0005336537792159798
1	LMNA	0.0005282064052380523
1	PMP22	0.0005243569713147952
1	QRICH1	0.0005177479240824471
1	NFE2L2	0.0005157866045381032
1	PEX5	0.0005137658983155706
1	NGLY1	0.0005136353127609606
1	PEX11B	0.000508152381837412
1	ATAD3A	0.0005080823665728557
1	MFN2	0.0005052662282077124
1	IARS2	0.0005037633334503868
1	TPI1	0.0005024070186915023
1	BRAF	0.0004987821706474747
1	COX6A1	0.0004945300845281891
1	GFRA3	7.603776718993555e-07
1	DRP2	6.795567311115346e-07
1	HSPA6	6.247301317818997e-07
1	GJB2	5.514166222362311e-07
1	TP53INP2	5.464529857163813e-07
1	KIF1B	5.440914402505242e-07
1	SEPHS1	4.7321010280052834e-07
1	HSPA1B	4.3379871650760793e-07
1	PKM	4.2613875933831563e-07
1	KIAA2013	4.2302943042610876e-07
1	ALOX5AP	3.99360951195169e-07
1	UBA1	3.8274797220706627e-07
1	PTPRA	3.6633638957285364e-07
1	CIAO2B	3.599926776680435e-07
1	HSPD1	3.4498432035662756e-07
1	CACYBP	3.4108338674882396e-07
1	STIP1	3.398353248870912e-07
1	PGK1	3.2422285472264765e-07
1	RMDN3	3.214271231757387e-07
1	ACAA2	3.1757484116821623e-07
1	PEX13	3.086647231447009e-07
1	GPI	3.078438079435843e-07
1	DDX41	3.0275037330298126e-07
1	ALDH5A1	2.988832881729396e-07
1	PEX5L	2.9680574145114915e-07
1	MAP2K3	2.960030849520385e-07
1	PLP1	2.898847840030058e-07
1	CCNY	2.8470386865935967e-07
1	DDI2	2.781213863675624e-07
1	CRELD2	2.7419503502464987e-07
1	RAB32	2.724808044943569e-07
1	FRK	2.6738638712888753e-07
1	SUCLA2	2.6428351211676997e-07
1	PPP3CB	2.612523734614797e-07
1	MAP2K1	2.5621591925686446e-07
1	ZNF18	2.523224270629348e-07
1	MAPK8IP2	2.4918611045101693e-07
1	MED9	2.491219953727934e-07
1	SLC35A2	2.4805606631084445e-07
1	NFE2L1	2.4773842658651275e-07
1	BCAS1	2.416607333767431e-07
1	DECR1	2.410811405662356e-07
1	SLC1A6	2.398496708916141e-07
1	ALDOA	2.3775217782568653e-07
1	CD93	2.362991947881034e-07
1	SLC19A2	2.3553360996776625e-07
1	UPP1	2.354811623399256e-07
1	SCRN1	2.3235898732284102e-07
1	PEX26	2.31887602494109e-07
1	PPME1	2.3150556159227837e-07
1	HK1	2.301271240733262e-07
1	LAP3	2.276996269562297e-07
1	NDUFS1	2.2686699474082539e-07
1	MAPKAPK3	2.2579293708789208e-07
1	VDAC1	2.2259378615896424e-07
1	DNM1L	2.2155621133241403e-07
1	DKC1	2.2091790602279746e-07
1	TRUB2	2.192234861482009e-07
1	MFN1	2.1736434595241506e-07
1	CHUK	2.1713694242743278e-07
1	ALOX5	2.167976515122627e-07
1	SH3GL1	2.1585460817749666e-07
1	NCL	2.156543749649752e-07
1	NTRK2	2.1492883051575907e-07
1	MYNN	2.138514170218697e-07
1	RAC1	2.0971101463597565e-07
1	NDUFB9	2.0961911251296456e-07
1	TINF2	2.0900746247528278e-07
1	ADD1	2.0701524274177696e-07
1	CXCL16	2.0675205269626235e-07
1	YTHDF1	2.0506592969541352e-07
1	METRNL	2.0190496523897585e-07
1	CAMTA1	1.9942588669032834e-07
1	UNC93B1	1.961171404586564e-07
1	CTDNEP1	1.9535283355137998e-07
1	ACOX1	1.9487487011302284e-07
1	MBD1	1.9356328811593714e-07
1	EHD1	1.9338391341319835e-07
1	KDSR	1.9320207703496248e-07
1	MACROH2A1	1.9244675065089712e-07
1	COX5B	1.9228383500583146e-07
1	XPO6	1.92069481527392e-07
1	ACO2	1.902116027510756e-07
1	PFDN2	1.8904079783847438e-07
1	COX6B1	1.8859716639911456e-07
1	FIS1	1.867719896076922e-07
1	ADPGK	1.8366038357289426e-07
1	DARS1	1.8365902856273747e-07
1	NDUFA4	1.830033646242108e-07
1	VCP	1.8232364297056448e-07
1	SH3BGRL3	1.8223848621052536e-07
1	SFXN1	1.8185919230744304e-07
1	PFN1	1.8027124865359832e-07
1	HSPB7	1.791353450220082e-07
1	PSMD9	1.7888780221920263e-07
1	EMD	1.7869238977894807e-07
1	PPP2R1A	1.7841522405511664e-07
1	CLUH	1.7828183401944593e-07
1	WARS1	1.7774362875794452e-07
1	TRPM4	1.7676982199200542e-07
1	SPTLC1	1.7663686939551565e-07
1	PAICS	1.750784939540442e-07
1	TUBG1	1.7472127432699282e-07
1	PGAM1	1.7429634624096155e-07
1	PPIB	1.7325533961986717e-07
1	DCTN5	1.7292371402581742e-07
1	FGFR1OP2	1.6886698861805404e-07
1	PGM1	1.6713034963499218e-07
1	AIFM1	1.6555398038035743e-07
1	SNX17	1.6515389544036175e-07
1	PTMS	1.650009500926605e-07
1	SLC25A25	1.6450279130865987e-07
1	TUBB4A	1.6432467052789627e-07
1	SLC39A1	1.6385323094414574e-07
1	MAPKAPK2	1.636697981607477e-07
1	SLC2A1	1.635596760169959e-07
1	S100A11	1.6333310280306931e-07
1	MPZ	1.6330730134953161e-07
1	UBA5	1.6312254755986064e-07
1	ENPP1	1.6255327443316984e-07
1	SLC25A5	1.620364272573442e-07
1	UQCRQ	1.6176970109062813e-07
1	L1CAM	1.6097935794521518e-07
1	VMP1	1.60862718985792e-07
1	NDUFS2	1.605763640571328e-07
1	GNB2	1.6056383358302364e-07
1	EXT1	1.602179393771616e-07
1	PEX11A	1.600359196407609e-07
1	SMARCA4	1.598918082212735e-07
1	YWHAG	1.588505931136407e-07
1	AK2	1.586562256925742e-07
1	FARSA	1.5821668233973568e-07
1	ALG3	1.5815694864072852e-07
1	SLC25A3	1.5795612042561005e-07
1	PEX14	1.5778821388183178e-07
1	SV2C	1.5744951356865878e-07
1	PEA15	1.573871610189159e-07
1	KCNJ16	1.571027647583928e-07
1	PTBP1	1.5705236913036968e-07
1	CLDN19	1.561638539348617e-07
1	MAD2L2	1.5539592418132467e-07
1	MVP	1.5448255144632766e-07
1	NOP14	1.544479942111891e-07
1	USP19	1.5423082840353508e-07
1	NSFL1C	1.540836746852582e-07
1	VDAC3	1.536582604828229e-07
1	ARF3	1.5365238426796096e-07
1	DLD	1.527164547213401e-07
1	MAPK1	1.5270955070042942e-07
1	SHC4	1.5255242467758173e-07
1	SPATA2L	1.5248332143091152e-07
1	SLC9A9	1.5135253507867327e-07
1	CLIP3	1.5103058132488532e-07
1	ILF2	1.507389051422576e-07
1	SDHB	1.4969409745998656e-07
1	HSD17B10	1.496293428663997e-07
1	MAP2K2	1.494733132819575e-07
1	CBFB	1.494474757465659e-07
1	OGDH	1.4916921205645626e-07
1	ENSA	1.4863511902016453e-07
1	NSF	1.482528721209263e-07
1	S100A6	1.4788216000633856e-07
1	RNF138	1.472568464316717e-07
1	ENO1	1.4676352358908404e-07
1	THRSP	1.4657159970346012e-07
1	COX8A	1.4579107037123448e-07
1	TNFRSF1A	1.4561390997380258e-07
1	ACAD8	1.451354137804005e-07
1	DNAJA4	1.4481143410818694e-07
1	MCM3	1.4363031213220976e-07
