multiplex	node	score
1	HLA-B	0.0008879902446883825
1	NCR3	0.0008847469725167707
1	AGTR2	0.0008815723596256763
1	TNF	0.0008788279944582331
1	BDNF	0.0008641934915639454
1	CRP	0.0008622976948539232
1	NGF	0.0008433942984932704
1	ALB	0.0008328029160870126
1	AGT	0.000827181230166221
1	CPS1	0.0008211511084815166
1	CXCL8	0.0008109764138018005
1	SCN8A	0.0008095511460451295
1	CYP2D6	0.0007898686082479697
1	HLA-DRB1	0.000783600614575097
1	APOE	0.0007731313361537844
1	SCN9A	0.0007706282121605052
1	ANGPT2	0.0007705799554732155
1	NTN1	0.0007644885779734119
1	GCH1	0.0007320046928953768
1	HLA-A	0.0007238948095696963
1	RBM45	0.0007164113470781333
1	VPS51	0.0006944932025996065
1	ORM1	2.3369391006468875e-06
1	FGB	1.9259452396821833e-06
1	APOC3	1.3667203403238566e-06
1	CCL20	1.0118907475434214e-06
1	HP	9.029846158218849e-07
1	IER3	7.103822752198817e-07
1	APOC1	6.839815348144856e-07
1	KIR3DS1	6.833448238419243e-07
1	TIMP3	6.652332143973632e-07
1	CCL2	6.625739924268105e-07
1	IGSF3	5.642215620712118e-07
1	APOH	5.34571990260367e-07
1	ICAM1	5.12070695253452e-07
1	FGA	5.004589375325808e-07
1	CBX7	4.880198168738599e-07
1	HLA-C	4.761972881769897e-07
1	KCNMA1	4.646935624611381e-07
1	CHI3L2	3.766969987433343e-07
1	NTRK1	3.5491867740179524e-07
1	IL6	3.51469490511215e-07
1	CSF3	3.2822115750602905e-07
1	FGG	3.27999884580827e-07
1	CXCL6	3.249442936475882e-07
1	IL8	3.0612856710625503e-07
1	CCL18	2.9668639044926106e-07
1	INHBC	2.747471873579022e-07
1	BACE2	2.729216370068573e-07
1	HLA-E	2.717759579564133e-07
1	FOXC2	2.64711217912178e-07
1	SBK3	2.5865121023457037e-07
1	PRDM8	2.5793440981183046e-07
1	HLA-DRA	2.5406273533231306e-07
1	B2M	2.51088941846498e-07
1	CYP2C9	2.4996114352050854e-07
1	GJA4	2.486629315398387e-07
1	KLHL13	2.456527804703579e-07
1	TMEM30B	2.3537422375218393e-07
1	CXCL16	2.3505601139182344e-07
1	CXCL1	2.3285497180725247e-07
1	FREM2	2.2837005516390004e-07
1	IFI27	2.2680149340679682e-07
1	NGFR	2.2601398518664993e-07
1	SAA2	2.2569897316312899e-07
1	C2	2.2003190211424874e-07
1	ADAM22	2.1899622743633437e-07
1	TOX2	2.188814079452578e-07
1	AMBP	2.186678260451952e-07
1	IVD	1.9550165108911486e-07
1	HLA-DRB5	1.9445286343828225e-07
1	CD93	1.936083749500792e-07
1	PITPNC1	1.9197387937034094e-07
1	NFE2L3	1.8968810480406784e-07
1	INHBB	1.890757915231865e-07
1	SOD2	1.8821190527620063e-07
1	TM4SF1	1.8795574537208145e-07
1	RXRA	1.8738127446874262e-07
1	SAA1	1.8252253075067375e-07
1	ETS2	1.8159769433033285e-07
1	P3H3	1.8129827793489786e-07
1	HGD	1.789413536901125e-07
1	IFI16	1.7846758195850092e-07
1	NRN1	1.7640983269304008e-07
1	ARG1	1.7635899562664027e-07
1	FOXF2	1.7473992237682185e-07
1	CHSY1	1.7388864636246273e-07
1	WDR97	1.7370558893365103e-07
1	DCC	1.7136554317850013e-07
1	NEDD4L	1.6959939853111983e-07
1	PLSCR1	1.6555150519083862e-07
1	CLEC2B	1.6433276317702092e-07
1	SERPINB9	1.623277293256639e-07
1	MCTP1	1.607792251669087e-07
1	NAMPT	1.6001616195289817e-07
1	CLEC1A	1.574406340313544e-07
1	HLA-DQB1	1.5574703998466877e-07
1	BCL3	1.5415686957582954e-07
1	IFITM1	1.50169602865138e-07
1	CASP4	1.4877548162893054e-07
1	CXCL3	1.4869331722897903e-07
1	NTRK2	1.4731815827192078e-07
1	CHUK	1.4649253772419589e-07
1	SCN11A	1.4533576418316914e-07
1	LAMA4	1.4520932567126633e-07
1	ZAN	1.4485774177079368e-07
1	GNG2	1.442837121517515e-07
1	STEAP4	1.4409192327401071e-07
1	RYR1	1.4392032176798922e-07
1	ITM2C	1.413519577085363e-07
1	CD4	1.4102247483222128e-07
1	PSMD9	1.3967080242687359e-07
1	CD40	1.3685362971699377e-07
1	CYTH2	1.3625313912480075e-07
1	XKR4	1.3598755107379166e-07
1	SIGLEC1	1.3501807622419264e-07
1	LBP	1.329736090734639e-07
1	CA14	1.3293209980775722e-07
1	NTF4	1.3255390303694954e-07
1	NFKB2	1.309793560743339e-07
1	MECP2	1.299451625907117e-07
1	GRIK3	1.2988183453661788e-07
1	NRBP1	1.292819460349588e-07
1	SAT1	1.2872299501033514e-07
1	TNFAIP6	1.282302057762281e-07
1	RBM15B	1.278039221633411e-07
1	SLC15A3	1.2772245516116853e-07
1	ZNF605	1.2612408606745513e-07
1	CMTM3	1.2525025126453492e-07
1	PLAUR	1.252427710465281e-07
1	CD74	1.2480650722452813e-07
1	HGF	1.2474154308931322e-07
1	LIMK2	1.2406373632142723e-07
1	GAS7	1.2392434775950623e-07
1	CYP2S1	1.2197128680766734e-07
1	AGTR1	1.2146808295915104e-07
1	BRI3BP	1.2096952851821728e-07
1	MPZL2	1.2033585424143226e-07
1	RPS28	1.1943631654172386e-07
1	CD274	1.176803832553426e-07
1	APCS	1.1757960480567281e-07
1	LRRC8B	1.1674925730731271e-07
1	GPNMB	1.1669042822778184e-07
1	CRIPT	1.1640910980029783e-07
1	PML	1.1622909789737899e-07
1	KCND3	1.1532613423172802e-07
1	SERPINA1	1.1504174429302136e-07
1	NRIP2	1.1443126678117583e-07
1	STK32A	1.1432213626354258e-07
1	PLAAT4	1.1317624983219446e-07
1	FGL1	1.1194763732561382e-07
1	MARCHF3	1.1135416436451134e-07
1	AP1G2	1.1114905202759902e-07
1	FLI1	1.1104981519408084e-07
1	NRP1	1.109494000041413e-07
1	TREM2	1.0981349710249403e-07
1	NFKB1	1.0908483192303263e-07
1	ACE	1.0896116146461665e-07
1	TNFAIP3	1.0843761385525141e-07
1	ELP1	1.0828305050744436e-07
1	VPS52	1.0810575874673702e-07
1	MRPS5	1.080802699069455e-07
1	CXCL2	1.079359956059551e-07
1	DLL4	1.0754764158321542e-07
1	BRCA1	1.0705883821816515e-07
1	CEMIP2	1.0656425232619353e-07
1	ST6GALNAC6	1.0563106423513097e-07
1	SLC43A3	1.0553048153899814e-07
1	SORCS1	1.0395818121423081e-07
1	FGF7	1.0387683427666853e-07
1	HLA-G	1.0374063961822098e-07
1	HLA-DQA1	1.034698185133644e-07
1	LRP1	1.0283929928382214e-07
1	AHSG	1.0280942396234231e-07
1	TAP2	1.024563404905699e-07
1	S100B	1.018653454848311e-07
1	OSMR	1.0146875756639081e-07
1	SEMA4F	1.0090826973732138e-07
1	HLA-F	1.005188750554788e-07
1	IL6R	1.0035352891128456e-07
1	PTGS2	9.98817874827216e-08
1	TNFAIP2	9.960404951533131e-08
1	IGFBP4	9.807459297685955e-08
1	NCOA7	9.795647322975989e-08
1	ECI1	9.72561481003814e-08
1	TNFRSF1B	9.62067487230955e-08
1	STK38L	9.618999094389951e-08
1	RETREG1	9.525960815778559e-08
1	CPNE6	9.502180417232212e-08
1	DPM1	9.434922391916872e-08
1	PLA2G7	9.408978808126735e-08
1	CADM3	9.385270053291757e-08
1	SCUBE1	9.375303531222074e-08
1	NPNT	9.374595489800677e-08
1	PRKCH	9.350780735353844e-08
1	NEURL1	9.312335697076892e-08
1	CSF1R	9.285504523208877e-08
1	GBP2	9.245570015658492e-08
1	HLA-H	9.241224447474013e-08
1	TYMP	9.213706854368502e-08
1	KIF5A	9.184956719063507e-08
1	SCG3	9.157866195607017e-08
1	SERPINE2	9.137743264545815e-08
1	AVPR1A	9.064297230074783e-08
1	TF	9.051879758697244e-08
1	SQSTM1	9.047166657216354e-08
1	CXCL5	9.032701635618578e-08
1	DRAXIN	9.002139521494188e-08
1	LGMN	8.999843768676793e-08
1	TAP1	8.991719713401383e-08
1	PECAM1	8.945202689746025e-08
1	LDLR	8.941499937335457e-08
1	RACK1	8.897240964900959e-08
1	FCGRT	8.854656803023088e-08
1	LIPA	8.796873792812176e-08
1	RHBDF2	8.73532084154662e-08
1	EPB41L2	8.720909606007739e-08
1	C1QB	8.71463309951727e-08
1	IFITM2	8.698217285710183e-08
1	GIT1	8.674408417252878e-08
1	SLC2A3	8.669450244156382e-08
1	C1QA	8.605623788419682e-08
1	MLKL	8.556665193148194e-08
1	VPS53	8.52163901380037e-08
1	RTL8A	8.52083930412592e-08
1	LIF	8.452543042130381e-08
1	CYP2B6	8.430574439197179e-08
1	KLHL42	8.405102291071822e-08
1	HNRNPA1	8.377747490346809e-08
1	IL4R	8.364633270195548e-08
1	C10orf76	8.324563253630208e-08
1	ZNF385D	8.253035886679081e-08
1	PHF11	8.232810621066144e-08
1	RAC1	8.211126157677257e-08
1	CXCL10	8.093911184958833e-08
1	PIGQ	8.063851609868853e-08
1	MEDAG	8.050680911665188e-08
1	RGP1	8.020738870999973e-08
1	FLT1	7.990374794335411e-08
1	LYSMD2	7.928668533772267e-08
1	MDK	7.85135452673996e-08
1	CYBA	7.849504741712357e-08
1	CYP3A4	7.834249047344388e-08
1	PRRX1	7.815986926475809e-08
1	ZC3H12A	7.810538767947096e-08
1	C1QC	7.79756891662516e-08
1	DOCK3	7.789159632887487e-08
1	BTN3A2	7.784432124163983e-08
1	WNK1	7.779994685106048e-08
1	PDGFRL	7.774022460685237e-08
1	RPS9	7.766663195169879e-08
1	IL18	7.672828961138817e-08
1	UPP1	7.63673303853517e-08
1	ABCG1	7.547636980405106e-08
1	TNFRSF1A	7.471946123283656e-08
1	UNC5A	7.469375153637618e-08
1	C12orf75	7.432029025178404e-08
1	APLP2	7.333251576889387e-08
1	LCAT	7.31436406928939e-08
1	OR51I2	7.289056981940199e-08
1	QSOX1	7.237071923141458e-08
1	ZNF282	7.230653092860438e-08
1	VIPR2	7.211734740592922e-08
1	PSMB8	7.211078359222074e-08
1	RNASE1	7.191494605771362e-08
1	NFKBIE	7.187675127933262e-08
1	RHOJ	7.1371883405316e-08
1	TIMP1	7.07915983822752e-08
1	TCF7L2	7.072297687722881e-08
1	MPZ	7.05217701086722e-08
1	TRIM28	7.051809424721434e-08
1	TLL1	7.026426649778766e-08
1	SLCO2B1	7.009306984160094e-08
1	IRF1	6.947622955811588e-08
1	SPP1	6.931079808632878e-08
1	GBE1	6.898971105602412e-08
1	NEIL1	6.876556587635644e-08
1	PANX1	6.862643860270646e-08
1	ENPEP	6.859426555189385e-08
1	ENG	6.850967244791754e-08
1	SPRED3	6.829590431909456e-08
1	GNAI2	6.758732386796722e-08
1	FMNL1	6.75625143394325e-08
1	MUC20	6.738789888013862e-08
1	CASP7	6.703726011642914e-08
1	ARAP2	6.695963370207836e-08
1	IFIH1	6.692086614471563e-08
1	BIRC3	6.637507547895459e-08
1	LRG1	6.608681990570301e-08
1	RELB	6.602567994420589e-08
1	CALU	6.585033187940482e-08
1	RELT	6.561822110067636e-08
1	CTSS	6.561595121345896e-08
1	DVL1	6.526816747099129e-08
1	ABI3	6.467114236482413e-08
1	LENG8	6.45609557142913e-08
1	GPSM1	6.455373354002251e-08
1	CDK2	6.44585490727346e-08
1	CASP1	6.434799538919043e-08
1	INTS2	6.420477744220236e-08
1	FBLN1	6.406787806475244e-08
1	RASL12	6.405742693846273e-08
1	NABP1	6.384465627731228e-08
1	C1orf54	6.38273725155207e-08
1	APOB	6.376041874936881e-08
1	DDX21	6.375319899104264e-08
1	INPP5D	6.36838360357384e-08
1	CYP2E1	6.362445781775892e-08
1	ISG20	6.331797718089468e-08
1	UGCG	6.300528316930302e-08
1	ANTXR1	6.2988858902412e-08
1	HAPLN3	6.295704507628535e-08
1	RASL11B	6.28660785623894e-08
1	TXNRD2	6.28370673088675e-08
1	BRI3	6.268382828616991e-08
1	SPTLC2	6.261745038661257e-08
1	RPL8	6.257249659994638e-08
1	ADGRG1	6.247859864326413e-08
1	ELK3	6.239652322219591e-08
1	DYSF	6.23355643526928e-08
1	PTX3	6.23351749078299e-08
1	SPP2	6.223680234766749e-08
1	FMO4	6.194427441975337e-08
1	IRF7	6.162686401107137e-08
1	RSPO3	6.126239341059318e-08
1	NECTIN2	6.09442227121e-08
1	TNFRSF10A	6.089421374202825e-08
1	SPHK1	6.081675626800775e-08
1	SPRY1	6.075469456270485e-08
1	ERG	6.069594527066439e-08
1	TNFRSF10B	5.962103081921553e-08
1	CTSL	5.957773878409036e-08
1	SCN3B	5.8878426985038374e-08
1	CYP2A7	5.879213571360542e-08
1	C5	5.878231534042697e-08
1	SLCO1B1	5.8716236568366284e-08
1	BTG1	5.837096202150024e-08
1	GRK2	5.827477805265888e-08
1	CFH	5.817135518895251e-08
1	LMNB1	5.7815023775835887e-08
1	STPG1	5.7729915559341467e-08
1	LCP2	5.77216607225835e-08
1	TRAF4	5.7682964832884416e-08
1	TEAD4	5.7653727542912356e-08
1	FAM210B	5.762704469789362e-08
1	RUNX1	5.726199125880133e-08
1	PDE1C	5.717198948201996e-08
1	TRADD	5.716599090037837e-08
1	PPP2R2B	5.7137864950047594e-08
1	BANK1	5.703704609943617e-08
1	SERPINH1	5.6955897252511104e-08
1	SH3KBP1	5.6867365704230607e-08
1	IFI35	5.686595586939878e-08
1	PTGIR	5.631604559270463e-08
1	GAS2L3	5.6130056773234016e-08
1	TNFRSF14	5.585602336917177e-08
1	TRPT1	5.5836008240921e-08
1	LIPG	5.555658038638986e-08
1	KIAA0319L	5.5156069172646795e-08
1	PRSS53	5.514063644147581e-08
1	SRGN	5.497965533840067e-08
1	P4HB	5.466045051618539e-08
1	RPS5	5.445577026311904e-08
1	C20orf204	5.443923784983438e-08
1	APOA1	5.430223874578309e-08
1	CYP2F1	5.406991472702252e-08
1	MOV10	5.37832025564152e-08
1	ROBO4	5.3667553398827264e-08
1	ZNF780B	5.356571860508577e-08
1	LDLRAP1	5.3329191348994964e-08
1	ARNTL2	5.313691872109054e-08
1	COL7A1	5.301763666724065e-08
1	CD37	5.295323922073932e-08
1	ETS1	5.294565226997073e-08
1	FES	5.2802036386684096e-08
1	SBNO2	5.2660895481692735e-08
1	PLEKHG1	5.2265874518642554e-08
1	EIPR1	5.2192952586605224e-08
1	ANXA6	5.1954732587862304e-08
1	FGF1	5.1912081862393166e-08
1	ZDHHC9	5.1693745017965874e-08
1	PINK1	5.165049604485169e-08
1	NHLRC3	5.136922231246316e-08
1	REN	5.1160585694798575e-08
1	NEURL4	5.115104297202666e-08
1	MAPK3	5.104010974201964e-08
1	CYP2D7	5.101050970454439e-08
1	SORCS2	5.100056689178143e-08
1	CC2D2A	5.0865554371074636e-08
1	MBTPS1	5.080123577833396e-08
1	FAU	5.079129766779702e-08
1	EHHADH	5.0520357895630605e-08
1	TMEM108	5.046254213397731e-08
1	PNP	5.036046717057052e-08
1	RAB34	5.030598302948773e-08
1	VMP1	5.0280018055963695e-08
1	NNMT	5.0257345176814196e-08
1	AARS2	4.989173515701855e-08
1	JAK1	4.957759033760258e-08
1	SIRT3	4.956412809029258e-08
1	PELI1	4.9519477505645964e-08
1	HLA-DOA	4.9514425813719256e-08
1	TMEM255B	4.945683497136499e-08
1	OXLD1	4.9419012556326136e-08
1	CTTN	4.9199250112879405e-08
1	HECTD3	4.915088085984718e-08
1	LYZ	4.912977810133069e-08
1	FGF14	4.9126676363825e-08
1	SCN1A	4.90923890157143e-08
1	PHACTR1	4.899204303356968e-08
1	PLP1	4.8978995989521193e-08
1	TAB1	4.897439122536484e-08
1	F11R	4.886971640630368e-08
1	TMOD2	4.884517535764986e-08
1	SLC30A7	4.878876819498897e-08
1	SINHCAF	4.867569469805501e-08
1	CD226	4.858079746765487e-08
1	TAGLN2	4.828282927497689e-08
1	UNC5C	4.810962524289319e-08
1	NFKBIA	4.777235335674138e-08
1	PMF1	4.773678317691483e-08
1	LAMB2	4.771114276599224e-08
1	PTPN2	4.769835481282166e-08
1	RAB3IL1	4.7694362456489845e-08
1	GRK6	4.764617621900223e-08
1	STK10	4.7610563917511e-08
1	MUC13	4.759592512496911e-08
1	DMAP1	4.7483879440903586e-08
1	SCN1B	4.74574929362968e-08
1	PKHD1	4.74145601526173e-08
1	APOC2	4.733738776931441e-08
1	TBC1D25	4.7303067770076644e-08
1	YBX3	4.7149632122623706e-08
1	IRAK2	4.6968870492707406e-08
1	CP	4.679566363621583e-08
1	ABCA8	4.678922039157743e-08
1	PDLIM1	4.668357185465078e-08
1	WIPF1	4.656613704789033e-08
1	IL15RA	4.656052906100991e-08
1	ACSL5	4.654236772312593e-08
1	ARL5B	4.653511968995441e-08
1	ANGPT1	4.652465816183812e-08
1	ITGA5	4.648969589995009e-08
1	PPP1R18	4.647260347036206e-08
1	IL33	4.643451909944875e-08
1	EBF2	4.637644414011943e-08
1	RPL3	4.636293517410495e-08
1	BCL2	4.631379532362151e-08
1	IL17RD	4.629454962976503e-08
1	TMEM234	4.6226498776690844e-08
1	S1PR1	4.6200172263992177e-08
1	ERBB2	4.616448492490984e-08
1	PGLS	4.613907986662058e-08
1	PCSK6	4.607722106251189e-08
1	CHSY3	4.5992877812685825e-08
1	GPR4	4.5880678013403174e-08
1	HHIPL1	4.57971340655832e-08
1	VPS54	4.577990129646106e-08
1	ASB18	4.562653552327534e-08
1	MMP9	4.547230054269642e-08
1	TRIP6	4.544511693669715e-08
1	PHOX2B	4.524122193837829e-08
1	CYTH1	4.523380673770041e-08
1	PTPRC	4.52194443004001e-08
1	CCNL1	4.518900977059731e-08
1	B4GALT1	4.5089924572869675e-08
1	PARVG	4.50230228409451e-08
1	UNC5B	4.494131430969116e-08
1	IKBIP	4.4922355677760574e-08
1	TYROBP	4.4808128895831363e-08
1	SGF29	4.4774300568302863e-08
1	STEAP1	4.476702856744903e-08
1	NR2F1	4.474467819487483e-08
1	FBLN2	4.4596242357286453e-08
1	SGSM1	4.423267331520807e-08
1	JAK3	4.4068382221730485e-08
1	ZKSCAN3	4.381578068552311e-08
1	MVB12A	4.358693010290256e-08
1	SERPING1	4.356948061581346e-08
1	CIITA	4.334483776262733e-08
1	NAGPA	4.325864252727781e-08
1	WAS	4.325078462026431e-08
1	HIF1A	4.304148906573932e-08
1	AHR	4.255118158833261e-08
1	UBE2N	4.246477723659916e-08
1	EZH2	4.2436364358765676e-08
1	ZEB2	4.2404595884738746e-08
1	ALDH3B1	4.234646559522758e-08
1	SP140L	4.2334051262117185e-08
1	SCN2A	4.228923681838679e-08
1	CYP2C8	4.226705814894669e-08
1	POR	4.219970762537531e-08
1	SEL1L3	4.2187279997975805e-08
1	IRF3	4.216668066518447e-08
1	ASCL1	4.2142933990835535e-08
1	DUSP4	4.2140334573056533e-08
1	TGFB1	4.212587328057709e-08
1	JMJD7-PLA2G4B	4.20519373932826e-08
1	SLCO1A2	4.2027573541163855e-08
1	THBS2	4.200662250911714e-08
1	EDNRB	4.195123154839509e-08
1	BCL6	4.1875616082861435e-08
1	FYB1	4.1738668340541636e-08
1	HNRNPUL1	4.173066567110518e-08
1	RNF149	4.1712055111561536e-08
1	COL6A2	4.1405873097632495e-08
1	AKNA	4.138601904644296e-08
1	ZNF777	4.125713728263546e-08
1	CNRIP1	4.119100601461072e-08
1	SORCS3	4.113776113121439e-08
1	USP20	4.111819340903233e-08
1	SPPL2B	4.1079848883705496e-08
1	ALKBH3	4.103714729902564e-08
1	CFI	4.103037623426963e-08
1	SCN7A	4.086372399475272e-08
1	CD247	4.058161802738686e-08
1	FCER1G	4.057794433483686e-08
1	NOSIP	4.056951973138844e-08
1	LMF1	4.0316779754109226e-08
1	PLTP	4.031546346054594e-08
1	CNPY4	4.020212356801365e-08
1	WTAP	4.003871509510751e-08
1	ARHGDIB	3.987587074551428e-08
1	GAS6	3.977700012686286e-08
1	CIB1	3.96707981066277e-08
1	RRBP1	3.9645848850836914e-08
1	SLCO1B3	3.963246816274109e-08
1	NEK3	3.959862859804881e-08
1	RNF122	3.953148282822774e-08
1	LAPTM5	3.9526477220410284e-08
1	ARPC1B	3.952135835668182e-08
1	CTBP1	3.9515210656221174e-08
1	MAN1B1	3.9482950467731105e-08
1	GPIHBP1	3.936342223438508e-08
1	PIGO	3.9209611378521994e-08
1	RPS15	3.914275017239793e-08
1	SESN3	3.91295903469269e-08
1	KNG1	3.896855545309476e-08
1	CSF1	3.8925518082367786e-08
1	PTPRE	3.878144491444773e-08
1	IFITM3	3.8781036796337966e-08
1	LPL	3.869743778268195e-08
1	L3MBTL2	3.864104995390004e-08
1	RNF144B	3.8623603016571516e-08
1	APOA2	3.847451026358573e-08
1	EHMT2	3.8422077742043954e-08
1	SELENOH	3.840777626451046e-08
1	SULF1	3.838411905747558e-08
1	PHLDA1	3.837960670409568e-08
1	SLC20A1	3.836072695908672e-08
1	ECSCR	3.8312552412503043e-08
1	FKBP10	3.8286512908462305e-08
1	GAL3ST4	3.8200204990536644e-08
1	EME2	3.804163657491906e-08
1	TACR2	3.8028543552373186e-08
1	PPP1R15A	3.791910785040084e-08
1	STAT3	3.786483258444912e-08
1	VCAN	3.761713106038843e-08
1	C3	3.756856865386086e-08
1	CLSTN3	3.752059264575716e-08
1	PARP9	3.751592576505735e-08
1	ACP5	3.736884386443446e-08
1	TMC8	3.736584766264232e-08
1	SDC2	3.7308834683158714e-08
1	IGF2	3.713464314811966e-08
1	IL10RA	3.697720508148694e-08
1	TTC14	3.696601728359883e-08
1	ACTL8	3.695764102552941e-08
1	GADD45B	3.679002198366451e-08
1	USP21	3.676910435875744e-08
1	FCGR1A	3.676023556690762e-08
1	MUTYH	3.6745630832804486e-08
1	ARRB1	3.674033187356522e-08
1	FAM98C	3.668367656078953e-08
1	RSPO4	3.667350941920419e-08
1	FGF13	3.665926369916972e-08
1	FXYD5	3.662076220401998e-08
1	VIM	3.6619016661907964e-08
1	HLA-DMB	3.652675019886254e-08
1	MYD88	3.651820027088899e-08
1	DNHD1	3.631180050566095e-08
1	NOD1	3.629678179647431e-08
1	PLAU	3.6165303358024634e-08
1	HFE	3.616046099195635e-08
