multiplex	node	score
1	ACP3	0.0006918206440340549
1	IL17A	0.0006841030808957842
1	TRPV1	0.0006835880398347112
1	CCL11	0.0006776192886386959
1	GHRH	0.0006766875132103533
1	HLA-DPA1	0.0006729033028427875
1	HLA-DPB1	0.0006713451874355125
1	KLK3	0.0006659256840932674
1	PRTN3	0.0006611855161551078
1	CTLA4	0.0006509148753532838
1	AMBP	0.0006491714137815275
1	IL10	0.0006480833748694557
1	CXCL6	0.0006417584469517613
1	COX2	0.0006361562323063276
1	DNMT3B	0.000636035946716725
1	HGD	0.0006199885777220376
1	CXCL1	0.0006171280917115931
1	PTPN22	0.0005988340811141698
1	PLAG1	0.0005974011001132476
1	NQO1	0.0005953308238820336
1	PTGS2	0.0005896294720966282
1	PSAT1	0.0005783480001733753
1	PROS1	0.0005511906935996604
1	TLR4	0.0005460411544951421
1	BTK	0.000541620474489823
1	DYNLL1	0.0005354322629809596
1	NPEPPS	0.0005326975366769181
1	SMAD4	0.0005267439824631389
1	DNMT3A	0.0005238327125313636
1	MPO	1.0077319007649917e-06
1	KLK2	9.289648319215367e-07
1	CXCL2	9.088167893843488e-07
1	ASNS	8.342287453443322e-07
1	CCL20	7.774691868527593e-07
1	IER3	7.458105279541896e-07
1	DNMT1	6.896217974027361e-07
1	DUSP5	6.831123996609112e-07
1	FGG	5.712666696098178e-07
1	G6PD	5.702704990618989e-07
1	CXCL8	5.669738982730066e-07
1	OTP	5.533213823527121e-07
1	CXCL3	5.472309844179301e-07
1	CXCL5	5.471025417390219e-07
1	ATF3	4.856766309438686e-07
1	ZFP36L1	4.5224754484962066e-07
1	IL17RA	4.031110952081583e-07
1	CCR4	4.000999713183829e-07
1	RALGAPB	3.987973658816947e-07
1	CCL2	3.837698977918154e-07
1	SLC6A9	3.7960906739354056e-07
1	ATMIN	3.49633276335977e-07
1	EGR1	3.4531202582666387e-07
1	CCN1	3.344981477787542e-07
1	CCDC167	3.328579324028937e-07
1	GOLM1	3.2783549891803324e-07
1	PHGDH	3.2748537904836436e-07
1	CPA3	3.210562301997249e-07
1	ITGAM	3.1158888212355815e-07
1	ALDH1L2	3.012732449519147e-07
1	MRC1	2.990321888305706e-07
1	NFKB2	2.9469661622641383e-07
1	CCR3	2.876709727771092e-07
1	LAPTM5	2.8743882356327765e-07
1	CD40LG	2.860574702153483e-07
1	C5AR1	2.813489738846704e-07
1	TNFAIP3	2.653175038349958e-07
1	CSF3	2.581987215717987e-07
1	ELANE	2.5187044794272514e-07
1	AZU1	2.517028419772766e-07
1	PTGER1	2.461791705386352e-07
1	TNPO1	2.388236182027351e-07
1	ADRA2A	2.3872854807962046e-07
1	NR4A1	2.326334013038943e-07
1	ATF5	2.3043544632149084e-07
1	IKZF4	2.2258060134872035e-07
1	ECSIT	2.1404163383186105e-07
1	JUNB	2.1225560116287517e-07
1	FGA	2.1056037108906723e-07
1	HBEGF	2.0819863514238846e-07
1	ICOS	2.0690756375503097e-07
1	ICAM1	2.0668000602152167e-07
1	SELPLG	1.9945531659995197e-07
1	SLC7A5	1.9890253196760249e-07
1	PIR	1.9872947657843066e-07
1	PPP1R15A	1.9724925588308303e-07
1	CD163	1.9717244301846487e-07
1	PIK3CD	1.9698062280206118e-07
1	ARL5B	1.9663618173286086e-07
1	ZFP36	1.9276694671568205e-07
1	ALB	1.920424859063017e-07
1	CHRNB1	1.9083492099011225e-07
1	MYD88	1.8513144058341242e-07
1	APCS	1.8440304346329283e-07
1	SLC13A2	1.8231880396531375e-07
1	LCN2	1.8045331255634265e-07
1	CD7	1.7192919044434354e-07
1	NFKB1	1.7082838781279746e-07
1	IL10RA	1.6667346855991687e-07
1	APOH	1.6128605977178657e-07
1	FGB	1.5538307088817837e-07
1	PAPSS2	1.553333237417237e-07
1	IKZF1	1.5339743729920595e-07
1	GPBP1	1.5151798436989089e-07
1	KMT2A	1.500757851764751e-07
1	CPS1	1.4846306140019872e-07
1	RHEX	1.4511656848345484e-07
1	ZNF831	1.444351656642599e-07
1	PROZ	1.44306785750703e-07
1	HCST	1.4314844358857593e-07
1	GHRHR	1.419051345165746e-07
1	TRAF2	1.4183083907879992e-07
1	SYTL3	1.4122893504653533e-07
1	IQGAP2	1.4022173796555207e-07
1	USP28	1.3901721774421021e-07
1	WAS	1.3813367473139328e-07
1	BLNK	1.3249709193716835e-07
1	ACPP	1.3227859363793817e-07
1	DOCK2	1.311285541107515e-07
1	IST1	1.3026756402269783e-07
1	RUSC1	1.2912178727163574e-07
1	CHAC1	1.2828182272159023e-07
1	ARG1	1.2718414143114556e-07
1	CD4	1.270522946378776e-07
1	BHLHE40	1.2606132366386794e-07
1	SLC1A5	1.2561423614389717e-07
1	ZNF90	1.2499522885261007e-07
1	IL6	1.225627266290664e-07
1	TIRAP	1.213751589572823e-07
1	R3HDM2	1.1928815707347427e-07
1	CBSL	1.1920711481596377e-07
1	AKR1C3	1.1769357244664277e-07
1	WIPF1	1.1598606026653682e-07
1	TLR1	1.1544040975860151e-07
1	NPC2	1.1356559894815292e-07
1	SLC39A11	1.1341169436458286e-07
1	TBXAS1	1.133668748047707e-07
1	HPGDS	1.1192462607627872e-07
1	TOPBP1	1.111625016350812e-07
1	LYN	1.1011638298942613e-07
1	TXNRD1	1.0939467261681402e-07
1	CD247	1.0927375296144312e-07
1	SLC7A11	1.0903920964475217e-07
1	FCER1G	1.0874822691561506e-07
1	C20orf194	1.0800998023876238e-07
1	PIM1	1.0723463980413301e-07
1	LIF	1.0669127536814832e-07
1	SLC2A3	1.0650092329131802e-07
1	LTA4H	1.0545988846318016e-07
1	CD3E	1.0530512965038817e-07
1	RAB8B	1.0517922835582327e-07
1	PF4V1	1.04953635268797e-07
1	PAH	1.0422891601709418e-07
1	CD22	1.0397565220066745e-07
1	GPT2	1.033680171953362e-07
1	GARS1	1.0304571799525638e-07
1	CFI	1.0272198104310206e-07
1	TRIM16L	1.016519370114316e-07
1	EDNRB	1.0067899567986399e-07
1	CALR	9.958446039523522e-08
1	NAA35	9.905949983144046e-08
1	USP19	9.847151888777404e-08
1	BACH2	9.729555391327896e-08
1	CEP55	9.640733180032267e-08
1	TARS1	9.550705711514806e-08
1	EGR3	9.539433038206372e-08
1	ALOX5	9.317830168129413e-08
1	VHL	9.313103301570681e-08
1	IKZF3	9.312657006196033e-08
1	PDGFRA	9.31148535538762e-08
1	CASK	9.295645397938234e-08
1	HLA-E	9.250657289797645e-08
1	EGR2	9.210209558443045e-08
1	SOD1	9.121208220130694e-08
1	TGFBR2	9.061495371646858e-08
1	RBMS1	8.87010537414121e-08
1	DPEP2	8.861765955017167e-08
1	UTRN	8.826604678573907e-08
1	ARHGEF6	8.817634327470878e-08
