multiplex	node	score
1	IL4	0.0006639071063536582
1	LCE3B	0.0006632913856391741
1	IL13	0.0006590000140426665
1	LCE3C	0.0006577049635160743
1	IL12B	0.0006564542712109473
1	IL23R	0.0006548021145902536
1	IL23A	0.0006510864362514137
1	TNF	0.0006442393118004623
1	CSMD1	0.0006408124072320311
1	S100A7	0.0006361051179577127
1	CRP	0.0006320443503872992
1	IL1B	0.0006225514765605097
1	NOS2	0.0006221235696576579
1	HLA-C	0.000584755548637348
1	CARD14	0.0005822987868911324
1	GJB2	0.0005821884991327573
1	IL6	0.0005677635445357315
1	VEGFA	0.0005659756678239621
1	DDX58	0.0005554383608051448
1	TNFAIP3	0.000535245804802915
1	ERAP1	0.0005317529555370427
1	IFIH1	0.0005242810065769516
1	SERPINB8	0.0005169446915153135
1	TNIP1	0.0005147379794510269
1	RNF114	0.000514254823814898
1	TRAF3IP2	0.0005134246351169181
1	TP53	0.00050439105328971
1	FBXL19	0.0005015694873899129
1	TYK2	0.0005008155883791981
1	STAT3	0.0004995901531966413
1	ORM1	1.2724006328647938e-06
1	IL1A	1.0807026246362182e-06
1	IFI44L	1.0192825550345942e-06
1	GBP1	8.110219505614319e-07
1	PTPN2	6.111250320838461e-07
1	GJB3	5.619104691242796e-07
1	IL12RB1	5.582202118745911e-07
1	NFKBIA	5.532830003779804e-07
1	SLC2A3	4.897107560575281e-07
1	ANKRD37	4.7539714854848445e-07
1	SELENOI	4.537462130188318e-07
1	CD74	4.4574560016088666e-07
1	SLC16A3	4.396628430240996e-07
1	S100A7A	4.3157953476604543e-07
1	CD40	4.313041514731166e-07
1	BATF2	4.1991772146191354e-07
1	IL1RN	4.168484666686912e-07
1	NFKB1	4.070784882953106e-07
1	LY6E	4.0454292433432e-07
1	MAVS	4.008734073037596e-07
1	EPSTI1	3.976505313650754e-07
1	FOSL1	3.8833459526067887e-07
1	CAPN11	3.823117327537134e-07
1	IL18	3.7165266944188064e-07
1	ADAMTS9	3.6225958760323045e-07
1	CYLD	3.568690832481766e-07
1	DAXX	3.566618879593056e-07
1	MX2	3.4801940596871635e-07
1	DUSP5	3.4679394363361903e-07
1	B2M	3.438920811792081e-07
1	IL19	3.276238472711159e-07
1	IFI16	3.2673697620825286e-07
1	WFDC2	3.2188404063817475e-07
