multiplex	node	score
1	IL17A	0.0006615842083532738
1	CRYBB2	0.0006495652550335304
1	RBP3	0.0006472533036780171
1	SAG	0.0006460005242208725
1	CRYAA	0.0006448793687085617
1	TNF	0.0006443289033841045
1	CXCL10	0.0006429395090504156
1	HLA-DQB1	0.0006391254435225961
1	IL1A	0.0006363654298933805
1	CX3CR1	0.0006326541249153304
1	HLA-DQA1	0.0006320134009213797
1	IL1B	0.0006308082797151753
1	ARG1	0.0006154204188685487
1	ALB	0.0006103826645094128
1	CALB2	0.0006061796372765904
1	CCL5	0.00057370107066614
1	IL6	0.0005682262346141701
1	CCL2	0.0005642293372870415
1	CX3CL1	0.0005619484918069409
1	IL18	0.000547650112172361
1	ICAM1	0.0005392523051070168
1	SERPINF1	0.0005388553737663799
1	NOD2	0.0005381114860227718
1	TLR4	0.0005275131056563639
1	ANXA1	0.0005252109786247795
1	SOD2	0.0005221034225401067
1	NR3C1	0.0005104305870709164
1	TNFRSF1A	0.0005085852437160022
1	HSPA9	0.0005028500783254437
1	RELA	0.0005008012220644519
1	CXCL8	1.3312298850996589e-06
1	FGB	1.1268502307193307e-06
1	APOC3	9.045814787953541e-07
1	CCL8	8.998289305839591e-07
1	FOSL1	7.574687625985558e-07
1	SERPINF2	7.521941592084807e-07
1	PIM1	7.312611009300725e-07
1	KCTD12	6.209647905435828e-07
1	CH25H	5.814204981466256e-07
1	TMEM70	5.789126286116918e-07
1	P2RY12	5.493314367177966e-07
1	EVI2A	5.340589922835827e-07
1	NFKB1	5.28557399559711e-07
1	UGCG	5.206743884483849e-07
1	IL1RN	5.00869604682502e-07
1	FHL2	4.898697750030229e-07
1	HP	4.7545662687949627e-07
1	BIRC3	4.730074036817838e-07
1	ADAMTS9	4.5482444234275565e-07
1	TLE3	4.4750388607096534e-07
1	TNFAIP3	4.472881638837437e-07
1	CXCL3	4.424752027298506e-07
1	CCDC80	4.3205885749735514e-07
1	GPR4	4.2642306910190885e-07
1	JUNB	4.253301516643121e-07
1	IL17RA	4.207843970990641e-07
1	IFI16	4.135562917756486e-07
1	PTGIR	3.996031635414526e-07
1	CCDC71L	3.942969586259605e-07
1	APOH	3.9356600750131054e-07
1	IRF1	3.919719823880314e-07
1	PTX3	3.914092467680142e-07
1	CXCL1	3.8347601422904595e-07
1	CXCL11	3.821117949422317e-07
1	CSF2RB	3.7284425196594267e-07
1	IER3	3.720226206011335e-07
1	BCL2A1	3.6235931818512735e-07
1	CXCL9	3.6125917440490056e-07
1	ORM1	3.5978771275404533e-07
1	HLA-E	3.580364167228676e-07
1	CARS1	3.5759561299082694e-07
1	AHR	3.5735708101606474e-07
1	ADAMTS1	3.561152892940022e-07
1	NAMPT	3.5368254469093583e-07
1	C11orf96	3.393796752628258e-07
1	ADAMTS4	3.342831122636581e-07
1	RGS16	3.337223875684758e-07
1	STAT3	3.309266563618102e-07
1	RND1	3.1707299901231373e-07
1	ETS2	3.154800754225652e-07
1	SLC39A14	3.120190132249312e-07
1	MEST	3.1193239261379725e-07
1	MYD88	3.01206261872045e-07
1	ARID5A	2.972649288550885e-07
1	TNFAIP6	2.9336777346670727e-07
1	ENG	2.885668109327105e-07
1	STXBP2	2.8675721188599345e-07
1	RELB	2.841830481673352e-07
1	UBTD2	2.8327679404669586e-07
1	MYO1G	2.8013382471324527e-07
1	GBP1	2.77608746718943e-07
1	LZTS2	2.7557856221530975e-07
1	PNP	2.724651591223002e-07
1	KLHL25	2.6899466342989585e-07
1	GRWD1	2.684508249814558e-07
1	IL1R1	2.6259172597349913e-07
1	GPN1	2.596286871575181e-07
1	S100A8	2.59272735873315e-07
1	MAPK8IP2	2.5639668647113745e-07
1	HLA-DRB1	2.517831070983279e-07
1	SLC43A3	2.500068498487776e-07
1	HAPLN3	2.4994374909077495e-07
1	MSN	2.4825996074016506e-07
1	ARRB2	2.4533312523354164e-07
1	CD44	2.4467809584045427e-07
1	AR	2.437777042246939e-07
1	DUSP5	2.3588623144336843e-07
1	CDCP1	2.34051885375739e-07
1	OSMR	2.290453082337107e-07
1	FGA	2.2781215254101744e-07
