multiplex	node	score
2	Atonic_seizure	0.22613463079141047
2	Atypical_absence_seizure	0.00021789312789513224
2	Absence_seizure	0.0001993081489982201
2	Lennox_Gastaut_syndrome	0.00019451461445018123
2	Status_epilepticus	0.0001308443821863645
2	Seizure	0.00012348495002323568
2	myoclonic_epilepsy	0.00011745819220646498
2	Bilateral_tonic_clonic_seizure	0.00010438019142301813
2	Schizophrenia	8.19796767702859e-05
2	Epilepsy	7.955887899760529e-05
2	Tremor	6.563291594451144e-05
2	Progressive_myoclonic_epilepsy_type_6	5.508798528430265e-05
2	Alcohol_dependence	4.967159044005483e-05
2	Febrile_seizure_within_the_age_range_of_3_months_to_6_years	4.668006585718847e-05
2	Depression	4.4593977889279424e-05
2	Severe_myoclonic_epilepsy_in_infancy	4.113273360633667e-05
2	Sleep_disorder_initiating_and_maintaining_sleep	4.0737073570396465e-05
2	Bipolar_affective_disorder	3.285094688765516e-05
2	Autism	3.0228940134358904e-05
2	Hepatic_encephalopathy	2.524203346871269e-05
2	Essential_tremor	2.4311422842302684e-05
2	Generalized_epilepsy_with_febrile_seizures_plus_type_1	2.2686307327497902e-05
2	Brugada_syndrome_5	2.2673845094721746e-05
2	Conduction_system_disorder	2.2646266877558674e-05
2	Amyotrophic_lateral_sclerosis	1.9747556874486834e-05
2	Generalized_epilepsy_with_febrile_seizures_plus_type_2	1.9198105253842505e-05
2	Migraine_familial_hemiplegic_3	1.918866279208058e-05
2	Febrile_seizures_familial_3a	1.9188225289865752e-05
2	Breast_neoplasm	1.3255048928609658e-05
2	Ovarian_cyst	1.2089007651871255e-05
2	Cardiac_arrhythmia	1.1362072227567513e-05
2	Ventricular_fibrillation	1.1033606185288183e-05
2	Paroxysmal_atrial_fibrillation	1.0973176597933227e-05
2	Nystagmus	1.0740595100462488e-05
2	Movement_disorder	1.0304961856387868e-05
2	Complex_Partial_Seizure	9.22919173228767e-06
2	Blindness	9.144767640162235e-06
2	Gastroesophageal_reflux_disease	8.668274469050812e-06
2	Non_small_cell_lung_carcinoma	7.1282406872037806e-06
2	Neoplasm_of_the_large_intestine	6.904954883396049e-06
2	Spasticity	5.984968326724142e-06
2	Anxiety	5.787656042297556e-06
2	Melanoma	5.4856336752233955e-06
2	Hypotension	5.400358866799584e-06
2	Restless_legs	5.104816090676124e-06
2	Temporal_lobe_epilepsy	4.496299491647996e-06
2	Major_depressive_disorder	4.2279938948567485e-06
2	Prostate_neoplasm	4.205405896652378e-06
2	Panic_disorder	3.60619643024834e-06
2	Psychotic_disorder	3.2162383458080176e-06
2	Renal_cell_carcinoma	3.039250324949803e-06
2	Type_2_diabetes_mellitus	2.7799145879377014e-06
2	Benign_Neonatal_Epilepsy	2.715765774139687e-06
2	Gynecomastia	2.62233153739674e-06
2	B_cell_chronic_lymphocytic_leukemia	2.6170325580287477e-06
2	Complex_partial_epilepsy	2.4083948603012215e-06
2	Venous_thrombosis	2.3760552918409493e-06
2	Bladder_neoplasm	2.1598834693861796e-06
2	Secondary_amenorrhea	2.1426371953100348e-06
2	Peripheral_neuropathy	2.139874104106605e-06
2	Hypertensive_disorder	2.1379030200350873e-06
2	Osteopenia	2.118913098191581e-06
2	Dystonic_disorder	2.1172473770203657e-06
2	West_syndrome	1.9936637815367414e-06
2	Chronic_renal_failure_syndrome	1.979880101709588e-06
2	Endometriosis	1.978610779263413e-06
2	Anxiety_disorder	1.9457752185253863e-06
2	Pulmonary_hypertension	1.8695238101865283e-06
2	Colonic_neoplasm	1.8621049555563973e-06
2	Pain	1.860060750495974e-06
2	Neoplasm_of_stomach	1.8311969015904586e-06
2	Thrombocytopenia	1.7925707596617997e-06
