multiplex	node	score
2	Basal_cell_carcinoma	0.2250065756049571
2	Melanoma	0.00010405354271483713
2	Breast_neoplasm	5.185299024775741e-05
2	Squamous_cell_carcinoma	4.718414305827294e-05
2	Palmoplantar_keratosis	4.487353725918955e-05
2	Strabismus	4.398473209732401e-05
2	Neoplasm_of_the_skin	3.85910798699599e-05
2	Hyperkeratosis	3.731281018147152e-05
2	Neoplasm_of_stomach	3.544587929315928e-05
2	Head_and_neck_neoplasm	3.055949342607271e-05
2	Malignant_tumor_of_breast	2.996741446149028e-05
2	Neuroblastoma	2.632532991183761e-05
2	Medulloblastoma	2.508372424861402e-05
2	Renal_cell_carcinoma	2.4030411006933903e-05
2	Fever	2.2355635910318972e-05
2	Fatigue	2.2285881548102817e-05
2	Gastric_carcinoma	2.227464336237812e-05
2	Neoplasm_of_the_pancreas	2.1441941236151428e-05
2	Cryptorchidism	2.0708327779584114e-05
2	Conjunctivitis	1.995769393771246e-05
2	Psoriasis	1.973918163523612e-05
2	Keratitis	1.8747927960412828e-05
2	Seizure	1.8192380438446663e-05
2	Rectal_neoplasm	1.799417185139031e-05
2	Basal_cell_carcinoma_multiple	1.7776289507141964e-05
2	Basal_cell_carcinoma_susceptibility_to_1	1.77760162653034e-05
2	Epilepsy	1.7623979837312877e-05
2	Gorlin_syndrome	1.6462149845517778e-05
2	Colonic_neoplasm	1.6440667366722406e-05
2	Hypogonadism	1.6403088960922906e-05
2	Nystagmus	1.6201588621613524e-05
2	Schizophrenia	1.602634079374579e-05
2	Arthralgia	1.5916554838682477e-05
2	Astrocytoma	1.566379993577093e-05
2	Solar_lentigo	1.5282867517831304e-05
2	Neoplasm_of_brain	1.5087556405029814e-05
2	Prostate_neoplasm	1.4435862659295628e-05
2	Neoplasm_of_lung	1.3846920459592441e-05
2	Leukemia	1.3839713740083972e-05
2	Acute_promyelocytic_leukemia	1.3223101384506578e-05
2	Bladder_neoplasm	1.2436514613268315e-05
2	Glaucoma	1.2374911591512888e-05
2	Basal_Cell_Carcinoma_Nonsyndromic	1.158753485378724e-05
2	Depression	1.1234794523336262e-05
2	Growth_failure	1.0998650013875103e-05
2	T_cell_acute_lymphoblastic_leukemia	1.070917780552945e-05
2	Oculocutaneous_albinism_type_4	1.0638470424654308e-05
2	Varicose_disease	1.0446478510634672e-05
2	Nail_dystrophy	1.025450884703792e-05
2	Neoplasm_of_ovary	1.0055549211130863e-05
2	Neoplasm_of_the_large_intestine	1.005499795314661e-05
2	Spasticity	9.922572111570735e-06
2	Rhabdomyosarcoma	9.725656474026499e-06
2	Xeroderma_pigmentosum_group_B	9.55611640491489e-06
2	Tyrosinase_positive_oculocutaneous_albinism	9.442514275527325e-06
2	Brown_oculocutaneous_albinism	9.441305841423888e-06
2	Skin_disorder	9.330528086363754e-06
2	Non_small_cell_lung_carcinoma	9.044035031001139e-06
2	Xeroderma_pigmentosum_variant_type	9.030030061241306e-06
2	Pachyonychia_congenita_2	8.97727671510342e-06
2	Psychotic_disorder	8.976415007315055e-06
2	Exanthem	8.814228416316347e-06
2	Mesothelioma	8.614577314086816e-06
2	Glioma	8.2903038193761e-06
2	Dowling_Degos_disease_1	8.091500822783772e-06
2	Squamous_cell_carcinoma_of_the_head_and_neck	8.016021549417062e-06
2	Metastasis	8.00456808134931e-06
2	Oculocutaneous_albinism_type_1B	7.912443582946618e-06
2	Tyrosinase_negative_oculocutaneous_albinism	7.909624798728378e-06
2	Cachexia	7.248179656916221e-06
2	Trichothiodystrophy_1_photosensitive	7.2271795403265455e-06
2	Patent_ductus_arteriosus	7.191847127824689e-06
2	Steatocystoma_multiplex	7.160857069270235e-06
2	Hereditary_leiomyomatosis_and_renal_cell_cancer	7.160857069270235e-06
2	Melanoma,_cutaneous_malignant,_susceptibility_to,_3	7.160857069270235e-06
2	Xeroderma_Pigmentosum_B-Cockayne_Syndrome	7.160857069270235e-06
2	Xeroderma_pigmentosum,_group_C	7.160857069270235e-06
2	Papilloma	7.160857069270235e-06
2	Melanoma,_cutaneous_malignant,_susceptibility_to,_1	7.160857069270235e-06
2	Malignant_squamous_cell_neoplasm	7.160857069270235e-06
2	Melanoma,_cutaneous_malignant,_susceptibility_to,_8	7.160857069270235e-06
2	Melanoma,_cutaneous_malignant,_susceptibility_to,_2	7.160857069270235e-06
2	Basal_cell_carcinoma,_multiple	7.160857069270235e-06
2	Basal_Cell_Carcinoma,_Nonsyndromic	7.160857069270235e-06
2	Basal_cell_carcinoma,_susceptibility_to,_1	7.160857069270235e-06
2	Basal_cell_nevi	7.160857069270235e-06
2	Cutaneous_neuroendocrine_carcinoma	7.160857069270235e-06
2	Testicular_neoplasm	7.140902033713367e-06
2	Hyperplasia	7.105001501011348e-06
2	Endometrium_neoplasm	7.099093756419223e-06
2	Lymphoma	7.0544586656981816e-06
2	Ichthyosis	6.628566105770206e-06
2	Arteriosclerosis_disorder	6.627804225736705e-06
