multiplex	node	score
2	Biliary_cirrhosis	0.2267482776151278
2	Primary_biliary_cholangitis	0.0002970596851804235
2	Cholesterol_gallstones	6.512637264533673e-05
2	Hepatocellular_carcinoma	5.331963923463828e-05
2	Low_phospholipid_associated_cholelithiasis	4.6708891883519784e-05
2	Cholangitis	4.5260491033139615e-05
2	Hemobilia	4.301856026544112e-05
2	Biliary_atresia	4.301856026544112e-05
2	Biliary_dyskinesia	4.301856026544112e-05
2	Immunodeficiency	3.896639949371188e-05
2	Neoplasm_of_the_large_intestine	3.7128366329456543e-05
2	Cirrhosis_of_liver	3.4338805550140524e-05
2	Breast_neoplasm	3.321136696402666e-05
2	Cystic_fibrosis	3.121564296340392e-05
2	Pulmonary_fibrosis	3.0334183071166328e-05
2	Multiple_sclerosis	2.763482026198183e-05
2	Dyslipidemia	2.6984147119423704e-05
2	Onychomycosis	2.693790793279808e-05
2	Dermatographic_urticaria	2.688667332935641e-05
2	Biliary_tract_neoplasm	2.4625915643088103e-05
2	Cholelithiasis	2.3985638843780653e-05
2	Pruritus	2.2964179759427418e-05
2	Crohn_disease	2.157191635543129e-05
2	Celiac_disease	2.1564246743346714e-05
2	Vitiligo	2.1295352289102074e-05
2	Interstitial_cystitis	2.076787495717987e-05
2	Allergy	1.7909864219791427e-05
2	Renal_cell_carcinoma	1.7227781146932623e-05
2	Liver_failure	1.654470965137309e-05
2	Hyperpigmentation_of_the_skin	1.6367226239247247e-05
2	Orthostatic_hypotension	1.6358384074456993e-05
2	Arthritis	1.6130789377608404e-05
2	Diarrhea	1.5899028128592366e-05
2	Colonic_neoplasm	1.5825940834169295e-05
2	Bipolar_affective_disorder	1.535478588970403e-05
2	Rheumatoid_arthritis	1.5324649885363224e-05
2	Spontaneous_Abortion	1.5180010572988074e-05
2	Alopecia	1.424636216604958e-05
2	Pneumonia	1.4225485059045584e-05
2	Seizure	1.417675947711151e-05
2	Asthma	1.3850459902595314e-05
2	Schizophrenia	1.3616802255844523e-05
2	Wilson_disease	1.3605076328190802e-05
2	Thyroid_tumor	1.3583317713693018e-05
2	Atopic_eczema	1.3459516193286834e-05
2	Alcohol_dependence	1.3034906921348128e-05
2	Myocardial_ischemia	1.2472264519865344e-05
2	Endometriosis	1.1832676880885007e-05
2	Systemic_lupus_erythematosus	1.171874760871756e-05
2	Iridocyclitis	1.164547489562329e-05
2	Pancreatitis	1.1398371926734151e-05
2	Major_depressive_disorder	1.111121374425126e-05
2	Alopecia_areata	1.094545545219543e-05
2	Disorder_of_biliary_tract	1.0932563377809439e-05
2	Skin_ulcer	1.0007115196472757e-05
2	Nausea_and_vomiting	9.991317346282402e-06
2	Chronic_renal_failure_syndrome	9.853984635490902e-06
2	Dubin_Johnson_syndrome	9.847488488529978e-06
2	Allergic_contact_dermatitis	9.787694280686263e-06
2	Fever	9.674618921193109e-06
2	Chronic_obstructive_pulmonary_disease	9.398874872416029e-06
2	Depression	9.133474793500613e-06
2	Arthralgia	8.944474968835663e-06
2	Neoplasm_of_the_skin	8.883649188455952e-06
2	Left_heart_failure	8.878950117142159e-06
2	Ulcerative_colitis	8.420331476101691e-06
2	Ischemic_encephalopathy	8.378061297848003e-06
2	Sjogren_syndrome	8.067735502088947e-06
2	Squamous_cell_carcinoma_of_the_head_and_neck	7.964834085209746e-06
2	Meningitis	7.94765478283954e-06
2	Exanthem	7.872695240163497e-06
2	Aphthous_stomatitis	7.818407665048773e-06
2	Hypertensive_disorder	7.791488189148063e-06
2	Eczematoid_dermatitis	7.66788362709715e-06
2	Purpura	7.402657424799427e-06
2	Cholecystitis	7.372903191322623e-06
2	Systemic_sclerosis	7.359726768506782e-06
2	Patent_ductus_arteriosus	7.310087199237966e-06
2	Erythroderma	7.278172244801333e-06
2	Enteritis	7.182056130330188e-06
2	Pulmonary_hypertension	7.102573448325165e-06
2	Autosomal_dominant_limb_girdle_muscular_dystrophy_type_1F	7.081564651020561e-06
2	Renal_hepatic_pancreatic_dysplasia_1	7.057886838750454e-06
2	Nephronophthisis_3	7.0508449822806595e-06
2	NPHP3_related_Meckel_like_syndrome	7.0508449822806595e-06
2	Cholestasis_intrahepatic_of_pregnancy_3	7.015493426438057e-06
2	Progressive_familial_intrahepatic_cholestasis_type_3	7.011827842304396e-06
2	Obstructive_jaundice	6.990143008968485e-06
2	Myalgia	6.935940627006312e-06
2	Diabetes_mellitus_type_1	6.90527708881483e-06
2	Primary_adrenocortical_insufficiency	6.6010324157017265e-06
2	T_cell_acute_lymphoblastic_leukemia	6.568318474184934e-06
2	Bronchiectasis_with_or_without_elevated_sweat_chloride_1	6.3528476483478405e-06
2	Chronic_lung_disease	6.279896248283514e-06
2	Constipation	6.226458467272356e-06
2	Fatigue	6.154007459327817e-06
2	Prostate_neoplasm	6.1259359787580385e-06
2	Type_2_diabetes_mellitus	5.767623384266262e-06
2	Autism	5.613352379361206e-06
2	Psoriasis	5.477929246022783e-06
2	Ankylosing_spondylitis	5.276776798387965e-06
2	Psoriatic_arthritis	5.248983659640678e-06
2	Pelger_Huët_anomaly	5.1386032438748735e-06
2	Pleural_effusion	5.1152807023465505e-06
2	Vomiting	4.9939764624611225e-06
2	Bronchiectasis	4.785501720984285e-06
2	Gangrene	4.712879638796952e-06
2	Pericarditis	4.504181950981742e-06
2	Erysipelas	4.4619564971976135e-06
2	Gastrointestinal_hemorrhage	4.440029454254502e-06
2	Status_epilepticus	4.393249291500746e-06
2	Heart_failure	4.3229175677755785e-06
2	Malignant_lymphoma_large_B_cell_diffuse	4.298879999790207e-06
2	Migraine	4.290724695735377e-06
2	Urticaria	4.259221913784245e-06
2	Dyspareunia	4.207017435020634e-06
2	Abdominal_pain	4.18325525542934e-06
2	Vasculitis	4.163472408931032e-06
2	Drug_allergy	4.104766236581905e-06
2	Adenoma	4.069446851911676e-06
2	Myopathy	4.047799113300504e-06
2	Focal_segmental_glomerulosclerosis	4.03132148264989e-06
2	Orchitis	4.0153424998472706e-06
2	Neoplasm_of_stomach	3.993536990724938e-06
2	Edema	3.980434728611981e-06
2	Coronary_artery_disorder	3.8179206657905945e-06
2	Cachexia	3.5501377252461643e-06
2	Osteosarcoma	3.4844030184549822e-06
2	Paroxysmal_dyspnea	3.4123691833168994e-06
2	Neoplasm_of_the_pancreas	3.2629471179339934e-06
2	Induratio_penis_plastica	3.1931033160814585e-06
2	Diaphyseal_dysplasia	3.1885485398361283e-06
2	Postmenopausal_osteoporosis	3.1864413795644555e-06
2	Disorder_of_lung	3.1256630450143514e-06
2	Behcet_disease	3.0021026062657853e-06
2	Hyperplasia	2.9902137739674354e-06
2	Adenocarcinoma	2.985865390705191e-06
2	Epilepsy	2.97998887407972e-06
2	Autoimmune_disease	2.9743623627386296e-06
2	Acne	2.9608280570095983e-06
2	Venous_thrombosis	2.91836411340115e-06
2	Oral_ulcer	2.867793176673709e-06
2	Inflammatory_bowel_disease	2.835919269784125e-06
2	Gastroesophageal_reflux_disease	2.775093938425999e-06
2	Heartburn	2.76056150549597e-06
2	Myocardial_infarction	2.725206614943659e-06
2	Chronic_diarrhea	2.7155755138113715e-06
2	Xerostomia	2.7095610788138774e-06
2	Otitis_media	2.674349653258409e-06
2	Kidney_failure	2.6729500518729346e-06
2	Ovarian_cyst	2.667907482892869e-06
2	Premature_birth	2.6649472834169433e-06
2	Renal_insufficiency	2.664621065585888e-06
2	Autoimmune_thrombocytopenic_purpura	2.6570646565016845e-06
2	Premature_birth_of_newborn	2.634661106157228e-06
2	Stage_5_chronic_kidney_disease	2.5579535570984323e-06
2	Premature_ovarian_insufficiency	2.5366612813445216e-06
2	Glioblastoma	2.4125302207424287e-06
2	Male_infertility	2.4071867311257643e-06
2	Sinusitis	2.3682401042297922e-06
2	Dry_eye_syndrome	2.28618370877102e-06
2	Abnormal_heart_morphology	2.2811012753061322e-06
2	Astrocytoma	2.226254803159352e-06
2	Infectious_disease_of_lung	2.2075947501739603e-06
2	Rhinitis	2.0943775883299492e-06
2	Carious_teeth	2.03756201323447e-06
2	Anemia	1.732404128133742e-06
2	Preeclampsia	1.712742873211884e-06
2	Neoplasm_of_esophagus	1.6666171445259185e-06
2	Scleroderma	1.5550942105712127e-06
2	Keratoconjunctivitis_sicca	1.5440218925017772e-06
2	Hypertrophic_cardiomyopathy	1.483442951070199e-06
2	Pulmonary_arterial_hypertension	1.4450304224833877e-06
2	Melanoma	1.4253478268575516e-06
2	Anorexia	1.370909635463636e-06
2	Asthma_protection_against	1.3691366361126883e-06
2	Asthma_diminished_response_to_antileukotriene_treatment_in	1.3645773988996434e-06
2	Inherited_susceptibility_to_asthma	1.3584150365858102e-06
2	Metastasis	1.3540293477356792e-06
2	Juvenile_idiopathic_arthritis	1.351940917459703e-06
2	Hypertensive_crisis	1.3384503352584782e-06
2	Psychotic_disorder	1.3361072826169692e-06
2	Leukocytosis	1.3106991358938977e-06
2	Nephrotic_syndrome	1.2897849985171184e-06
2	Amyloidosis	1.278794584662217e-06
2	Dyspnea	1.270347789970427e-06
2	TNF_receptor_associated_periodic_fever_syndrome_TRAPS	1.2536978286867755e-06
2	Polycystic_ovaries	1.2440459989178592e-06
2	Squamous_cell_carcinoma	1.2439880101737862e-06
2	Stroke_disorder	1.114234334833989e-06
2	Acute_myeloid_leukemia	1.1095669928718557e-06
2	Neoplasm_of_lung	1.0527616640508181e-06
2	Uremia	9.923120178308081e-07
2	Delayed_puberty	9.642432972877416e-07
2	Osteoporosis	9.621030650218309e-07
2	Obesity	8.718909982320601e-07
2	Diabetic_Vascular_Disorder	8.498037818412799e-07
2	Duchenne_muscular_dystrophy	8.495844322144537e-07
2	Headache	8.487639335427789e-07
2	Sarcoidosis	8.473877236086017e-07
2	Osteoarthritis	8.440167680130666e-07
2	Diabetic_neuropathy	8.204131555882423e-07
2	Bladder_neoplasm	8.097414430911983e-07
2	Essential_thrombocythemia	8.001974011764015e-07
2	Thrombocytopenia	7.805281777350288e-07
2	Nystagmus	7.415064097495441e-07
2	Strabismus	7.215966806929624e-07
2	Cryptorchidism	6.978431879146595e-07
2	Colorectal_carcinoma	6.511198267897294e-07
2	Diabetic_kidney_disease	6.397779838374464e-07
2	Colitis	6.320092778380974e-07
2	Non_small_cell_lung_carcinoma	6.288004151052927e-07
2	Neoplasm_of_ovary	6.147312985485322e-07
2	Malignant_gastrointestinal_tract_tumors	5.619171163285844e-07
2	Zollinger-Ellison_syndrome	5.619171163285844e-07
2	B_cell_chronic_lymphocytic_leukemia	5.545585634785681e-07
2	Skin_disorder	5.481987600815604e-07
2	Hyperlipidemia	5.310631226324411e-07
2	Spasticity	5.274960517492509e-07
2	Alzheimer_disease	4.682842810224167e-07
2	Stevens_Johnson_syndrome	4.606530557906877e-07
2	Nephritis	4.531746989367831e-07
2	Hypotension	4.469254658774503e-07
2	Contact_dermatitis	4.4167309182340136e-07
2	Essential_hypertension	4.363990120921606e-07
2	Urinary_bladder_inflammation	4.308180288951466e-07
2	Neoplasm_of_brain	4.289814065831262e-07
2	Keloid	4.2586746235620763e-07
2	Respiratory_insufficiency	3.9278295175828344e-07
2	Ependymoma	3.8256059683911573e-07
2	Gastric_ulcer	3.77246533907926e-07
2	Peripheral_neuropathy	3.7122401013886883e-07
2	Atherosclerosis	3.6132498962029425e-07
2	Endometrium_neoplasm	3.5198373559382743e-07
2	Enterocolitis	3.433963499942063e-07
2	Angioedema	3.387374921910883e-07
2	Dystonic_disorder	3.3623471892933676e-07
2	Osteopenia	3.345278334078067e-07
2	Medulloblastoma	3.290168205914861e-07
2	Uveitis	3.2808100442293356e-07
2	Cardiomyopathy	3.2388929298932643e-07
2	Intestinal_polyp	3.1732643331879226e-07
2	Glioma	3.156338646304654e-07
2	Palmoplantar_keratosis	2.9802342559947015e-07
2	Glaucoma	2.910698396556772e-07
2	Perennial_allergic_rhinitis	2.905767263875559e-07
2	Acute_promyelocytic_leukemia	2.816243201473813e-07
2	Serum_sickness	2.8009614386218733e-07
2	Primary_dilated_cardiomyopathy	2.7668422963405435e-07
2	Sezary_syndrome	2.6631097748415795e-07
2	Diabetes_mellitus	2.6396456235215175e-07
2	Primary_cutaneous_T_cell_lymphoma	2.603055822882089e-07
2	Lymphoma	2.598579111821784e-07
2	Gastrointestinal_stromal_tumor	2.5856760334357277e-07
2	Tremor	2.5759278325737785e-07
2	Multiple_myeloma	2.573735927736749e-07
2	Hyperglycemia	2.5357049717379577e-07
2	Hypogonadism	2.4894481454853414e-07
2	Intracranial_swelling	2.456444460090669e-07
2	Desmoid_tumor	2.441427054506742e-07
2	Parkinson_disease	2.4364039192507853e-07
2	Adult_acute_respiratory_distress_syndrome	2.42198635762427e-07
2	Growth_retardation	2.40826677714649e-07
2	Attention_deficit_hyperactivity_disorder	2.3805091042574122e-07
2	Growth_failure	2.3320774410279328e-07
2	Leukemia	2.3087151741482136e-07
2	Airway_hyperresponsiveness	2.2531364864148994e-07
2	Renal_neoplasm	2.243671727118775e-07
2	Small_cell_lung_carcinoma	2.237005589848661e-07
2	Myelodysplastic_syndrome	2.221959800554055e-07
2	Septic_shock	2.2136448383872567e-07
2	Ischemic_stroke	2.1624903240805384e-07
2	Duodenal_ulcer	2.1258391240538734e-07
2	Papillary_thyroid_carcinoma	2.121572707907875e-07
2	Subarachnoid_hemorrhage	2.0647029773783067e-07
2	Hyperemia	2.0554658916867692e-07
2	Hypoglycemia	2.050100400794575e-07
2	Insulin_resistance	2.0341309354837722e-07
2	Cerebral_infarction	2.0336815174594085e-07
2	Anxiety	1.9986067610749945e-07
2	Urinary_tract_infectious_disease	1.9908988591424927e-07
2	Acute_coronary_syndrome	1.9810707111200444e-07
2	Movement_disorder	1.9767059589669858e-07
2	Turner_syndrome	1.9549342088440817e-07
2	Alzheimer_disease_early_onset_with_cerebral_amyloid_angiopathy	1.9425877160405504e-07
2	Alzheimer_disease_type_1	1.9208873987852373e-07
2	Alzheimer_disease_protection_against	1.9163803503470655e-07
2	Nail_dystrophy	1.9031246428223453e-07
2	Cardiac_arrhythmia	1.8925388920903508e-07
2	Neuroblastoma	1.8755713020163173e-07
2	Dermatitis	1.8656517315924177e-07
2	Thrombotic_disease	1.8327883219923052e-07
2	Germ_cell_tumor_of_testis	1.7966713735142797e-07
2	Herpes_simplex_encephalitis	1.7614920680429416e-07
2	HELLP_syndrome	1.7472664868696878e-07
2	Ichthyosis	1.7189527687486024e-07
2	Conjunctivitis	1.7079603976218444e-07
2	Congestive_heart_failure	1.699417965295185e-07
2	Hypertension_pregnancy_induced	1.6976199332012214e-07
2	Preeclampsia/eclampsia_1	1.6963335763031435e-07
2	Hypogonadotropic_hypogonadism	1.691762839747207e-07
2	Idiopathic_Pulmonary_Fibrosis	1.6737953704359445e-07
2	Blindness	1.648050534241517e-07
2	Burkitt_lymphoma	1.630374105187894e-07
2	Emphysema	1.5818992677097157e-07
2	Infection_of_bone	1.5455195647400942e-07
2	Gingival_disorder	1.5100367221566136e-07
2	Hyperkeratosis	1.4948381191909707e-07
2	Basal_cell_carcinoma	1.4944993880679543e-07
2	Carcinoma_Pancreatic_Ductal	1.4748670531987193e-07
