multiplex	node	score
2	Bronchiolitis	0.22635395621540275
2	Schizophrenia	0.00018018821570720838
2	MHC_class_I_deficiency	0.00015013837032279632
2	Nasal_polyposis	0.0001498488090263174
2	Pneumonia	0.00014368606627321643
2	Bronchiectasis	0.00010772419419424907
2	Emphysema	0.00010711716623894195
2	Skin_ulcer	0.00010697150752667928
2	Bipolar_affective_disorder	6.624366347349376e-05
2	Urticaria	6.0773446428732125e-05
2	Arthralgia	6.071474018882255e-05
2	Bacterial_infection_of_skin	6.026060157496659e-05
2	Cellulitis	6.008129335753301e-05
2	Hashimoto_thyroiditis	6.007914193690562e-05
2	Asthma	4.4550232215316934e-05
2	Hypertensive_disorder	4.1607946690028605e-05
2	Obesity	3.9655647026957104e-05
2	Nystagmus	3.9347730225148355e-05
2	Renal_insufficiency	3.864169713375756e-05
2	Hypogonadism	3.835348155584547e-05
2	Kidney_failure	3.824994992429758e-05
2	Senior_Loken_syndrome_7	3.8179136177233194e-05
2	Diabetes_mellitus	3.814893827372497e-05
2	Premature_ovarian_insufficiency	3.8122040089266405e-05
2	Disorder_of_biliary_tract	3.812059022047337e-05
2	Myocardial_ischemia	3.254022755477798e-05
2	Allergic_rhinitis	3.1981073629087295e-05
2	Vitiligo	3.166583640661557e-05
2	Immunodeficiency,_common_variable,_2	2.7387611865684964e-05
2	Immunodeficiency,_common_variable,_3	2.7387611865684964e-05
2	X-linked_lymphoproliferative_disease_due_to_SH2D1A_deficiency	2.7387611865684964e-05
2	Agammaglobulinemia_2,_autosomal_recessive	2.7387611865684964e-05
2	Immunodeficiency,_common_variable,_1	2.7387611865684964e-05
2	Immunodeficiency,_common_variable,_4	2.7387611865684964e-05
2	Bronchitis	2.7387611865684964e-05
2	Strabismus	1.723629427108954e-05
2	Stage_5_chronic_kidney_disease	1.6679773120292318e-05
2	Streptococcal_pneumonia	1.322174446679912e-05
2	Neoplasm_of_lung	8.346966870550568e-06
2	Polycystic_ovaries	6.3729514143067555e-06
2	Prostate_neoplasm	5.962997197241705e-06
2	Breast_neoplasm	4.78536614332018e-06
2	Autism	4.482260633536854e-06
2	Spontaneous_Abortion	4.47254366012654e-06
2	Common_variable_immunodeficiency	4.418616491568126e-06
2	Atopic_eczema	4.326472331412961e-06
2	Autoimmune_lymphoproliferative_syndrome_type_2B	4.123134788105824e-06
2	Pulmonary_fibrosis	3.836244482300712e-06
2	Hyperplasia	3.6541911543324367e-06
2	Rheumatoid_arthritis	3.288241670779915e-06
2	Allergic_contact_dermatitis	3.2496686227482014e-06
2	Allergy	3.0139059979792227e-06
2	Seizure	2.5387099196224638e-06
2	Hepatocellular_carcinoma	2.4494607838422952e-06
2	Ischemic_encephalopathy	2.4119542212302877e-06
2	Epilepsy	2.4002404334268207e-06
2	Idiopathic_Pulmonary_Fibrosis	2.336840277958093e-06
2	Juvenile_idiopathic_arthritis	2.3228146198879326e-06
2	Depression	2.301735515271429e-06
2	Alcohol_dependence	2.239779186521994e-06
