multiplex	node	score
2	Cataplexy_and_narcolepsy	0.2269813540749322
2	Narcolepsy	0.0009499985806704099
2	Insomnia	0.0001080471864444853
2	Diabetes_mellitus_type_1	7.777158620837498e-05
2	Acute_myeloid_leukemia	6.555459603719675e-05
2	Depression	6.200022195882113e-05
2	Breast_neoplasm	6.0562777738576144e-05
2	Schizophrenia	5.852983204101609e-05
2	Atopic_eczema	5.838230902728204e-05
2	Alcohol_dependence	5.670172455635189e-05
2	Cataplexy	5.327915313739078e-05
2	Narcolepsy_1	5.327226928793255e-05
2	Narcolepsy_7	5.2827299821046544e-05
2	Systemic_lupus_erythematosus	5.240737307597608e-05
2	Myocardial_infarction	4.810413205405617e-05
2	Persistent_hypersomnia	4.543940508406079e-05
2	Hypersomnia_disorder_related_to_menstruation	4.543940508406079e-05
2	Recurrent_hypersomnia	4.543940508406079e-05
2	Idiopathic_hypersomnia_without_long_sleep_time	4.543940508406079e-05
2	Disorder_of_blood_gas	3.528278953226831e-05
2	Obesity	3.438846919923281e-05
2	Asthma	2.8289309076424684e-05
2	Psoriasis	2.6056804651997416e-05
2	Multiple_sclerosis_susceptibility_to_1	2.576092044416203e-05
2	Diabetes_mellitus	2.5747493424169758e-05
2	Angioedema	2.5646427769744297e-05
2	Rheumatoid_arthritis	2.403961359236242e-05
2	Creutzfeldt_Jakob_Disease_Heidenhain_Variant	2.018079444793258e-05
2	Creutzfeldt_Jakob_disease_sporadic	2.016771200794163e-05
2	Creutzfeldt_Jakob_disease	2.0166718437954727e-05
2	Variant_Creutzfeldt_Jakob_disease	2.0163363270695687e-05
2	Bipolar_affective_disorder	1.546716258340434e-05
2	Allergy	1.3534310751948966e-05
2	Multiple_sclerosis	1.276628058529858e-05
2	Autoimmune_disease	1.2718030703180323e-05
2	Drug_allergy	1.2525896064251758e-05
2	Multiple_sclerosis_susceptibility_to	1.2295607731668599e-05
2	Eczematoid_dermatitis	1.2250975581541319e-05
2	Gastroesophageal_reflux_disease	1.224267026208186e-05
2	Urticaria	1.2087531297754008e-05
2	Thrombocytopenia	1.2030402733652972e-05
2	Fever	1.18926905138867e-05
2	Fatigue	1.17758956403422e-05
2	Ulcerative_colitis	1.1775686209018983e-05
2	Carious_teeth	1.1444488983079707e-05
2	Uveitis	1.1382615702509356e-05
2	Arthritis	1.1348149717300586e-05
2	Lymphoma	1.1328088391222546e-05
2	Non_Hodgkin_lymphoma	1.1313263422012385e-05
2	Xerostomia	1.1312515982285157e-05
2	Erythema_nodosum	1.1247287585635316e-05
2	Dyspareunia	1.1197910414644182e-05
2	Systemic_sclerosis	8.748074659114696e-06
2	Celiac_disease_susceptibility_to_1	8.74362255984304e-06
2	Celiac_disease	8.735555876509082e-06
2	Major_depressive_disorder	7.10631421266044e-06
2	Autism	4.871392746493059e-06
2	Paroxysmal_nocturnal_hemoglobinuria	4.693680125546953e-06
