multiplex	node	score
2	Cholangitis	0.22588694089586983
2	Autoimmune_disease	0.00010800426615760777
2	Biliary_cirrhosis	4.966336976957066e-05
2	Low_phospholipid_associated_cholelithiasis	4.833381113837779e-05
2	Asthma	4.557714929928812e-05
2	Alopecia	4.479334245895035e-05
2	Breast_neoplasm	4.372274398019158e-05
2	Schizophrenia	4.367057914869143e-05
2	Cirrhosis_of_liver	4.302066167855575e-05
2	Pneumonia	4.2251310063591846e-05
2	Endometriosis	3.8753989982361015e-05
2	Epilepsy	3.820123507146523e-05
2	Seizure	3.799323841786935e-05
2	Ichthyosis	3.7249902304677876e-05
2	Liver_failure	3.67462206787597e-05
2	Bronchiectasis	3.6705953832185966e-05
2	Juvenile_idiopathic_arthritis	3.5676302550327336e-05
2	Spontaneous_Abortion	3.3663330590387835e-05
2	Hypertensive_disorder	3.345169662871813e-05
2	Mesothelioma	3.316230483811075e-05
2	Ischemic_disease	3.2557222436518864e-05
2	Type_2_diabetes_mellitus	2.844931405713258e-05
2	Wilson_disease	2.7306687566601946e-05
2	Coronary_artery_disorder	2.726522843997221e-05
2	Left_heart_failure	2.6462439407440296e-05
2	Loeys_Dietz_syndrome_4	2.6360981361101033e-05
2	Sinusitis	2.6030824905509507e-05
2	Premature_birth	2.502419101554124e-05
2	Premature_birth_of_newborn	2.4969885534715134e-05
2	Contact_dermatitis	2.4123971163234788e-05
2	Neoplasm_of_the_large_intestine	2.3399565036692437e-05
2	Bipolar_affective_disorder	2.296796657319465e-05
2	Prostate_neoplasm	2.2453094334537537e-05
2	Immunodeficiency	2.2330307130591102e-05
2	Infection_of_bone	2.2169960986846852e-05
2	Pancreatitis	2.200345588412635e-05
2	Chronic_diarrhea	2.1565504252504953e-05
2	Pruritus	2.1539315250378216e-05
2	Cholelithiasis	2.0227937910760445e-05
2	Cholestasis_intrahepatic_of_pregnancy_3	1.8774402081459226e-05
2	Progressive_familial_intrahepatic_cholestasis_type_3	1.877146450393117e-05
2	Cholesterol_gallstones	1.8770969739711703e-05
2	Obstructive_jaundice	1.8715710724354762e-05
2	Ischemic_encephalopathy	1.8615693757136463e-05
2	Varicose_disease	1.8178053853013917e-05
2	Hypertrophic_cardiomyopathy	1.747999908614055e-05
2	Hypogonadism	1.7445729383345022e-05
2	Leigh_syndrome	1.7401634402484794e-05
2	Hypertrichosis	1.72052231349333e-05
2	Pili_torti_deafness_syndrome	1.7112941930551093e-05
2	Pulmonary_fibrosis	1.5064444477836196e-05
2	Adult_acute_respiratory_distress_syndrome	1.4602550311393782e-05
2	Osteoporosis	1.4486582095865942e-05
2	Vascular_disorder	1.4157200366154849e-05
2	Emphysema	1.3885546292186023e-05
2	Glaucoma	1.3782906173355096e-05
2	Hypergonadotropic_hypogonadism	1.3721059329692868e-05
2	Abnormal_heart_morphology	1.3708962726151029e-05
2	Paroxysmal_dyspnea	1.367911939640994e-05
2	Hepatitis_C_Chronic	1.3649604687862066e-05
2	Cellulitis	1.2172321684414276e-05
2	Lower_respiratory_tract_infection	1.1956778927254239e-05
2	Osteogenesis_imperfecta	1.1814249827513929e-05
2	Hepatocellular_carcinoma	1.1671658231579635e-05
2	Ehlers_Danlos_syndrome_classic_type_1	1.1404893646873875e-05
2	Fracture_hip_susceptibility_to	1.1400936940619218e-05
2	Osteogenesis_imperfecta_type_III	1.1374910057785988e-05
2	Osteogenesis_imperfecta_perinatal_lethal	1.1362695479914516e-05
2	Osteogenesis_imperfecta_with_normal_sclerae_dominant_form	1.1360835833636205e-05
2	Osteogenesis_imperfecta_type_I	1.1310796622754069e-05
2	Infantile_cortical_hyperostosis	1.1285647946339882e-05
2	Fibrosarcoma	1.1280836314557925e-05
2	Dermatofibrosarcoma_Protuberans	1.127507086277185e-05
2	Diarrhea	1.0338558797506705e-05
2	Biliary_atresia	1.0103236422302718e-05
2	Hemobilia	1.0103236422302718e-05
2	Biliary_dyskinesia	1.0103236422302718e-05
2	Nystagmus	9.589322645890334e-06
2	Depression	9.201146389088177e-06
2	Cholecystitis	8.49704489009727e-06
2	Strabismus	8.198009571968193e-06
2	Spasticity	7.839425249444708e-06
2	Dystonic_disorder	7.565570638947961e-06
2	Hypoglycemia	7.4525862976752625e-06
2	Abnormality_of_the_coagulation_cascade	7.399281629589061e-06
2	Biliary_tract_neoplasm	5.784020449114799e-06
2	Osteoarthritis	5.728065866682845e-06
2	Heart_failure	5.260101159926777e-06
2	Fever	4.906000580328653e-06
2	Keloid	4.674872595521795e-06
2	Nephrotic_syndrome	4.650607347700114e-06
2	Osteopenia	4.632290011169841e-06
2	Neoplasm_of_the_skin	4.504145287406744e-06
2	Respiratory_insufficiency	4.478633763307179e-06
2	Congestive_heart_failure	4.376154389072177e-06
2	Gastroesophageal_reflux_disease	4.364841942533047e-06
2	Skin_ulcer	4.3063601825118135e-06
2	Heartburn	4.282789728014224e-06
2	Pulmonary_arterial_hypertension	4.247515988351447e-06
2	Panniculitis	4.208058003712434e-06
2	Lymphadenitis	4.208058003712434e-06
2	Otitis_media	4.154777811472739e-06
2	Bacterial_infection_of_skin	4.1545276916841e-06
2	Disorder_of_nasal_sinus	4.116330871392742e-06
2	Paronychia	3.795715894448196e-06
2	Inflammatory_abnormality_of_the_skin	3.774155561478584e-06
2	Neoplasm_of_stomach	3.764967533614576e-06
2	Meningococcal_meningitis	3.735230143664723e-06
2	Endocarditis	3.631790929113391e-06
2	Periodontal_disorder	3.2762217386116704e-06
2	Streptococcal_pneumonia	3.2093730829009077e-06
2	Osteomyelitis	3.0539734474647935e-06
2	Sepsis	2.9146331052185008e-06
2	Rheumatoid_arthritis	2.87701759912031e-06
2	gastroenteritis	2.819655511227377e-06
2	Gingivostomatitis	2.8174994785143135e-06
2	Epididymitis	2.7322626194568956e-06
2	Meningitis	2.685074014431739e-06
2	Nephritis	2.679882957073968e-06
2	Colonic_neoplasm	2.5802620281244355e-06
2	Vaginitis	2.488496149769341e-06
2	Encephalitis	2.4810621422486765e-06
2	Myocardial_ischemia	2.4810150544133002e-06
2	Colitis	2.470504228701995e-06
2	Disorder_of_biliary_tract	2.381107195183446e-06
2	Status_epilepticus	2.3522837532248395e-06
2	Periodontitis	2.320412637253019e-06
2	Primary_biliary_cholangitis	2.2901186932275463e-06
2	Prostatitis	2.2563437231209023e-06
2	Peritonitis	2.203070127848768e-06
2	Urinary_bladder_inflammation	2.1907766453621474e-06
2	Recurrent_E._coli_infections	2.039297043235531e-06
2	Acne	1.969042065790224e-06
2	Myositis_disease	1.9357153961082236e-06
2	Gingival_disorder	1.8623601595153183e-06
2	Bacterial_endocarditis	1.7910916409268955e-06
2	Cone_monochromatism	1.7292129821258646e-06
2	Alcohol_dependence	1.701071167135546e-06
2	Major_depressive_disorder	1.6793770120570957e-06
2	Neoplasm_of_esophagus	1.668781521433271e-06
2	Cone_dystrophy_5_X_linked	1.6255342558365744e-06
2	Deuteranomaly	1.610402199188749e-06
2	Dermatitis	1.5942070873940636e-06
2	Urinary_tract_infectious_disease	1.5899644112835417e-06
2	Melanoma	1.5881159795391688e-06
2	MHC_class_II_deficiency	1.575083672993276e-06
2	Bare_lymphocyte_syndrome_type_II_complementation_group_c	1.575083672993276e-06
2	Bare_lymphocyte_syndrome_type_2_complementation_group_A	1.575083672993276e-06
2	Bare_lymphocyte_syndrome_type_II_complementation_group_B	1.575083672993276e-06
2	Bare_lymphocyte_syndrome_type_2_complementation_group_E	1.575083672993276e-06
2	Bare_Lymphocyte_Syndrome_Type_II_Complementation_Group_D	1.5745993769527524e-06
2	Hepatitis	1.5699296227196107e-06
2	Fasciitis	1.5693503611145593e-06
2	Thrombocytopenia	1.5362186935259991e-06
2	Primary_dilated_cardiomyopathy	1.5253196875204759e-06
2	Autism	1.4546852117422247e-06
2	Peripheral_neuropathy	1.423756847257332e-06
2	Non_small_cell_lung_carcinoma	1.3307110014091133e-06
2	Skin_disorder	1.3271900744050026e-06
2	Obesity	1.2444680776035834e-06
2	Acute_myeloid_leukemia	1.232105220857999e-06
2	Anemia	1.2157975890435992e-06
2	Adenocarcinoma	1.190284894789417e-06
2	Metastasis	1.183308926540378e-06
2	Stomatitis	1.1733228786611952e-06
2	Neoplasm_of_lung	1.1580365357970267e-06
2	Polycystic_ovaries	1.1469096267724868e-06
2	Squamous_cell_carcinoma	1.140573237944821e-06
2	Carious_teeth	1.1271859337205886e-06
2	Multiple_sclerosis	1.0553385057556687e-06
2	Allergic_contact_dermatitis	1.0336262390992226e-06
2	Neoplasm_of_ovary	9.719151209462692e-07
2	Thyroiditis	8.76688558530089e-07
2	Allergy	8.630735567749051e-07
2	Primary_adrenocortical_insufficiency	8.527459595487528e-07
2	Cryptorchidism	8.473836551583776e-07
2	Renal_cell_carcinoma	8.329868205554535e-07
2	Benign_recurrent_intrahepatic_cholestasis_type_2	8.022202268982383e-07
2	Neoplasm_of_the_pancreas	8.01996304316925e-07
2	Progressive_familial_intrahepatic_cholestasis_type_2	7.979849884034418e-07
2	Diabetes_mellitus_type_1	7.864706077468658e-07
2	Chronic_obstructive_pulmonary_disease	7.505856898005774e-07
2	Psychotic_disorder	7.497238677726571e-07
2	Endometrium_neoplasm	7.18013789094678e-07
2	Bladder_neoplasm	7.057328465665064e-07
2	Vomiting	7.022945414406945e-07
2	Systemic_lupus_erythematosus	7.010057797826248e-07
2	Fatigue	6.911855395629811e-07
2	Chronic_renal_failure_syndrome	6.414328924698026e-07
2	Pulmonary_hypertension	6.405292167123536e-07
2	Cardiomyopathy	6.369996787865853e-07
2	Atherosclerosis	6.33477596977484e-07
2	Osteopetrosis_with_renal_tubular_acidosis	6.321898218967114e-07
2	Crohn_disease	6.145776420614826e-07
2	Methylmalonic_acidemia	6.131894676175928e-07
2	Hypotension	5.63004335630168e-07
2	Uveitis	5.591167081596225e-07
2	Alzheimer_disease	5.376273579629673e-07
2	Glioblastoma	5.327191794627272e-07
2	Insulin_resistance	5.29118932854202e-07
2	Infectious_disease_of_lung	5.275971951094725e-07
2	Osteosarcoma	5.251566540778585e-07
2	Arthritis	5.105036481279282e-07
2	Urticaria	4.861871837135064e-07
2	Stroke_disorder	4.818346846913691e-07
2	Palmoplantar_keratosis	4.6301583642691144e-07
2	Diabetic_kidney_disease	4.5810154571585497e-07
2	Ulcerative_colitis	4.5566550927356413e-07
2	Stevens_Johnson_syndrome	4.371832799428548e-07
2	Hyperlipidemia	4.133433650012369e-07
2	Disorder_of_lung	4.0372822491109716e-07
2	Diabetic_Vascular_Disorder	4.019577573518877e-07
2	Ovarian_cyst	4.0175780967116864e-07
2	Psoriasis	3.9223412826616063e-07
2	Multiple_myeloma	3.9073689101343274e-07
2	Myopathy	3.904452087486604e-07
2	Inflammatory_bowel_disease	3.863410808525256e-07
2	Thyroid_tumor	3.849686362310616e-07
2	Arthralgia	3.840937938918541e-07
2	Movement_disorder	3.812386110926636e-07
2	Small_cell_lung_carcinoma	3.765522127635456e-07
2	Nail_dystrophy	3.7636261586956167e-07
2	Growth_retardation	3.7159317852294654e-07
2	Growth_failure	3.658141451595272e-07
2	Angioedema	3.6197897715896147e-07
2	Blindness	3.467127517940453e-07
2	Idiopathic_Pulmonary_Fibrosis	3.463957587449683e-07
2	Edema	3.4071281374032884e-07
2	Bronchial_hyperreactivity	3.3739210580412744e-07
2	Conjunctivitis	3.2867611569015555e-07
2	Myocardial_infarction	3.2819814748351265e-07
2	Glioma	3.276096634813583e-07
2	Perennial_allergic_rhinitis	3.256074340296931e-07
2	Serum_sickness	3.218155277287086e-07
2	Acute_coronary_syndrome	3.148970834933544e-07
2	Exanthem	3.084238484648303e-07
2	Kidney_failure	3.052020215197681e-07
2	Malignant_lymphoma_large_B_cell_diffuse	3.014631873309294e-07
2	Duchenne_muscular_dystrophy	2.9925129785246214e-07
2	Patent_ductus_arteriosus	2.9807878734971664e-07
2	Premature_labor	2.959526265781865e-07
2	Medulloblastoma	2.955641406891666e-07
2	Leukemia	2.9306220403560085e-07
2	Nausea_and_vomiting	2.923217127174254e-07
2	Hereditary_spastic_paraplegia_35	2.9124410992185654e-07
2	B_cell_chronic_lymphocytic_leukemia	2.882153724273867e-07
2	Neuroblastoma	2.86391642751581e-07
2	Delayed_puberty	2.8273446039683697e-07
2	Cachexia	2.781291151146389e-07
2	Hyperkeratosis	2.7754863496991484e-07
2	Constipation	2.7674072878739857e-07
2	Atopic_eczema	2.697293644073177e-07
2	Lipodystrophy	2.690179397284569e-07
2	Lymphadenopathy	2.690179397284569e-07
2	Parkinson_disease	2.657943003518377e-07
2	Respiratory_tract_congestion	2.6009368791383804e-07
2	Adrenal_cortex_carcinoma	2.5840328925800603e-07
2	Systemic_sclerosis	2.574402010602342e-07
2	Pimple	2.563527153507127e-07
2	Thrombotic_disease	2.5581592852867384e-07
2	Diabetes_mellitus	2.557176022939922e-07
2	Eczematoid_dermatitis	2.548610477792073e-07
2	Colorectal_carcinoma	2.5406473648854326e-07
2	Sezary_syndrome	2.4837958993799306e-07
2	Premature_ovarian_insufficiency	2.480878216127021e-07
2	Attention_deficit_hyperactivity_disorder	2.472585081511434e-07
2	Tremor	2.462626401370519e-07
2	Gynecomastia	2.420919861816078e-07
2	Head_and_neck_neoplasm	2.4133834009524327e-07
2	Renal_insufficiency	2.3944616950403174e-07
2	Erythroderma	2.3683623800138864e-07
2	Migraine	2.305379418451992e-07
2	Cardiac_arrhythmia	2.2699286732550094e-07
2	Anxiety	2.2663939661096786e-07
2	Hypogonadotropic_hypogonadism	2.2573540662016427e-07
2	Osteoarthritis_susceptibility_3	2.255784929869542e-07
2	Gingivitis	2.2487898672027729e-07
2	Duodenal_ulcer	2.2454414063621283e-07
2	Van_Maldergem_syndrome_1	2.2418372236227018e-07
2	Celiac_disease	2.2359897422753375e-07
2	Osteogenesis_imperfecta_type_8	2.2090224578268062e-07
2	Enterocolitis	2.1925226497881128e-07
2	Disorder_of_orbital_region	2.1764236200973887e-07
2	Dyspnea	2.1729069630360476e-07
2	Familial_multiple_polyposis_syndrome	2.1374847812549746e-07
2	Squamous_cell_carcinoma_of_the_head_and_neck	2.113863807179612e-07
2	Myelodysplastic_syndrome	2.0916814459085006e-07
2	Paranasal_sinus_neoplasm	2.085765743493638e-07
2	Mitochondrial_complex_IV_deficiency_nuclear_type_1	2.0846721183198968e-07
2	Primary_cutaneous_T_cell_lymphoma	2.0517440454557153e-07
2	Acute_promyelocytic_leukemia	2.0437808807467157e-07
2	Nephroblastoma	2.0436202188850925e-07
2	Gastrointestinal_stromal_tumor	2.0123734688490048e-07
2	Abdominal_pain	2.0112790034165276e-07
2	Renal_neoplasm	2.0073600143138928e-07
2	Rectal_neoplasm	1.9851916150542547e-07
2	Myalgia	1.9724862315084254e-07
2	Rhinitis	1.9653225792159086e-07
2	Lymphoma	1.9411067620273022e-07
2	Epilepsy_with_generalized_tonic_clonic_seizures	1.918980320714126e-07
2	Minimally_invasive_lung_adenocarcinoma	1.9147978259436203e-07
2	Lung_cancer	1.8786976482812671e-07
2	Lung_cancer_protection_against	1.8637079886382207e-07
2	Gastrointestinal_hemorrhage	1.858603154355199e-07
2	Lung_adenocarcinoma	1.8542749510925344e-07
2	Pericarditis	1.8522192573251283e-07
2	Atrial_fibrillation	1.8421216499724005e-07
2	Pleural_effusion	1.834099825487217e-07
2	Bipolar_depression	1.8261772746187033e-07
2	Drug_allergy	1.8179867359499848e-07
2	Premature_ovarian_failure	1.76925194276731e-07
2	Neoplasm_of_brain	1.7475229928634452e-07
2	Parkinsonian_disorder	1.7398846391511573e-07
2	Intracranial_swelling	1.738893422680909e-07
2	Hemorrhage	1.7368554434884986e-07
2	Ventricular_arrhythmia	1.7331421449496698e-07
2	Stage_5_chronic_kidney_disease	1.7080597241050912e-07
2	Restless_legs	1.6933587076101872e-07
2	Male_infertility	1.6921456039858606e-07
2	Focal_segmental_glomerulosclerosis	1.686630667450044e-07
2	Growth_Disorders	1.680533668730375e-07
2	Hyperinsulinemia	1.6570587279032324e-07
2	Headache	1.6539788636347446e-07
2	Ascites	1.6469243047742848e-07
2	Purpura	1.5583816678397673e-07
2	Dementia	1.5574511083633952e-07
2	Burkitt_lymphoma	1.5517698270682883e-07
2	Paroxysmal_nocturnal_hemoglobinuria	1.528575113567003e-07
2	Cough	1.5256187834611478e-07
2	Acute_febrile_mucocutaneous_lymph_node_syndrome	1.508437230331516e-07
2	Hypercholesterolemia	1.4777522624796165e-07
2	Tetralogy_of_Fallot	1.4692127475067687e-07
2	Uremia	1.4594185848370482e-07
2	Airway_hyperresponsiveness	1.4551673693688788e-07
2	Bradycardia	1.454958517395565e-07
2	Hyperglycemia	1.4514361161301875e-07
2	Hyperplasia	1.4357975896638054e-07
2	Glucose_intolerance	1.420203969817738e-07
2	Pain	1.416189399669858e-07
2	Malignant_tumor_of_prostate	1.400300016974223e-07
2	Urinary_incontinence	1.392684620106124e-07
2	Hematologic_neoplasm	1.387944462471073e-07
2	Hyperpigmentation_of_the_skin	1.3864120321921207e-07
2	Cerebral_edema	1.3770026668344323e-07
2	Essential_hypertension	1.3606961490318996e-07
2	Hypotrichosis_6	1.3483109389970386e-07
2	Malignant_gastrointestinal_tract_tumors	1.3256846616492965e-07
2	Zollinger-Ellison_syndrome	1.3256846616492965e-07
2	Papillary_thyroid_carcinoma	1.3112095156747749e-07
2	Precocious_puberty	1.310781845952959e-07
2	3M_syndrome_3	1.2938228729619273e-07
2	Bronchiolitis	1.2869769910820928e-07
2	Basal_cell_carcinoma	1.2754413491587616e-07
2	Extrapyramidal_disease	1.2743822231588372e-07
2	Autoimmune_thrombocytopenic_purpura	1.2619211568897516e-07
2	Psoriatic_arthritis	1.259576536408093e-07
2	Laryngeal_edema	1.2557949020324793e-07
2	Tuberculosis	1.2506927244370945e-07
2	Hypokalemia	1.2300991484097544e-07
2	Leukemia_acute_myeloid_susceptibility_to	1.2130401450729506e-07
2	Menorrhagia	1.208775081565516e-07
2	Blepharitis	1.206438774234377e-07
2	Hepatic_encephalopathy	1.1991183445187914e-07
2	Venous_thrombosis	1.1750403675232724e-07
2	Joint_hemorrhage	1.1696854653055121e-07
2	Nasal_congestion	1.1656039617585549e-07
2	Chronic_bronchitis	1.1650229745790646e-07
2	Ankylosing_spondylitis	1.1624840199838549e-07
2	Astrocytoma	1.1569812644423379e-07
2	Amblyopia	1.1525228791833523e-07
2	Cancer_of_the_pancreas	1.1405940801305013e-07
2	Vitiligo	1.1371846572336205e-07
2	Female_infertility	1.1368461171952648e-07
2	Classic_Hodgkin_lymphoma	1.1285761348704084e-07
2	Amyotrophic_lateral_sclerosis	1.1236401097521132e-07
2	Excessive_salivation	1.1216606982605303e-07
2	Noonan_syndrome	1.1176645404334554e-07
2	Hemangioma	1.1165146796134123e-07
2	Pyelonephritis	1.1135828391375518e-07
2	Angle_closure_glaucoma	1.1121329954644201e-07
2	Nausea	1.1108911883512344e-07
2	IgE_mediated_allergic_disorder	1.0915734399936152e-07
2	Age_related_macular_degeneration	1.089669608354133e-07
2	Dyslipidemia	1.0805846750540333e-07
2	Chronic_schizophrenia	1.0742916105655792e-07
2	Keratitis	1.0735095486525204e-07
2	Adrenal_insufficiency	1.067540222951823e-07
2	Bone_Paget_disease	1.0610502881600054e-07
2	Ventricular_tachycardia	1.0509260145889276e-07
2	Hypocalcemia	1.0494311730593926e-07
2	Aphthous_stomatitis	1.0349582813638108e-07
