multiplex	node	score
2	Constipation	0.22604768483802304
2	Epilepsy	7.163733285454763e-05
2	Abdominal_pain	6.184161512072472e-05
2	Fatigue	5.981115014160493e-05
2	Heartburn	4.779955123705797e-05
2	Gastroesophageal_reflux_disease	4.7791138024175473e-05
2	Seizure	4.288214258350344e-05
2	Anxiety	4.090756428033065e-05
2	Nausea_and_vomiting	3.3700312766910115e-05
2	Schizophrenia	2.8169366179591092e-05
2	Strabismus	2.705642086496223e-05
2	Diarrhea	2.6050860611448303e-05
2	Depression	2.594908727569161e-05
2	Anorexia	2.439414508945505e-05
2	Attention_deficit_hyperactivity_disorder	2.2998518048623153e-05
2	Bipolar_affective_disorder	2.2719756884075414e-05
2	Hypothyroidism	2.2242953888263782e-05
2	Tetany	2.1403491312025214e-05
2	Cardiac_arrhythmia	2.1364690059393308e-05
2	Autism	1.903263937554704e-05
2	Cryptorchidism	1.886948701332152e-05
2	Malnutrition	1.836980012427446e-05
2	Obesity	1.6852612162127562e-05
2	Familial_thyroid_dyshormonogenesis_1	1.679373241868035e-05
2	Urofacial_syndrome_2	1.6488761851544835e-05
2	Arthralgia	1.5976884600277263e-05
2	Insomnia	1.5729901937850007e-05
2	Vomiting	1.4834117875835395e-05
2	Anemia	1.394547031414732e-05
2	Hypokalemia	1.3817119149285067e-05
2	Hypertensive_disorder	1.3499289848723586e-05
2	Kidney_failure	1.3224076974346594e-05
2	Spasticity	1.2482855062692724e-05
2	Goiter	1.2445700412256296e-05
2	Nystagmus	1.2192055845778181e-05
2	Breast_neoplasm	1.1786697261413587e-05
2	Growth_failure	1.1085052075213605e-05
2	Growth_retardation	1.1040156152225959e-05
2	Hypotension	1.0885651387390685e-05
2	Fever	1.070885652649152e-05
2	Tremor	1.018907166716722e-05
2	Migraine	9.499543812594214e-06
2	Renal_insufficiency	9.380769118498991e-06
2	Pheochromocytoma	9.320232250935777e-06
2	Prostate_neoplasm	9.025118454370203e-06
2	Neoplasm_of_stomach	8.967138512101332e-06
2	Myalgia	8.697225320726678e-06
2	Seborrheic_dermatitis	8.69383894863424e-06
2	Hypogonadotropic_hypogonadism	8.676219917206703e-06
2	Hypercalcemia	8.669137675579168e-06
2	Osteopenia	8.668022275819165e-06
2	Major_depressive_disorder	8.578212993744513e-06
2	Psychotic_disorder	8.471827742171467e-06
2	Patent_ductus_arteriosus	8.341054113907373e-06
2	Congenital_hypothyroidism	8.258545472716581e-06
2	Endometriosis	8.149984040468566e-06
2	Ventricular_fibrillation	8.121357872654265e-06
2	Respiratory_insufficiency	7.959663604464463e-06
2	Pituitary_dwarfism	7.84805627976435e-06
2	Celiac_disease	7.824182918031431e-06
2	Carious_teeth	7.779163514709832e-06
2	Alcohol_dependence	7.5918811028452105e-06
2	Neoplasm_of_lung	7.3414438583931954e-06
2	Gastrointestinal_hemorrhage	7.2631978386288095e-06
2	Colon_cancer	7.253044870577532e-06
2	Autoimmune_thyroid_disease	7.219595677534295e-06
2	Immunodeficiency	7.213123535384603e-06
2	Type_2_diabetes_mellitus	7.047940391373885e-06
2	Dystonic_disorder	6.968625442004666e-06
2	Tetralogy_of_Fallot	6.870645602245242e-06
2	Premature_birth	6.794955796677893e-06
2	Premature_birth_of_newborn	6.771760591612047e-06
