multiplex	node	score
2	Cryptorchidism	0.22630435203750224
2	Hypogonadotropic_hypogonadism	6.356300680079311e-05
2	Delayed_puberty	5.504325880872099e-05
2	Unilateral_cryptorchidism	4.901585143084841e-05
2	Bilateral_cryptorchidism	4.901585143084841e-05
2	Strabismus	4.301890128774095e-05
2	Epilepsy	4.175814217515158e-05
2	Seizure	4.1550327785108396e-05
2	Hypogonadism	4.133035291033323e-05
2	Breast_neoplasm	3.945145252582232e-05
2	Persistent_Mullerian_duct_syndrome	3.749363341088367e-05
2	Male_hypogonadism	3.446562278409674e-05
2	Hydrocele_testis	3.3370406332920416e-05
2	Anorchism	3.3370406332920416e-05
2	Testicular_microlithiasis	3.3370406332920416e-05
2	Spermatic_cord_torsion	3.3370406332920416e-05
2	46,XY_sex_reversal_11	3.3370406332920416e-05
2	Hypergonadotropic_hypogonadism	3.0891402803830004e-05
2	Nystagmus	2.8476880734438965e-05
2	Schizophrenia	2.6011780262735433e-05
2	Noonan_syndrome	2.1866657141769698e-05
2	Male_infertility	2.080396259977375e-05
2	Respiratory_insufficiency	1.9342887567359902e-05
2	Gynecomastia	1.855939395178782e-05
2	Osteoporosis	1.8493974758905178e-05
2	Patent_ductus_arteriosus	1.813983968182894e-05
2	Androgen_insufficiency	1.791313257722339e-05
2	Hypopituitarism	1.7780719362512205e-05
2	Heartburn	1.5262624326750973e-05
2	Spasticity	1.5056292552858726e-05
2	Depression	1.3295373274029237e-05
2	Obesity	1.2450693647174768e-05
2	Gastroesophageal_reflux_disease	1.2373460336183817e-05
2	Cardiac_arrhythmia	1.2191398214265223e-05
2	Prostate_neoplasm	1.2151703894415393e-05
2	Autism	1.1731436001805145e-05
2	Attention_deficit_hyperactivity_disorder	1.1491879515964414e-05
2	Premature_birth	1.148738758397543e-05
2	Premature_birth_of_newborn	1.1462339563904235e-05
2	Osteopenia	1.1072343803704198e-05
2	Neoplasm_of_stomach	1.081539893853098e-05
2	Constipation	9.1263048008753e-06
2	Myopathy	8.920766904909102e-06
2	Polycystic_ovaries	8.677221436931075e-06
2	Neoplasm_of_lung	8.64154704169927e-06
2	Orchitis	8.443260382449372e-06
2	Tetralogy_of_Fallot	8.245044820068358e-06
2	Coarctation_of_aorta	8.164691379868717e-06
2	Anxiety	7.98902484478135e-06
2	Abnormal_heart_morphology	7.841452587664266e-06
2	Edema	7.631019042689103e-06
2	Testicular_neoplasm	7.44991939554343e-06
2	Endometriosis	7.364597012227314e-06
2	Bipolar_affective_disorder	7.305606957672516e-06
2	Hypertensive_disorder	6.895791490026635e-06
2	Glaucoma	6.893253308694816e-06
2	Melanoma	6.702060030116601e-06
2	Squamous_cell_carcinoma	6.595255868705742e-06
2	Erectile_dysfunction	6.557016544185739e-06
2	Growth_Disorders	6.381267476950885e-06
2	Growth_retardation	6.233620937647684e-06
2	Growth_failure	6.231960373432674e-06
2	Primary_adrenocortical_insufficiency	6.222334392009422e-06
2	Type_2_diabetes_mellitus	6.2064034090821855e-06
