multiplex	node	score
2	Dyspareunia	0.22691292076465605
2	Vaginismus	0.00012594376533531113
2	Skin_ulcer	8.311408627139632e-05
2	Exanthem	5.423330095599581e-05
2	Hyperkeratosis	5.048950779949988e-05
2	Heartburn	4.68508598702504e-05
2	Arthritis	4.6759374795883643e-05
2	Osteoporosis	3.923180143812698e-05
2	Onychomycosis	3.849435362403437e-05
2	Arthralgia	3.688615943955203e-05
2	Nausea_and_vomiting	3.362073474928916e-05
2	Autoimmune_disease	3.309341228364773e-05
2	Carious_teeth	3.305170959157336e-05
2	Gastroesophageal_reflux_disease	3.303213476546144e-05
2	Dyspnea	3.294064362235392e-05
2	Pulmonary_fibrosis	3.291097892162034e-05
2	Xerostomia	3.279612105266059e-05
2	Ischemic_encephalopathy	3.1678166172540494e-05
2	Rheumatoid_arthritis	3.0491442344554777e-05
2	Hypertensive_disorder	2.779768007282192e-05
2	Psoriasis	2.3329241653447435e-05
2	Ulcerative_colitis	2.217316520979994e-05
2	Vitiligo	2.15033106229182e-05
2	Schizophrenia	2.0553907005885465e-05
2	Orthostatic_hypotension	1.9763555748912307e-05
2	Psoriatic_arthritis	1.9561986602903447e-05
2	Blepharitis	1.9369018555492446e-05
2	Hypogonadotropic_hypogonadism	1.9054277940936733e-05
2	Neoplasm_of_lung	1.846068778463071e-05
2	Fatigue	1.737480703247547e-05
2	Breast_neoplasm	1.642231033653078e-05
2	Allergy	1.624989097436755e-05
2	Chronic_hepatitis_B_virus_infection	1.6175852501263237e-05
2	Female_infertility	1.5882540761396712e-05
2	Prostate_neoplasm	1.4985642873880023e-05
2	Systemic_sclerosis	1.409547798012173e-05
2	Cirrhosis_of_liver	1.407818246353304e-05
2	Biliary_cirrhosis	1.401650439870593e-05
2	Dermatographic_urticaria	1.3712951648798111e-05
2	Hypogonadism	1.3318294960577312e-05
2	Stevens_Johnson_syndrome	1.2572049058459383e-05
2	Pneumonia	1.2106655158979764e-05
2	Diabetes_mellitus	1.1825925372275014e-05
2	Hypertrophic_cardiomyopathy	1.1141300167778681e-05
2	Systemic_lupus_erythematosus	1.1068077966060304e-05
2	Migraine	1.0636218227985764e-05
2	Pulmonary_hypertension_primary_3	1.0633849076623453e-05
2	Liver_failure	1.0462135646849895e-05
2	Hyperprolactinemia	1.0443656850269476e-05
2	Crohn_disease	1.0389827365038045e-05
2	Nephrotic_syndrome	1.0246350197458232e-05
2	Drug_allergy	1.022575030920919e-05
2	Adenoma	1.0128583065608338e-05
2	Somatotroph_adenoma	1.0031783536436465e-05
2	Familial_isolated_pituitary_adenoma	1.0026145748542962e-05
2	Dysmenorrhea	1.0004831279506759e-05
2	Eczematoid_dermatitis	9.985621518184539e-06
2	Pituitary_dependent_hypercortisolism	9.975522304402665e-06
2	Uveitis	9.77284962592169e-06
2	Systemic_onset_juvenile_chronic_arthritis	9.530022782525773e-06
2	Multiple_sclerosis_susceptibility_to_1	9.498554894749449e-06
2	Multiple_sclerosis_susceptibility_to	9.49588323492053e-06
2	Cataplexy_and_narcolepsy	9.482997146511508e-06
2	Neoplasm_of_stomach	8.699609612427215e-06
2	Glioma	8.576211786329024e-06
2	Acromegaly	8.365063625083984e-06
2	Contact_dermatitis	8.36102668306511e-06
2	Gynecomastia	8.360706597795143e-06
2	Glucose_intolerance	8.186988169774161e-06
2	Adenocarcinoma	8.063061905019672e-06
2	Heart_failure	7.932559942873064e-06
2	Pancreatitis	7.931434505174056e-06
2	Hepatocellular_carcinoma	7.779063545322956e-06
2	Focal_segmental_glomerulosclerosis	7.757082671968288e-06
2	Disorder_of_lung	7.645998750473304e-06
2	Delayed_puberty	7.591666010130337e-06
2	Depression	7.585348618692827e-06
2	Malignant_tumor_of_breast	7.200555644491018e-06
2	Bipolar_affective_disorder	6.928094061721655e-06
2	Osteopenia	6.9252005452624734e-06
2	Female_hypogonadism	6.816925159226421e-06
2	Cryptorchidism	6.6490849729348945e-06
2	Male_hypogonadism	6.577846789165039e-06
2	Pruritus	6.485617283035893e-06
2	Hyperpigmentation_of_the_skin	6.4584748647938625e-06
2	Anxiety	6.4516128174659355e-06
2	Erectile_dysfunction	6.4183829708244986e-06
2	Dyslipidemia	6.274059336062215e-06
2	Epilepsy	6.182655322250776e-06
2	Primary_biliary_cholangitis	6.160348718971272e-06
2	Strabismus	5.928214687776441e-06
2	Nystagmus	5.722600540398191e-06
2	Metastasis	5.288293925760863e-06
2	Autism	5.229374100735898e-06
2	Fever	5.021717369842174e-06
2	Osteoarthritis	4.9815475437828785e-06
2	Polycystic_ovaries	4.788351412069373e-06
2	Hypocalcemia	4.622085747981745e-06
2	Insulin_resistance	4.6175379589891135e-06
2	Non_small_cell_lung_carcinoma	4.563188100986889e-06
2	Pulmonary_arterial_hypertension	4.562900828970186e-06
