multiplex	node	score
2	Eczematoid_dermatitis	0.2261558668825598
2	Uveitis	0.00010941368504568906
2	Psoriasis	6.362720554639686e-05
2	Exanthem	6.211384828991716e-05
2	Ichthyosis	5.864771982166959e-05
2	Immunodeficiency	4.681750550602564e-05
2	Nail_dystrophy	4.661360971508069e-05
2	Erythroderma	4.235750918067633e-05
2	Palmoplantar_keratosis	4.138985130539913e-05
2	Allergic_rhinitis	3.379099511839075e-05
2	Ichthyosis_vulgaris	3.344199977676593e-05
2	Schizophrenia	3.3351433793370135e-05
2	Fever	3.300489521484997e-05
2	Angioedema	3.231564415676204e-05
2	Asthma	3.111935959145552e-05
2	Conjunctivitis	3.0046592321504416e-05
2	Mycosis_fungoides	2.953282044975423e-05
2	Keratitis	2.9202075078046257e-05
2	Blepharitis	2.7878392710214272e-05
2	Diarrhea	2.786295959466073e-05
2	Contact_dermatitis	2.7711475104544363e-05
2	Pneumonia	2.5473914048640296e-05
2	Allergic_reaction	2.473070470535188e-05
2	Enterocolitis	2.3635842396341464e-05
2	Seizure	2.3282024292228383e-05
2	Epilepsy	2.326367852341523e-05
2	Erythema_nodosum	2.276210768663073e-05
2	Rheumatoid_arthritis	2.269018165107938e-05
2	Hyperkeratosis	2.1241496522880976e-05
2	Urticaria	2.0738953561244082e-05
2	Atopic_eczema	2.0663621653607198e-05
2	Multiple_sclerosis	1.9730377663727046e-05
2	Autoimmune_disease	1.9235007137371448e-05
2	Chronic_diarrhea	1.911265518083341e-05
2	Bipolar_affective_disorder	1.78934034898211e-05
2	Thrombocytopenia	1.6600201575420842e-05
2	Bladder_neoplasm	1.5713677820735263e-05
2	Congenital_stationary_night_blindness_1C	1.531808305342341e-05
2	Allergy	1.501261510305503e-05
2	Pruritus	1.4529975638166838e-05
2	Allergic_contact_dermatitis	1.4383265967608039e-05
2	Pityriasis_rubra_pilaris	1.4248937558108679e-05
2	Psoriasis_1,_susceptibility_to	1.3833651879526456e-05
2	Otitis_media	1.3393444474821107e-05
2	Alopecia	1.3029657892126177e-05
2	Chronic_discoid_lupus_erythematosus	1.2878604161967728e-05
2	Chronic_granulomatous_disease	1.2744570552466997e-05
2	Recurrent_E._coli_infections	1.2583738082505553e-05
2	Sinusitis	1.2193635421377036e-05
2	Chronic_obstructive_pulmonary_disease	1.2140549820553585e-05
2	Cardiac_arrhythmia	1.1984908360036799e-05
2	Tooth_agenesis_selective_X_linked_1	1.1936454115608373e-05
2	Hypohidrotic_X_linked_ectodermal_dysplasia	1.1936454115608373e-05
2	Diabetes_mellitus_type_1	1.1893138150759427e-05
2	Vomiting	1.149523014583671e-05
2	Nystagmus	1.1070028355800375e-05
2	Prostate_neoplasm	1.0512983215378374e-05
2	Cirrhosis_of_liver	1.0205520498306681e-05
2	Systemic_lupus_erythematosus	1.0060845747535492e-05
2	Osteoporosis	9.940311218974892e-06
2	Neoplasm_of_the_skin	9.928855841978406e-06
2	Protoporphyria_erythropoietic_1	9.913817485851945e-06
2	Ulcerative_colitis	9.852999524070261e-06
2	Edema	9.776248392543524e-06
2	Osteopenia	9.58559711104809e-06
2	Autoimmune_hemolytic_anemia	9.56702023682434e-06
2	Bronchiectasis	9.54489133493806e-06
2	Dystonic_disorder	9.413839219690398e-06
2	Iridocyclitis	9.387159340344862e-06
2	Cryptorchidism	9.345421318878482e-06
2	Carious_teeth	9.298571834084788e-06
2	Pachyonychia_congenita_1	9.210016573459015e-06
2	Palmoplantar_keratoderma_nonepidermolytic_focal_1	9.149740668041253e-06
2	Drug_allergy	9.100374833019133e-06
2	Intellectual_disability_autosomal_recessive_5	9.069574897890292e-06
2	Attention_deficit_hyperactivity_disorder	8.986477569583756e-06
2	Celiac_disease	8.878405064081862e-06
2	Cellulitis_of_eyelid	8.806914502705039e-06
2	Melanoma	8.714020092717288e-06
2	Netherton_syndrome	8.612316562331241e-06
2	Thyroiditis	8.584689638789749e-06
2	Hypothyroidism	8.578830647024101e-06
2	Epidermolytic_hyperkeratosis_1	8.482655064019815e-06
2	Diffuse_nonepidermolytic_palmoplantar_keratoderma	8.469493685953717e-06
2	Metastasis	8.46686480240398e-06
2	Type_1_diabetes_mellitus_1	8.456944564480963e-06
2	Alopecia_areata	8.410427458333811e-06
2	Nausea_and_vomiting	8.39004206990983e-06
2	Propionic_acidemia	8.35912978567718e-06
2	Breast_neoplasm	8.294498272592727e-06
2	Anemia	8.290046117459457e-06
2	Juvenile_idiopathic_arthritis	8.050366970249767e-06
2	Primary_cutaneous_T_cell_lymphoma	7.614100180685949e-06
2	Psychotic_disorder	7.048043823842742e-06
2	Neoplasm_of_the_pancreas	7.00899280441745e-06
2	Respiratory_insufficiency	6.994337795334759e-06
2	Arthralgia	6.94467297782267e-06
2	Renal_cell_carcinoma	6.938760935709708e-06
2	Agitation	6.9352066527210835e-06
2	Biliary_cirrhosis	6.9067642653996386e-06
2	Granulomatous_disease_chronic_autosomal_recessive_cytochrome_b_positive_type_2	6.8737388162923095e-06
2	Squamous_cell_carcinoma	6.8731386939381025e-06
2	Autism	6.786915321498801e-06
2	Skin_disorder	6.718393053851502e-06
2	Infectious_disease_of_lung	6.694119002326095e-06
2	Peripheral_T_cell_lymphoma	6.617166508593329e-06
2	Acne	6.596560591031757e-06
2	Seborrheic_dermatitis	6.531852141971087e-06
2	Strabismus	6.485694528011153e-06
2	Obesity	6.476512578333637e-06
2	Type_1_diabetes_mellitus_10	6.447870178856975e-06
